Sample,X,Y,Z
0,0.0115,0.0071,0.9495
1,0.0564,-0.0273,0.9631
2,0.0625,-0.0439,0.9875
3,-0.0046,-0.0093,0.9712
4,-0.0364,0.0474,0.9927
5,-0.0500,0.0032,0.9790
6,-0.0632,-0.0681,0.9827
7,-0.0276,-0.0376,0.9768
8,0.0044,-0.0359,0.9700
9,0.0308,-0.0081,0.9885
10,0.0557,0.0310,0.9849
11,0.0635,0.0127,0.9907
12,0.0002,-0.0300,0.9771
13,-0.0305,-0.0046,0.9788
14,-0.0500,-0.0198,0.9592
15,-0.0801,-0.0251,0.9814
16,-0.0598,-0.0557,0.9819
17,-0.0176,-0.0334,0.9944
18,0.0537,0.0093,0.9868
19,0.0925,-0.0227,0.9729
20,0.0691,0.0366,0.9868
21,-0.0088,0.0320,0.9534
22,-0.0808,-0.0198,0.9749
23,-0.1021,-0.0083,0.9966
24,-0.0825,0.0125,0.9839
25,0.0078,0.0105,0.9897
26,0.0620,-0.0764,0.9885
27,0.0938,-0.0867,1.0063
28,0.1011,-0.0449,0.9819
29,0.0090,-0.0271,0.9663
30,-0.0710,0.0168,0.9683
31,-0.1138,0.0173,0.9634
32,-0.1194,0.0439,0.9651
33,-0.0415,0.0061,0.9673
34,0.0332,-0.0168,0.9856
35,0.1252,0.0242,0.9917
36,0.0972,-0.0122,0.9934
37,0.0056,-0.0527,0.9915
38,-0.0552,-0.0779,0.9888
39,-0.1208,-0.0574,0.9915
40,-0.0967,-0.0081,0.9663
41,-0.0291,0.0127,0.9761
42,0.0659,0.0620,0.9673
43,0.1431,0.0327,0.9583
44,0.1006,0.0005,0.9939
45,0.0022,-0.0259,0.9810
46,-0.0854,-0.0466,0.9692
47,-0.1392,-0.0759,0.9888
48,-0.1245,-0.0535,0.9849
49,-0.0510,-0.0471,0.9807
50,0.0320,-0.0354,0.9875
51,0.1243,0.0161,0.9976
52,0.1182,0.0977,0.9670
53,0.0779,0.0889,0.9585
54,-0.0120,-0.0186,0.9741
55,-0.0930,-0.0586,0.9817
56,-0.1357,-0.0344,1.0005
57,-0.1321,-0.0647,0.9878
58,-0.0493,-0.0710,0.9946
59,0.0564,-0.0161,0.9934
60,0.1189,-0.0120,0.9653
61,0.1233,-0.0085,0.9673
62,0.0920,0.0203,0.9575
63,-0.0017,0.0225,0.9624
64,-0.1140,0.0088,0.9758
65,-0.1404,-0.0134,0.9858
66,-0.1296,-0.0161,0.9961
67,-0.0574,-0.0142,0.9856
68,0.0674,-0.0483,0.9927
69,0.0889,-0.0410,0.9937
70,0.1021,0.0315,0.9846
71,0.0745,-0.0178,0.9585
72,0.0029,0.0020,0.9868
73,-0.0420,-0.0068,0.9722
74,-0.0674,-0.0337,0.9739
75,-0.0815,-0.0449,0.9897
76,-0.0459,-0.0298,0.9709
77,-0.0566,0.0188,0.9771
78,0.0015,0.0398,0.9709
79,0.0427,-0.0569,0.9802
80,0.0569,0.0056,1.0015
81,0.0771,0.0007,0.9651
82,0.0342,-0.0469,0.9993
83,-0.0051,0.0164,0.9954
84,-0.0403,0.0010,0.9800
85,-0.0742,-0.0601,0.9700
86,-0.0864,-0.0688,0.9861
87,-0.0481,0.0154,0.9800
88,0.0303,0.0378,0.9612
89,0.0444,-0.0271,0.9827
90,0.0498,0.0322,0.9790
91,0.0168,0.0312,0.9595
92,-0.0488,-0.0498,0.9702
93,-0.0364,-0.0117,1.0015
94,-0.0222,-0.0203,0.9985
95,0.0222,-0.0090,0.9875
96,0.0730,-0.0923,0.9895
97,0.0347,-0.0674,1.0012
98,-0.0168,-0.0203,0.9661
99,-0.0789,-0.0107,0.9690
100,-0.0742,0.0916,0.9729
101,-0.0752,0.0166,0.9475
102,-0.0005,-0.0220,0.9927
103,0.0544,-0.0391,0.9702
104,0.0593,0.0000,0.9771
105,0.0874,0.0371,0.9866
106,0.0420,-0.0569,0.9788
107,-0.0576,-0.0269,1.0044
108,-0.0916,-0.0278,0.9866
109,-0.1030,-0.0464,0.9790
110,-0.0703,0.0044,0.9878
111,0.0281,0.0464,0.9839
112,0.0947,-0.0542,0.9702
113,0.0715,-0.0554,0.9885
114,0.0425,0.0088,0.9543
115,0.0137,0.0273,0.9417
116,-0.0781,0.0217,0.9800
117,-0.0852,-0.0281,0.9956
118,-0.0508,-0.0554,0.9985
119,-0.0510,-0.0422,1.0073
120,0.0420,-0.0181,0.9788
121,0.0911,-0.0098,0.9758
122,0.0579,0.0151,0.9846
