Sample,X,Y,Z
0,-0.0481,-0.0718,0.9702
1,-0.0063,-0.0793,1.0142
2,0.0149,0.0366,0.9907
3,0.0203,0.0361,0.9448
4,0.0249,-0.0261,1.0081
5,0.0371,-0.0178,0.9683
6,0.0242,0.0400,0.9788
7,0.0024,0.0691,0.9758
8,-0.0410,-0.0610,0.9758
9,-0.0400,-0.0366,0.9983
10,-0.0339,-0.1235,0.9712
11,-0.0444,0.0203,1.0029
12,0.0188,-0.0386,0.9485
13,0.0305,-0.0015,1.0142
14,0.0063,-0.0215,0.9556
15,-0.0188,0.0603,0.9917
16,-0.0483,-0.0295,0.9751
17,-0.0366,-0.0674,1.0042
18,0.0032,-0.0515,0.9983
19,0.0361,-0.0520,0.9556
20,0.0330,0.0239,0.9963
21,0.0132,0.0098,0.9495
22,-0.0200,-0.0032,0.9856
23,-0.0527,0.0649,1.0015
24,-0.0469,0.0098,0.9409
25,-0.0120,0.0154,1.0015
26,0.0347,-0.0010,0.9817
27,0.0342,-0.0176,0.9739
28,0.0071,-0.0146,1.0171
29,-0.0300,0.0027,0.9788
30,-0.0532,-0.0684,0.9614
31,-0.0286,-0.0186,0.9954
32,0.0234,-0.0771,0.9553
33,0.0701,-0.0244,0.9722
34,0.0437,0.0637,0.9702
35,-0.0176,0.0134,0.9670
36,-0.0830,-0.0469,0.9934
37,-0.1458,-0.0476,0.9895
38,-0.0864,-0.0171,0.9897
39,0.0054,-0.0320,0.9807
40,0.1208,-0.0872,1.0110
41,0.1516,-0.0142,0.9956
42,0.1130,0.0225,0.9517
43,-0.0063,0.0737,0.9624
44,-0.1284,0.0137,0.9417
45,-0.1660,0.0515,1.0024
46,-0.1167,0.0215,0.9546
47,0.0066,0.0100,1.0056
48,0.0754,-0.0667,0.9797
49,0.0964,-0.0867,1.0068
50,0.0806,-0.0007,1.0081
51,0.0029,-0.0200,0.9573
52,-0.0581,0.0352,0.9927
53,-0.0793,-0.1069,0.9419
54,-0.0283,-0.0337,0.9973
55,-0.0005,0.0100,0.9370
56,0.0210,0.0784,0.9739
57,0.0461,-0.0291,0.9653
58,-0.0281,-0.0129,1.0198
59,-0.0425,-0.0510,0.9751
60,-0.0723,-0.0635,1.0161
61,-0.0369,-0.0215,1.0120
62,0.0208,-0.0874,0.9631
63,0.0696,0.0464,0.9976
64,0.0916,0.0542,0.9370
65,0.0200,0.0083,0.9661
66,-0.0269,-0.0166,0.9817
67,-0.0623,0.0129,0.9602
68,-0.0955,0.0444,0.9644
69,-0.0657,0.0896,0.9788
70,0.0063,-0.0532,0.9868
71,0.0208,-0.0461,1.0249
72,0.0449,-0.0525,0.9829
73,0.0652,-0.0432,1.0073
74,0.0249,-0.0847,0.9683
75,0.0085,-0.0266,1.0042
76,-0.0183,0.0330,0.9407
77,-0.0471,0.0005,0.9475
78,-0.0359,0.0066,0.9705
79,-0.0461,-0.0898,0.9692
80,-0.0295,0.0413,0.9983
81,-0.0002,-0.0049,0.9517
82,0.0042,0.0498,1.0190
83,0.0190,-0.0835,0.9739
84,0.0171,-0.0234,1.0256
85,0.0251,-0.0679,0.9702
86,-0.0110,-0.0205,1.0171
87,0.0017,-0.0442,0.9536
88,0.0161,0.0574,0.9827
89,0.0137,0.1191,0.9387
90,-0.0261,0.0427,0.9368
91,-0.0234,-0.0244,0.9966
92,-0.0754,-0.0859,0.9797
93,-0.0454,0.0417,1.0032
94,-0.0154,-0.0156,0.9788
95,0.0227,-0.0435,1.0220
96,0.0466,-0.0923,0.9954
97,0.0596,0.0012,0.9924
98,0.0234,-0.0122,0.9680
99,-0.0015,-0.0076,0.9739
100,-0.0264,-0.0513,0.9565
101,-0.0730,0.0505,0.9993
102,-0.0405,-0.0188,0.9543
103,0.2083,-0.0808,1.0571
104,0.4595,0.0588,1.0012
105,0.7434,0.4458,0.9302
106,0.9954,0.7583,0.8960
107,0.9585,0.6340,0.8938
108,0.7515,0.7288,1.0159
109,0.3389,0.5952,0.9263
