Sample,X,Y,Z
0,-0.0615,0.0818,1.0149
1,0.0195,-0.0127,0.9114
2,0.0623,0.0381,1.0063
3,0.0630,0.0266,0.9739
4,0.0398,-0.0398,0.9553
5,-0.0554,0.0146,1.0364
6,-0.0706,-0.0381,0.9583
7,-0.0222,0.0015,1.0002
8,-0.0085,-0.0654,0.9868
9,0.0308,0.0012,0.9661
10,-0.0129,-0.0991,0.9690
11,-0.0505,0.0000,1.0005
12,-0.0833,-0.0518,0.9399
13,-0.0544,0.0127,1.0005
14,0.0334,0.0164,0.9478
15,0.0735,0.0015,0.9917
16,0.0986,-0.0076,0.9888
17,0.0251,-0.0452,0.9788
18,-0.0305,0.0623,1.0120
19,-0.0781,-0.0952,0.9429
20,-0.0740,-0.0278,1.0491
21,0.0029,-0.0750,0.9438
22,0.0173,0.0129,0.9944
23,0.0310,0.0776,0.9536
24,-0.0205,-0.0027,0.9399
25,-0.0405,0.0178,1.0083
26,-0.0210,-0.0051,0.9487
27,-0.0225,0.0691,1.0032
28,0.0530,-0.0503,0.9683
29,0.0371,-0.0535,1.0259
30,0.0161,-0.0679,1.0071
31,-0.0178,-0.0815,0.9602
32,-0.0603,-0.0273,1.0198
33,-0.0649,-0.0483,0.9336
34,-0.0503,-0.0085,0.9790
35,0.0286,0.0715,0.9622
36,0.0454,0.0178,0.9456
37,0.0540,0.0007,0.9878
38,0.0652,-0.0571,0.9751
39,-0.0049,-0.0161,1.0112
40,-0.0906,-0.0620,0.9690
41,-0.1245,-0.0479,1.0210
42,-0.1135,-0.0176,0.9934
43,-0.0132,0.0420,0.9629
44,0.0620,0.0608,0.9846
45,0.1289,0.0125,0.9622
46,0.1147,-0.0620,0.9768
47,0.0325,0.0413,1.0093
48,-0.0312,0.0547,0.9543
49,-0.0874,-0.0493,0.9739
50,-0.0981,-0.0322,1.0161
51,-0.0886,-0.1099,0.9387
52,-0.0464,-0.0215,1.0208
53,0.0056,-0.0229,0.9543
54,0.0273,-0.0322,0.9856
55,0.1211,0.0000,0.9973
56,0.0664,-0.0095,0.9517
57,0.0261,0.0818,0.9878
58,-0.0273,-0.0444,0.9568
59,-0.1184,-0.0369,1.0161
60,-0.0889,-0.1184,0.9788
61,-0.0400,-0.0205,0.9937
62,-0.0042,0.0315,0.9585
63,0.0791,0.0173,0.9543
64,0.0522,-0.0193,0.9983
65,0.0330,0.0051,0.9849
66,-0.0083,0.0713,0.9751
67,-0.0664,0.0222,0.9973
68,-0.0422,-0.0137,0.9631
69,-0.0237,-0.0725,1.0142
70,0.0095,0.0327,0.9885
71,0.0366,-0.0498,0.9260
72,0.0164,-0.0291,1.0425
73,0.0012,-0.1084,0.9438
74,-0.0361,-0.0557,1.0044
75,-0.0293,0.0862,0.9885
76,-0.0095,0.0024,0.9194
77,-0.0405,0.0010,1.0088
78,-0.0022,-0.0269,0.9888
79,0.0002,-0.0403,0.9692
80,0.0105,-0.0417,1.0056
81,0.0432,0.0090,0.9866
82,0.0342,-0.0852,0.9663
83,0.0078,-0.0447,1.0110
84,-0.0376,0.0435,0.9429
85,-0.0601,0.0127,0.9648
86,-0.0808,0.0645,1.0034
87,-0.0374,0.0120,0.9653
88,0.0437,-0.0046,1.0024
89,0.0476,-0.0115,0.9663
90,0.0618,0.0181,0.9849
91,0.0647,-0.1650,0.9807
92,-0.0103,-0.0037,1.0444
93,-0.0374,-0.0083,0.9272
94,-0.0930,-0.0103,0.9915
95,-0.0881,0.0466,0.9788
96,-0.0405,-0.0737,0.9299
97,-0.0020,-0.0061,1.0295
98,0.0708,-0.0061,0.9487
99,0.0413,0.0273,1.0015
100,0.0344,-0.0576,0.9751
101,0.0146,0.0342,0.9976
102,0.0872,-0.0864,0.9465
103,0.3608,-0.0562,0.9954
