Sample,X,Y,Z
0,-0.0730,-0.1074,0.9614
1,-0.1035,-0.0132,1.0154
2,-0.0588,0.0027,0.9468
3,-0.0308,0.0188,0.9878
4,0.0403,0.0410,0.9575
5,0.0696,-0.0103,0.9810
6,0.0779,-0.0173,0.9761
7,0.0371,-0.0051,0.9797
8,-0.0076,0.0510,0.9915
9,-0.0630,-0.0559,0.9731
10,-0.0730,-0.0371,1.0168
11,-0.0886,-0.0906,0.9683
12,0.0002,-0.0188,1.0081
13,0.0208,-0.0027,0.9624
14,0.0818,0.0801,0.9751
15,0.0854,0.0142,0.9612
16,-0.0049,0.0027,0.9985
17,-0.0361,-0.0112,0.9575
18,-0.0698,-0.0393,0.9866
19,-0.0940,-0.0315,0.9741
20,-0.0547,-0.0657,0.9761
21,0.0088,0.0198,1.0120
22,0.0225,-0.0654,0.9563
23,0.0767,0.0410,1.0161
24,0.0835,-0.0164,0.9436
25,0.0259,0.0378,0.9993
26,-0.0073,0.0103,0.9595
27,-0.0796,-0.0188,1.0073
28,-0.0569,-0.0144,0.9653
29,-0.0566,-0.0774,0.9788
30,-0.0276,0.0381,1.0054
31,0.0330,-0.0725,0.9456
32,0.0122,0.0000,1.0278
33,0.0264,-0.0237,0.9397
34,-0.0190,0.0095,0.9758
35,-0.0039,0.0244,0.9739
36,-0.0632,0.0083,0.9731
37,-0.0049,0.0374,1.0034
38,0.0366,-0.0012,0.9673
39,0.0222,-0.0173,1.0142
40,0.0725,-0.0344,0.9817
41,0.0134,-0.0972,0.9954
42,-0.0061,0.0012,0.9915
43,-0.0703,-0.0371,0.9468
44,-0.0732,-0.0007,1.0071
45,-0.0208,0.0208,0.9302
46,-0.0276,0.0129,0.9890
47,0.0330,0.0369,0.9595
48,0.0093,-0.0967,0.9553
49,-0.0388,0.0520,1.0276
50,-0.0154,-0.0039,0.9272
51,0.0112,-0.0200,1.0317
52,0.0515,-0.0073,0.9905
53,0.0740,-0.0483,0.9866
54,0.0359,0.0010,1.0044
55,-0.0325,0.0308,0.9592
56,-0.0896,0.0020,0.9788
57,-0.0911,-0.0396,0.9700
58,-0.0720,-0.0203,0.9866
59,0.0088,-0.0193,0.9622
60,0.0469,-0.0537,0.9768
61,0.1067,0.0039,0.9858
62,0.0547,-0.0408,0.9399
63,-0.0188,0.0173,0.9907
64,-0.0688,-0.0139,0.9624
65,-0.0959,-0.0022,1.0044
66,-0.0227,0.0339,0.9868
67,0.0132,0.0066,0.9905
68,0.0862,0.0237,1.0002
69,0.0564,-0.0366,0.9702
70,-0.0093,-0.0334,1.0042
71,-0.0613,-0.0239,0.9631
72,-0.0957,0.0049,0.9819
73,-0.0393,-0.0137,0.9446
74,-0.0156,-0.0325,0.9895
75,0.0205,-0.0364,0.9731
76,0.0581,-0.0303,0.9634
77,0.0369,0.0842,0.9866
78,0.0232,0.0364,0.9338
79,-0.0144,-0.0437,1.0269
80,-0.0217,-0.0869,0.9946
81,-0.0498,-0.0781,1.0034
82,-0.0020,0.0215,0.9817
83,-0.0107,-0.0134,0.9556
84,0.0046,0.0637,1.0005
85,-0.0054,-0.0291,0.9536
86,-0.0122,0.0330,0.9924
87,-0.0276,-0.0168,0.9387
88,-0.0454,0.0322,0.9895
89,0.0171,0.0029,0.9739
90,0.0144,-0.0251,0.9771
91,0.0327,-0.0522,1.0168
92,0.0317,-0.0825,0.9761
93,-0.0125,-0.0376,0.9983
94,-0.0447,0.0410,0.9829
95,-0.0215,-0.0002,0.9670
96,-0.0164,-0.0020,0.9907
97,-0.0012,0.0144,0.9565
98,-0.0129,-0.0425,0.9702
99,0.0090,-0.0178,0.9963
100,0.0110,-0.0171,0.9602
101,-0.0103,0.0430,0.9800
102,-0.0518,-0.0081,1.0100
103,-0.1936,-0.1218,1.0835
104,-0.1592,0.0493,0.9397
105,-0.1938,0.6948,0.8569
106,-0.1040,1.8416,0.7134
107,-0.0845,1.9998,0.6655
108,-0.1028,1.9998,0.9243
109,-0.1013,1.7698,0.9788
110,-0.1689,0.8772,1.2170
111,-0.0630,0.1824,1.3000
112,0.0393,0.0579,1.2446
113,0.0352,0.5537,1.1929
114,0.0562,0.9966,0.9526
115,-0.0715,1.1868,0.8733
116,-0.1516,1.1831,0.7720
117,-0.1831,0.6946,0.7512
118,-0.0632,0.3208,0.8745
119,0.2141,0.2012,0.8091
120,0.3254,0.3203,0.7964
121,0.2642,0.7000,0.8625
122,0.0444,0.8452,0.9233
123,-0.1570,0.7200,1.0803
124,-0.3403,0.8042,1.2046
125,-0.2122,0.5833,1.1252
126,-0.0222,0.5962,1.1763
127,0.1277,0.8247,1.0659
128,0.1035,1.2456,0.9614
129,-0.0940,1.5474,0.8989
130,-0.2805,1.5464,0.8203
131,-0.3108,1.3440,0.8147
132,-0.1357,1.1370,0.8713
133,0.1001,0.7922,0.9075
134,0.2727,0.5393,1.0139
135,0.1951,0.5364,1.0442
136,-0.0371,0.5396,1.0386
137,-0.3430,0.4666,1.0442
138,-0.5281,0.5803,1.0432
139,-0.3267,0.7183,0.9272
140,-0.0891,0.7866,0.9038
141,0.2742,0.7329,0.8452
142,0.3547,0.7124,0.9087
143,0.2698,0.9746,0.9927
144,-0.0640,0.7544,0.8843
145,-0.3455,0.6497,1.0725
146,-0.3706,0.5234,1.0112
147,-0.2896,0.6343,1.0464
148,-0.0596,0.7927,1.0520
149,0.1047,0.6831,0.9604
150,0.1704,0.9988,1.0081
151,0.1135,1.2778,0.8511
152,0.0149,1.3345,0.8638
153,0.1536,1.0444,0.8276
154,0.1396,0.7893,1.0227
155,0.0781,-0.0088,1.1106
156,0.1201,-1.6157,1.2874
157,-0.0513,-1.9983,1.5208
158,-0.0291,-1.9980,1.1782
159,0.0261,-1.9983,1.1262
160,0.1592,-1.2253,0.6968
161,0.0178,0.1858,0.4045
162,-0.1182,0.7622,0.4194
163,-0.3389,0.2808,0.5034
164,-0.2976,-0.0784,0.8264
165,-0.1250,-0.1196,0.9407
166,0.0476,0.2246,1.1499
167,0.2327,1.0854,1.2847
168,0.0535,1.8257,1.2202
169,-0.0640,1.9998,1.3940
170,-0.1907,1.2688,1.3137
171,-0.1750,0.8303,1.4280
172,0.1243,1.3364,1.0347
173,0.2825,1.4612,0.7219
174,0.3550,1.5237,0.8333
175,0.1775,0.6997,0.6479
176,-0.0857,0.0278,0.8433
177,-0.3289,-0.7095,0.8391
178,-0.3452,-1.5544,0.8521
179,-0.1458,-1.9067,1.0950
180,0.1003,-1.3416,1.0327
181,0.2080,-0.7061,0.9348
182,0.1787,-0.2817,0.9585
183,-0.0635,-0.3318,0.9233
184,-0.2583,-0.3113,1.0562
185,-0.2307,-0.2151,1.0754
186,-0.1038,-0.2827,0.9534
