Sample,X,Y,Z
0,0.0242,-0.0076,0.9944
1,0.0066,-0.0583,0.9438
2,-0.0059,0.0085,0.9888
3,-0.0239,0.0171,0.9399
4,-0.0405,0.0146,0.9517
5,0.0059,0.0513,0.9741
6,0.0051,-0.0334,0.9976
7,0.0027,-0.0369,1.0288
8,0.0164,-0.0203,0.9893
9,-0.0127,-0.0156,0.9817
10,-0.0090,-0.0444,0.9924
11,-0.0447,-0.0674,0.9827
12,-0.0266,-0.0203,0.9819
13,-0.0117,0.0281,0.9595
14,0.0320,0.0183,0.9583
15,0.0210,0.0144,0.9602
16,-0.0002,0.0474,0.9702
17,-0.0208,-0.0632,0.9829
18,-0.0793,-0.0564,1.0376
19,-0.0420,0.0242,0.9749
20,-0.0137,-0.0125,0.9595
21,0.0259,-0.0232,1.0042
22,0.0483,-0.0376,0.9944
23,0.0271,-0.0254,0.9983
24,-0.0115,-0.0435,0.9556
25,-0.0095,-0.0498,0.9680
26,-0.0479,0.0449,0.9670
27,-0.0310,0.0669,0.9602
28,-0.0225,0.0769,0.9993
29,-0.0186,-0.0105,0.9849
30,0.0159,-0.1211,0.9768
31,-0.0151,-0.1082,1.0044
32,-0.0112,-0.0295,1.0017
33,0.0081,-0.0374,0.9780
34,0.0034,0.0383,0.9983
35,0.0107,0.0833,0.9485
36,0.0088,0.0410,0.9526
37,-0.0386,-0.0132,0.9663
38,-0.0388,-0.0969,1.0081
39,-0.0320,-0.0872,1.0078
40,-0.0447,-0.0325,0.9692
41,0.0173,0.0781,0.9641
42,0.0295,0.0149,0.9634
43,0.0193,-0.0103,1.0217
44,0.0366,0.0049,0.9875
45,-0.0442,-0.0544,0.9683
46,-0.0144,-0.0286,0.9771
47,-0.0032,-0.0027,0.9995
48,-0.0442,0.0183,0.9888
49,-0.0312,-0.0164,0.9438
50,-0.0186,-0.0527,0.9866
51,-0.0085,-0.0232,0.9946
52,-0.0129,-0.0037,0.9800
53,0.0117,-0.0100,0.9839
54,0.0200,0.0088,0.9827
55,0.0239,0.0647,0.9683
56,-0.0249,0.0374,0.9446
57,-0.0715,-0.0342,1.0286
58,-0.0452,-0.1272,1.0073
59,-0.0154,-0.1301,1.0112
60,0.0823,-0.0024,0.9768
61,0.0774,-0.0181,0.9407
62,0.0222,0.0754,0.9739
63,-0.0481,0.0471,0.9487
64,-0.1311,0.0281,0.9758
65,-0.0881,0.0530,0.9612
66,-0.0742,-0.0188,0.9827
67,0.0222,-0.1226,0.9956
68,0.0811,-0.1204,1.0422
69,0.0891,-0.0088,1.0142
70,0.0947,-0.0139,0.9546
71,-0.0283,0.0430,0.9788
72,-0.0608,0.0439,0.9534
73,-0.1267,-0.0166,0.9788
74,-0.1221,-0.0081,0.9504
75,-0.0327,-0.0110,0.9692
76,0.0327,0.0288,0.9905
77,0.1277,-0.0417,0.9751
78,0.1133,-0.0166,1.0510
79,0.0537,-0.0339,0.9761
80,-0.0566,-0.0999,0.9644
81,-0.1497,0.0093,1.0183
82,-0.1331,-0.0601,0.9260
83,-0.0703,0.0166,1.0022
84,0.0632,0.1394,0.9517
85,0.0906,0.0132,0.9592
86,0.1067,-0.0310,0.9934
87,0.0334,-0.0952,0.9915
88,-0.0459,-0.0347,1.0129
89,-0.1345,-0.0652,0.9722
90,-0.1279,-0.0767,0.9846
91,-0.0403,0.0215,0.9795
92,0.0488,0.0757,0.9446
93,0.1072,0.0991,0.9858
94,0.0879,0.0120,0.9741
95,0.0439,-0.0874,1.0100
96,-0.0198,-0.0720,0.9956
97,-0.0713,-0.0320,0.9927
98,-0.1267,-0.0579,0.9495
99,-0.0918,0.0000,1.0020
100,-0.0347,0.0117,0.9875
101,-0.0100,-0.0066,0.9438
102,0.0996,0.0569,0.9670
103,0.1030,0.0007,0.9583
104,0.0708,-0.0803,1.0012
105,-0.0005,-0.0586,1.0266
106,-0.0745,0.0195,1.0083
107,-0.1045,0.0137,0.9497
108,-0.0854,-0.0249,0.9590
109,-0.0312,-0.0017,1.0002
110,0.0310,0.0251,0.9468
111,0.0312,-0.0122,0.9807
112,0.0461,-0.0273,0.9844
113,0.0588,-0.0791,1.0015
114,0.0100,-0.0029,0.9924
115,-0.0117,-0.0090,0.9731
116,-0.0681,-0.0251,0.9739
117,-0.0789,0.0513,0.9868
118,-0.0796,-0.0378,0.9468
119,-0.0642,-0.0647,0.9641
120,0.0317,0.0317,0.9966
121,0.0718,0.0303,0.9761
122,0.1204,-0.0195,0.9924
123,0.0784,-0.0122,1.0149
124,0.0054,-0.0093,0.9709
125,-0.1008,-0.0159,0.9778
126,0.2168,-0.0137,1.0637
127,1.7917,0.0862,1.2961
128,1.9980,0.2354,1.3530
129,1.9978,0.6917,1.2034
130,1.9980,0.3125,0.8511
131,1.9978,0.3015,0.6262
132,1.9980,0.4355,0.3433
133,1.8853,0.6682,0.7971
134,-1.1584,-0.1721,0.9790
135,-1.9998,-0.5103,0.7747
136,-1.9998,-0.2761,1.2358
137,-1.3503,-0.2024,1.5979
138,1.5066,0.0085,1.6350
139,1.9978,-0.0605,1.4534
140,1.9980,-0.1262,0.9702
141,1.9980,0.0886,0.6187
142,0.8354,0.3220,0.5627
143,-0.8687,0.3101,0.5371
144,-0.9431,0.1501,0.6799
145,0.7622,0.2561,1.0344
146,1.9980,0.2256,1.0464
147,1.9978,0.2649,1.2395
148,1.9980,0.2344,1.3354
149,1.9980,-0.1455,1.3569
150,1.6538,-0.2388,1.4280
151,0.1138,-0.0234,1.2219
152,-1.3677,-0.1331,0.4253
153,-1.9998,-0.0593,0.3064
154,-1.9998,-0.1233,0.2991
155,-1.9998,-0.6316,0.4468
156,-1.9998,-0.0020,1.0884
157,-1.9998,0.0503,1.3735
158,-1.9998,-0.1440,1.7952
159,0.7395,-0.2837,1.8599
160,1.9978,0.1069,1.5090
161,1.9980,-0.1292,1.2046
162,1.9978,-0.0173,0.7922
163,1.9978,0.2131,0.2297
164,1.6460,0.4314,0.0640
165,-0.3408,0.6694,0.2764
166,-1.2605,0.6604,0.7844
167,-0.2043,0.3413,1.2563
168,1.5491,0.0828,1.3716
169,1.9978,-0.0549,1.5627
170,1.9978,-0.1938,1.5588
171,1.4846,-0.5212,1.3335
172,-0.3091,-0.4929,1.3149
173,-1.5593,-0.3359,0.8694
174,-1.7964,-0.3416,0.5054
175,-1.0085,-0.1345,0.4670
176,0.5225,0.3743,0.4866
177,1.6272,0.6187,0.5913
178,1.7505,0.9270,1.0437
179,1.0562,0.6223,1.1331
180,-0.2637,-0.0969,1.3687
181,-1.5613,-0.9644,1.5061
182,-1.9998,-1.2563,1.4446
183,-1.9998,-1.1873,1.1313
184,-1.9998,-0.6121,0.8696
185,-1.7778,0.2373,0.6460
186,-1.1597,0.6333,0.5547
187,-0.5083,0.8911,0.6919
188,0.1724,0.9436,0.7131
189,0.7798,0.5383,0.9651
190,0.9993,-0.0925,1.1069
191,0.8237,-0.5737,1.1819
192,0.5776,-0.5815,1.3547
193,-0.0100,-0.6602,1.1560
194,-0.5698,-0.3611,1.2300
195,-0.8579,0.1013,1.1421
196,-0.6196,0.1509,0.8647
197,-0.1428,0.4761,0.8755
198,0.4546,0.4094,0.6628
199,1.0562,0.2273,0.7112
200,1.2095,0.1233,0.6497
201,1.0725,0.1802,0.7642
202,0.6899,-0.0156,0.9250
203,0.1409,-0.3281,1.1724
204,-0.1104,-0.3940,1.4446
205,-0.0398,-0.4282,1.4319
206,0.1902,-0.3491,1.2639
207,0.3845,-0.2319,1.0913
208,0.4094,0.0469,0.9546
209,0.3042,0.3171,0.6809
210,-0.0220,0.5425,0.6128
211,-0.3994,0.4448,0.5786
212,-0.5847,0.3274,0.6575
213,-0.4187,0.0491,0.8860
214,-0.2065,-0.2859,1.1157
215,-0.0186,-0.5493,1.3079
216,-0.0120,-0.5012,1.3374
