Sample,X,Y,Z
0,-0.0693,-0.0088,0.9204
1,-0.0662,0.0049,0.9944
2,0.0254,0.0020,0.9670
3,0.0037,-0.0112,0.9868
4,0.0564,0.0190,1.0032
5,0.0720,-0.1072,0.9780
6,0.0334,-0.0493,1.0520
7,0.0291,-0.0681,0.9563
8,-0.0608,-0.0361,1.0000
9,-0.0837,0.0088,0.9631
10,-0.0994,0.0361,0.9387
11,-0.0806,0.0488,0.9536
12,0.0120,0.0256,0.9565
13,0.0544,-0.0068,0.9790
14,0.0754,0.0190,0.9839
15,0.0557,-0.0137,1.0188
16,0.0471,-0.0796,1.0120
17,-0.0127,-0.0020,1.0142
18,-0.0188,-0.0112,0.9702
19,-0.0732,-0.0588,0.9778
20,-0.0774,-0.0500,0.9819
21,-0.0747,0.0066,0.9446
22,-0.0737,0.0881,0.9670
23,0.0112,0.0249,0.9446
24,0.0879,-0.0515,0.9807
25,0.1216,-0.0032,0.9866
26,0.0928,-0.0186,0.9810
27,0.0437,-0.0610,1.0061
28,-0.0554,-0.0513,1.0034
29,-0.1394,-0.0356,0.9690
30,-0.1501,-0.0181,1.0022
31,-0.0938,-0.0361,0.9700
32,-0.0132,0.0088,0.9624
33,0.0720,0.1035,0.9771
34,0.1326,0.0571,0.9458
35,0.1311,0.0120,0.9907
36,0.0530,-0.0193,0.9868
37,-0.0420,-0.0652,0.9897
38,-0.1128,-0.0688,0.9954
39,-0.1604,-0.0625,0.9778
40,-0.0908,0.0020,0.9836
41,-0.0173,-0.0286,0.9622
42,0.0767,-0.0239,1.0012
43,0.1223,0.0034,0.9709
44,0.0874,0.0688,0.9819
45,0.0281,0.0386,0.9702
46,-0.0508,-0.0386,0.9856
47,-0.0391,-0.0229,0.9873
48,-0.1167,-0.0767,0.9673
49,-0.0479,-0.0359,0.9917
50,-0.0266,-0.0820,0.9739
51,-0.0090,0.0837,0.9954
52,0.0303,0.0410,0.9368
53,0.0635,0.0352,1.0171
54,0.0452,-0.0229,0.9622
55,0.0176,0.0205,0.9983
56,-0.0251,-0.0237,0.9885
57,-0.0771,-0.0793,0.9778
58,-0.0417,-0.0352,1.0120
59,-0.0139,-0.0530,0.9524
60,0.0356,-0.0212,0.9819
61,0.0615,-0.0427,0.9592
62,0.0032,0.0088,0.9829
63,-0.0454,0.0452,0.9722
64,-0.0720,0.0073,0.9648
65,-0.0791,0.0049,1.0159
66,0.0007,0.0100,0.9641
67,0.0540,-0.0408,0.9956
68,0.0723,-0.0156,0.9897
69,0.0608,-0.0320,0.9739
70,0.0237,0.0110,0.9934
71,-0.0730,-0.0466,0.9624
72,-0.0583,0.0127,1.0178
73,-0.0789,-0.0281,0.9292
74,-0.0635,0.0276,1.0054
75,0.0232,0.0234,0.9429
76,0.0469,-0.0496,0.9722
77,0.0603,0.0193,0.9927
78,0.0330,-0.0688,0.9661
79,0.0132,-0.0371,1.0168
80,-0.0681,-0.0879,0.9683
81,-0.0466,0.0393,1.0178
82,-0.0181,-0.0090,0.9263
83,-0.0232,0.1013,1.0122
84,0.0154,-0.0300,0.9465
85,0.0120,-0.1094,1.0112
86,-0.0071,0.0271,0.9963
87,-0.0010,0.0168,0.9341
88,0.0171,0.0249,1.0054
89,0.0085,-0.0232,0.9673
90,-0.0037,0.0085,0.9954
91,-0.0332,-0.0393,0.9563
92,-0.0654,-0.0085,1.0012
93,-0.0225,-0.0493,0.9543
94,-0.0146,-0.0261,1.0093
95,0.0518,0.0344,0.9839
96,0.0745,-0.0891,0.9446
97,0.0259,0.0081,1.0491
98,-0.0210,-0.0605,0.9319
99,-0.0825,-0.0310,1.0071
100,-0.0686,0.0662,0.9585
101,-0.0503,0.0107,0.9338
102,0.0017,0.0242,1.0083
103,0.0442,-0.0500,0.9702
104,0.0520,-0.0002,1.0015
105,0.0232,-0.0024,0.9829
106,0.0198,-0.0073,0.9924
107,0.0005,-0.0469,0.9915
108,-0.0227,0.0312,0.9827
109,-0.0613,-0.0388,0.9712
110,-0.0640,-0.0381,0.9827
111,-0.0725,-0.0386,0.9702
112,-0.0132,0.0513,0.9751
113,0.0413,-0.0403,0.9504
114,0.0613,-0.0330,1.0024
115,0.0542,-0.0342,0.9592
116,0.0056,0.0027,0.9905
117,-0.0227,0.0146,0.9836
118,-0.0508,-0.0691,0.9856
119,-0.0281,0.0081,1.0063
120,-0.0200,-0.0061,0.9602
121,0.0190,0.0291,0.9973
122,-0.0024,-0.0352,0.9719
123,0.0134,0.0156,0.9897
124,0.0022,0.0234,0.9534
125,-0.0249,0.0410,0.9846
126,-0.0071,-0.0469,0.9680
127,-0.0293,-0.0874,1.0161
128,-0.0266,-0.0190,0.9778
129,-0.0249,-0.0342,0.9465
130,-0.0264,-0.0027,1.0034
131,0.0325,-0.0308,0.9612
132,0.0444,-0.0122,0.9995
133,0.0203,0.0393,0.9661
134,0.0281,0.0015,0.9731
135,-0.0002,0.0205,0.9866
136,-0.0442,-0.0283,0.9729
137,-0.0483,-0.0454,1.0044
138,-0.0354,-0.1067,1.0012
139,-0.0229,0.0198,0.9866
140,-0.0325,0.0005,0.9558
141,0.0151,0.0679,0.9976
142,0.0293,-0.0134,0.9292
143,0.0164,0.0293,0.9983
144,0.0264,-0.0100,0.9553
145,-0.1523,-0.0454,1.0171
146,-0.5730,-0.1008,1.3743
147,-0.5347,-0.1667,1.0249
148,-0.1555,1.2651,0.6909
149,0.1733,1.9998,0.4045
150,0.5083,1.9998,-0.6445
151,0.2095,1.9998,0.2458
152,-0.2117,1.9998,0.5237
153,-0.9207,1.9998,1.1506
154,-1.0776,1.9998,1.9998
155,-0.6130,1.9998,1.9348
156,0.2168,1.9998,1.9998
157,0.8181,1.9998,1.9097
158,0.7219,1.9998,1.3198
159,0.1313,1.9998,0.8540
160,-0.7769,1.9998,0.2964
161,-1.4077,1.0317,0.0513
162,-1.3123,-0.5356,-0.0491
163,-0.4739,-0.8865,-0.0247
164,0.2075,-0.8276,-0.1362
165,0.5237,-0.4197,0.5210
166,0.5891,-0.1594,0.9429
167,0.2710,-0.3264,1.2405
