Sample,X,Y,Z
0,0.0251,0.0146,0.9761
1,0.0063,-0.0820,0.9663
2,0.0017,-0.0149,0.9973
3,-0.0256,-0.0032,0.9709
4,-0.0183,-0.0007,0.9631
5,-0.0452,-0.0513,0.9810
6,0.0156,-0.0022,1.0198
7,0.0244,-0.0503,0.9407
8,0.0259,0.0771,1.0093
9,0.0344,0.0342,0.9631
10,-0.0251,-0.1118,0.9907
11,-0.0684,-0.0161,1.0188
12,-0.0857,-0.0115,0.9543
13,-0.0432,-0.0188,0.9595
14,0.0205,0.0205,0.9788
15,0.0610,0.0513,0.9807
16,0.0852,-0.0579,0.9553
17,0.0283,0.0166,1.0181
18,-0.0220,-0.0278,0.9702
19,-0.0447,-0.0527,0.9868
20,-0.0925,-0.0649,1.0061
21,-0.0413,-0.0020,0.9985
22,-0.0081,-0.0093,0.9456
23,0.0076,0.0408,1.0022
24,0.0359,-0.0640,0.9370
25,0.0469,-0.0322,0.9917
26,0.0181,0.1301,0.9680
27,-0.0020,0.0007,0.9299
28,-0.0249,-0.0566,1.0217
29,-0.0706,-0.0603,1.0149
30,-0.0488,-0.0588,0.9761
31,-0.0227,0.0115,1.0005
32,0.0183,0.0640,0.9829
33,0.0693,-0.0693,0.9436
34,0.0476,0.0217,1.0139
35,0.0249,-0.0117,0.9407
36,-0.0369,-0.0042,0.9849
37,-0.0771,-0.0496,0.9644
38,-0.0864,-0.0210,0.9985
39,-0.0344,-0.0251,0.9692
40,0.0266,-0.0369,0.9788
41,0.0481,-0.0078,1.0100
42,0.0588,-0.0535,0.9526
43,0.0103,0.0491,1.0188
44,-0.0247,0.0625,0.9380
45,-0.0488,-0.0100,0.9897
46,-0.0618,0.0212,0.9934
47,-0.0190,-0.1028,0.9563
48,0.0183,0.0073,1.0249
49,0.0266,-0.0322,0.9312
50,0.0386,0.0251,1.0110
51,0.0227,-0.0413,0.9661
52,-0.0347,-0.0688,0.9966
53,-0.0544,-0.0095,0.9800
54,-0.0520,0.0234,0.9478
55,-0.0132,0.0547,0.9829
56,0.0161,-0.0422,0.9565
57,0.0342,-0.0422,1.0181
58,0.0332,0.0107,0.9751
59,0.0139,-0.0195,0.9761
60,-0.0305,-0.0144,1.0024
61,-0.0481,-0.0645,0.9885
62,-0.0513,-0.0237,0.9985
63,-0.0032,0.0435,0.9585
64,-0.0039,0.0486,0.9749
65,0.0300,-0.0540,0.9585
66,0.0452,-0.0549,0.9905
67,0.0188,0.0500,0.9856
68,-0.0090,-0.0400,0.9321
69,-0.0593,-0.0215,1.0259
70,-0.0713,-0.0510,0.9741
71,-0.0601,-0.0264,1.0073
72,0.0269,0.0320,0.9731
73,0.0566,-0.0227,0.9692
74,0.0625,0.0396,1.0022
75,0.0520,-0.0671,0.9243
76,-0.0500,0.0000,1.0317
77,-0.0627,0.0403,0.9480
78,-0.0588,-0.0413,0.9749
79,-0.0735,-0.0090,1.0012
80,0.0002,-0.0764,0.9709
81,0.0208,-0.0796,0.9897
82,0.0674,0.0549,0.9800
83,0.0498,0.0627,0.9768
84,0.0059,-0.0488,0.9685
85,-0.0391,-0.0259,0.9963
86,-0.0762,0.0085,0.9780
87,-0.0447,-0.0413,0.9485
88,-0.0010,0.0522,1.0103
89,0.0293,0.0066,0.9624
90,0.0786,-0.0400,0.9866
91,0.0146,-0.0103,1.0061
92,-0.0427,-0.0562,0.9719
93,-0.0601,-0.0864,0.9817
94,-0.0583,0.0273,0.9985
95,-0.0337,-0.0203,0.9585
96,0.0037,-0.0010,0.9897
97,0.0269,-0.0205,0.9436
98,0.0212,0.0352,0.9829
99,0.0623,0.0110,0.9534
100,0.0186,-0.0251,0.9897
101,-0.0193,0.0515,1.0210
102,-0.0168,-0.0637,0.9573
103,-0.0798,-0.0239,1.0278
104,-0.0520,0.0054,0.9702
105,0.0249,-0.0481,0.9807
106,0.0227,-0.0183,0.9836
107,0.0063,0.0156,0.9631
108,-0.0176,-0.0315,0.9595
109,-0.0571,-0.0166,0.9673
110,-0.0032,0.0334,0.9875
111,0.0281,-0.0327,0.9612
112,0.0269,-0.0769,0.9885
113,0.0457,-0.0295,1.0071
114,-0.0012,-0.0190,0.9817
115,-0.0403,0.0029,0.9817
116,-0.0393,0.0574,1.0024
117,-0.0452,-0.0591,0.9485
118,-0.0134,0.0125,1.0012
119,-0.0144,0.0586,0.9719
120,0.0291,-0.0361,0.9390
121,0.0234,0.0103,1.0239
122,0.0095,0.0115,0.9741
123,0.0337,-0.1184,0.9641
124,-0.0505,0.0208,1.0276
125,-0.0481,-0.0527,0.9387
126,-0.0486,-0.0642,0.9976
127,-0.0601,0.0522,1.0112
128,0.0374,-0.0388,0.9194
129,0.0618,-0.0483,1.0063
130,0.0754,0.1072,0.9751
131,0.0520,-0.1270,0.9419
132,-0.0396,0.0173,1.0405
133,-0.0723,0.0229,0.9485
134,-0.1072,0.0374,0.9709
135,-0.0396,-0.0117,0.9741
136,-0.0051,-0.0344,0.9966
137,0.0625,-0.0417,0.9934
138,0.0798,-0.0020,0.9771
139,0.0208,-0.0012,0.9944
140,0.0012,-0.0405,0.9712
141,-0.1062,-0.0642,0.9946
142,-0.0696,0.0139,0.9644
143,-0.0427,-0.0120,0.9565
144,0.0208,0.0515,0.9927
145,0.0747,-0.0784,0.9475
146,0.0684,-0.0400,1.0188
147,0.0454,-0.0034,0.9446
148,-0.0085,0.0723,0.9937
149,-0.0876,0.0303,0.9739
