Sample,X,Y,Z
0,-0.0273,-0.0129,0.9407
1,-0.0762,-0.0337,0.9849
2,-0.0859,-0.0308,0.9878
3,-0.0791,-0.0532,0.9905
4,0.0032,-0.0093,0.9946
5,0.0776,0.0088,0.9944
6,0.0684,-0.0051,0.9846
7,0.0210,-0.0569,0.9602
8,-0.0557,-0.0142,0.9739
9,-0.1218,0.0015,0.9417
10,-0.0818,0.0293,0.9719
11,-0.0444,0.0623,0.9670
12,0.0383,-0.0339,0.9475
13,0.0645,-0.0583,0.9778
14,0.1033,-0.0249,1.0125
15,0.0571,-0.0068,0.9973
16,-0.0364,-0.0664,0.9729
17,-0.0901,-0.0112,0.9897
18,-0.1152,-0.0205,0.9741
19,-0.1011,0.0625,0.9683
20,-0.0286,0.0488,0.9631
21,0.0176,0.0088,0.9700
22,0.1038,-0.0100,0.9866
23,0.0881,-0.0112,0.9810
24,0.0457,-0.0830,0.9709
25,-0.0188,-0.0625,1.0093
26,-0.1099,-0.0439,0.9807
27,-0.1294,-0.0430,0.9526
28,-0.0730,0.0117,0.9663
29,-0.0564,0.0781,0.9573
30,0.0459,0.0347,0.9509
31,0.0872,0.0691,1.0227
32,0.0574,0.0308,0.9849
33,0.0068,-0.0493,0.9702
34,-0.0098,-0.0806,0.9917
35,-0.0674,-0.0503,1.0042
36,-0.0461,-0.0701,0.9556
37,-0.0667,-0.0403,0.9915
38,-0.0332,-0.0278,0.9690
39,0.0042,-0.0220,0.9543
40,-0.0195,0.0664,0.9688
41,0.0139,0.0742,0.9478
42,0.0315,0.0405,0.9741
43,-0.0164,0.0115,0.9778
44,0.0195,-0.0371,0.9604
45,0.0217,-0.0168,1.0151
46,-0.0127,-0.0332,0.9797
47,-0.0068,-0.0852,0.9856
48,-0.0349,-0.0491,1.0229
49,-0.0830,-0.0754,0.9788
50,-0.0303,0.0142,0.9634
51,-0.0344,0.0527,0.9712
52,0.0198,0.0671,0.9282
53,0.0176,0.0659,0.9639
54,0.0159,0.0723,0.9614
55,-0.0303,-0.0706,0.9651
56,-0.0090,-0.1079,1.0071
57,-0.0139,-0.0776,1.0112
58,-0.0356,-0.0542,0.9839
59,-0.0620,0.0081,0.9819
60,-0.0073,0.0264,0.9976
61,0.0044,0.0540,0.9856
62,0.0078,0.0103,0.9448
63,0.0090,0.0334,1.0054
64,-0.0015,-0.0225,0.9595
65,0.0044,-0.0667,0.9800
66,-0.0374,-0.0344,0.9746
67,-0.0586,-0.0261,0.9761
68,-0.0417,0.0212,0.9788
69,-0.0288,-0.0215,0.9673
70,-0.0002,-0.0354,0.9824
71,-0.0134,-0.0271,0.9722
72,0.0237,0.0510,0.9819
73,0.0225,0.0017,0.9846
74,0.0193,-0.0061,0.9885
75,0.0310,0.0481,0.9653
76,-0.0127,0.0149,0.9487
77,-0.0415,-0.0627,0.9829
78,-0.0833,-0.0659,1.0083
79,-0.0754,-0.0205,0.9878
80,-0.0334,-0.0222,0.9653
81,0.0098,-0.0750,0.9797
82,0.0662,0.0293,0.9858
83,0.0635,0.0593,0.9478
84,0.0039,0.0476,0.9514
85,-0.0454,-0.0500,0.9614
86,-0.0823,-0.0105,0.9849
87,-0.0710,0.0410,0.9595
88,-0.0283,0.0115,0.9875
89,0.0217,-0.0247,1.0210
90,0.0513,-0.0723,1.0034
91,0.0430,-0.0933,0.9849
92,-0.0051,-0.0410,0.9973
93,-0.0410,-0.0095,0.9651
94,-0.0642,0.0200,0.9536
95,-0.0876,0.0974,0.9495
96,-0.0647,0.0637,0.9299
97,-0.0205,0.0488,0.9778
98,0.0300,-0.0010,0.9868
99,0.0725,-0.0505,0.9917
100,0.0735,-0.1284,1.0190
101,0.0337,-0.1069,1.0081
102,-0.0647,-0.0195,1.0308
103,-0.2449,0.1978,1.0190
104,-0.3430,0.5237,0.8997
105,-0.3672,0.8198,0.8149
106,-0.1514,1.0862,0.7546
107,0.1914,1.3108,0.8928
108,0.4331,1.5188,0.9661
109,0.5862,1.2915,0.9917
110,0.4089,1.1262,1.0237
111,0.0527,0.9778,1.0901
112,-0.2183,0.8872,1.0747
113,-0.4331,0.7534,1.0806
114,-0.4626,0.5779,1.0686
115,-0.0715,0.5200,0.9946
116,0.1992,0.6548,0.8550
117,0.4583,0.9702,0.9849
118,0.4612,0.9136,0.9536
119,0.2063,0.5151,0.8335
120,-0.0249,0.7798,0.8887
121,-0.3450,1.1379,0.7825
122,-0.5618,1.3450,0.8303
123,-0.4790,1.1245,0.8940
124,-0.1636,0.9380,1.0308
125,0.2007,1.0903,1.0913
126,0.4531,1.3098,1.0725
127,0.4849,1.2717,1.0686
128,0.3501,1.0222,1.0784
129,0.1064,0.8860,1.1145
130,-0.1846,1.0269,1.0327
131,-0.4048,0.9780,0.8784
132,-0.4116,0.8813,0.8833
133,-0.1958,0.7231,0.8667
134,0.0530,0.5103,0.8530
135,0.1414,0.5039,0.9858
136,0.2681,0.6531,0.9963
137,0.2661,0.5989,0.9182
138,0.2556,0.3809,0.9478
139,0.0623,0.1138,0.9768
140,-0.1887,0.6672,1.0657
141,-0.4075,0.7000,0.8118
142,-0.4053,0.7505,0.9614
143,-0.1074,0.7932,0.9583
144,0.2095,0.7932,0.9475
145,0.4683,0.8572,1.0823
146,0.3362,0.8110,1.0845
147,0.1201,0.5442,0.9543
148,-0.1619,0.6638,1.0481
149,-0.2815,1.0784,0.9358
150,-0.2661,0.8921,0.7915
151,-0.0308,0.7983,1.0435
152,0.0601,0.5483,0.8735
153,0.2058,0.8472,0.8813
154,0.2712,0.5618,0.9104
155,0.3882,-0.4507,1.1243
156,0.2815,-1.3191,1.3550
157,-0.1470,-1.0144,1.3208
158,-0.6580,-1.1509,0.8997
159,-1.0056,-1.0493,0.8831
160,-0.9751,-1.2546,0.7827
161,-0.5356,-1.2634,0.7993
162,-0.0918,-0.7517,1.0112
163,0.3811,-0.5603,0.8765
164,0.8013,-0.2812,1.0208
165,1.0239,0.1448,0.9563
166,0.8491,0.4875,0.8499
167,0.3071,0.8079,0.8420
168,-0.3989,1.1353,0.9458
169,-0.7839,1.2463,0.9944
170,-0.7410,1.1975,0.8938
171,-0.3816,1.4026,1.0774
172,0.2822,1.4465,1.1135
173,0.7688,1.1206,1.1841
174,0.9507,0.8811,1.1594
175,0.6655,0.6887,1.0256
176,-0.1016,0.0886,0.8306
177,-0.8296,-0.1130,1.0083
178,-1.1726,0.1135,1.1516
179,-0.8201,-0.6763,0.7776
180,-0.2659,-0.6262,0.9263
181,0.4280,-0.7317,0.7827
182,0.6956,-0.2764,0.9185
