Sample,X,Y,Z
0,-0.0400,0.0017,0.9338
1,-0.0242,-0.0564,0.9780
2,-0.0200,0.0281,0.9829
3,-0.0168,0.0544,0.9399
4,0.0159,0.0371,0.9905
5,0.0225,-0.0649,0.9749
6,0.0476,-0.0369,1.0122
7,0.0403,-0.0776,0.9729
8,-0.0298,-0.0376,1.0042
9,-0.0857,-0.0139,0.9729
10,-0.0693,-0.0042,0.9705
11,-0.0283,0.0369,0.9966
12,0.0310,-0.0364,0.9565
13,0.1021,-0.0107,0.9956
14,0.0688,0.0488,0.9585
15,-0.0342,0.0403,0.9734
16,-0.0386,0.0068,0.9790
17,-0.1033,-0.0596,0.9797
18,-0.0723,0.0061,0.9927
19,-0.0034,-0.0559,0.9602
20,0.0042,-0.0745,1.0229
21,0.0684,0.0012,0.9827
22,0.0801,-0.0100,0.9807
23,0.0510,0.1003,0.9858
24,-0.0229,-0.0518,0.9309
25,-0.0420,-0.0537,1.0171
26,-0.0703,-0.0242,0.9487
27,-0.0730,0.0452,0.9729
28,-0.0347,0.0125,0.9583
29,-0.0215,-0.0439,1.0139
30,0.0312,-0.0576,0.9849
31,0.0166,-0.0547,0.9888
32,0.0588,0.0515,0.9946
33,0.0566,0.0010,0.9465
34,0.0142,0.0676,1.0178
35,-0.0186,-0.0339,0.9438
36,-0.0469,-0.0349,1.0151
37,-0.0649,0.0032,0.9556
38,-0.0437,-0.0015,0.9563
39,0.0117,0.0278,1.0054
40,0.0276,-0.0491,0.9487
41,0.0090,-0.0417,1.0171
42,0.0049,-0.0168,0.9778
43,-0.0334,-0.0740,0.9768
44,-0.0410,0.0107,1.0034
45,0.0027,0.0139,0.9426
46,0.0044,0.0308,0.9758
47,0.0391,0.0618,0.9729
48,0.0254,-0.0757,0.9729
49,0.0042,-0.0271,1.0044
50,-0.0503,0.0032,0.9758
51,-0.0671,0.0144,0.9939
52,-0.0249,-0.0034,0.9719
53,-0.0332,-0.0264,0.9954
54,0.0244,-0.0332,0.9819
55,0.0449,-0.0156,0.9749
56,0.0183,0.0215,0.9800
57,0.0103,0.0178,0.9475
58,0.0210,-0.0195,0.9839
59,-0.0281,-0.0256,0.9751
60,-0.0349,-0.0393,0.9790
61,-0.0686,0.0034,0.9946
62,-0.0486,-0.0151,0.9875
63,0.0000,-0.0002,0.9963
64,0.0115,-0.0032,0.9741
65,0.0657,0.0381,0.9810
66,0.0471,-0.0212,0.9624
67,-0.0120,-0.0271,1.0032
68,-0.0132,-0.0728,0.9729
69,-0.0422,0.0073,0.9888
70,-0.0518,0.0339,0.9641
71,-0.0208,-0.0129,0.9731
72,-0.0046,-0.0332,0.9878
73,0.0002,0.0259,0.9810
74,0.0227,0.0012,0.9741
75,0.0259,0.0159,0.9963
76,-0.0203,0.0298,0.9790
77,-0.0552,-0.0310,0.9927
78,-0.0132,-0.0625,0.9946
79,-0.0037,-0.0872,0.9944
80,0.0325,0.0171,0.9761
81,0.0378,-0.0188,0.9651
82,0.0232,0.0532,0.9849
83,-0.0200,-0.0168,0.9497
84,-0.0679,0.0288,0.9917
85,-0.0496,-0.0415,0.9651
86,-0.0466,0.0122,0.9927
87,-0.0090,0.0144,0.9644
88,0.0125,0.0469,0.9868
89,0.0466,-0.0725,1.0071
90,0.0715,-0.0908,1.0122
91,0.0684,-0.0027,0.9849
92,-0.0559,0.0305,0.9585
93,-0.0657,0.0278,0.9680
94,-0.1262,-0.0757,0.9709
95,-0.0769,0.0374,0.9934
96,-0.0010,-0.0110,0.9399
97,0.0444,0.0229,1.0081
98,0.1311,-0.0120,0.9575
99,0.0667,-0.0127,1.0034
100,0.0583,0.0049,1.0024
101,-0.0325,-0.1226,0.9817
102,-0.1011,0.0210,1.0229
103,-0.1101,0.0015,0.9302
104,-0.1050,0.0178,1.0110
105,-0.0349,0.0037,0.9436
106,0.0420,-0.0156,0.9631
107,0.0925,0.0540,0.9800
108,0.1086,0.0090,0.9644
109,0.0537,-0.0439,1.0083
110,-0.0107,-0.0620,0.9849
111,-0.0901,-0.0334,1.0005
112,-0.1196,-0.0178,0.9690
113,-0.0710,-0.0012,0.9729
114,-0.0059,-0.0281,0.9700
115,0.0771,-0.0056,0.9895
116,0.0864,0.0159,0.9788
117,0.0437,0.0371,0.9700
118,-0.0242,0.0330,0.9817
119,-0.0872,0.0288,0.9729
120,-0.0720,-0.0442,0.9700
121,-0.0332,-0.0391,1.0090
122,0.0107,-0.0513,0.9739
123,0.0464,-0.0149,1.0005
124,0.0518,0.0024,0.9661
125,0.0391,-0.0337,0.9673
126,-0.1992,-0.0254,1.0503
127,-0.5015,-0.1689,1.2144
128,-0.5193,0.1113,0.8850
129,-0.3162,1.5015,0.7161
130,-0.0344,1.9998,0.3149
131,0.2119,1.9998,0.1194
132,0.1194,1.9998,0.7700
133,-0.0051,1.9998,0.7378
134,-0.2844,1.9998,1.5168
135,-0.2017,1.9729,1.7336
136,0.0503,1.4702,1.6255
137,0.3284,1.8884,1.6675
138,0.3801,1.9998,1.2134
