Sample,X,Y,Z
0,0.0254,0.0068,0.9583
1,0.0139,-0.0493,0.9644
2,0.0425,-0.0117,1.0081
3,0.0090,-0.0776,0.9631
4,-0.0037,0.0085,1.0295
5,-0.0093,-0.0754,0.9348
6,-0.0852,0.0488,1.0107
7,-0.0415,0.0374,0.9448
8,-0.0237,-0.0220,0.9739
9,0.0237,-0.0142,0.9993
10,0.0569,-0.0266,0.9563
11,0.0488,0.0295,0.9934
12,0.0208,0.0271,0.9741
13,-0.0342,-0.1011,0.9868
14,-0.0701,-0.0825,1.0229
15,-0.0532,0.0518,0.9565
16,-0.0535,-0.0139,0.9614
17,0.0042,0.0300,0.9983
18,0.0476,-0.0603,0.9534
19,0.0388,-0.0078,1.0161
20,0.0610,-0.0242,0.9534
21,0.0007,0.0125,0.9839
22,-0.0298,0.0359,0.9836
23,-0.0461,-0.0061,0.9690
24,-0.0930,-0.0823,0.9993
25,-0.0371,-0.0212,0.9937
26,0.0100,-0.0283,0.9614
27,0.0576,0.0325,0.9941
28,0.0852,0.0210,0.9683
29,0.0439,-0.0688,0.9915
30,-0.0222,-0.0430,0.9758
31,-0.0874,0.0161,0.9731
32,-0.0864,0.0212,0.9702
33,-0.0391,0.0056,0.9729
34,0.0002,-0.0166,1.0073
35,0.0703,-0.0469,0.9722
36,0.0740,-0.0339,0.9836
37,0.0400,0.0291,0.9819
38,-0.0200,-0.0005,0.9817
39,-0.0640,-0.0332,1.0015
40,-0.0793,-0.0425,0.9729
41,-0.0544,0.0393,1.0002
42,0.0017,-0.0088,0.9241
43,0.0090,-0.0635,1.0054
44,0.0610,-0.0276,1.0015
45,0.0520,-0.0916,0.9370
46,0.0120,0.1021,1.0239
47,0.0129,0.0386,0.9058
48,-0.0613,-0.1008,0.9993
49,-0.0464,0.0208,1.0188
50,-0.0500,-0.0535,0.9583
51,-0.0164,0.0471,1.0198
52,-0.0044,0.0522,0.9468
53,0.0242,-0.0303,0.9907
54,0.0627,-0.1404,0.9797
55,0.0132,0.0103,1.0168
56,-0.0022,0.0391,0.9397
57,-0.0391,0.0100,0.9771
58,-0.0637,-0.0344,0.9751
59,-0.0330,-0.0669,0.9800
60,0.0134,-0.0149,0.9956
61,0.0183,0.0076,0.9680
62,0.0134,-0.0007,0.9817
63,0.0188,-0.0403,0.9790
64,-0.0198,0.0024,0.9846
65,-0.0156,-0.0374,0.9709
66,-0.0305,0.0137,0.9980
67,-0.0247,-0.0085,0.9597
68,-0.0039,0.0222,0.9885
69,0.0042,-0.0549,0.9800
70,0.0029,0.0261,0.9966
71,0.0063,-0.0088,0.9534
72,0.0015,-0.0120,1.0044
73,0.0059,-0.0662,0.9683
74,-0.0205,-0.0146,0.9924
75,-0.0020,0.0115,0.9614
76,-0.0203,-0.0332,0.9768
77,-0.0125,-0.0220,0.9944
78,-0.0122,-0.0491,0.9573
79,0.0015,0.0125,0.9985
80,0.0229,-0.0076,0.9673
81,-0.0325,-0.0098,0.9758
82,-0.0090,0.0400,0.9868
83,0.0029,0.0261,0.9729
84,-0.0071,-0.0437,0.9939
85,-0.0100,-0.0544,0.9817
86,-0.0208,-0.0430,1.0024
87,-0.0029,-0.0137,0.9729
88,-0.0234,0.0120,0.9712
89,0.0085,0.0168,0.9807
90,0.0142,-0.0378,0.9692
91,-0.0005,-0.0454,0.9817
92,-0.0073,-0.0120,0.9707
93,-0.0291,0.0107,0.9790
94,-0.0081,0.0071,0.9778
95,-0.0151,-0.0100,0.9836
96,-0.0278,-0.0129,0.9849
97,0.0208,-0.0271,0.9690
98,0.0181,-0.0098,0.9956
99,0.0269,-0.0178,0.9946
100,0.0112,-0.0444,0.9907
101,-0.0330,-0.0093,1.0046
102,-0.0317,0.0181,0.9360
103,-0.0559,-0.0127,0.9749
104,-0.0327,-0.0100,0.9888
105,0.0186,-0.0745,0.9670
106,0.0193,0.0046,0.9963
107,0.0508,0.0940,0.9478
108,0.0181,0.0015,0.9712
109,-0.0071,-0.0750,1.0061
110,-0.0237,-0.0886,1.0071
111,-0.0588,-0.0088,0.9915
112,-0.0481,0.0581,0.9712
113,-0.0066,0.0081,0.9751
114,0.0095,-0.0698,0.9807
115,0.0396,-0.0088,0.9790
116,0.0200,-0.0083,0.9478
117,0.0061,0.0173,0.9736
118,0.0166,-0.0115,0.9846
119,-0.0405,-0.0649,0.9907
120,-0.0303,-0.0432,0.9961
121,-0.0217,0.0081,0.9829
122,-0.0381,0.0029,0.9807
123,0.0220,0.0295,0.9683
124,0.0122,-0.0708,0.9946
125,0.0205,0.0310,1.0022
126,0.0010,-0.0061,0.9270
127,-0.0322,0.0232,1.0112
128,0.0166,-0.0413,0.9487
129,-0.0059,-0.0671,0.9976
130,-0.0088,0.0139,1.0012
131,-0.0037,-0.0273,0.9436
132,-0.0349,0.0110,1.0112
133,-0.0139,0.0137,0.9565
134,0.0024,-0.0994,0.9866
135,0.0229,-0.0229,0.9995
136,-0.0125,0.0520,0.9622
137,-0.0100,0.0212,0.9739
138,-0.0142,-0.0381,0.9758
139,-0.0142,-0.0315,0.9976
140,0.0024,-0.0364,0.9700
141,-0.0105,0.0264,0.9771
142,-0.0020,0.0225,0.9866
143,-0.0081,-0.0256,0.9680
144,-0.0115,-0.0432,1.0081
145,0.0061,0.0500,0.9702
146,-0.0073,-0.0649,0.9573
147,-0.0168,0.0371,1.0308
148,-0.0127,-0.0867,0.9241
149,-0.0098,-0.0251,1.0286
150,-0.0024,-0.0303,0.9602
151,-0.0198,-0.0264,0.9626
152,0.0029,0.0427,0.9907
153,-0.0027,0.0654,0.9543
154,0.0098,-0.0674,0.9612
155,-0.0017,0.0142,1.0208
156,0.0129,-0.0486,0.9670
157,-0.0059,-0.0007,0.9924
158,-0.0068,0.0259,0.9944
159,-0.0266,-0.0288,0.9849
160,-0.0186,-0.1104,0.9778
161,-0.0127,0.0137,1.0063
162,-0.0166,-0.0430,0.9465
163,-0.0005,0.0305,0.9712
164,-0.0068,0.0405,0.9731
165,0.0154,-0.0073,0.9683
166,0.0195,-0.0776,0.9702
167,-0.0254,0.0349,1.0129
168,0.0129,-0.0310,0.9504
169,-0.0076,-0.0352,1.0259
170,-0.0029,0.0193,0.9836
171,-0.0291,-0.0417,0.9751
172,-0.0242,-0.0088,0.9915
173,-0.0261,-0.0383,0.9565
174,-0.0164,-0.0115,0.9983
175,0.0339,0.0154,0.9583
176,0.0271,0.0156,0.9758
177,0.0508,-0.0056,0.9810
178,-0.0085,-0.0269,0.9709
179,-0.0442,-0.0239,0.9817
180,-0.0505,-0.0527,0.9998
181,-0.0752,-0.0242,0.9929
182,-0.0090,0.0083,0.9722
183,0.0212,0.0461,0.9873
184,0.0686,-0.0117,0.9709
185,0.0625,-0.0786,0.9885
186,0.0120,0.0090,1.0022
187,-0.0222,0.0503,0.9419
188,-0.0688,-0.0017,0.9827
189,-0.0747,-0.0432,0.9858
190,-0.0239,-0.0869,0.9885
191,0.0134,-0.0215,1.0122
192,0.0356,-0.0181,0.9338
193,0.0347,0.0303,1.0068
194,0.0171,0.0146,0.9663
195,-0.0251,-0.0503,0.9700
196,-0.0242,0.0269,1.0229
197,-0.0505,-0.0093,0.9280
198,-0.0122,0.0293,0.9973
199,0.0242,0.0432,0.9709
200,0.0293,-0.1216,0.9875
201,0.0459,-0.0447,1.0190
202,-0.0151,-0.0444,0.9673
203,-0.0417,0.0405,0.9829
204,-0.0544,-0.0276,0.9360
205,-0.0613,0.0146,1.0093
206,-0.0164,-0.0386,0.9456
207,0.0095,0.0403,1.0042
208,0.0364,0.0144,0.9634
209,0.0425,-0.0872,0.9739
210,0.0713,-0.0037,1.0208
211,0.0317,0.0059,0.9517
212,-0.0247,0.0178,0.9846
213,-0.0835,0.0278,0.9771
214,-0.0991,-0.0708,0.9846
215,-0.0591,-0.0493,0.9934
