Sample,X,Y,Z
0,-0.0203,-0.0032,0.9500
1,-0.0347,0.0278,0.9761
2,-0.0203,-0.0054,0.9739
3,-0.0129,-0.0203,0.9780
4,0.0117,0.0200,0.9875
5,0.0286,-0.0154,0.9810
6,-0.0061,-0.0825,1.0054
7,0.0081,-0.0637,0.9973
8,-0.0278,-0.0137,0.9653
9,-0.0657,0.0425,0.9819
10,0.0049,0.0142,0.9553
11,0.0120,-0.0588,0.9731
12,0.0063,0.0769,1.0015
13,0.0601,-0.0371,0.9380
14,0.0032,-0.0054,1.0347
15,-0.0195,-0.0010,0.9661
16,-0.0696,-0.0312,0.9673
17,-0.0835,-0.0408,1.0044
18,-0.0105,-0.0493,0.9780
19,0.0208,-0.0381,0.9673
20,0.0491,0.0618,0.9888
21,0.0630,0.0356,0.9504
22,0.0317,-0.0601,0.9788
23,-0.0288,0.0676,1.0061
24,-0.0623,-0.0378,0.9380
25,-0.0674,-0.0298,1.0198
26,-0.0391,-0.0447,0.9700
27,0.0129,-0.0122,1.0034
28,0.0500,-0.0112,0.9790
29,0.0498,-0.0608,0.9700
30,0.0200,-0.0388,0.9861
31,-0.0303,-0.0496,0.9553
32,-0.0759,0.0432,1.0002
33,-0.0444,-0.0151,0.9426
34,-0.0178,0.0234,1.0061
35,0.0203,-0.0037,0.9556
36,0.0503,0.0125,0.9836
37,0.0688,-0.0254,0.9839
38,0.0002,-0.0549,0.9944
39,-0.0425,-0.0063,1.0090
40,-0.0737,-0.0347,0.9683
41,-0.0691,0.0461,1.0090
42,-0.0046,-0.0303,0.9338
43,0.0271,-0.0288,1.0068
44,0.0647,0.0085,0.9546
45,0.0403,-0.0505,0.9673
46,-0.0010,0.0432,0.9993
47,-0.0159,-0.0017,0.9282
48,-0.0442,0.0371,1.0208
49,-0.0239,-0.0488,0.9514
50,-0.0459,-0.0647,1.0159
51,0.0015,-0.0383,0.9875
52,-0.0088,0.0010,0.9739
53,-0.0015,0.0454,0.9858
54,0.0393,-0.0190,0.9683
55,0.0168,0.0139,0.9915
56,0.0190,0.0410,0.9568
57,-0.0049,-0.0027,0.9700
58,-0.0332,-0.1255,0.9868
59,-0.0430,-0.0244,1.0024
60,-0.0327,-0.0637,0.9495
61,-0.0261,0.0315,1.0071
62,0.0295,-0.0352,0.9534
63,0.0173,-0.0229,0.9985
64,0.0061,-0.0112,0.9712
65,-0.0073,0.0029,0.9702
66,-0.0171,0.0251,0.9839
67,-0.0117,0.0400,0.9700
68,0.0068,-0.0122,0.9824
69,0.0085,-0.0227,0.9917
70,0.0093,-0.0410,0.9927
71,-0.0212,-0.0464,0.9946
72,-0.0161,-0.0500,0.9790
73,-0.0332,0.0222,0.9958
74,0.0063,0.0295,0.9390
75,-0.0049,0.0356,0.9829
76,0.0176,0.0098,0.9644
77,-0.0146,-0.0469,0.9751
78,-0.0100,-0.0383,0.9973
79,-0.0193,-0.0598,0.9807
80,0.0049,0.0051,1.0015
81,0.0266,-0.0085,0.9612
82,-0.0027,0.0264,0.9934
83,0.0105,-0.0308,0.9690
84,-0.0547,-0.0208,0.9993
85,-0.0391,-0.0076,0.9731
86,-0.0046,0.0457,0.9819
87,0.0066,-0.0083,0.9702
88,0.0247,-0.0039,0.9819
