Sample,X,Y,Z
0,0.0103,0.0054,1.0149
1,0.0315,-0.0334,0.9631
2,-0.0039,-0.0642,1.0024
3,-0.0042,-0.0547,1.0188
4,-0.0142,-0.0454,0.9546
5,-0.0593,-0.0310,0.9846
6,-0.0049,0.0125,0.9731
7,-0.0251,0.0002,0.9524
8,0.0012,0.0500,0.9651
9,0.0493,0.0198,0.9519
10,0.0085,0.0239,1.0198
11,0.0337,-0.0652,0.9702
12,-0.0068,-0.0098,1.0396
13,-0.0662,0.0181,0.9915
14,-0.0352,-0.0676,0.9670
15,-0.0393,-0.0110,1.0454
16,-0.0215,-0.0635,0.9214
17,0.0200,0.0044,0.9841
18,0.0391,0.0181,0.9424
19,0.0220,-0.0110,0.9397
20,0.0364,0.0398,0.9934
21,-0.0095,-0.0452,0.9653
22,-0.0303,0.0627,1.0005
23,-0.0325,-0.0381,0.9778
24,-0.0583,-0.0171,1.0422
25,-0.0105,-0.0884,0.9790
26,0.0000,0.0117,1.0400
27,0.0266,-0.0303,0.9507
28,0.0127,-0.0720,0.9875
29,-0.0037,-0.0251,0.9702
30,-0.0222,-0.0427,0.9282
31,-0.0132,0.1235,0.9839
32,-0.0388,-0.0374,0.9163
33,0.0100,0.0320,1.0200
34,0.0500,-0.0505,0.9634
35,0.0059,-0.0015,1.0081
36,0.0203,-0.0420,1.0054
37,-0.0161,-0.0188,1.0229
38,-0.0515,-0.0500,0.9978
39,-0.0354,-0.0212,0.9944
40,-0.0474,-0.0356,0.9614
41,-0.0139,-0.0139,0.9673
42,0.0344,0.0339,0.9487
43,0.0291,0.0371,0.9585
44,0.0571,0.0698,0.9573
45,-0.0085,-0.0256,0.9622
46,-0.0220,-0.0105,1.0178
47,-0.0457,-0.1016,0.9719
48,-0.0427,-0.0012,1.0454
49,-0.0142,-0.0828,0.9771
50,0.0103,-0.0037,1.0190
51,0.0320,-0.0330,0.9729
52,0.0022,0.0300,0.9624
53,0.0049,0.0137,0.9624
54,-0.0234,0.0034,0.9612
55,-0.0139,0.0349,0.9749
56,0.0034,-0.0474,0.9612
57,-0.0146,-0.0049,1.0032
58,0.0068,-0.0579,0.9631
59,-0.0020,-0.0605,1.0190
60,-0.0068,-0.0388,0.9976
61,-0.0022,-0.0095,0.9817
62,-0.0046,-0.0129,0.9810
63,-0.0322,-0.0391,0.9771
64,-0.0139,0.0339,0.9702
65,-0.0063,-0.0244,0.9507
66,0.0095,0.0825,1.0149
67,0.0239,-0.0452,0.9194
68,0.0127,-0.0178,1.0149
69,0.0071,-0.0259,0.9797
70,-0.0205,-0.0315,0.9622
71,-0.0334,-0.0261,1.0278
72,-0.0415,-0.0413,0.9700
73,-0.0256,-0.0151,0.9976
74,0.0032,0.0032,0.9761
75,0.0217,0.0723,0.9673
76,0.0430,-0.0164,0.9680
77,0.0344,0.0103,0.9956
78,0.0120,-0.0227,0.9543
79,-0.0388,-0.0129,0.9944
80,-0.0481,-0.0330,0.9758
81,-0.0337,-0.0659,0.9885
82,-0.0527,-0.0349,1.0110
83,0.0002,-0.0203,0.9419
84,0.0181,-0.0203,0.9983
85,0.0103,-0.0068,0.9839
86,0.0327,-0.0034,0.9575
87,0.0234,0.0398,1.0051
88,0.0044,0.0161,0.9478
89,-0.0076,-0.0186,0.9690
90,-0.0151,-0.0527,0.9995
91,-0.0234,-0.0437,0.9858
92,-0.0249,-0.0500,0.9858
93,-0.0154,0.0193,0.9976
94,-0.0068,-0.0566,0.9661
95,-0.0215,-0.0117,1.0005
96,0.0071,-0.0107,0.9595
97,0.0010,0.0554,0.9722
98,0.0369,0.0220,0.9592
99,0.0308,-0.0430,0.9810
100,-0.0056,-0.0166,0.9993
101,0.0059,-0.0630,0.9517
102,0.0591,0.0281,1.0002
103,0.3184,0.0117,0.9456
104,0.5093,-0.1138,1.0276
105,0.7505,-0.1890,1.0959
106,0.8557,-0.6160,1.0513
107,0.8752,-0.6326,1.1636
108,0.8306,-0.7134,0.9729
109,0.5942,-0.6069,0.9661
110,0.3835,-0.5310,0.8804
111,0.0623,-0.5127,0.8274
112,-0.2625,-0.4290,0.8938
113,-0.3306,-0.5251,0.8384
114,-0.2744,-0.4563,0.9719
115,-0.0393,-0.4412,1.0044
116,0.3188,-0.3882,1.0598
117,0.5662,-0.4883,1.1653
118,0.7778,-0.4937,1.1750
119,0.8997,-0.5291,1.1108
120,0.9182,-0.3176,1.0981
121,0.9924,-0.2000,0.9312
122,1.0422,-0.1716,0.9282
123,1.0942,-0.2979,0.8879
124,1.0298,-0.4302,0.8987
125,0.8130,-0.5854,0.8801
126,0.4495,-0.6140,0.9272
127,0.1233,-0.5378,0.9536
128,-0.1304,-0.6189,0.9995
129,-0.3118,-0.6079,1.0872
130,-0.2075,-0.7771,1.0649
131,0.0415,-0.8152,1.0771
132,0.3127,-0.7449,1.0464
133,0.6165,-0.5085,0.9888
134,0.7502,-0.5242,0.9375
135,0.8235,-0.2344,0.9507
136,0.6907,-0.2908,0.8286
137,0.5786,-0.0535,0.9543
138,0.5513,0.1379,0.9084
139,0.4507,0.2615,1.0002
140,0.4360,-0.1274,1.0754
141,0.3474,-0.7000,1.1841
142,0.4045,-0.8074,1.2261
143,0.3364,-0.7710,1.0676
144,0.1970,-0.2102,1.0200
145,0.1282,0.0664,0.8169
146,0.0637,0.2437,0.8599
147,0.1155,0.1577,0.8267
148,0.3567,-0.5393,0.8413
149,0.4641,-0.8738,1.1060
150,0.7034,-0.7048,0.9966
151,0.7500,-0.3757,0.9856
152,0.4956,-0.1086,1.1438
153,0.1716,-0.3599,1.0364
154,-0.2896,-0.5754,1.1245
155,-0.7310,-0.6672,0.9673
156,-0.9839,-0.1917,0.8394
157,-1.0964,0.3083,0.7454
158,-0.9673,1.1294,0.7749
159,-0.5945,1.3459,0.7126
160,-0.2637,1.0278,0.9712
161,0.2449,0.5073,1.1353
162,0.7209,0.0317,1.2866
163,0.9602,-0.0430,1.4165
164,1.0940,0.0300,1.2056
165,0.8274,0.3005,1.2290
166,0.5095,0.0056,0.9351
167,0.3176,0.3105,0.8550
168,0.0156,0.2600,0.6887
169,-0.0820,-0.0698,0.6968
170,-0.1360,-0.7637,0.7620
171,-0.2866,-0.8406,0.8940
172,-0.1882,-0.6978,0.8723
173,-0.2739,-0.8308,0.9917
174,-0.2957,-0.7625,1.2065
175,-0.2363,-0.9810,1.1008
176,-0.2014,-0.8630,1.1948
177,-0.0430,-0.7712,1.0581
178,0.0605,-0.5300,1.0259
179,0.2969,-0.0500,0.9768
180,0.4019,0.4753,0.8313
181,0.2373,0.7971,0.7961
182,0.2664,0.7063,0.7747
183,0.1589,0.6685,0.9761
184,0.1616,0.5500,0.9856
185,0.1389,0.2913,1.0393
186,-0.0562,0.3511,1.1831
187,-0.0903,0.4153,1.0090
188,-0.2864,0.4153,1.0725
189,-0.4099,0.4143,1.1194
190,-0.3716,0.0261,0.9458
191,-0.4341,-0.0762,1.0737
192,-0.2576,0.1401,0.8853
193,-0.1370,0.1553,0.8608
194,-0.0081,0.2476,0.9692
195,0.1655,-0.0071,0.8489
196,0.2085,-0.2666,1.0159
197,0.2903,-0.7395,0.9692
198,0.2061,-0.9282,1.0686
199,0.1028,-0.8823,1.0334
200,0.0005,-0.5701,0.9399
201,-0.3335,-0.0017,0.9263
202,-0.4202,0.2043,0.7874
203,-0.3232,0.2512,0.9202
204,-0.1641,0.1968,0.9907
205,0.1836,0.2046,1.0073
206,0.3442,0.2083,1.0588
207,0.3677,0.2849,1.0569
208,0.4111,0.1038,1.0481
209,0.2937,-0.0229,1.1606
210,0.2681,-0.0747,1.0803
211,0.2375,-0.2234,1.0054
212,0.1594,-0.2175,0.9341
213,0.0901,-0.0688,0.8118
214,-0.1680,0.1201,0.8384
215,-0.3726,0.3638,0.8657
216,-0.4778,0.3528,0.8430
217,-0.6501,0.2051,0.9949
218,-0.4500,-0.1592,1.0315
219,-0.1401,-0.4993,1.1543
220,0.1748,-0.5386,1.2258
221,0.4045,-0.5312,1.0854
222,0.3340,-0.3269,1.0649
223,0.3135,-0.0632,0.9185
224,0.1277,0.1973,0.8589
225,-0.0264,0.3013,0.8599
226,-0.1416,0.3323,0.8352
227,-0.2363,0.3628,0.8438
228,-0.1707,0.3655,0.8918
229,-0.2068,0.3577,0.9905
230,-0.1516,0.1504,1.0491
231,-0.0159,-0.1313,1.1760
232,-0.0342,-0.2925,1.1975
233,0.0554,-0.3169,1.0833
234,0.1682,-0.2288,1.0649
235,0.1526,-0.0261,0.9888
236,0.2812,0.0754,0.8618
237,0.1506,0.1624,0.9075
238,0.0671,0.2544,0.7905
239,-0.0649,-0.0293,0.8218
240,-0.2031,-0.0544,0.9761
241,-0.1895,-0.1387,0.9133
242,-0.2803,-0.1453,1.0747
243,-0.1951,-0.3225,1.0706
244,-0.0364,-0.4292,1.0891
245,0.1023,-0.3865,1.1509
246,0.1675,-0.1484,1.0325
247,0.1653,-0.1682,0.8582
248,0.0950,-0.1123,0.9419
249,0.1260,0.7097,0.8508
250,0.0696,0.8420,0.7141
251,-0.0322,0.3091,0.9719
252,0.0193,-0.4517,1.0393
253,-0.0093,-0.5193,1.1450
254,-0.0217,-0.2815,1.0649
255,-0.0706,-0.0330,1.1038
256,-0.1467,0.1648,1.1079
257,-0.1165,0.2349,1.0103
258,-0.1035,0.3208,0.9858
259,0.0718,-0.0193,0.8792
260,0.0986,-0.1753,0.9797
261,0.1392,0.0510,0.8997
262,0.0981,0.1831,0.8345
263,-0.0981,0.2192,0.9209
264,-0.1558,-0.0220,0.8921
265,-0.1929,-0.0974,1.0576
266,-0.0991,-0.1396,1.0649
267,0.0642,-0.3506,1.0842
268,0.0999,-0.3931,1.1956
269,0.1384,-0.3101,0.9797
270,0.0740,0.0623,1.0178
271,-0.1082,0.3342,0.8958
272,-0.1873,0.2361,0.7825
273,-0.1448,0.1045,0.9526
274,-0.0508,-0.2131,0.8315
275,0.1616,-0.2178,0.9722
276,0.2710,-0.0774,1.0012
277,0.1726,0.1191,0.9927
278,0.0403,0.2380,1.0659
279,-0.1968,0.1782,1.0244
280,-0.2332,0.0657,1.0872
281,-0.2261,-0.1394,1.0884
282,-0.0886,-0.1826,1.0569
283,0.1104,-0.1265,0.9983
284,0.1621,0.1177,0.9067
285,0.1453,0.1306,0.8176
286,0.0676,0.1729,0.9468
287,0.0540,-0.1404,0.8940
288,-0.0427,-0.0798,1.0015
289,-0.0745,-0.0737,0.9241
290,-0.0115,-0.0857,0.9536
291,-0.0410,0.1272,1.0637
292,-0.0181,0.1135,0.9653
293,0.0166,-0.1611,1.0620
294,-0.0889,-0.3657,1.1057
295,-0.0923,-0.3875,0.9634
296,-0.0613,-0.1855,1.0188
297,-0.0754,0.1472,0.9556
298,0.0398,0.1279,0.8784
299,0.0964,0.1443,0.9739
300,0.1772,0.1790,0.8792
301,0.1897,0.1191,0.9331
302,0.0342,0.0649,0.9846
303,-0.0288,0.0176,0.9739
304,-0.2173,-0.0466,1.0483
305,-0.1892,-0.0837,0.9858
306,-0.1707,0.0132,1.0569
307,-0.0896,0.1826,1.0354
308,0.0942,-0.0203,0.9780
309,0.1382,-0.0151,1.0833
310,0.1431,-0.1226,0.8909
311,0.0703,0.0159,0.9680
312,0.0442,0.1033,0.9192
313,-0.0061,0.0298,0.8772
314,-0.0559,0.0808,0.9780
315,-0.1116,-0.3179,0.7737
316,-0.0947,-0.2546,1.0493
317,-0.0828,0.1697,1.0364
318,-0.0803,0.0161,0.9546
319,-0.0908,-0.2634,1.2144
320,-0.0298,-0.4907,1.0676
321,-0.0044,-0.1846,1.0725
322,0.0518,0.2068,0.9631
323,0.0381,0.2656,0.8950
324,0.0549,0.2327,0.9270
325,0.0146,0.2227,0.8345
326,0.0283,0.2600,0.8723
327,0.0686,-0.0427,0.9165
328,0.0095,-0.1179,1.0269
329,0.1016,0.0474,1.0132
330,-0.0132,0.1858,1.0374
331,-0.0332,0.0681,1.0559
332,-0.0063,-0.3330,1.1038
333,-0.0435,-0.4468,1.1477
334,0.0891,-0.1819,1.0271
335,0.0034,0.0498,0.8804
336,-0.0732,0.0271,0.8313
337,-0.0625,0.1611,0.8782
338,-0.1396,0.1389,0.8401
339,-0.1104,0.0752,0.9087
340,0.0232,-0.1655,0.9778
341,0.0793,-0.4587,1.0298
342,0.1602,-0.2966,1.1018
343,0.0823,-0.0061,1.1030
344,0.0283,-0.0356,1.0540
345,-0.0762,0.0376,1.0969
346,-0.2263,0.2708,0.9153
347,-0.1047,0.3530,0.8423
348,-0.0725,0.2773,0.9319
349,0.0208,-0.1016,0.8567
350,0.0254,0.0386,1.0178
351,-0.0154,0.1511,0.8752
352,-0.0405,0.1467,0.9446
353,-0.0168,0.0891,1.0913
354,0.0420,-0.0942,1.0251
355,0.0662,-0.0356,1.1450
356,0.1150,-0.1323,0.9846
357,0.1228,-0.2712,1.0034
358,0.0667,-0.0498,1.0571
359,0.0093,0.0930,0.8577
360,-0.0781,0.0784,0.9214
361,-0.1719,-0.0632,0.8726
362,-0.1902,-0.1938,0.8899
363,-0.1179,-0.1836,1.0188
364,-0.0837,-0.2512,0.9927
365,0.0637,-0.1169,1.0522
366,0.0723,0.0166,0.9702
367,0.0129,0.1685,0.9651
368,-0.0225,0.1902,0.9927
369,-0.0757,0.0386,1.0432
370,-0.0090,-0.1199,1.0630
371,0.0542,-0.0964,1.0005
372,0.1233,0.0439,0.9309
373,0.1345,0.2874,0.9524
374,0.0833,0.2810,0.9319
375,0.0100,0.1768,0.9866
376,-0.0166,0.0571,1.0103
377,-0.0974,-0.2063,0.9507
378,-0.0107,-0.1851,1.0178
379,0.0847,-0.1362,0.9719
380,0.0146,-0.0610,0.9868
381,-0.0381,0.0022,0.9614
382,-0.1272,-0.1052,0.8987
383,-0.1316,-0.1897,0.9944
384,-0.1458,-0.2393,1.0022
385,-0.0508,-0.1230,1.0181
386,0.0493,0.0215,0.9875
387,0.1030,0.1086,0.9363
388,0.1812,-0.1274,0.9214
389,0.1890,0.2563,1.0728
390,0.1101,0.2917,0.8879
391,-0.0173,-0.0605,1.0002
392,-0.1484,-0.3679,1.0356
393,-0.1987,-0.4519,0.9536
394,-0.1487,0.0920,1.0881
395,-0.1074,0.2981,0.9065
396,0.0142,0.3564,0.9824
397,-0.0154,0.2834,0.9780
398,0.0469,0.3879,0.9514
399,0.0796,-0.0959,0.9546
400,0.0725,-0.2056,1.1292
401,0.0928,-0.0566,0.9778
402,0.0447,0.0159,0.9290
403,-0.0015,0.0447,0.9680
404,-0.0059,-0.2061,0.9290
405,-0.0483,-0.2080,1.0396
406,-0.0388,-0.1821,0.9612
407,-0.1213,-0.0679,0.9641
408,-0.1028,-0.0923,0.9060
409,-0.0537,0.2029,0.9973
410,-0.0625,0.3025,0.9634
411,0.0132,-0.0237,1.0015
412,-0.0015,-0.3269,1.1050
413,0.0874,-0.4604,0.9973
414,0.1685,-0.3110,1.0149
415,0.1284,0.0144,0.9807
416,0.1721,0.1934,0.9097
417,-0.0173,0.3135,0.9517
418,-0.0310,0.2903,0.8655
419,-0.0710,0.1045,0.9443
420,-0.1572,-0.0312,1.0051
421,-0.0576,-0.0391,0.9895
422,-0.0332,-0.0068,1.0439
423,-0.0242,0.0105,0.9553
424,-0.0447,0.0688,0.9924
425,-0.0012,0.0562,0.9924
426,0.0273,-0.1008,1.0071
427,0.0671,-0.1001,1.0647
428,0.0054,-0.2947,0.9165
429,0.0337,-0.0813,1.0159
430,0.0723,0.1328,0.9575
431,-0.0156,0.1753,0.9263
432,-0.0442,0.1018,1.0237
433,-0.1150,-0.0452,0.9436
434,-0.0884,-0.1780,0.9556
435,-0.0891,-0.0698,1.0259
436,0.0015,-0.0588,0.9260
437,0.0005,-0.0571,1.0015
438,-0.0383,0.1958,0.9810
439,0.0210,0.0334,0.8645
440,-0.0244,-0.0420,1.0620
441,0.0813,-0.0117,1.0024
442,0.2202,-0.1516,0.9651
443,0.1379,0.1562,1.0933
444,0.0842,0.0793,0.8469
445,-0.1182,0.0254,1.0581
446,-0.1958,0.1191,0.9849
447,-0.2009,-0.0530,0.9104
448,-0.2043,-0.0449,1.0637
449,-0.0242,-0.2205,0.8784
450,0.1296,-0.0740,1.0444
451,0.2407,-0.0586,0.9866
452,0.1824,-0.0239,0.9846
453,0.0779,0.0161,1.0481
454,-0.0317,-0.1709,0.8862
455,-0.0669,-0.0505,1.0503
456,-0.0586,-0.0742,0.9048
