Sample,X,Y,Z
0,0.0146,-0.0146,0.9778
1,0.0864,0.0049,0.9719
2,0.1033,-0.0129,0.9751
3,0.0459,-0.0066,0.9917
4,-0.0178,-0.0159,0.9712
5,-0.0610,-0.0098,0.9780
6,-0.0671,-0.0078,0.9690
7,-0.0361,-0.0391,0.9790
8,-0.0234,-0.0649,0.9868
9,0.0000,-0.0234,1.0071
10,0.0217,-0.0078,0.9761
11,0.0591,0.0522,0.9827
12,0.0425,0.0286,0.9546
13,-0.0027,-0.0178,0.9778
14,-0.0520,-0.0308,0.9875
15,-0.0940,-0.0063,0.9897
16,-0.0271,0.0527,0.9749
17,0.0146,-0.0383,0.9700
18,0.0718,-0.0259,1.0129
19,0.0742,-0.0820,0.9702
20,-0.0190,-0.0437,1.0024
21,-0.0369,0.0249,0.9709
22,-0.0737,-0.0083,0.9600
23,-0.0291,0.0139,0.9729
24,0.0093,-0.0098,0.9778
25,0.0193,-0.0327,0.9849
26,0.0459,0.0095,0.9719
27,0.0122,0.0349,0.9846
28,-0.0183,0.0120,0.9788
29,-0.0239,-0.0918,0.9917
30,-0.0081,-0.0542,1.0071
31,-0.0122,0.0017,0.9761
32,-0.0408,0.0076,0.9807
33,0.0037,-0.0100,0.9631
34,0.0054,-0.0227,0.9819
35,0.0051,0.0637,0.9768
36,0.0422,-0.0007,0.9517
37,-0.0168,-0.0530,0.9963
38,-0.0054,0.0115,0.9866
39,-0.0229,-0.0286,0.9644
40,-0.0181,-0.0344,0.9973
41,0.0061,-0.0693,0.9788
42,0.0181,-0.0498,1.0085
43,0.0139,0.0259,0.9810
44,-0.0388,-0.0166,0.9495
45,-0.0244,0.0610,0.9868
46,-0.0137,0.0146,0.9485
47,-0.0139,0.0098,0.9824
48,0.0125,0.0415,0.9800
49,0.0068,-0.0693,0.9995
50,0.0032,-0.0195,1.0005
51,0.0134,-0.0356,0.9800
52,-0.0024,-0.0566,0.9836
53,-0.0100,-0.0537,0.9780
54,0.0361,-0.0098,0.9875
55,0.0000,0.0283,0.9563
56,-0.0605,0.0317,0.9700
57,-0.0637,-0.0171,0.9702
58,-0.0591,-0.0037,0.9927
59,0.0020,0.0522,0.9868
60,0.0383,-0.0154,0.9644
61,0.0647,-0.0879,0.9897
62,0.0505,-0.0681,0.9966
63,0.0146,0.0168,0.9792
64,-0.0188,0.0474,0.9790
65,-0.0586,-0.0115,0.9829
66,-0.0315,-0.0259,0.9937
67,-0.0552,-0.0471,0.9768
68,-0.0325,0.0059,0.9729
69,0.0100,0.0100,0.9556
70,0.0388,-0.0071,0.9771
71,0.0542,-0.0220,0.9719
72,0.0312,-0.0486,0.9807
73,0.0217,0.0015,1.0022
74,-0.0413,-0.0005,0.9690
75,-0.0527,0.0051,0.9836
76,-0.1060,-0.0381,0.9907
77,-0.0291,-0.0310,1.0024
78,0.0229,-0.0068,0.9709
79,0.0850,0.0562,0.9614
80,0.0896,0.0164,0.9575
81,0.0127,-0.0186,0.9973
82,-0.0425,-0.0388,0.9888
83,-0.0923,-0.0530,0.9907
84,-0.0835,0.0242,0.9839
85,-0.0447,-0.0586,0.9651
86,0.0403,-0.0564,0.9895
87,0.0676,-0.0120,0.9634
88,0.0952,0.0051,0.9741
89,0.0498,0.0200,0.9741
90,-0.0005,0.0266,0.9885
91,-0.0618,0.0078,0.9897
92,-0.1133,-0.0273,0.9888
93,-0.1272,-0.0376,0.9829
94,-0.0657,-0.0144,0.9670
95,-0.0195,0.0056,0.9758
96,0.1167,0.0151,0.9817
97,0.1741,-0.0264,0.9780
98,0.1545,0.0127,1.0022
99,0.0669,-0.0286,0.9709
100,-0.0913,-0.0425,0.9934
101,-0.2029,-0.0129,0.9700
102,-0.2180,-0.0508,0.9497
103,-0.1282,-0.0164,0.9907
104,0.0164,-0.0315,0.9739
105,0.1760,0.0137,0.9922
106,0.2036,0.0474,0.9768
107,0.1707,0.0164,0.9729
108,0.0476,-0.0530,0.9761
109,-0.1152,-0.0093,0.9937
110,-0.2456,-0.0066,0.9712
111,-0.2285,0.0017,0.9849
112,-0.1179,-0.0417,0.9907
113,0.0837,0.0044,0.9885
114,0.2227,0.0322,0.9790
115,0.2339,-0.0295,0.9768
116,0.1501,-0.0657,0.9849
117,-0.0735,-0.0298,0.9866
118,-0.1733,-0.0112,0.9731
119,-0.2341,-0.0664,0.9631
120,-0.1438,-0.0010,0.9751
121,-0.0105,0.0142,0.9546
122,0.0825,0.0325,0.9927
123,0.1851,0.0532,0.9846
124,0.1609,-0.0344,0.9924
125,0.0793,0.0039,1.0090
126,-0.0308,-0.0581,0.9731
127,-0.1597,-0.0649,0.9819
128,-0.1704,-0.0254,0.9761
129,-0.1206,-0.0359,0.9751
