Sample,X,Y,Z
0,-0.0637,0.0134,0.9663
1,-0.0010,0.0129,0.9585
2,0.0129,-0.0117,0.9878
3,0.0261,-0.0227,0.9917
4,0.0361,0.0037,1.0054
5,0.0017,-0.0452,0.9849
6,0.0059,-0.0181,1.0081
7,-0.0479,-0.0444,0.9729
8,-0.0107,0.0186,0.9653
9,-0.0159,0.0027,0.9661
10,-0.0222,0.0369,0.9810
11,0.0110,-0.0283,0.9517
12,-0.0154,0.0278,0.9963
13,0.0295,-0.0095,0.9468
14,-0.0027,-0.0352,1.0005
15,0.0032,-0.0300,0.9863
16,0.0120,-0.0491,0.9878
17,-0.0254,-0.0083,1.0071
18,-0.0181,-0.0547,0.9700
19,-0.0283,0.0308,0.9937
20,-0.0198,0.0010,0.9446
21,-0.0027,0.0637,0.9797
22,0.0276,0.0210,0.9778
23,0.0178,-0.0251,0.9680
24,-0.0015,-0.0527,1.0005
25,-0.0337,-0.0356,0.9866
26,-0.0203,-0.0752,0.9661
27,-0.0383,0.0105,1.0022
28,0.0017,-0.0105,0.9514
29,0.0261,-0.0547,0.9839
30,0.0283,0.0549,0.9905
31,-0.0081,0.0330,0.9526
32,-0.0112,0.0193,0.9915
33,-0.0261,-0.0190,0.9712
34,-0.0376,-0.0117,0.9924
35,0.0054,0.0044,0.9622
36,0.0034,-0.0391,1.0073
37,0.0325,-0.0330,0.9897
38,0.0281,-0.0352,0.9888
39,-0.0051,0.0046,0.9907
40,-0.0349,0.0066,0.9495
41,-0.0486,-0.0066,0.9744
42,-0.0276,-0.0127,0.9673
43,-0.0225,0.0149,0.9790
44,0.0210,0.0271,0.9690
45,0.0168,-0.0354,0.9976
46,0.0449,-0.0352,0.9946
47,0.0132,-0.0503,0.9910
48,-0.0193,0.0088,0.9878
49,-0.0410,-0.0396,0.9683
50,-0.0425,-0.0088,0.9963
51,-0.0281,-0.0107,0.9534
52,-0.0137,0.0198,0.9719
53,0.0254,0.0679,0.9778
54,0.0459,-0.0359,0.9556
55,0.0542,0.0015,1.0039
56,0.0361,0.0063,0.9644
57,-0.0378,-0.0620,0.9885
58,-0.0759,-0.0242,1.0151
59,-0.1064,-0.0508,0.9602
60,-0.0786,-0.0288,0.9954
61,0.0237,0.0325,0.9722
62,0.0930,-0.0227,0.9546
63,0.1335,0.0474,0.9858
64,0.0896,-0.0029,0.9622
65,-0.0281,0.0195,1.0051
66,-0.0964,-0.0242,0.9663
67,-0.1462,-0.0439,1.0032
68,-0.1101,-0.0371,0.9780
69,-0.0564,-0.0579,0.9758
70,0.0684,0.0225,0.9878
71,0.0933,-0.0295,0.9514
72,0.1055,0.0464,1.0186
73,0.1035,-0.0149,0.9478
74,-0.0125,0.0320,1.0083
75,-0.0159,0.0317,0.9663
76,-0.1335,-0.1187,0.9858
77,-0.1296,-0.0225,1.0063
78,-0.0913,-0.0559,0.9233
79,-0.0459,0.0588,1.0129
80,0.1035,-0.0129,0.9260
81,0.1509,-0.0046,1.0149
82,0.1128,0.0427,0.9797
83,0.0215,0.0195,0.9878
84,-0.0576,0.0017,0.9963
85,-0.1472,-0.0505,0.9768
86,-0.0872,-0.0427,0.9849
87,-0.0369,-0.0618,0.9641
88,0.0098,0.0115,1.0032
89,0.0969,-0.0354,0.9348
90,0.0483,0.0181,1.0112
91,0.0010,0.0369,0.9575
92,-0.0061,-0.0466,0.9810
93,-0.0315,0.0435,1.0063
94,-0.0684,-0.0298,0.9319
95,-0.0369,0.0166,1.0227
96,-0.0120,-0.0632,0.9583
97,-0.0112,-0.0273,1.0071
98,0.0342,0.0149,0.9849
99,0.0327,-0.0464,0.9690
100,0.0356,-0.0137,0.9802
101,0.0159,0.0420,0.9683
102,-0.1045,0.0447,1.0100
103,-0.2036,-0.0481,1.0620
104,-0.1965,0.0173,0.9277
105,-0.2097,0.5193,0.8801
106,-0.1333,1.3628,0.7417
107,-0.0796,1.6196,0.7393
108,-0.1460,1.8892,0.9683
109,-0.2051,1.5308,0.9722
110,-0.3479,0.8645,1.1721
111,-0.4019,0.2739,1.2349
112,-0.3677,0.1082,1.1763
113,-0.1572,0.5344,1.0959
114,0.0469,1.1626,0.9468
115,0.2883,1.4463,0.8208
116,0.4495,1.5132,0.8403
117,0.3733,1.2046,0.8032
118,0.2615,0.7190,0.8821
119,0.1753,0.2971,0.9290
120,0.0159,0.3083,0.9456
121,-0.0715,0.8147,0.9026
122,-0.0137,1.3127,0.8958
123,-0.1545,1.4338,1.0012
124,-0.2012,1.2385,1.1028
125,-0.1804,0.8989,1.1450
126,-0.0439,0.5532,1.0942
127,0.0535,0.5923,1.0054
128,0.1697,0.9150,0.9351
129,0.0842,1.6116,0.8772
130,-0.0679,1.8157,0.7747
131,-0.2246,1.5112,0.8833
132,-0.2739,0.9561,0.9194
133,-0.2039,0.5100,0.9954
134,-0.0154,0.2563,1.0327
135,0.0811,0.1128,1.0913
136,0.0374,0.3447,1.0972
137,-0.1123,0.7571,1.0383
138,-0.2322,1.1057,0.9260
139,-0.2966,1.0315,0.8245
140,-0.1106,0.7200,0.8850
141,0.0764,0.1863,0.9487
142,0.2283,0.3081,1.0708
143,0.1787,0.8931,0.9497
144,-0.1516,0.6868,0.8616
145,-0.1963,0.6733,1.0581
146,-0.3032,0.7515,0.9663
147,-0.0583,1.1460,1.0220
148,0.0657,0.8069,0.9192
149,0.1162,0.4482,1.0376
150,0.1619,0.7112,0.9651
151,-0.0498,0.9163,0.8069
152,-0.0708,1.2629,0.9377
153,-0.0369,0.9761,0.8071
154,0.0708,0.8022,1.0806
155,0.1106,0.2205,1.1079
156,0.1284,-0.9604,1.1135
157,-0.0417,-1.7998,1.3579
158,-0.0015,-1.9980,1.2339
159,0.1321,-1.9983,1.1907
160,0.1201,-1.3953,0.9136
161,-0.0469,-0.5720,0.5332
162,-0.2324,-0.3240,0.4976
163,-0.3191,0.2971,0.6799
164,-0.3601,0.2478,0.5876
165,-0.2000,-0.0837,0.9563
166,0.0662,-0.5701,1.0845
167,0.2788,-0.4595,1.1858
168,0.2664,0.5562,1.3003
169,0.2388,1.2249,1.1838
170,-0.0193,1.4456,1.2678
171,-0.0439,1.5913,1.2075
172,-0.0596,1.2795,0.9690
173,-0.1072,1.2249,1.0520
174,0.0835,1.9368,0.9397
175,0.0029,1.2249,0.6956
176,0.1436,-0.0400,1.0178
177,0.1609,-0.1033,1.0032
178,0.0027,0.0850,0.7251
179,0.0276,-0.0481,0.9321
180,-0.0344,-0.6882,0.9849
181,-0.1116,-0.8689,1.0444
182,-0.0457,-0.6416,0.9299
183,-0.0476,-0.6951,0.8257
184,0.0559,-0.7429,0.9937
185,0.0942,-0.5046,0.9800
186,0.0493,0.0515,1.0051
187,0.0540,-0.0225,0.8743
188,-0.0781,-0.5298,1.0032
189,-0.1609,-0.3091,1.0784
190,-0.2957,-0.4995,0.9338
191,-0.2026,-0.3513,1.2017
192,-0.0916,0.1335,0.9954
193,-0.0986,0.3813,0.8970
194,0.0483,0.5413,1.1145
195,0.1199,-0.1187,0.9817
196,0.1008,-0.2913,1.0981
197,0.0457,-0.2710,0.9954
198,0.0376,-0.3806,0.8364
199,-0.0410,-0.3489,0.9712
200,-0.0720,0.0068,0.9338
201,-0.1235,0.1584,0.9087
202,-0.0483,0.2339,0.9204
203,-0.0430,-0.0742,0.8137
204,-0.1096,-0.1865,1.1272
205,0.1409,-0.1589,1.0679
206,0.0366,0.1199,1.0989
207,0.1108,0.2947,1.0120
208,-0.0144,0.3318,0.8665
209,-0.0691,0.5483,1.0093
210,-0.0061,0.5220,0.9360
211,-0.0188,-0.1182,1.0071
212,0.0432,0.2620,1.1428
