Sample,X,Y,Z
0,-0.0376,-0.0051,0.9487
1,-0.0510,-0.0120,0.9778
2,0.0127,-0.0039,0.9722
3,-0.0051,-0.0010,1.0051
4,0.0286,-0.0044,0.9722
5,0.0498,-0.0493,0.9993
6,0.0122,0.0115,1.0042
7,-0.0095,-0.0247,0.9478
8,-0.0422,0.0273,1.0044
9,-0.0605,-0.0232,0.9592
10,-0.0901,-0.0420,0.9465
11,0.0020,0.0181,1.0103
12,0.0054,0.0000,0.9485
13,0.0747,-0.0176,0.9790
14,0.1091,0.0872,1.0024
15,0.0071,-0.0710,0.9517
16,-0.0183,0.0166,1.0344
17,-0.1033,-0.0930,0.9712
18,-0.1062,0.0276,1.0061
19,-0.0686,-0.0298,0.9409
20,0.0090,0.0559,1.0100
21,0.0771,-0.0134,0.9329
22,0.0815,-0.0129,0.9797
23,0.0710,0.0791,1.0032
24,-0.0095,-0.1370,0.9348
25,-0.0510,0.0054,1.0737
26,-0.0803,-0.0208,0.9211
27,-0.0959,-0.0242,1.0022
28,-0.0278,0.0503,0.9700
29,0.0115,-0.0876,0.9614
30,0.0535,0.0576,1.0100
31,0.0732,-0.0610,0.9231
32,0.0513,0.1382,1.0405
33,0.0090,-0.0349,0.9194
34,-0.0518,0.0264,1.0432
35,-0.0793,-0.0764,0.9771
36,-0.0920,-0.0510,0.9937
37,-0.0471,-0.0476,0.9722
38,0.0071,-0.0042,0.9707
39,0.0767,0.0437,0.9712
40,0.0657,-0.0427,0.9446
41,0.0598,0.0869,1.0122
42,0.0085,-0.0510,0.9292
43,-0.0339,0.0645,1.0376
44,-0.0586,-0.0415,0.9648
45,-0.0710,-0.0811,1.0083
46,-0.0593,-0.0056,0.9846
47,-0.0750,-0.0134,0.9585
48,0.0215,0.0000,0.9924
49,0.0630,-0.0435,0.9612
50,0.0537,0.0869,0.9995
51,0.1016,0.0002,0.9114
52,-0.0134,-0.0054,1.0200
53,-0.0374,0.0283,0.9780
54,-0.0710,-0.0696,0.9702
55,-0.0701,0.0447,1.0374
56,-0.0291,-0.0513,0.9260
57,0.0154,-0.0530,1.0029
58,0.0344,-0.0181,0.9895
59,0.0244,-0.0251,0.9651
60,0.0266,0.0347,0.9897
61,-0.0078,0.0220,0.9624
62,-0.0342,0.0251,0.9846
63,-0.0215,0.0056,0.9614
64,-0.0378,-0.0244,0.9985
65,-0.0251,-0.0481,0.9614
66,0.0193,-0.0188,1.0015
67,0.0266,-0.0330,0.9780
68,0.0193,0.0244,0.9780
69,0.0332,0.0369,0.9944
70,-0.0266,-0.0142,0.9631
71,-0.0522,0.0310,0.9934
72,-0.0327,-0.0127,0.9653
73,-0.0188,-0.0034,1.0061
74,0.0183,-0.0286,0.9644
75,0.0212,-0.0701,0.9846
76,0.0298,0.0046,0.9875
77,-0.0271,-0.0034,0.9507
