Sample,X,Y,Z
0,-0.0044,-0.0493,1.0002
1,0.0225,-0.0134,0.9858
2,0.0249,-0.0789,0.9673
3,0.0334,0.0547,1.0210
4,-0.0156,-0.0317,0.9221
5,-0.0339,0.0237,1.0015
6,-0.0393,0.0115,0.9583
7,-0.0867,-0.0183,0.9690
8,-0.0068,0.0317,0.9810
9,0.0010,0.0000,0.9885
10,0.0496,-0.0579,0.9790
11,0.0789,-0.0435,1.0032
12,0.0505,0.0417,1.0032
13,-0.0176,-0.0796,0.9338
14,-0.0452,0.0022,1.0269
15,-0.0835,-0.0139,0.9739
16,-0.0632,0.0093,0.9507
17,-0.0317,0.0129,0.9683
18,0.0376,0.0757,0.9888
19,0.0486,-0.0859,0.9438
20,0.0449,0.0334,1.0344
21,0.0344,-0.0205,0.9595
22,-0.0381,-0.0183,1.0063
23,-0.0188,-0.0574,0.9907
24,-0.0620,-0.0320,1.0054
25,-0.0237,-0.0369,0.9495
26,-0.0049,0.0344,0.9749
27,0.0305,0.0464,0.9563
28,0.0105,-0.0315,0.9780
29,0.0171,0.0190,0.9976
30,-0.0308,0.0000,0.9536
31,-0.0461,0.0352,0.9924
32,-0.0051,-0.0654,0.9788
33,-0.0007,-0.0571,1.0247
34,0.0308,-0.0396,0.9905
35,0.0181,-0.0283,0.9692
36,-0.0049,-0.0042,0.9846
37,-0.0291,0.0422,0.9524
38,-0.0227,-0.0332,0.9407
39,-0.0237,0.0500,1.0149
40,-0.0183,-0.0017,0.9380
41,-0.0007,0.0322,0.9888
42,0.0171,-0.0032,0.9973
43,0.0308,-0.0720,0.9885
44,0.0315,-0.0308,1.0229
45,0.0083,-0.0422,0.9729
46,-0.0508,-0.0408,0.9790
47,-0.0430,0.0051,0.9866
48,-0.0427,-0.0029,0.9468
49,-0.0188,-0.0032,0.9631
50,0.0271,0.0793,0.9683
51,0.0522,-0.0051,0.9526
52,0.0242,0.0305,1.0100
53,0.0046,-0.0320,0.9934
54,-0.0437,-0.0686,1.0061
55,-0.0481,-0.0349,1.0054
56,-0.0295,-0.0540,0.9709
57,-0.0120,-0.0332,0.9888
58,0.0352,0.0173,0.9636
59,0.0229,-0.0093,0.9446
60,-0.0066,0.0452,0.9878
61,-0.0071,0.0322,0.9456
62,-0.0359,0.0100,0.9836
63,-0.0100,0.0056,0.9917
64,-0.0322,-0.0347,0.9878
65,0.0117,-0.0493,0.9915
66,0.0120,-0.0461,1.0093
67,0.0127,-0.0229,0.9902
68,0.0171,-0.0417,0.9680
69,0.0239,0.0037,0.9856
70,-0.0144,0.0161,0.9536
71,-0.0374,0.0291,0.9592
72,-0.0469,0.0100,0.9749
73,-0.0432,0.0273,0.9800
74,0.0037,-0.0156,0.9604
75,0.0291,-0.0146,1.0044
76,0.0452,-0.0144,0.9810
77,0.0244,-0.0815,0.9780
78,-0.0071,-0.0088,1.0264
79,-0.0381,-0.0356,0.9622
80,-0.0544,-0.0117,0.9885
81,0.0007,0.0142,0.9614
82,-0.0259,-0.0203,0.9604
83,0.0234,0.0684,0.9758
84,0.0012,-0.0237,0.9465
85,-0.0015,0.0503,0.9983
86,0.0132,-0.0522,0.9739
87,-0.0076,-0.0234,1.0022
88,0.0071,-0.0605,0.9927
89,-0.0044,0.0146,1.0044
90,-0.0422,-0.1038,0.9692
91,-0.0325,0.0271,1.0149
92,-0.0029,-0.0166,0.9292
93,-0.0100,0.0500,0.9651
94,0.0518,0.0339,0.9653
95,0.0291,-0.0015,0.9751
96,0.0042,-0.0374,0.9951
97,-0.0315,0.0181,0.9966
98,-0.0542,-0.0496,0.9663
99,-0.0049,-0.0229,1.0181
100,0.0100,-0.0847,0.9683
101,-0.0024,0.0229,1.0024
102,0.0764,-0.0039,0.9260
103,0.2053,0.0330,0.9536
104,0.3696,0.0205,0.9944
105,0.4985,-0.0728,1.0149
106,0.6089,-0.4077,1.0481
107,0.6526,-0.4050,1.1450
108,0.6626,-0.4224,0.9973
