Sample,X,Y,Z
0,-0.0042,-0.0151,0.9722
1,-0.0032,-0.0029,0.9788
2,-0.0010,0.0042,0.9780
3,-0.0059,-0.0002,0.9768
4,-0.0125,-0.0071,0.9788
5,-0.0146,-0.0232,0.9778
6,-0.0112,-0.0215,0.9800
7,-0.0005,-0.0144,0.9807
8,0.0066,-0.0022,0.9771
9,0.0024,0.0046,0.9753
10,-0.0073,0.0022,0.9758
11,-0.0178,-0.0078,0.9778
12,-0.0200,-0.0205,0.9780
13,-0.0134,-0.0247,0.9819
14,-0.0044,-0.0120,0.9810
15,0.0007,-0.0032,0.9810
16,0.0049,0.0046,0.9824
17,-0.0042,0.0037,0.9790
18,-0.0127,-0.0083,0.9810
19,-0.0210,-0.0222,0.9836
20,-0.0137,-0.0178,0.9807
21,-0.0051,-0.0068,0.9778
22,0.0029,0.0017,0.9758
23,0.0049,0.0042,0.9800
24,-0.0034,-0.0032,0.9807
25,-0.0132,-0.0176,0.9790
26,-0.0171,-0.0205,0.9768
27,-0.0093,-0.0151,0.9780
28,-0.0051,-0.0044,0.9810
29,0.0007,0.0012,0.9819
30,-0.0029,-0.0017,0.9800
31,-0.0076,-0.0054,0.9788
32,-0.0103,-0.0159,0.9790
33,-0.0120,-0.0220,0.9790
34,-0.0078,-0.0142,0.9778
35,-0.0076,-0.0005,0.9800
36,-0.0042,0.0020,0.9817
37,-0.0063,-0.0056,0.9807
38,-0.0054,-0.0110,0.9800
39,-0.0088,-0.0200,0.9778
40,-0.0103,-0.0227,0.9768
41,-0.0120,-0.0125,0.9778
42,-0.0054,-0.0017,0.9810
43,-0.0076,0.0017,0.9810
44,-0.0071,-0.0059,0.9810
45,-0.0078,-0.0144,0.9817
46,-0.0098,-0.0200,0.9810
47,-0.0081,-0.0164,0.9768
48,-0.0056,-0.0068,0.9790
49,-0.0059,-0.0022,0.9810
50,-0.0061,-0.0056,0.9817
51,-0.0103,-0.0103,0.9797
52,-0.0085,-0.0137,0.9761
53,-0.0049,-0.0137,0.9778
54,-0.0049,-0.0100,0.9788
55,-0.0039,-0.0063,0.9797
56,-0.0046,-0.0027,0.9797
