Sample,X,Y,Z
0,-0.0071,-0.0127,0.9700
1,-0.0037,-0.0125,0.9731
2,-0.0027,-0.0029,0.9768
3,-0.0051,-0.0044,0.9761
4,-0.0029,-0.0051,0.9819
5,-0.0061,-0.0071,0.9800
6,-0.0061,-0.0146,0.9788
7,-0.0029,-0.0107,0.9788
8,-0.0024,-0.0093,0.9741
9,-0.0042,-0.0073,0.9800
10,-0.0044,-0.0085,0.9807
11,-0.0051,-0.0083,0.9819
12,-0.0034,-0.0066,0.9810
13,-0.0022,-0.0095,0.9788
14,-0.0032,-0.0073,0.9780
15,-0.0076,-0.0068,0.9778
16,-0.0103,-0.0120,0.9797
17,-0.0110,-0.0088,0.9800
18,-0.0076,-0.0071,0.9780
19,-0.0034,-0.0071,0.9788
20,-0.0010,-0.0063,0.9780
21,-0.0049,-0.0073,0.9790
22,-0.0105,-0.0144,0.9810
23,-0.0125,-0.0171,0.9817
24,-0.0098,-0.0139,0.9800
25,-0.0017,-0.0042,0.9800
26,0.0024,-0.0088,0.9778
27,0.0015,-0.0076,0.9800
28,-0.0029,-0.0112,0.9790
29,-0.0093,-0.0115,0.9827
30,-0.0125,-0.0071,0.9788
31,-0.0085,0.0007,0.9797
32,-0.0054,-0.0049,0.9788
33,0.0007,-0.0146,0.9771
34,0.0005,-0.0142,0.9807
35,-0.0056,-0.0139,0.9829
36,-0.0105,-0.0117,0.9839
37,-0.0139,-0.0059,0.9768
38,-0.0085,-0.0032,0.9758
39,-0.0051,-0.0046,0.9758
40,-0.0022,-0.0081,0.9780
41,0.0002,-0.0120,0.9768
42,-0.0032,-0.0120,0.9810
43,-0.0027,-0.0073,0.9807
44,-0.0081,-0.0037,0.9797
45,-0.0112,-0.0046,0.9780
46,-0.0090,-0.0100,0.9780
47,-0.0046,-0.0127,0.9810
48,-0.0012,-0.0129,0.9819
49,-0.0022,-0.0051,0.9800
50,-0.0024,-0.0032,0.9778
51,-0.0071,-0.0039,0.9797
52,-0.0105,-0.0066,0.9788
53,-0.0100,-0.0168,0.9788
54,-0.0076,-0.0156,0.9827
55,-0.0032,-0.0112,0.9783
56,-0.0007,-0.0012,0.9771
57,-0.0007,0.0034,0.9758
58,-0.0059,-0.0046,0.9768
59,-0.0090,-0.0127,0.9817
60,-0.0081,-0.0176,0.9839
61,-0.0066,-0.0129,0.9807
62,-0.0066,-0.0022,0.9780
63,-0.0044,0.0010,0.9758
64,0.0012,-0.0088,0.9771
65,-0.0010,-0.0120,0.9810
66,-0.0046,-0.0156,0.9800
67,-0.0083,-0.0171,0.9849
68,-0.0103,-0.0063,0.9807
69,-0.0103,0.0024,0.9778
70,-0.0049,-0.0012,0.9758
71,-0.0020,-0.0081,0.9810
72,-0.0027,-0.0127,0.9812
73,-0.0034,-0.0142,0.9817
74,-0.0054,-0.0088,0.9849
75,-0.0078,-0.0002,0.9778
76,-0.0090,0.0020,0.9790
77,-0.0046,-0.0042,0.9790
78,-0.0039,-0.0117,0.9810
79,-0.0029,-0.0186,0.9807
80,-0.0002,-0.0098,0.9829
81,-0.0039,-0.0034,0.9807
82,-0.0078,-0.0017,0.9788
83,-0.0088,-0.0039,0.9788
84,-0.0078,-0.0085,0.9797
85,-0.0071,-0.0149,0.9797
86,-0.0015,-0.0161,0.9819
87,0.0012,-0.0105,0.9790
88,-0.0005,-0.0002,0.9768
89,-0.0078,0.0005,0.9778
90,-0.0112,-0.0029,0.9807
91,-0.0098,-0.0110,0.9839
92,-0.0071,-0.0142,0.9827
93,-0.0012,-0.0139,0.9819
94,-0.0015,-0.0037,0.9780
95,-0.0044,-0.0010,0.9758
96,-0.0073,-0.0027,0.9819
97,-0.0098,-0.0117,0.9836
98,-0.0073,-0.0151,0.9807
99,-0.0054,-0.0168,0.9792
100,-0.0024,-0.0073,0.9797
101,-0.0002,0.0051,0.9797
102,-0.0022,-0.0032,0.9771
103,-0.0056,-0.0129,0.9807
104,-0.0125,-0.0115,0.9812
105,0.0261,-0.0237,0.9868
106,0.1577,0.0503,1.0061
107,0.1899,0.4084,1.0256
108,0.2317,1.1011,0.8755
109,0.2241,1.7454,0.6877
110,-0.0581,1.9998,0.7405
111,-0.5190,1.9998,0.8286
112,-0.9294,1.7512,1.0706
113,-1.0513,1.2036,1.2173
114,-0.6147,1.0444,1.2866
115,0.2896,1.0188,1.1750
116,1.1890,1.1731,1.0129
117,1.5024,1.5325,0.8362
118,0.9712,1.8323,0.6838
119,-0.1511,1.6692,0.7229
120,-1.2615,1.1038,0.8811
121,-1.7751,0.3884,1.0237
122,-1.4753,-0.3882,1.1936
123,-0.4561,-0.9224,1.2883
124,0.9182,-0.8972,1.1265
125,1.8965,-0.5271,0.8540
126,1.9253,0.2961,0.7170
127,0.9956,0.9475,0.6096
128,-0.6794,1.1282,0.7473
129,-1.9456,1.0552,0.9712
130,-1.9998,0.9231,1.0247
131,-1.3462,0.8813,1.1304
132,0.4905,0.7964,1.1626
133,1.8721,0.7402,1.1333
134,1.9978,1.0569,1.1321
135,1.1907,1.6304,0.8501
136,-0.4304,1.8811,0.7288
137,-1.7615,1.6624,0.8132
138,-1.9998,1.3110,1.0483
139,-1.2056,1.1011,1.1079
140,0.2410,0.8716,1.0327
141,1.4692,0.7063,1.0540
142,1.7808,0.5491,0.9612
143,1.1340,0.1252,0.7534
144,-0.3242,0.1367,0.9233
145,-1.4175,0.2793,0.8906
146,-1.6851,0.2686,0.9702
147,-1.0261,0.3826,1.2239
148,0.3052,0.3694,1.0227
149,1.3167,0.4556,0.9741
150,1.5120,0.5063,0.9829
151,0.8333,0.3140,0.7603
152,-0.2056,0.4116,0.7290
153,-1.0962,0.7837,0.9321
154,-1.4226,0.9739,1.0540
155,-1.0015,0.9634,0.9897
156,-0.1230,1.0520,1.1223
157,0.7866,0.7473,1.1028
158,1.1440,0.5286,1.2395
159,0.8052,0.2026,1.1204
160,0.2297,-0.4163,0.8188
161,-0.4187,-0.6655,0.7961
162,-0.7480,-0.6833,0.9272
163,-0.6421,-0.5837,1.0317
164,-0.2927,-0.6694,0.8723
165,0.3801,-0.6462,0.9097
166,0.8464,-0.1694,1.0894
167,0.7446,-0.7690,1.0354
168,0.2634,-1.2410,1.0464
169,-0.5708,-0.5085,1.0630
170,-0.9744,-0.1331,0.5725
171,-0.7905,0.0515,0.8384
172,-0.3308,0.0571,1.0803
173,0.3516,0.3738,1.0569
174,0.8010,1.1743,1.2222
175,0.8313,1.0396,1.0269
176,0.4536,0.5842,1.1633
177,-0.2495,0.3340,1.0601
178,-0.7947,0.3201,0.7268
179,-0.8286,0.3057,0.7227
180,-0.5378,0.0110,1.0520
