Sample,X,Y,Z
0,-0.2722,0.0237,0.9622
1,-0.1187,-0.0093,0.9956
2,0.0342,-0.0378,0.9807
3,0.2144,0.0037,0.9915
4,0.2285,-0.0015,0.9690
5,0.1030,-0.0178,0.9651
6,0.0305,0.0161,0.9866
7,-0.1499,-0.0261,0.9858
8,-0.2068,-0.0400,0.9829
9,-0.1553,-0.0393,0.9741
10,-0.0740,0.0171,0.9819
11,0.0754,0.0557,0.9575
12,0.1858,-0.0151,0.9819
13,0.1794,-0.0085,1.0107
14,0.0845,-0.0413,0.9709
15,-0.0601,0.0161,0.9895
16,-0.2168,0.0095,0.9768
17,-0.2148,-0.0513,0.9722
18,-0.1050,-0.0408,0.9761
19,0.0574,-0.0142,0.9839
20,0.1802,0.0496,0.9797
21,0.2241,0.0637,0.9683
22,0.1204,0.0012,0.9819
23,-0.0491,-0.0288,0.9976
24,-0.1648,-0.0715,0.9729
25,-0.2019,-0.0200,0.9885
26,-0.1826,0.0002,0.9800
27,-0.0405,-0.0334,0.9692
28,0.1111,-0.0222,0.9934
29,0.1829,0.0400,0.9976
30,0.1655,0.0198,0.9641
31,0.1472,-0.0139,0.9731
32,-0.0671,-0.0605,0.9700
33,-0.1936,0.0178,0.9739
34,-0.2007,-0.0068,0.9634
35,-0.1216,0.0371,1.0015
36,-0.0354,0.0137,0.9839
37,0.1367,-0.0220,1.0007
38,0.1489,-0.0862,0.9885
39,0.1235,0.0002,0.9866
40,0.0928,0.0337,0.9622
41,-0.0425,-0.0334,0.9739
42,-0.1416,-0.0339,0.9622
43,-0.1790,0.0208,0.9885
44,-0.1409,0.0491,0.9622
45,-0.0615,-0.0173,0.9761
46,0.1028,0.0046,1.0112
47,0.1455,-0.0544,0.9885
48,0.1511,-0.0339,0.9846
49,0.0889,-0.0435,0.9719
50,-0.0513,0.0164,0.9829
51,-0.0964,0.0342,0.9573
52,-0.1348,-0.0508,0.9771
53,-0.1169,0.0132,1.0073
54,-0.0781,0.0127,0.9797
55,0.0813,0.0752,0.9817
56,0.0750,-0.0222,0.9702
57,0.1218,-0.0427,0.9993
58,0.0537,-0.1279,0.9651
59,-0.0312,-0.0037,0.9976
60,-0.0820,0.0305,0.9409
61,-0.0698,0.0000,0.9739
62,-0.0508,0.0051,1.0015
63,-0.0066,-0.0085,0.9797
64,0.0505,0.0586,0.9829
65,0.0002,0.0208,0.9771
66,0.0066,-0.0281,0.9778
67,0.0051,-0.0442,0.9741
68,-0.0281,-0.0239,0.9858
69,-0.0129,-0.0249,0.9739
70,0.0234,-0.0210,0.9905
71,0.0273,0.0569,0.9944
72,0.0042,-0.0256,0.9653
73,-0.0151,-0.0896,0.9937
74,-0.0535,-0.0244,0.9810
75,-0.0505,0.0676,0.9387
76,-0.0586,0.0693,0.9504
77,0.0049,0.0039,0.9856
78,0.0425,-0.0527,1.0044
79,0.0354,-0.0105,1.0161
80,0.0547,0.0010,0.9814
81,-0.0059,-0.0457,0.9790
82,-0.0198,-0.0251,0.9800
83,-0.0571,-0.0552,0.9692
84,-0.0310,0.0256,0.9700
85,-0.0176,-0.0125,0.9644
86,0.0200,0.0823,0.9944
87,0.0317,0.0593,0.9602
88,0.0315,-0.0037,0.9915
89,-0.0085,-0.0474,0.9954
90,-0.0374,-0.0911,0.9771
91,-0.0930,-0.0532,0.9807
92,-0.0735,-0.0156,0.9829
93,0.0208,-0.0608,0.9888
94,0.0620,0.0210,0.9905
95,0.1138,0.0286,0.9583
96,0.0830,0.0747,0.9670
97,-0.0046,0.0642,0.9585
98,-0.1018,0.0090,0.9670
99,-0.1489,-0.0715,1.0015
100,-0.1206,-0.0710,1.0054
101,-0.0422,-0.0334,0.9849
102,0.0913,0.0061,0.9868
103,0.1714,-0.0847,0.9690
104,0.1160,-0.0015,0.9956
105,0.0337,0.0535,0.9485
106,-0.0632,0.0232,0.9709
107,-0.1697,0.0417,0.9797
108,-0.1558,-0.0056,0.9692
109,-0.0400,-0.0186,0.9954
110,0.0276,-0.0906,0.9702
111,0.1177,-0.0359,1.0015
112,0.1331,0.0205,0.9829
113,0.0542,-0.0308,0.9736
114,-0.0044,0.0452,0.9885
115,-0.0728,-0.0225,0.9888
116,-0.1133,0.0049,0.9756
117,-0.0664,-0.0266,0.9585
118,0.0032,0.0415,0.9790
119,0.0198,0.0369,0.9497
120,0.0151,-0.0073,0.9875
121,0.0234,-0.0728,0.9985
122,-0.0002,-0.0818,1.0024
123,-0.0188,0.0205,0.9934
124,0.0120,-0.0144,0.9612
125,0.0225,-0.0364,0.9800
126,0.0022,0.0149,0.9700
127,0.0383,0.0405,0.9436
128,-0.0183,0.0005,0.9758
129,-0.0625,0.0374,0.9937
130,-0.0620,0.0176,0.9790
131,-0.0818,-0.0271,1.0029
132,-0.0208,-0.0383,0.9956
133,0.0269,-0.0322,0.9810
134,0.1235,0.0066,0.9729
135,0.0718,-0.1079,0.9495
136,0.0264,-0.0071,1.0100
137,-0.0144,0.0488,0.9661
138,-0.0867,0.0112,0.9661
139,-0.1079,0.0200,0.9829
140,-0.0627,-0.0579,0.9712
141,-0.0630,0.0247,0.9731
