Sample,X,Y,Z
0,-0.0237,0.0518,0.9915
1,-0.0752,-0.0144,0.9377
2,-0.0332,0.0481,0.9993
3,-0.0063,-0.0183,0.9622
4,0.0513,-0.0244,1.0012
5,0.0859,-0.0674,0.9719
6,0.0322,-0.0491,0.9917
7,-0.0159,0.0183,0.9810
8,-0.0833,-0.0354,0.9438
9,-0.0867,-0.0134,0.9993
10,-0.0369,-0.0066,0.9680
11,0.0059,0.0088,0.9915
12,0.0693,0.0457,0.9788
13,0.0691,-0.0132,0.9741
14,0.0229,0.0474,0.9868
15,-0.0081,0.0139,0.9573
16,-0.0803,-0.0242,0.9878
17,-0.0757,-0.0781,0.9895
18,-0.0493,-0.0540,1.0034
19,0.0105,0.0288,0.9878
20,0.0378,-0.0176,0.9700
21,0.0903,0.0029,0.9856
22,0.0315,0.0088,0.9495
23,-0.0398,0.0491,0.9634
24,-0.0798,-0.0342,0.9666
25,-0.0664,-0.0498,0.9954
26,-0.0344,0.0271,0.9836
27,0.0151,0.0107,0.9739
28,0.0857,-0.0669,1.0071
29,0.0454,-0.0576,1.0015
30,0.0347,0.0378,0.9700
31,-0.0486,0.0337,0.9548
32,-0.1011,0.0498,0.9868
33,-0.0603,0.0171,0.9644
34,-0.0291,-0.0435,0.9907
35,0.0151,0.0342,0.9956
36,0.0801,-0.0801,0.9456
37,0.0581,-0.0017,1.0151
38,0.0281,-0.0154,0.9595
39,-0.0054,-0.0127,0.9895
40,-0.0640,-0.0623,0.9817
41,-0.0862,0.0125,0.9797
42,-0.0715,0.0208,0.9419
43,-0.0234,0.0217,0.9849
44,0.0652,0.0139,0.9731
45,0.0859,-0.0488,1.0002
46,0.0713,0.0432,0.9966
47,0.0122,-0.0918,0.9641
48,-0.0593,-0.0022,1.0229
49,-0.0894,-0.0264,0.9480
50,-0.1108,0.0815,0.9673
51,-0.0366,-0.0029,0.9524
52,0.0312,-0.0195,0.9993
53,0.0867,-0.0171,0.9780
54,0.0686,0.0320,0.9976
55,0.0759,0.0022,0.9778
56,-0.0181,-0.0608,0.9915
57,-0.0627,-0.0066,0.9937
58,-0.1199,-0.0806,0.9514
59,-0.0706,0.0525,1.0002
60,-0.0283,-0.0366,0.9282
61,0.0198,0.0283,1.0139
62,0.0999,0.0557,0.9575
63,0.0527,-0.0393,0.9634
64,0.0283,0.0393,1.0122
65,-0.0647,-0.1089,0.9514
66,-0.0679,0.0039,1.0315
