Sample,X,Y,Z
0,-0.0586,-0.0103,0.9692
1,-0.0544,0.0161,0.9888
2,-0.0847,0.0007,0.9719
3,0.0007,-0.0193,0.9758
4,0.0298,-0.0110,0.9868
5,0.0249,-0.0398,0.9517
6,0.0437,0.0237,0.9785
7,0.0076,-0.0652,0.9878
8,-0.0610,0.0034,0.9946
9,-0.0471,-0.0293,0.9458
10,-0.0605,0.0024,1.0034
11,-0.0337,0.0134,0.9534
12,0.0220,0.0044,0.9836
13,0.0339,0.0020,0.9973
14,-0.0181,-0.0120,0.9624
15,0.0479,-0.0044,0.9983
16,-0.0549,-0.0239,0.9751
17,-0.0305,0.0149,0.9976
18,0.0093,-0.0720,0.9526
19,-0.0640,-0.0491,1.0024
20,0.0022,0.0378,0.9438
21,-0.0444,-0.0569,0.9673
22,0.0078,0.0911,1.0061
23,0.0286,-0.0774,0.9116
24,-0.0083,0.0291,1.0571
25,0.0227,0.0420,0.9163
26,-0.0344,0.0432,1.0168
27,-0.0188,0.0056,0.9868
28,-0.0413,-0.1458,0.9983
29,-0.0405,-0.0291,1.0054
30,0.0173,0.0234,0.9250
31,0.0061,0.0581,0.9976
32,0.0154,-0.0930,0.9524
33,-0.0261,-0.0142,0.9924
34,-0.0300,0.0208,0.9751
35,-0.0520,0.0945,0.9526
36,-0.0168,-0.0735,0.9839
37,0.0415,-0.0178,1.0210
38,-0.0046,-0.0359,0.9458
39,0.0125,0.0063,0.9937
40,-0.0554,-0.0908,0.9739
41,-0.0437,-0.0605,1.0139
42,-0.0347,0.0120,0.9534
43,0.0417,0.0422,0.9702
44,0.0264,0.0481,0.9680
45,-0.0049,0.0110,0.9556
46,-0.0317,0.0100,0.9966
47,-0.0601,-0.0203,0.9585
48,-0.0625,-0.0083,0.9963
49,0.0005,-0.0168,0.9624
50,0.0103,-0.0352,1.0132
51,0.0330,0.0176,0.9768
52,0.0374,-0.0930,0.9771
53,-0.0208,0.0083,1.0071
54,-0.0049,-0.0579,0.9448
55,-0.0676,0.0667,0.9995
56,-0.0266,-0.0188,0.9282
57,-0.0540,0.0237,1.0022
58,0.0127,0.0337,0.9260
59,-0.0056,0.0413,0.9954
60,0.0137,-0.0586,0.9768
61,-0.0007,-0.0935,1.0188
62,-0.0222,-0.0061,0.9905
63,-0.0056,0.0337,0.9800
64,0.0166,0.0513,0.9739
65,0.0049,-0.0754,0.9631
66,-0.0300,0.0308,0.9966
67,-0.0332,-0.1091,0.9331
68,-0.1064,0.0244,1.0239
69,-0.0154,-0.0212,0.9187
70,0.0181,0.0530,1.0051
71,0.0293,-0.0332,0.9487
72,0.0535,-0.0491,1.0061
73,0.0510,-0.0723,0.9771
74,-0.0491,0.0378,1.0022
75,-0.0398,0.0059,0.9661
76,-0.0579,-0.0283,0.9729
77,-0.0920,0.0481,0.9790
78,-0.0505,0.0054,0.9504
79,-0.0142,-0.0339,0.9885
80,0.0093,0.0054,0.9937
81,0.0728,0.0303,0.9700
82,0.0798,-0.0083,0.9692
83,0.0847,0.0085,1.0159
84,0.0054,-0.0881,0.9602
85,-0.0552,-0.0605,0.9907
86,-0.1431,0.0063,0.9817
87,-0.1860,-0.0608,0.9448
88,-0.0835,-0.0024,0.9917
89,-0.0190,0.0588,0.9624
90,0.1179,0.1309,0.9526
91,0.1377,0.0181,0.9790
92,0.1191,-0.0471,1.0122
93,-0.0073,-0.0068,0.9819
94,-0.0669,-0.0388,0.9954
95,-0.1003,-0.0713,0.9924
96,-0.1016,-0.1282,0.9819
97,-0.0288,0.0632,0.9895
98,-0.0073,-0.0037,0.9067
99,-0.0247,0.0200,1.0059
100,0.0342,0.0295,0.9319
101,-0.0435,0.0034,0.9780
102,0.0320,0.0793,1.0024
103,0.2634,-0.0752,1.0474
104,0.3938,-0.0337,1.0366
105,0.7112,0.2954,0.9585
106,0.9292,0.5564,0.9094
107,0.9661,0.5562,0.8853
108,0.8391,0.6870,0.9556
109,0.4133,0.4878,0.9380
110,-0.0112,0.4985,1.0005
111,-0.3547,0.4758,0.9895
112,-0.4438,0.4839,1.0347
113,-0.2896,0.4771,1.0386
114,0.1584,0.4954,1.0823
115,0.6653,0.6538,0.9858
116,0.9595,0.4583,0.9592
117,1.0764,0.5337,1.0181
118,1.0667,0.2681,0.8677
119,0.8870,0.3901,0.9702
120,0.7622,0.5300,0.8567
121,0.5530,0.6211,0.8979
122,0.5239,0.6418,0.9709
123,0.4355,0.6155,0.9993
124,0.3860,0.5464,1.0444
125,0.3762,0.4536,1.0981
126,0.3137,0.4849,1.0757
127,0.2693,0.4343,1.0559
128,0.2126,0.5005,1.0229
129,0.1948,0.4270,0.9700
130,0.2026,0.3521,0.8979
131,0.3706,0.3137,0.8538
132,0.4966,0.5190,0.8313
133,0.6265,0.4543,0.8635
134,0.6851,0.4700,1.0042
135,0.5776,0.2686,1.0256
136,0.4810,0.3052,1.1106
137,0.3518,-0.0085,1.0659
138,0.1316,0.0686,1.1362
139,0.1060,0.0005,0.9993
140,0.1348,0.0488,1.0415
141,0.2036,0.1638,0.9221
142,0.2095,0.2971,0.8176
143,0.2476,0.5132,0.8765
144,0.2554,0.4558,0.8157
145,0.3157,0.5122,0.9185
146,0.4045,0.5747,0.9648
147,0.5288,0.4597,0.9954
148,0.6255,0.3518,1.1145
149,0.7073,0.5444,1.1646
150,0.7454,0.4917,1.0542
151,0.6460,0.4631,1.1096
152,0.5286,0.4536,1.0151
153,0.1628,0.1672,0.7942
154,-0.3396,0.4563,0.9641
155,-0.8853,0.3403,0.7847
156,-1.3784,-0.3147,0.9956
157,-1.5464,-0.5498,1.1411
158,-1.4197,-1.0259,0.9065
159,-0.9207,-0.9624,1.0500
160,-0.1018,-0.8748,0.9712
161,0.5969,-0.5837,0.9976
162,1.1313,-0.6304,1.0071
163,1.3118,-0.4333,1.0054
164,1.1580,-0.6082,0.9019
165,0.8179,-0.3462,0.9475
166,0.4768,0.0427,0.9038
167,0.1650,0.4585,0.9282
168,0.0291,0.7961,0.9417
169,-0.0955,1.0151,0.9302
170,-0.2351,0.9592,0.9680
171,-0.3601,1.0422,1.0325
172,-0.4780,0.9155,1.0034
173,-0.4546,0.9175,1.1265
174,-0.2488,0.5872,0.9709
175,0.0168,0.5427,1.0588
176,0.3423,0.4709,0.9480
177,0.6008,0.1782,0.9263
178,0.7961,-0.0095,0.9683
179,0.4995,-0.4722,1.0198
180,0.1912,-0.7236,1.0583
181,-0.1201,-0.7007,1.0344
182,-0.3162,-0.5024,1.0071
183,-0.3804,-0.5837,0.9780
184,-0.3259,-0.5864,1.0129
185,-0.2505,-0.5349,0.8862
186,-0.1497,-0.6091,0.8291
187,-0.1575,-0.4431,0.9058
188,-0.2314,-0.3804,0.8323
189,-0.3318,-0.2769,0.9260
190,-0.2537,0.0427,0.9465
191,-0.0713,0.2195,0.9856
192,-0.0024,0.3088,1.0481
193,0.1106,0.3701,1.1616
194,0.1218,0.2905,1.1616
195,0.0281,0.2754,1.1304
196,-0.1492,0.4797,1.0139
197,-0.2725,0.2627,0.8989
198,-0.2136,0.2703,0.9641
199,-0.0195,0.1230,0.8206
200,0.1060,-0.0408,0.8616
201,0.2527,-0.2026,0.8206
202,0.3794,-0.1675,0.9124
203,0.2642,0.0317,0.9299
204,0.1189,0.0371,1.0103
205,-0.0098,-0.1682,1.0999
206,-0.0854,-0.2812,1.1235
207,-0.0342,-0.2136,1.0981
208,0.0332,-0.2380,1.0776
