Sample,X,Y,Z
0,0.0476,0.0261,0.9546
1,-0.0122,0.0225,0.9497
2,-0.0347,0.0693,0.9741
3,-0.0813,-0.0725,0.9368
4,-0.0532,-0.0227,1.0071
5,0.0217,0.0005,0.9534
6,0.0054,0.0166,0.9883
7,0.0576,0.0044,0.9895
8,0.0017,-0.0032,0.9895
9,-0.0176,-0.0374,0.9875
10,-0.0947,-0.0364,0.9875
11,-0.0906,-0.0271,1.0022
12,-0.0105,-0.0110,0.9595
13,0.0344,0.0090,0.9741
14,0.0779,0.0327,0.9729
15,0.0515,-0.0342,0.9478
16,0.0002,0.0071,0.9871
17,-0.0842,0.0137,0.9573
18,-0.0874,-0.0608,0.9829
19,-0.0996,-0.0359,1.0208
20,0.0076,-0.0120,0.9565
21,0.0557,0.0083,0.9800
22,0.0691,0.0520,0.9954
23,0.0427,-0.0581,0.9487
24,-0.0005,-0.0273,1.0151
25,-0.0439,0.0276,0.9485
26,-0.0745,0.0020,0.9661
27,-0.0669,-0.0518,0.9780
28,-0.0396,-0.0518,0.9819
29,0.0203,0.0305,0.9780
30,0.0076,0.0454,0.9614
31,0.0347,0.0037,0.9741
32,0.0103,-0.0762,0.9885
33,-0.0386,-0.0205,0.9983
34,-0.0239,-0.0168,0.9604
35,-0.0444,-0.0359,1.0100
36,-0.0039,-0.0042,0.9888
37,0.0100,0.0073,0.9514
38,-0.0186,0.0339,0.9827
39,-0.0293,-0.0247,0.9456
40,-0.0574,-0.0190,0.9934
41,-0.0269,0.0244,0.9612
42,0.0039,-0.0344,0.9663
43,0.0471,0.0310,1.0347
44,-0.0005,-0.0576,0.9602
45,-0.0173,-0.0488,1.0061
46,-0.0276,0.0222,0.9934
47,-0.0264,-0.0095,0.9429
48,-0.0093,-0.0442,0.9585
49,0.0073,0.0132,1.0051
50,0.0056,-0.0010,0.9282
51,-0.0154,-0.0029,0.9827
52,-0.0610,0.0520,0.9917
53,-0.0552,-0.0557,0.9419
54,0.0093,-0.0225,1.0181
55,0.0068,0.0046,0.9946
56,0.0479,-0.0496,0.9749
57,0.0322,-0.0266,1.0161
58,-0.0381,-0.0327,0.9585
59,-0.0300,-0.0339,0.9634
60,-0.0737,0.0037,0.9722
61,-0.0457,0.0552,0.9380
62,0.0190,0.0276,0.9612
63,0.0120,0.0400,1.0002
64,0.0237,-0.0308,0.9604
65,0.0161,-0.0210,1.0181
66,-0.0430,-0.0100,0.9915
67,-0.0308,-0.0449,0.9829
68,-0.0366,-0.0920,1.0159
69,-0.0544,-0.0630,0.9924
70,0.0073,-0.0171,0.9585
71,-0.0034,0.0071,0.9417
72,-0.0171,0.0234,0.9465
73,0.0071,0.0806,0.9604
74,-0.0059,0.0330,0.9673
75,-0.0315,0.0386,0.9966
76,0.0085,-0.0198,0.9819
77,-0.0444,-0.0515,1.0200
78,-0.0088,-0.0283,1.0022
79,0.0154,-0.0688,1.0012
80,0.0010,-0.0129,1.0100
81,-0.0010,-0.0125,0.9458
82,-0.0312,-0.0737,0.9534
83,-0.0525,-0.0208,0.9780
84,-0.0256,0.0171,0.9231
85,-0.0198,0.0483,0.9517
86,0.0181,0.0640,0.9836
87,0.0281,-0.0220,0.9470
88,0.0110,-0.0024,1.0159
89,-0.0398,-0.0090,1.0022
90,-0.0398,-0.0659,1.0044
91,-0.0483,-0.1025,1.0151
92,-0.0334,-0.0193,0.9983
93,0.0122,-0.0154,0.9487
94,0.0139,0.0046,0.9858
95,0.0286,0.0466,0.9497
96,0.0088,-0.0149,0.9231
97,0.0273,0.1030,0.9907
98,-0.0266,0.0056,0.9221
99,-0.0154,0.0017,1.0208
100,-0.0603,-0.0764,0.9897
101,-0.1130,-0.0496,1.0237
102,0.0713,-0.0725,0.9758
103,0.3357,-0.0867,0.9897
104,0.7004,-0.0947,1.0581
105,1.0745,-0.2761,1.0054
106,1.2424,-0.5632,1.1040
107,1.2524,-0.5913,1.0520
108,0.9888,-0.8765,0.9670
109,0.4778,-0.8445,0.9839
110,-0.0408,-1.0269,0.8860
111,-0.4478,-0.9783,0.9282
112,-0.6567,-0.8591,0.9058
113,-0.5034,-0.4949,0.9243
114,-0.1863,-0.4216,0.9036
115,0.1611,-0.3184,1.0452
116,0.5413,-0.3464,1.0122
117,0.6243,-0.4861,1.0884
118,0.7417,-0.2590,1.1194
119,0.7805,-0.3223,0.9927
120,0.8059,-0.1260,1.1060
121,0.8752,-0.1086,0.9370
122,0.8167,-0.0845,0.9331
123,0.7310,-0.1499,0.8752
124,0.5146,-0.1321,0.8970
125,0.2666,-0.1394,0.8892
126,-0.0486,-0.0898,1.0083
127,-0.1331,-0.1230,1.0442
128,-0.1941,-0.6392,1.1023
129,-0.0046,-0.7156,1.1860
130,0.2107,-0.9236,1.0737
131,0.4875,-0.7722,1.0913
132,0.6147,-0.7690,0.9641
133,0.7183,-0.6851,0.9329
134,0.6421,-0.6597,0.8528
135,0.5188,-0.4285,0.8413
136,0.4209,-0.3357,0.8020
137,0.3596,-0.2976,0.9478
138,0.3589,-0.3555,1.0208
139,0.3625,-0.5007,1.0688
140,0.4326,-0.6091,1.2065
141,0.3970,-0.6206,1.1106
142,0.3638,-0.4709,1.1057
143,0.2532,-0.1772,0.9761
144,0.2664,-0.1548,0.8928
145,0.2732,-0.1072,0.9136
146,0.3372,-0.1917,0.8716
147,0.5334,-0.1560,0.9087
148,0.6860,-0.2373,0.9377
149,0.7571,-0.2092,1.0210
150,0.6704,-0.3950,1.0442
151,0.5803,-0.4119,1.1899
152,0.2903,-0.6770,1.0649
153,-0.2107,-0.8657,1.1174
154,-0.6306,-0.6382,0.9563
155,-1.2202,-0.4407,0.7671
156,-1.4988,0.6125,0.7854
157,-1.5933,0.9282,0.5073
158,-1.3872,1.1548,0.8101
159,-0.6147,1.0083,0.9038
160,0.1270,0.7791,1.0852
161,0.8469,0.6245,1.2866
162,1.3315,0.5149,1.3079
163,1.3188,0.2366,1.2913
164,1.0002,0.2739,1.2681
165,0.6772,-0.0044,0.9915
166,0.3442,-0.2266,0.9602
167,0.2810,-0.2446,0.7961
168,0.2551,-0.3367,0.7119
169,0.1980,-0.3887,0.7034
170,-0.0845,-0.4578,0.7310
171,-0.3562,-0.6050,0.8567
172,-0.7156,-0.9771,1.0227
173,-0.7781,-1.0093,1.1868
174,-0.5796,-1.2458,1.1743
175,-0.2644,-1.1577,1.2893
176,0.3206,-0.9548,1.1118
177,0.6819,-0.5359,1.0337
178,0.7524,-0.1140,0.9221
179,0.6150,0.2222,0.8462
180,0.4526,0.4734,0.7395
181,0.0261,1.1477,0.7356
182,-0.1440,0.9321,0.7007
183,-0.3333,0.6990,1.0540
184,-0.2808,0.5649,1.0776
185,-0.2466,0.1970,1.0737
186,-0.1951,0.2122,1.2786
187,-0.0947,0.1143,1.0852
188,-0.2803,0.0610,1.1851
189,-0.3191,0.3560,1.0239
190,-0.3184,0.4075,0.8059
191,-0.2141,0.6255,0.9077
192,-0.0842,0.2383,0.7485
193,0.1311,0.0222,0.9292
194,0.3384,-0.1519,0.8958
195,0.2983,-0.4087,0.9280
196,0.1650,-0.4624,1.0627
197,-0.0488,-0.6870,1.0266
198,-0.3218,-0.5835,1.1282
199,-0.3923,-0.5190,1.0383
200,-0.4333,-0.3955,1.0168
201,-0.2422,-0.1594,0.9377
202,0.0571,0.2261,0.8364
203,0.2322,0.4814,0.8657
204,0.3247,0.5442,0.8835
205,0.3071,0.2249,0.9241
206,0.2021,0.0657,1.0686
207,0.2612,0.0122,0.9905
208,0.1160,-0.1621,1.0933
209,0.1948,-0.0366,1.1594
210,0.1208,-0.2402,0.9934
211,-0.0085,-0.0127,1.1292
212,-0.1301,-0.1343,0.9048
213,-0.2688,-0.0479,0.9360
214,-0.2566,0.1501,0.9172
215,-0.2400,0.1189,0.8088
216,-0.0913,-0.0850,0.8918
217,-0.0496,-0.1008,0.9553
218,0.1497,-0.3147,0.9028
219,0.1226,-0.3979,1.0999
220,0.1128,-0.3403,1.0754
221,0.0198,-0.4028,1.0120
222,0.0332,-0.0811,1.0815
223,0.0642,0.0718,0.9700
224,0.0232,0.1528,0.9790
225,0.0149,0.3008,0.9800
226,-0.0508,0.4333,0.8723
227,-0.0747,0.3657,0.8823
228,-0.1892,0.4192,0.9070
229,-0.3054,0.3425,0.9377
230,-0.2351,0.2751,1.0022
231,-0.1672,-0.0347,1.0154
232,0.0261,-0.0669,1.1138
233,0.2239,-0.2532,1.0029
234,0.2710,-0.3013,1.0881
235,0.2961,0.0781,1.0298
236,0.0803,-0.0088,0.8491
237,-0.1582,0.2007,0.9751
238,-0.2212,0.1772,0.8521
239,-0.3735,-0.0540,0.9126
240,-0.2273,-0.2495,1.0208
241,-0.1089,-0.4548,1.0142
242,0.0247,-0.5317,1.0286
243,0.1416,-0.2251,1.0266
244,0.0996,-0.0173,0.9976
245,0.0605,0.0469,1.0083
246,0.0117,-0.0415,1.0120
247,0.0161,-0.1106,0.9458
248,0.0442,-0.1150,0.9097
249,0.1365,0.0757,0.9536
250,0.1204,0.1506,0.8997
251,0.1484,0.3049,0.9485
252,0.1060,0.2446,0.9634
253,0.0364,0.0986,1.0005
254,0.0154,-0.1621,1.0559
255,-0.0173,-0.1077,1.1353
256,0.0315,0.0020,1.0063
257,-0.1497,0.0361,0.9517
258,-0.1687,0.1897,0.9553
259,-0.2395,0.1965,0.8538
260,-0.2458,0.2034,0.8948
261,-0.1077,-0.1226,0.8870
262,-0.0510,-0.3777,1.0142
263,0.0784,-0.3093,1.0210
264,0.0811,-0.1116,1.0325
265,0.0190,0.0271,1.0969
