Sample,X,Y,Z
0,0.0425,-0.0132,0.9585
1,0.0571,0.0181,0.9846
2,0.0679,0.0232,0.9653
3,0.0234,-0.0581,0.9465
4,-0.0320,-0.0117,0.9836
5,-0.0654,0.0266,0.9546
6,-0.0588,-0.0254,0.9749
7,-0.0247,-0.0310,0.9963
8,-0.0164,-0.0759,0.9963
9,0.0000,0.0298,0.9790
10,0.0012,0.0046,0.9536
11,0.0132,-0.0095,0.9700
12,0.0100,-0.0186,0.9888
13,0.0200,0.0132,0.9858
14,-0.0005,-0.0059,0.9836
15,-0.0232,-0.0129,1.0005
16,-0.0610,-0.0327,0.9731
17,-0.0608,-0.0071,0.9817
18,-0.0400,-0.0085,0.9429
19,0.0093,-0.0129,0.9780
20,0.0474,-0.0095,0.9790
21,0.0432,-0.0164,0.9810
22,0.0210,0.0283,0.9888
23,-0.0413,0.0078,0.9602
24,-0.0557,0.0229,0.9827
25,-0.0876,-0.0562,0.9666
26,-0.0339,-0.0854,0.9963
27,-0.0022,-0.0037,0.9907
28,0.0549,0.0190,0.9692
29,0.0449,0.0066,0.9829
30,-0.0151,-0.0364,0.9897
31,-0.0576,-0.0164,0.9622
32,-0.0610,0.0017,0.9653
33,-0.0386,0.0361,0.9631
34,0.0132,0.0146,0.9761
35,0.0586,-0.0112,0.9915
36,0.0476,-0.0391,0.9888
37,-0.0037,-0.0200,0.9924
38,-0.0479,-0.0549,0.9683
39,-0.0830,-0.0557,0.9788
40,-0.0857,0.0010,0.9719
41,-0.0022,0.0027,0.9702
42,0.0479,0.0452,0.9963
43,0.0701,0.0217,0.9836
44,0.0725,-0.0117,0.9741
45,-0.0242,0.0093,0.9819
46,-0.0789,-0.0068,0.9653
47,-0.0913,-0.0674,0.9595
48,-0.1072,-0.0522,0.9934
49,-0.0115,0.0044,0.9836
50,0.0540,-0.0303,0.9780
51,0.0842,-0.0317,1.0002
52,0.0754,-0.0005,0.9565
53,0.0112,0.0552,0.9653
54,-0.0605,0.0254,0.9485
55,-0.1216,-0.0183,0.9839
56,-0.0588,0.0083,0.9956
57,-0.0356,-0.0503,0.9778
58,0.0293,0.0212,1.0042
59,0.0349,-0.0149,0.9548
60,0.0266,-0.0464,0.9983
61,-0.0015,-0.0378,0.9634
62,-0.0442,-0.0591,0.9895
63,-0.0361,0.0173,0.9905
64,-0.0503,-0.0291,0.9614
65,-0.0225,0.0601,0.9924
66,0.0085,0.0166,0.9438
67,0.0342,-0.0366,0.9709
68,0.0281,0.0195,0.9858
69,0.0122,-0.0728,0.9631
70,-0.0239,-0.0010,1.0002
71,-0.0439,0.0349,0.9817
72,-0.0459,-0.0403,0.9680
73,-0.0239,-0.0222,1.0010
74,-0.0239,-0.0132,0.9878
75,0.0496,-0.0115,0.9741
76,0.0256,-0.0334,0.9768
77,-0.0024,0.0129,0.9915
78,-0.0159,-0.0137,0.9575
79,-0.0667,-0.0261,0.9790
80,-0.0488,0.0093,0.9866
81,-0.0386,-0.0078,0.9631
82,0.0186,-0.0054,0.9729
83,0.0435,-0.0278,0.9758
84,0.0488,-0.0044,0.9753
85,0.0232,-0.0286,0.9709
86,-0.0256,0.0022,1.0012
87,-0.0745,-0.0156,0.9644
88,-0.0942,-0.0190,0.9878
89,-0.0747,0.0159,0.9829
90,-0.0259,0.0054,0.9644
91,0.0486,0.0308,0.9885
92,0.0579,-0.0110,0.9846
93,0.0833,-0.0527,0.9771
94,0.0281,-0.0417,0.9917
95,-0.0522,-0.0344,0.9866
96,-0.0718,-0.0408,0.9487
97,-0.0977,-0.0383,0.9761
98,-0.0786,0.0444,0.9790
99,-0.0056,0.0200,0.9543
100,0.0593,0.0195,0.9670
101,0.0764,0.0427,0.9790
102,0.0454,0.0393,0.9829
103,0.0234,-0.0378,0.9729
104,-0.0740,-0.1086,1.0063
105,-0.0667,-0.0376,0.9985
106,-0.0598,-0.0857,0.9587
107,-0.0493,0.0359,1.0081
108,0.0039,0.0356,0.9556
109,0.0505,-0.0281,0.9836
110,0.0269,-0.0156,0.9829
111,0.0281,0.0398,0.9683
112,-0.0103,0.0254,0.9397
113,-0.0581,0.0063,0.9746
114,-0.0593,-0.0190,0.9839
115,-0.0422,-0.0872,0.9761
116,-0.0210,-0.0591,1.0061
117,0.0168,0.0029,0.9868
118,0.0654,-0.0032,0.9624
119,0.0400,0.0464,0.9797
120,-0.0115,0.0103,0.9810
121,-0.0259,-0.0486,0.9829
122,-0.0759,-0.0115,0.9817
123,-0.0742,0.0398,0.9768
124,-0.0527,-0.0044,0.9602
125,-0.0083,0.0022,0.9810
126,0.0527,-0.0408,0.9771
127,0.0449,-0.0513,1.0002
128,0.0442,-0.0559,0.9739
129,-0.0200,-0.0205,0.9810
130,-0.0569,0.0398,0.9604
131,-0.0637,0.0017,0.9534
132,-0.0605,0.0168,0.9817
133,-0.0122,-0.0049,0.9749
134,0.0273,-0.0300,0.9810
135,0.0366,-0.0059,0.9934
136,0.0220,0.0173,0.9712
137,0.0063,0.0068,0.9758
138,-0.0239,-0.0334,0.9846
139,-0.0403,-0.0789,0.9956
140,-0.0503,-0.0266,0.9888
141,-0.0300,-0.0066,0.9680
142,-0.0010,0.0483,0.9780
143,0.0259,0.0032,0.9634
144,0.0195,-0.0247,0.9802
145,0.0100,-0.0132,0.9771
146,-0.0342,-0.0391,0.9758
147,-0.0703,-0.0149,0.9780
148,-0.0234,0.0020,0.9565
149,-0.0112,-0.0391,0.9729
150,0.0107,0.0056,0.9954
151,0.0525,-0.0337,0.9683
152,0.0322,0.0110,0.9924
153,-0.0195,0.0435,0.9907
154,-0.0464,0.0156,0.9624
155,-0.0813,-0.0056,0.9868
156,-0.0476,-0.0483,0.9778
157,-0.0347,-0.1172,0.9778
158,0.0105,0.0481,1.0081
159,0.0667,-0.0105,0.9429
160,0.0715,-0.0161,1.0103
161,-0.0029,0.0090,0.9702
162,-0.0432,0.0105,0.9592
163,-0.1013,0.0022,0.9592
164,-0.1147,-0.0034,0.9856
165,-0.0046,0.0369,0.9575
166,0.0303,-0.0571,0.9631
167,0.1008,0.0032,1.0159
168,0.0542,-0.0781,0.9641
169,0.0100,-0.0166,1.0015
170,-0.0688,-0.0125,0.9624
171,-0.1099,0.0449,0.9839
172,-0.0564,0.0005,0.9514
173,-0.0305,-0.0742,0.9907
174,0.0369,0.0801,0.9917
175,0.0918,-0.0183,0.9331
176,0.0476,-0.0325,0.9963
177,-0.0039,-0.0076,0.9875
178,-0.0029,-0.0579,0.9641
179,-0.0820,-0.0496,0.9858
180,-0.0918,0.0066,0.9956
181,-0.0320,-0.0095,0.9526
182,-0.0024,-0.0037,0.9741
183,0.0244,0.0256,0.9915
184,0.0779,0.0256,0.9651
185,0.0066,-0.0234,0.9651
186,-0.0251,0.0054,0.9983
187,-0.0610,-0.0364,0.9602
188,-0.0549,-0.0554,0.9807
189,-0.0471,-0.0259,0.9915
190,0.0076,0.0117,0.9739
191,0.0439,-0.0249,0.9663
192,0.0190,-0.0032,0.9946
193,0.0234,0.0444,0.9670
194,-0.0242,-0.0107,0.9465
195,-0.0715,-0.0049,0.9983
196,-0.0459,0.0601,0.9763
197,-0.0457,-0.0583,0.9524
198,-0.0200,-0.0505,1.0173
199,0.0486,-0.0713,0.9731
200,0.0740,-0.0183,0.9780
201,0.0386,0.0103,0.9702
202,-0.0066,0.0276,0.9875
203,-0.0430,-0.0032,0.9475
204,-0.1157,-0.0095,0.9956
205,-0.1106,0.0376,0.9878
206,-0.0361,-0.0283,0.9524
207,0.0181,0.0078,0.9836
208,0.0835,-0.0527,0.9653
209,0.1133,-0.0349,0.9875
210,0.0435,0.0083,0.9729
211,-0.0193,-0.0171,0.9946
212,-0.0776,-0.0269,0.9868
213,-0.1396,0.0012,0.9888
214,-0.1077,0.0015,0.9575
215,-0.0330,-0.0479,0.9690
216,0.0605,0.0093,0.9836
