Sample,X,Y,Z
0,-0.0759,-0.0215,0.9875
1,-0.0430,0.0088,0.9546
2,-0.0098,-0.0251,0.9683
3,0.0068,0.0332,0.9790
4,0.0229,0.0164,0.9641
5,0.0623,-0.0056,0.9907
6,0.0371,-0.0100,0.9670
7,-0.0154,0.0178,0.9954
8,-0.0505,-0.0757,0.9719
9,-0.0764,-0.0771,0.9993
10,-0.1172,-0.0190,0.9985
11,-0.0400,0.0098,0.9495
12,0.0112,0.0029,0.9741
13,0.0444,0.0864,0.9729
14,0.1221,-0.0222,0.9475
15,0.0598,-0.0212,1.0042
16,-0.0115,0.0071,0.9827
17,-0.0791,-0.0464,0.9719
18,-0.1067,-0.0381,0.9907
19,-0.1443,0.0657,0.9807
20,-0.0334,-0.0325,0.9526
21,0.0408,-0.0454,0.9973
22,0.0447,0.0247,0.9751
23,0.0872,0.0212,0.9644
24,0.0886,-0.0176,0.9866
25,-0.0042,-0.0034,0.9915
26,-0.0303,-0.0178,0.9741
27,-0.1011,-0.0664,0.9622
28,-0.1470,0.0171,0.9858
29,-0.0796,-0.0242,0.9390
30,0.0146,-0.0066,1.0012
31,0.0920,0.0371,0.9521
32,0.0996,0.0171,0.9924
33,0.0830,-0.0139,0.9846
34,-0.0044,-0.0098,0.9731
35,-0.1062,0.0454,0.9963
36,-0.1167,-0.0376,0.9575
37,-0.0791,-0.0774,1.0061
38,-0.0422,-0.0708,0.9712
39,0.0393,-0.0237,0.9592
40,0.0908,0.0662,0.9592
41,0.0229,0.0117,0.9556
42,0.0244,0.0381,0.9797
43,-0.0283,-0.0117,0.9836
44,-0.0767,0.0444,0.9937
45,-0.0381,-0.0916,0.9761
46,-0.0212,-0.0447,1.0112
47,0.0242,-0.0081,0.9399
48,0.0024,0.0425,0.9924
49,0.0310,-0.0146,0.9612
50,-0.0242,-0.0520,0.9709
51,-0.0469,0.0486,1.0022
52,-0.0305,0.0432,0.9377
53,-0.0483,0.0129,0.9907
54,0.0142,0.0220,0.9924
55,0.0137,-0.0708,0.9729
56,0.0049,-0.0522,1.0093
57,0.0149,-0.0393,0.9670
58,-0.0317,-0.0833,0.9785
59,0.0066,0.0110,0.9729
60,-0.0339,0.0046,0.9524
61,-0.0396,0.0615,0.9888
62,-0.0317,0.0391,0.9468
63,-0.0471,0.0371,1.0051
64,-0.0039,0.0232,0.9631
65,0.0676,-0.0095,0.9907
