Sample,X,Y,Z
0,0.0374,-0.0630,0.9817
1,0.0444,0.0017,1.0110
2,0.0305,-0.0564,0.9700
3,-0.0085,-0.0337,0.9946
4,-0.0579,0.0293,0.9858
5,-0.0447,0.0193,0.9534
6,-0.0115,0.0071,0.9771
7,0.0552,0.0137,0.9839
8,0.0684,-0.0017,0.9790
9,0.0591,0.0547,0.9836
10,-0.0051,-0.0635,0.9702
11,-0.0457,-0.0076,1.0090
12,-0.0986,-0.0767,0.9719
13,-0.0801,-0.0581,0.9875
14,-0.0317,-0.0295,0.9927
15,0.0286,0.0259,0.9556
16,0.0618,0.0854,0.9790
17,0.0874,0.0515,0.9634
18,0.0559,-0.0498,0.9673
19,0.0103,0.0442,1.0227
20,-0.0554,-0.0125,0.9485
21,-0.0720,-0.0874,0.9924
22,-0.0500,-0.0715,1.0298
23,-0.0234,-0.0273,0.9761
24,0.0344,0.0542,0.9573
25,0.0254,-0.0007,0.9673
26,0.0508,-0.0149,0.9839
27,0.0234,-0.0186,0.9768
28,-0.0144,0.0569,0.9700
29,-0.0413,0.0083,0.9546
30,-0.0417,0.0059,1.0110
31,-0.0066,-0.0342,0.9897
32,-0.0015,-0.0442,0.9878
33,0.0068,-0.0122,1.0005
34,0.0359,-0.0491,0.9663
35,0.0010,-0.0269,0.9934
36,-0.0012,0.0479,0.9868
37,-0.0122,-0.0054,0.9536
38,0.0168,0.0464,0.9954
39,0.0193,0.0742,0.9749
40,-0.0039,-0.0627,0.9370
41,-0.0300,-0.0481,1.0269
42,-0.0125,-0.0671,0.9819
43,-0.0459,-0.0327,0.9810
44,0.0049,0.0884,0.9897
45,-0.0242,-0.0940,0.9543
46,0.0188,-0.0310,1.0217
47,0.0366,0.0259,0.9680
48,0.0183,0.1160,0.9675
49,0.0454,-0.0020,0.9634
50,0.0295,-0.0610,1.0022
51,0.0117,0.0039,0.9993
52,-0.0452,0.0281,0.9592
53,-0.0496,-0.0479,0.9758
54,-0.0891,-0.0701,1.0042
55,-0.0391,-0.0127,0.9878
56,0.0017,-0.0029,0.9622
57,0.0486,0.0154,0.9771
58,0.1157,0.0310,0.9856
59,0.0957,0.0388,0.9768
60,0.0110,0.0039,0.9702
61,-0.0857,-0.0994,0.9653
62,-0.1331,-0.0149,1.0298
63,-0.1030,0.0002,0.9595
64,-0.0327,0.0149,0.9819
65,0.0842,0.0139,0.9866
66,0.1067,-0.0742,0.9751
67,0.1094,0.0332,0.9927
68,0.0449,0.0608,0.9534
69,-0.0466,0.0374,0.9817
70,-0.0857,-0.0288,0.9829
71,-0.0784,-0.0615,0.9929
72,-0.0847,-0.0723,0.9915
73,0.0112,0.0103,0.9846
74,0.0447,-0.0144,0.9680
75,0.0850,0.0183,0.9661
76,0.0447,-0.0376,0.9739
77,0.0173,0.0208,0.9858
78,-0.0337,0.0051,0.9651
79,-0.0400,0.0671,0.9924
80,-0.0261,0.0413,0.9565
81,-0.0032,-0.0825,0.9895
82,0.0322,-0.0361,1.0227
83,0.0046,-0.0945,0.9556
84,0.0249,0.0493,1.0063
85,-0.0435,0.0105,0.9487
86,-0.0303,-0.0178,0.9722
87,-0.0134,0.0195,0.9963
88,-0.0176,0.0044,0.9534
89,0.0439,0.0630,0.9878
90,0.0332,0.0105,0.9829
91,-0.0017,-0.0728,0.9780
92,0.0066,-0.0779,0.9917
93,-0.0227,-0.0413,1.0024
94,-0.0437,-0.0046,0.9573
95,0.0181,0.0225,0.9897
96,-0.0061,0.0132,0.9780
97,0.0249,-0.0376,0.9573
98,0.0166,0.0637,1.0024
99,0.0024,0.0498,0.9514
100,-0.0251,-0.0159,0.9771
101,-0.0439,0.0110,0.9985
102,0.0273,-0.0571,1.0002
103,0.2319,-0.0232,1.0637
104,0.5256,-0.0256,1.0269
105,0.8911,0.2356,1.0129
106,1.1614,0.5884,0.9341
107,1.2241,0.7014,0.8430
108,1.0688,0.7532,0.9026
109,0.6733,0.9211,0.9436
110,0.2136,0.9836,0.8889
111,-0.1453,0.9446,0.9456
112,-0.2751,0.7903,1.0032
113,-0.2302,0.6711,1.0403
114,-0.0203,0.6487,1.0510
115,0.0964,0.4551,1.0530
116,0.1458,0.2908,1.0706
117,0.1445,0.0940,1.0452
118,0.1602,0.1230,1.0103
119,0.3098,0.1785,0.9348
120,0.5500,0.3042,0.9106
121,0.8391,0.3672,0.8706
122,1.0786,0.3992,0.8752
123,1.1401,0.3289,0.8889
124,0.9282,0.1299,0.9353
125,0.6753,0.0740,1.0530
126,0.3252,0.0847,1.0571
127,0.0632,0.2375,1.0608
128,0.0510,0.5803,1.0735
129,0.0571,0.6760,0.9739
130,0.1750,0.6633,0.9651
131,0.2783,0.5903,0.9478
132,0.2229,0.5444,0.9282
133,0.2112,0.5645,0.8833
134,0.1448,0.6462,0.8479
135,0.2542,0.8970,1.0181
136,0.3801,0.5996,0.9683
137,0.5725,0.4966,1.0825
138,0.8157,0.3413,1.0981
139,0.8647,0.1602,1.0374
140,0.8052,0.2400,1.0862
141,0.6616,0.3518,1.0178
142,0.3599,0.4802,0.9319
143,0.1179,0.5442,0.8777
144,-0.0137,0.3254,0.8286
145,0.0483,0.0867,0.8989
146,0.1912,0.0388,0.9114
147,0.3450,0.0579,0.9153
148,0.4810,0.2371,1.0247
149,0.5227,0.2378,1.0142
150,0.4546,0.4348,1.0979
151,0.4377,0.5464,1.0405
152,0.4485,0.5308,1.0503
153,0.3047,0.5005,1.0024
154,0.0408,0.4902,0.9446
155,-0.4265,0.3928,0.9719
156,-0.9595,-0.1221,0.9224
157,-1.3979,-0.6404,1.0103
158,-1.4204,-0.9236,1.0034
159,-1.1938,-1.0115,0.9536
160,-0.6294,-0.8064,0.9302
161,0.0522,-0.5229,0.9397
162,0.6689,-0.2559,0.9553
163,1.0513,-0.1633,0.9963
164,1.1702,-0.1570,1.0396
165,1.0159,-0.4519,1.0454
166,0.8110,-0.4182,1.1428
167,0.5854,-0.2881,1.0100
168,0.3455,0.1711,0.9866
169,0.2952,0.6841,0.8901
170,0.1956,0.8774,0.8364
171,0.0122,1.0845,0.9019
172,-0.2534,0.8247,0.8159
173,-0.4451,0.7141,0.9602
174,-0.5164,0.6487,1.0051
175,-0.4890,0.7668,1.0325
176,-0.3384,0.6538,1.0142
177,-0.0938,0.4128,1.0784
178,0.1038,0.2437,1.0737
179,0.3638,0.1509,0.9221
180,0.2969,-0.0010,1.0647
181,0.2686,-0.3135,1.0002
182,0.2729,-0.4678,1.0706
183,0.1863,-0.3032,1.0579
184,0.1238,-0.3091,0.9055
185,0.1035,-0.6235,0.9387
186,-0.0117,-0.6848,0.9795
187,-0.1704,-0.7668,0.8462
188,-0.3276,-0.6394,0.8892
189,-0.4438,-0.5320,0.9253
190,-0.5142,-0.4167,0.9048
191,-0.4868,-0.2656,0.9771
192,-0.3459,-0.3193,0.9661
193,-0.1318,-0.2673,1.0757
194,-0.0364,-0.0974,1.0894
195,0.1387,0.2566,1.0872
196,0.1890,0.5601,1.0669
197,0.2043,0.6323,1.0181
198,0.1777,0.4995,1.0483
199,0.1162,0.2500,0.9426
200,0.1685,0.1147,0.9011
201,0.1042,0.0789,0.8743
202,0.0305,0.2449,0.8782
203,-0.0176,0.4602,0.8547
204,-0.1228,0.6204,0.8586
205,-0.1438,0.1912,0.8860
206,-0.0596,-0.0652,1.0991
207,0.0510,-0.3152,1.0942
208,0.1208,-0.2280,1.1643
209,0.2188,-0.1665,1.1538
210,0.2344,-0.1860,1.0784
211,0.1921,-0.0107,1.0708
212,0.1516,-0.0237,0.9458
213,0.0217,-0.1819,0.9292
214,-0.0332,-0.3323,0.9097
215,-0.0918,-0.2708,0.8645
216,-0.1243,-0.2300,0.7864
217,-0.1348,0.0269,0.8694
218,-0.1772,0.1047,0.8840
219,-0.2097,0.1082,0.9670
220,-0.1865,0.0173,1.0188
221,-0.0815,-0.0859,1.0474
222,-0.0225,-0.1301,1.1379
223,0.0955,-0.1150,1.0981
224,0.0989,0.0522,1.1108
225,0.0869,0.2131,1.0142
226,0.1338,0.0481,0.9292
227,0.0725,0.1504,0.9644
228,-0.0044,0.2227,0.8716
229,-0.0281,-0.0466,0.8784
230,-0.1426,-0.2285,0.9465
231,-0.1467,-0.1218,0.9504
232,-0.0833,0.1689,0.9390
233,-0.0256,0.1655,0.9507
234,0.0659,0.1221,1.0298
235,0.0857,-0.0676,1.0601
236,0.1396,-0.0720,1.0571
237,0.1318,-0.2700,0.9856
238,0.0859,-0.1345,1.0618
239,0.0461,-0.0098,0.9810
240,0.0427,0.1707,0.9573
241,0.0444,0.3564,0.9155
242,0.1355,0.2036,0.8784
243,0.0586,0.0442,0.9888
244,0.0471,-0.0808,0.9771
245,-0.0369,-0.0972,1.0012
246,-0.1184,-0.0833,1.0168
247,-0.1055,-0.0388,0.9983
248,-0.1025,0.1387,0.9751
249,-0.0505,0.2083,0.9729
250,0.0298,0.1245,0.9729
251,0.0024,-0.1655,0.9319
252,0.0464,-0.2051,0.9807
253,0.0093,-0.0034,0.9731
254,-0.0464,0.0522,0.8931
255,-0.0178,0.1470,1.0234
256,0.0083,0.1665,1.0435
257,0.1184,-0.0481,0.9800
258,0.1377,-0.1880,1.0237
259,0.0859,-0.2300,1.0493
260,-0.0061,-0.1074,1.0254
261,-0.1716,0.3188,1.0083
262,-0.2644,0.2649,0.8416
263,-0.2363,-0.1436,0.9229
264,-0.1045,-0.2471,1.0300
265,0.0090,-0.2820,0.9331
266,0.1621,-0.0674,0.9524
267,0.1775,0.0747,0.9731
268,0.1272,0.0066,0.9351
269,0.0405,0.0303,1.0132
270,-0.0610,0.0178,1.0276
271,-0.0930,-0.1772,1.0063
272,-0.0652,-0.2241,1.0959
273,-0.0386,-0.1370,1.0471
274,0.0056,-0.0825,0.9917
275,0.1189,0.1587,1.0093
276,0.1113,0.1338,0.9016
277,0.1052,0.0623,0.8948
278,0.1013,0.0237,0.9221
279,-0.0217,0.0056,0.8958
280,-0.0559,0.0710,0.9290
281,-0.1406,0.0544,0.9446
282,-0.0708,0.1021,0.9995
283,0.0264,0.1133,1.0227
284,0.0332,-0.0090,1.0483
285,0.0054,-0.0779,1.0862
286,-0.0461,-0.0007,1.0774
287,-0.0884,-0.0098,0.9897
288,-0.0671,0.0610,1.0178
289,-0.0425,0.1968,0.9478
290,0.0225,0.0815,0.8804
291,-0.0093,0.0208,0.9358
292,-0.0005,-0.1313,0.9094
293,0.0203,-0.1230,0.9438
294,-0.0022,-0.1138,0.9846
295,-0.0059,-0.1392,0.9885
296,0.0457,-0.2681,1.0461
297,0.0771,-0.1350,1.0852
298,0.1550,-0.2302,0.9731
299,0.1089,0.0583,1.0686
300,0.0112,0.0125,0.9397
301,-0.0767,0.1392,0.9839
302,-0.1274,0.0688,0.9263
303,-0.1741,-0.0024,0.9175
304,-0.0916,-0.0410,0.9575
305,-0.0325,-0.1772,0.9524
