Sample,X,Y,Z
0,0.0852,0.0208,0.9624
1,0.0393,0.0103,0.9790
2,-0.0210,-0.0508,0.9927
3,-0.0552,-0.1072,0.9800
4,-0.0801,-0.0354,0.9934
5,-0.0146,0.0537,0.9709
6,0.0349,0.0168,0.9565
7,0.0559,0.0603,1.0239
8,0.0527,0.0310,0.9653
9,0.0017,-0.0310,0.9761
10,-0.0305,0.0002,1.0005
11,-0.0869,-0.0854,0.9692
12,-0.0496,0.0132,1.0034
13,-0.0125,-0.0042,0.9536
14,0.0471,0.0320,0.9927
15,0.0549,-0.0496,0.9661
16,0.0298,-0.0630,1.0005
17,-0.0029,-0.0142,0.9749
18,-0.0417,0.0166,0.9692
19,-0.0381,0.0232,0.9622
20,-0.0320,0.0085,0.9895
21,0.0117,0.0264,0.9861
22,0.0020,-0.0317,0.9800
23,0.0410,-0.0261,0.9995
24,0.0088,-0.0681,0.9946
25,-0.0071,-0.0146,0.9849
26,0.0029,0.0010,0.9573
27,-0.0300,0.0645,0.9946
28,-0.0410,0.0195,0.9517
29,-0.0002,-0.0054,1.0061
30,0.0042,-0.0503,0.9858
31,0.0068,-0.0735,0.9751
32,0.0237,-0.0020,0.9946
33,0.0203,0.0115,0.9612
34,0.0120,-0.0017,0.9780
35,-0.0098,0.0322,1.0093
36,-0.0208,-0.0154,0.9670
37,-0.0459,-0.0623,0.9868
38,-0.0156,-0.0320,1.0002
39,-0.0127,-0.0464,0.9565
40,0.0144,0.0312,0.9895
41,0.0554,0.0938,0.9622
42,0.0056,-0.0037,0.9651
43,-0.0068,0.0383,1.0239
44,-0.0408,-0.0891,0.9546
45,-0.0515,-0.0249,1.0090
46,0.0027,-0.0181,0.9839
47,0.0293,-0.0198,0.9827
48,0.0613,-0.0120,0.9797
49,0.0232,-0.0110,0.9817
50,-0.0156,0.0193,0.9849
51,-0.0579,-0.0703,0.9507
52,-0.0659,-0.0144,1.0093
53,-0.0115,-0.0039,0.9563
54,0.0193,0.0415,0.9797
55,0.0879,0.0916,0.9829
56,0.0476,0.0007,0.9729
57,-0.0205,-0.0552,1.0142
58,-0.0554,-0.0488,0.9915
59,-0.0942,-0.1099,0.9683
60,-0.0452,-0.0024,1.0112
61,0.0417,-0.0159,0.9517
62,0.0806,0.0417,0.9985
63,0.1177,0.0349,0.9592
64,0.0276,-0.0161,0.9829
65,-0.0442,-0.0029,0.9788
66,-0.1250,-0.0657,0.9622
67,-0.0959,0.0413,0.9983
68,-0.0610,-0.0251,0.9595
69,0.0334,-0.0103,1.0042
70,0.1030,0.0034,0.9897
71,0.0842,-0.0222,0.9790
72,0.0750,-0.0151,0.9885
73,-0.0234,-0.0615,0.9885
74,-0.0620,0.0032,0.9878
75,-0.1011,-0.0459,0.9534
76,-0.0510,0.0913,1.0103
77,-0.0051,-0.0425,0.9370
78,0.0381,0.0146,1.0034
79,0.0879,-0.0088,0.9673
80,0.0320,-0.0271,0.9768
81,0.0056,-0.0066,0.9956
82,-0.0420,-0.0198,0.9846
83,-0.0720,-0.0212,0.9866
84,-0.0356,0.0291,0.9915
85,-0.0002,-0.0273,0.9692
86,0.0537,-0.0151,0.9937
87,0.0764,-0.0356,0.9712
88,0.0415,0.0132,0.9897
89,0.0054,-0.0234,0.9507
90,-0.0735,-0.0127,0.9875
91,-0.0725,0.0056,0.9839
92,-0.0400,-0.0398,0.9546
93,-0.0010,0.0239,1.0081
94,0.0908,-0.0020,0.9534
95,0.0562,-0.0332,1.0032
96,0.0420,0.0305,0.9829
97,-0.0259,-0.0459,0.9702
98,-0.0771,0.0227,1.0178
99,-0.0596,-0.0454,0.9524
100,-0.0159,-0.0088,0.9956
101,0.0562,0.0049,0.9788
102,0.1814,-0.0010,0.9370
103,0.3843,0.0583,0.9866
104,0.4556,-0.0298,1.0022
105,0.5503,-0.1724,1.0403
106,0.5510,-0.3655,1.0259
107,0.4585,-0.3130,1.0891
108,0.4487,-0.4136,0.9543
109,0.3059,-0.5837,0.9517
110,0.2239,-0.5027,0.9868
111,0.1309,-0.5808,0.8804
112,0.0991,-0.4731,0.9768
113,0.1519,-0.4634,0.9475
114,0.2776,-0.4841,1.0200
115,0.5190,-0.4868,1.0247
116,0.7427,-0.5503,1.0247
117,0.8899,-0.5530,1.0483
118,0.9712,-0.6587,1.0027
119,0.9231,-0.7063,1.0679
120,0.8091,-0.8003,1.0198
121,0.7222,-0.8364,1.0042
122,0.6233,-0.7859,0.9780
123,0.6091,-0.7124,0.9172
124,0.6343,-0.6333,0.8918
125,0.5913,-0.5620,0.9182
126,0.5698,-0.5093,0.9651
127,0.5090,-0.4875,0.9849
128,0.3645,-0.4839,1.0266
129,0.2366,-0.3826,1.0415
130,0.1121,-0.4055,1.0073
131,0.0215,-0.2683,1.0237
132,0.0454,-0.2449,0.9722
133,0.1150,-0.2539,0.9895
134,0.2336,-0.3948,1.0054
135,0.4055,-0.2039,1.0659
136,0.5129,0.0908,1.0103
137,0.5139,0.1606,0.9380
138,0.4260,-0.0459,1.0024
139,0.3989,-0.1628,1.0178
140,0.3713,-0.2495,0.9741
141,0.4436,-0.0806,1.0200
142,0.4934,-0.3679,0.9497
143,0.5073,-0.4678,1.0432
144,0.5208,-0.5095,0.9712
145,0.4038,-0.3647,0.9475
146,0.2297,-0.3943,0.8970
147,0.0793,-0.5125,0.9536
148,0.0825,-0.4536,0.9983
149,0.2229,-0.5544,0.9360
150,0.3979,-0.4448,1.0588
151,0.5715,-0.4890,1.0249
152,0.6633,-0.5994,1.0493
153,0.4570,-0.6108,1.0852
154,0.0811,-0.5242,0.9907
155,-0.3894,-0.4067,0.8523
156,-0.8855,0.1184,0.9260
157,-1.1060,0.6079,0.7349
158,-1.1411,0.7393,0.7573
159,-0.8542,1.0403,0.9739
160,-0.3755,0.7727,0.9241
161,0.0698,0.7317,1.1331
162,0.4377,0.6089,1.1792
163,0.6470,0.4104,1.2180
164,0.6360,0.3228,1.2349
165,0.5642,0.3184,1.1655
166,0.5295,0.1445,1.0503
167,0.5112,0.0222,1.0071
168,0.6008,-0.1794,0.8901
169,0.5950,-0.2537,0.8306
170,0.5073,-0.3921,0.7786
171,0.2805,-0.6765,0.7573
172,-0.1477,-0.9438,0.8157
173,-0.4502,-1.0474,0.8821
174,-0.6414,-1.1797,0.9055
175,-0.5854,-1.0457,1.0601
176,-0.2947,-0.8804,1.0266
177,-0.0342,-0.6177,1.1194
178,0.2227,-0.1960,1.1077
179,0.2595,-0.0974,1.0405
180,0.1868,0.1760,1.1223
181,0.1033,0.2788,1.0103
182,0.0396,0.5083,1.0112
183,0.1067,0.6704,0.9741
184,0.2078,0.7122,0.9817
185,0.2219,0.6685,0.9521
186,0.2102,0.6206,0.9253
187,0.0518,0.3767,0.8879
188,-0.1943,0.3831,0.9485
189,-0.3599,0.4067,0.8696
190,-0.5483,0.4297,0.8862
191,-0.4900,0.4807,0.9241
192,-0.4089,0.3699,0.9387
193,-0.3101,0.2312,1.0103
194,-0.0583,-0.0901,1.0591
195,-0.0393,-0.3962,1.1611
196,-0.0105,-0.5740,1.1597
197,0.0200,-0.5649,1.1497
198,0.0166,-0.4370,1.0940
199,0.0505,-0.2788,1.0112
200,0.1553,-0.2324,0.9504
201,0.3269,-0.2537,0.8804
202,0.3782,-0.3528,0.8579
203,0.3391,-0.2224,0.8540
204,0.2581,-0.1880,0.7974
205,0.0461,0.0776,0.8999
206,-0.0903,0.1897,0.8665
207,-0.1074,-0.0056,0.9360
208,-0.0930,0.0095,1.1235
209,0.0969,-0.2803,1.0161
210,0.1909,-0.3564,1.1506
211,0.2273,0.0640,1.1216
212,0.1221,0.3611,0.9397
213,-0.1287,0.5764,0.9788
214,-0.2161,0.3657,0.9663
215,-0.2004,0.0608,1.0237
216,-0.1221,-0.0669,1.0334
217,0.0862,-0.2476,0.9583
218,0.0535,-0.2478,1.0259
219,0.0190,0.0137,0.9653
220,-0.0806,-0.0542,0.8608
221,-0.2104,0.1963,0.9849
222,-0.1475,0.0122,0.8381
223,-0.1035,-0.0417,0.9868
224,0.0955,-0.1694,0.9612
225,0.1797,-0.2812,0.9692
226,0.1960,0.0713,1.0493
227,0.1289,0.2231,0.9065
228,-0.0415,0.2983,1.0210
229,-0.1731,0.1997,1.0151
230,-0.2168,-0.2078,1.0361
231,-0.0964,-0.1763,1.1047
232,0.0559,-0.1714,0.9963
233,0.0630,0.0383,1.0198
234,0.0864,0.2202,0.9390
235,0.0264,0.0972,0.9204
236,-0.1460,0.1255,0.9875
237,-0.1592,-0.0173,0.8674
238,-0.0566,-0.1086,0.9407
239,0.0259,-0.0149,0.9810
240,0.1724,-0.0620,0.8977
241,0.2097,0.1282,1.0278
242,0.1038,0.1040,0.9858
243,-0.0034,-0.2595,0.9946
244,-0.0959,-0.3452,1.1116
245,-0.1111,-0.2427,1.0686
246,-0.0886,0.0256,1.0256
247,0.0149,0.0413,0.9446
248,0.1033,-0.1287,0.9888
249,0.0403,-0.0369,1.0112
250,0.0071,-0.0110,0.8657
251,-0.0205,0.0503,0.9517
252,-0.0898,0.0527,0.9836
253,-0.0400,-0.1067,0.9260
254,0.0195,0.0024,1.0168
255,0.0762,0.0576,0.9670
256,0.0808,0.0071,0.9583
257,0.0603,0.1458,1.0217
258,-0.0222,0.1128,0.9507
259,-0.1140,0.2637,1.0308
260,-0.0259,0.2913,0.9846
261,-0.0417,-0.0095,0.9895
262,-0.0037,-0.0425,1.0989
263,0.1155,-0.2913,0.9390
264,0.0071,-0.2319,1.0139
265,-0.0583,0.0471,1.0044
266,-0.1167,-0.0032,0.8911
267,-0.2363,0.1758,1.0308
268,-0.2119,0.0032,0.8984
269,-0.1499,-0.2175,0.9702
270,-0.0205,-0.0688,1.0374
271,0.1697,-0.1648,0.9253
272,0.2292,-0.1333,1.0256
273,0.1921,-0.1196,1.0002
274,0.2947,-0.0527,0.9624
275,0.1475,0.0569,0.9534
276,0.0530,0.0684,0.9592
277,0.0405,-0.0820,0.9797
278,0.0227,-0.0732,1.0288
279,0.0247,-0.0872,0.9475
280,-0.0410,0.0691,1.0159
281,-0.0725,0.1067,0.9517
282,-0.1550,0.0505,0.9797
283,-0.1614,0.1458,1.0217
284,-0.1257,-0.0552,0.9175
285,-0.0784,0.1028,1.0364
286,0.0193,0.0176,0.9397
287,0.0767,0.0518,1.0129
288,0.0168,0.2642,0.9966
289,-0.0115,0.0298,0.8879
290,-0.0745,-0.2402,1.0708
291,-0.0718,-0.2302,1.0425
292,-0.0188,-0.1514,0.9495
293,-0.0242,-0.0203,0.9954
294,0.0571,-0.0415,0.9407
295,-0.0007,0.0823,0.9680
296,-0.0205,0.1873,0.9202
297,0.0049,0.0613,0.9302
298,-0.0105,0.0400,1.0200
299,0.0535,-0.1526,0.9409
300,0.1077,-0.2522,1.0522
301,0.1084,-0.0913,1.0295
302,0.1040,-0.2336,0.9290
303,0.0557,-0.0107,1.0757
304,0.0435,0.0659,0.9204
305,-0.0320,0.1975,0.9485
306,-0.0286,0.1851,0.9517
307,0.0444,-0.0552,0.9719
308,-0.0066,-0.0657,1.0396
309,0.0142,0.0247,0.9761
310,0.0400,-0.0537,0.9429
311,-0.0928,0.0798,1.0618
