Sample,X,Y,Z
0,0.0137,0.0701,0.9399
1,0.0347,0.0989,0.9341
2,0.0369,0.0115,0.9866
3,0.0308,0.0188,1.0051
4,-0.0325,0.0142,0.9924
5,-0.0330,-0.0803,0.9670
6,-0.0486,-0.1709,1.0286
7,-0.0046,-0.0918,1.0178
8,0.0261,-0.0315,0.9653
9,0.0476,0.0229,0.9673
10,0.0366,0.0608,0.9722
11,0.0105,0.0410,0.9309
12,-0.0349,0.1167,0.9954
13,-0.0498,0.0686,0.9543
14,-0.0886,-0.0503,0.9739
15,-0.0210,-0.0872,1.0005
16,0.0176,-0.1191,1.0142
17,0.0823,-0.0347,1.0159
18,0.0688,-0.0508,0.9768
19,0.0510,0.0085,0.9775
20,-0.0300,0.0359,0.9741
21,-0.0613,0.0374,0.9749
22,-0.0874,0.0159,0.9788
23,-0.0415,0.0298,0.9885
24,0.0059,-0.0315,0.9543
25,0.0400,-0.0635,0.9849
26,0.0730,-0.0117,0.9954
27,0.0386,0.0229,0.9966
28,-0.0022,0.0056,0.9631
29,-0.0603,-0.0469,0.9849
30,-0.0723,-0.0364,0.9827
31,-0.0466,-0.0513,1.0022
32,0.0178,0.0183,0.9895
33,0.0581,0.0215,0.9683
34,0.0994,0.0742,0.9565
35,0.0525,-0.0288,0.9644
36,-0.0002,0.0090,1.0168
37,-0.0811,-0.0540,0.9653
38,-0.1414,-0.0835,0.9819
39,-0.0969,-0.0662,1.0066
40,-0.0269,-0.0176,0.9858
41,0.0774,0.0591,0.9741
42,0.1694,0.0796,0.9553
43,0.1326,0.0654,0.9817
44,0.0259,-0.0352,0.9495
45,-0.0713,-0.0718,0.9993
46,-0.1433,-0.0320,1.0256
47,-0.1753,-0.0864,0.9790
48,-0.0256,-0.0310,0.9946
49,0.0425,-0.0029,0.9702
50,0.1147,0.0237,0.9565
51,0.1523,0.0410,0.9624
52,0.0659,0.0535,0.9915
53,-0.0522,-0.0344,0.9614
54,-0.0955,-0.0686,1.0037
55,-0.1455,-0.0469,1.0002
56,-0.0493,0.0483,0.9917
57,0.0291,0.0618,0.9436
58,0.0837,0.0271,0.9888
59,0.1262,-0.0742,0.9976
60,0.0430,-0.1179,1.0266
61,-0.0183,-0.0540,0.9761
62,-0.0847,-0.0593,0.9446
63,-0.0642,0.0625,0.9905
64,-0.0500,0.0432,0.9573
65,0.0088,0.0901,0.9670
66,0.0105,0.0559,0.9719
67,0.0327,-0.0100,1.0054
68,-0.0083,-0.0496,1.0042
69,0.0127,-0.0476,0.9761
70,0.0442,-0.1423,0.9565
71,0.0286,-0.0588,1.0549
72,0.0176,0.0383,0.9680
73,-0.0056,0.0344,0.9592
74,-0.0405,0.0103,0.9846
75,-0.0967,-0.0344,0.9810
76,-0.0547,0.0938,0.9497
77,-0.0564,-0.0195,0.9495
78,0.0371,-0.0388,1.0208
79,0.1042,-0.0518,0.9866
80,0.1243,0.0288,0.9846
81,0.0916,0.0811,0.9788
82,0.0085,0.0024,0.9612
83,-0.1196,-0.0569,0.9985
84,-0.1392,-0.1123,1.0210
85,-0.1433,-0.1311,1.0227
86,-0.0464,-0.0430,0.9885
87,0.0852,0.0417,0.9370
88,0.1504,0.1184,0.9387
89,0.1458,0.1079,0.9395
90,0.0640,0.0808,0.9875
91,-0.0427,-0.0215,0.9819
92,-0.1340,-0.1047,1.0278
93,-0.1377,-0.1245,0.9827
94,-0.1052,-0.0654,1.0171
95,0.0349,0.0452,0.9937
96,0.0581,-0.0566,0.9810
97,0.1306,-0.0122,0.9849
98,0.0657,-0.0332,0.9722
99,0.0222,0.1033,0.9700
100,-0.0476,-0.0039,0.9028
101,-0.0371,0.0720,0.9976
102,-0.0525,-0.0015,0.9817
103,-0.0315,-0.0073,1.0259
104,-0.0281,-0.0515,0.9983
105,-0.0076,-0.0142,1.0012
106,0.0037,-0.0676,0.9358
107,0.0186,-0.1028,1.0051
108,0.0801,-0.0273,1.0171
109,0.0427,-0.0034,0.9761
110,-0.0012,0.0212,0.9358
111,-0.0466,0.0103,0.9758
112,-0.0322,0.0750,0.9961
113,-0.0830,0.1123,0.9700
114,-0.0081,0.0273,0.9016
115,-0.0088,-0.1509,0.9973
116,0.0801,-0.0422,1.0833
117,0.0791,-0.0005,0.9917
118,0.0293,0.0032,0.9478
119,-0.0369,-0.1013,0.9651
120,-0.0598,-0.0906,1.0200
121,-0.0972,0.0356,1.0032
122,-0.0320,0.0935,0.9302
123,0.0183,0.0020,0.9377
124,0.0872,-0.0122,1.0015
125,0.1045,0.0176,1.0024
126,0.0439,0.0771,0.9614
127,-0.0388,0.0156,0.9573
128,-0.1128,-0.1172,0.9856
129,-0.1047,-0.0894,1.0503
130,-0.0620,-0.0264,0.9966
131,-0.0022,-0.0457,0.9429
132,0.0671,-0.0142,0.9878
133,0.1309,0.0532,0.9858
134,0.1638,0.1064,0.9771
135,0.0664,0.0742,0.9348
136,-0.0706,-0.1006,0.9438
137,-0.1743,-0.0945,1.0396
138,-0.1843,-0.0400,1.0454
139,-0.1079,-0.0349,0.9507
140,0.0337,0.0090,0.9456
141,0.1653,0.0938,0.9702
142,0.1987,0.0171,0.9749
143,0.1062,-0.0273,1.0142
144,-0.0215,-0.0210,0.9807
145,-0.1213,-0.0334,0.9663
146,-0.1528,-0.0107,1.0063
147,-0.1145,-0.0923,0.9788
148,-0.0295,-0.0049,0.9927
149,0.0527,0.0764,0.9709
150,0.0945,0.0071,0.9612
151,0.1384,-0.0688,0.9983
152,0.0515,0.0139,0.9797
153,0.0098,0.0837,0.9348
154,-0.0959,-0.0103,0.9556
155,-0.0757,-0.0625,1.0327
156,-0.0693,-0.0828,1.0149
157,-0.0559,-0.0127,0.9924
