Sample,X,Y,Z
0,-0.0168,-0.0156,0.9683
1,-0.0486,-0.0508,0.9758
2,-0.0503,0.0515,0.9917
3,-0.0193,-0.0200,0.9514
4,0.0098,-0.0393,0.9963
5,0.0393,-0.0586,0.9995
6,0.0273,-0.0125,0.9907
7,0.0457,0.0271,0.9700
8,0.0088,0.0276,0.9702
9,-0.0537,-0.0144,0.9709
10,-0.0251,-0.0107,0.9749
11,-0.0615,-0.0183,0.9680
12,-0.0198,0.0833,0.9917
13,0.0276,-0.0691,0.9722
14,0.0708,-0.0391,1.0269
15,0.0769,-0.0303,0.9739
16,0.0103,0.0112,0.9878
17,-0.0117,-0.0278,0.9810
18,-0.0601,-0.0488,0.9692
19,-0.0876,0.0527,0.9937
20,-0.0210,0.0281,0.9426
21,0.0154,-0.0720,0.9858
22,0.0437,0.0071,1.0022
23,0.0461,0.0227,0.9517
24,0.0146,0.0544,0.9758
25,-0.0325,-0.1101,0.9836
26,0.0222,-0.0427,1.0229
27,-0.0291,0.0244,0.9644
28,-0.0381,0.0969,0.9670
29,0.0032,-0.0625,0.9731
30,-0.0029,-0.0896,1.0188
31,0.0288,0.0381,0.9885
32,0.0444,-0.0012,0.9319
33,0.0110,-0.0005,0.9939
34,-0.0217,-0.0203,0.9797
35,-0.0530,-0.0039,0.9722
36,-0.0342,-0.0344,0.9778
37,0.0164,-0.0303,0.9905
38,0.0352,0.0491,0.9788
39,0.0425,0.0635,0.9546
40,-0.0117,-0.0496,0.9819
41,-0.0415,-0.0496,1.0151
42,-0.0156,-0.0337,0.9856
43,-0.0215,0.0281,0.9856
44,0.0234,0.0007,0.9807
45,0.0483,-0.0693,0.9670
46,0.0024,0.0144,1.0083
47,0.0027,0.0195,0.9458
48,-0.0105,-0.0452,0.9602
49,-0.0352,0.0593,1.0061
50,-0.0002,-0.0017,0.9409
51,-0.0173,-0.0420,0.9827
52,-0.0120,-0.0103,1.0132
53,0.0120,-0.0496,0.9761
54,-0.0078,-0.0107,1.0044
55,0.0266,-0.0029,0.9761
