Sample,X,Y,Z
0,0.0171,-0.0283,0.9895
1,0.0193,-0.1116,0.9827
2,-0.0291,0.0208,1.0110
3,-0.0176,-0.0237,0.9426
4,-0.0408,-0.0356,1.0093
5,-0.0396,-0.0425,0.9673
6,0.0020,-0.0054,0.9709
7,0.0085,0.0857,0.9651
8,-0.0015,-0.0125,0.9429
9,-0.0217,0.0000,0.9839
10,-0.0095,-0.0195,0.9438
11,-0.0100,0.0071,0.9868
12,-0.0388,-0.0029,0.9644
13,0.0081,-0.0303,0.9729
14,-0.0078,-0.0510,0.9927
15,-0.0110,-0.0420,0.9807
16,0.0342,-0.0322,0.9612
17,0.0325,0.0239,0.9819
18,-0.0203,0.0547,0.9868
19,-0.0125,-0.0627,0.9409
20,-0.0518,-0.0461,1.0208
21,-0.0330,0.0676,0.9739
22,-0.0586,-0.0176,0.9536
23,-0.0503,0.0325,1.0122
24,0.0081,-0.0601,0.9458
25,0.0366,0.0137,1.0256
26,0.0300,-0.0544,0.9592
27,0.0728,-0.0825,0.9983
28,0.0095,-0.0488,0.9993
29,-0.0312,0.0273,0.9827
30,-0.0735,0.0767,0.9602
31,-0.0781,0.0610,0.9839
32,-0.0557,-0.0374,0.9839
33,-0.0249,-0.0471,0.9810
34,0.0312,-0.0371,0.9829
35,0.1082,-0.0356,0.9829
36,0.0657,-0.0537,0.9895
37,-0.0173,-0.0913,0.9761
38,-0.0664,0.0212,0.9702
39,-0.1064,0.0466,0.9409
40,-0.1023,0.0820,0.9692
41,-0.0095,0.0227,0.9595
42,0.0254,0.0029,0.9700
43,0.0811,0.0396,0.9827
44,0.0962,-0.0608,0.9573
45,0.0439,-0.1177,1.0081
46,-0.0200,-0.0627,0.9888
47,-0.0708,-0.0547,0.9551
48,-0.1157,0.0496,0.9849
49,-0.0981,-0.0022,0.9468
50,-0.0178,-0.0300,0.9868
51,0.0417,0.0386,0.9739
52,0.0671,-0.0024,0.9438
53,0.0437,0.0664,0.9895
54,-0.0024,-0.0061,0.9631
55,0.0127,-0.0183,0.9946
56,-0.0613,-0.0256,1.0024
57,-0.0454,-0.0735,0.9897
58,-0.0723,-0.0781,1.0015
59,-0.0063,-0.0420,0.9924
60,0.0481,0.0090,0.9741
61,0.0298,0.0288,0.9849
62,0.0288,0.0168,0.9634
63,-0.0046,0.0093,0.9819
64,-0.0515,0.0474,0.9722
65,-0.0586,-0.0303,0.9583
66,-0.0898,-0.0525,1.0142
67,-0.0469,-0.0405,0.9602
68,0.0051,-0.0317,0.9849
69,0.0686,0.0439,0.9836
70,0.1060,-0.0076,0.9749
71,0.0610,-0.0349,0.9644
72,0.0225,-0.0552,0.9878
73,-0.0676,0.0308,0.9839
74,-0.1414,0.0215,0.9299
75,-0.1255,-0.0276,0.9927
76,-0.1025,-0.0037,0.9817
77,0.0320,0.0044,0.9465
78,0.0884,-0.0168,0.9839
79,0.1079,-0.0500,0.9768
80,0.1033,-0.0630,0.9644
81,0.0210,0.0510,0.9915
82,-0.0786,0.0215,0.9543
83,-0.1211,-0.0115,0.9797
84,-0.1169,-0.0701,0.9827
85,-0.0500,0.0164,0.9878
86,0.0261,0.0090,0.9612
87,0.0808,-0.0139,0.9866
88,0.0859,-0.0293,0.9878
89,0.0442,0.0234,0.9829
90,-0.0291,-0.0212,0.9785
91,-0.0786,-0.0317,0.9897
92,-0.0876,-0.0542,0.9817
93,-0.1013,0.0017,0.9944
94,-0.0510,-0.0100,0.9788
95,0.0586,-0.0186,0.9731
96,0.0876,0.0337,0.9983
97,0.0635,-0.0061,0.9663
98,0.0864,-0.0776,0.9722
99,-0.0090,-0.0032,1.0151
100,-0.0586,-0.0098,0.9468
101,-0.1206,-0.0239,0.9875
102,-0.1409,0.0537,0.9878
103,-0.0620,-0.0129,0.9250
104,-0.0176,0.0334,1.0034
105,0.0669,-0.0195,0.9507
106,0.1448,-0.0386,0.9700
107,0.0828,-0.0513,0.9846
108,0.0210,-0.0527,0.9768
109,-0.0803,0.0139,0.9683
110,-0.1392,0.0747,0.9614
111,-0.1121,-0.0547,0.9592
112,-0.0645,-0.0647,1.0071
113,0.0513,0.0029,0.9612
114,0.1506,0.0007,0.9612
115,0.1038,0.0217,0.9885
116,0.0027,-0.0261,0.9641
117,-0.0479,0.0105,0.9690
118,-0.1138,0.0098,0.9800
119,-0.1196,0.0117,0.9868
120,-0.0845,-0.0652,0.9741
121,-0.0115,-0.0525,1.0032
122,0.0559,-0.0327,0.9692
123,0.0928,-0.0051,0.9983
124,0.0786,0.0225,0.9778
125,0.0442,-0.0127,0.9702
126,-0.0718,-0.0251,0.9924
127,-0.0381,0.0017,0.9849
128,-0.0830,-0.0264,0.9673
129,-0.0608,0.0444,1.0122
130,-0.0173,-0.0820,0.9458
131,-0.0012,-0.0195,1.0149
132,0.0269,0.0508,0.9573
133,0.0481,0.0105,0.9663
134,-0.0002,-0.0002,0.9917
135,0.0088,-0.0432,0.9729
136,-0.0349,-0.0547,0.9868
137,-0.0515,-0.0562,0.9651
138,-0.1353,0.0247,0.9780
139,-0.1396,0.5015,0.9253
140,-0.0249,1.1360,0.7883
141,-0.0767,1.5249,0.7271
142,-0.0969,1.6477,0.7463
