Sample,X,Y,Z
0,-0.0049,0.0942,0.9595
1,0.0168,0.0083,0.9377
2,0.0422,0.0332,1.0024
3,-0.0156,-0.0547,0.9614
4,-0.0425,-0.0444,1.0259
5,-0.0244,-0.1101,0.9639
6,-0.0376,-0.0068,1.0129
7,0.0088,-0.0200,0.9739
8,-0.0110,-0.0439,0.9683
9,0.0181,0.0520,0.9778
10,0.0291,0.0413,0.9360
11,0.0122,0.0842,0.9917
12,-0.0061,-0.0249,0.9673
13,-0.0310,-0.0520,0.9966
14,-0.0632,-0.0664,0.9661
15,-0.0908,-0.0601,0.9761
16,-0.0703,-0.0562,0.9868
17,0.0005,-0.0374,0.9712
18,0.0652,0.0227,0.9885
19,0.0771,0.0488,0.9487
20,0.0486,0.0061,0.9768
21,-0.0208,-0.0161,0.9692
22,-0.0798,-0.0125,0.9875
23,-0.0977,0.0259,0.9771
24,-0.0898,0.0176,0.9875
25,-0.0330,-0.0059,0.9895
26,0.0227,-0.0859,0.9778
27,0.0684,-0.0645,0.9915
28,0.0750,-0.0413,0.9797
29,0.0547,0.0225,0.9849
30,-0.0205,0.0420,0.9556
31,-0.0886,0.0522,0.9788
32,-0.1091,-0.0183,0.9666
33,-0.1030,-0.0249,0.9722
34,-0.0305,-0.0159,0.9565
35,0.0378,-0.0105,0.9917
36,0.0623,-0.0190,0.9849
37,0.0891,-0.0557,0.9829
38,0.0508,-0.0464,1.0093
39,0.0173,-0.0552,0.9810
40,-0.0381,0.0164,0.9807
41,-0.0933,0.0332,0.9624
42,-0.1003,0.0439,0.9651
43,-0.0552,-0.0107,0.9521
44,-0.0295,0.0681,1.0032
45,0.0134,0.0073,0.9612
46,0.0601,-0.0762,0.9827
47,0.0415,-0.0811,0.9963
48,0.0059,-0.0437,1.0005
49,0.0090,-0.0764,0.9673
50,-0.0386,-0.0261,0.9670
51,-0.0635,0.1594,0.9846
52,-0.0627,0.0347,0.9299
53,-0.0757,0.0349,0.9966
54,0.0112,-0.0393,0.9478
55,0.0381,-0.0676,1.0044
56,0.0537,-0.0483,0.9768
57,0.0364,-0.0828,0.9722
58,-0.0232,-0.0303,1.0081
59,-0.0510,-0.0315,0.9592
60,-0.0857,0.0872,0.9856
61,-0.0486,0.0164,0.9504
62,-0.0020,-0.0222,0.9827
63,0.0459,-0.0598,0.9751
64,0.0718,0.0229,0.9817
65,0.0405,0.0483,0.9575
66,-0.0520,0.0557,1.0005
67,-0.0681,-0.0625,0.9641
68,-0.1238,-0.1187,1.0051
69,-0.0920,-0.0066,1.0034
70,-0.0227,-0.0769,0.9438
71,0.0786,0.0154,1.0024
72,0.1182,-0.0251,0.9526
73,0.0903,0.0542,0.9934
74,0.0308,0.0596,0.9534
75,-0.0513,0.0605,0.9565
76,-0.0991,-0.0381,0.9712
77,-0.1370,-0.0088,1.0071
78,-0.0632,-0.0051,0.9749
79,-0.0015,-0.0549,0.9836
80,0.0479,-0.0820,0.9983
81,0.0474,-0.0510,0.9771
82,0.0471,0.0493,0.9751
83,0.0085,0.0427,0.9458
84,-0.0510,0.0129,0.9836
85,-0.0598,-0.0464,0.9497
86,-0.0591,0.0159,0.9751
87,-0.0649,0.0342,0.9622
88,-0.0325,-0.0195,0.9800
89,0.0227,-0.0483,0.9858
90,0.0542,-0.0308,1.0051
91,0.0637,0.0059,0.9751
92,0.0144,-0.0203,0.9722
93,-0.0420,0.0720,1.0032
94,-0.0886,-0.0203,0.9438
95,-0.1211,-0.0249,1.0063
96,-0.0654,-0.0342,0.9595
97,0.0144,0.0005,0.9878
98,0.1284,-0.0178,0.9565
99,0.1199,-0.0100,0.9858
100,0.0574,-0.0066,0.9917
101,-0.0212,-0.1187,0.9377
102,-0.1235,0.0190,1.0161
103,-0.1353,0.0039,0.9658
104,-0.0688,-0.0034,0.9788
105,0.0166,-0.0193,0.9905
106,0.0740,0.0273,0.9968
107,0.1008,0.0134,0.9609
108,0.0374,0.0137,0.9731
109,-0.0286,-0.0110,0.9749
110,-0.1240,-0.0486,0.9878
111,-0.1228,0.0415,0.9797
112,-0.0652,0.0129,0.9673
113,0.0183,0.0215,1.0027
114,0.1108,-0.0764,0.9543
115,0.1086,-0.0659,0.9888
116,0.0703,-0.0308,0.9641
117,-0.0342,0.0149,0.9604
118,-0.1162,0.0078,0.9534
119,-0.1504,0.0298,0.9661
120,-0.1392,0.0337,0.9778
121,-0.0557,0.0076,0.9631
122,0.0566,-0.0332,0.9739
123,0.1475,-0.0164,1.0090
124,0.1379,-0.0237,0.9976
125,0.1050,-0.0156,0.9729
126,-0.0457,0.0369,0.9739
127,-0.1077,-0.1450,0.9407
128,-0.2468,-0.6509,0.9797
129,-0.2849,-0.9390,1.0588
130,-0.1514,-1.1638,1.0386
131,-0.0173,-1.2693,1.0181
132,0.1265,-1.3406,1.0200
133,0.1602,-1.4106,1.0398
134,0.0166,-1.3181,1.2329
135,0.0715,-1.2703,0.7979
136,-0.2642,-0.5476,0.8394
137,-0.2744,-0.3652,0.8616
138,-0.1816,-0.4507,0.8352
139,-0.0017,-0.6694,0.9407
140,0.2817,-0.5513,0.9885
141,0.4480,-0.6218,1.0210
