Sample,X,Y,Z
0,-0.9878,-0.1282,-0.0244
1,-0.9927,-0.1257,-0.0227
2,-0.9949,-0.1255,-0.0247
3,-0.9949,-0.1243,-0.0271
4,-0.9966,-0.1213,-0.0291
5,-0.9917,-0.1213,-0.0247
6,-0.9939,-0.1216,-0.0261
7,-0.9937,-0.1187,-0.0291
8,-0.9956,-0.1228,-0.0271
9,-0.9966,-0.1213,-0.0261
10,-0.9958,-0.1252,-0.0283
11,-0.9985,-0.1228,-0.0264
12,-0.9937,-0.1228,-0.0261
13,-0.9939,-0.1284,-0.0266
14,-0.9949,-0.1157,-0.0317
15,-0.9949,-0.1201,-0.0208
16,-0.9917,-0.1272,-0.0273
17,-0.9929,-0.1221,-0.0242
18,-0.9968,-0.1177,-0.0234
19,-0.9929,-0.1226,-0.0247
20,-0.9949,-0.1179,-0.0283
21,-0.9919,-0.1230,-0.0208
22,-0.9968,-0.1228,-0.0310
23,-0.9929,-0.1179,-0.0276
24,-0.9956,-0.1255,-0.0256
25,-0.9949,-0.1196,-0.0276
26,-0.9968,-0.1230,-0.0325
27,-0.9946,-0.1204,-0.0232
28,-0.9937,-0.1189,-0.0249
29,-0.9927,-0.1306,-0.0259
30,-0.9929,-0.1216,-0.0264
31,-0.9929,-0.1206,-0.0286
32,-0.9919,-0.1187,-0.0286
33,-0.9917,-0.1228,-0.0281
34,-0.9919,-0.1274,-0.0286
35,-0.9939,-0.1167,-0.0281
36,-0.9956,-0.1216,-0.0261
37,-0.9958,-0.1230,-0.0273
38,-0.9949,-0.1245,-0.0259
39,-0.9978,-0.1182,-0.0298
40,-0.9966,-0.1257,-0.0264
41,-0.9946,-0.1199,-0.0259
42,-0.9966,-0.1226,-0.0298
43,-0.9958,-0.1245,-0.0278
44,-0.9937,-0.1223,-0.0291
45,-0.9937,-0.1248,-0.0283
46,-0.9968,-0.1226,-0.0256
47,-0.9958,-0.1155,-0.0278
48,-0.9949,-0.1250,-0.0210
49,-0.9958,-0.1191,-0.0293
50,-0.9978,-0.1206,-0.0229
51,-0.9949,-0.1187,-0.0281
52,-0.9956,-0.1255,-0.0310
53,-0.9978,-0.1201,-0.0242
54,-0.9939,-0.1238,-0.0244
55,-0.9949,-0.1208,-0.0283
56,-0.9937,-0.1218,-0.0249
57,-0.9917,-0.1287,-0.0215
58,-0.9937,-0.1230,-0.0264
59,-0.9958,-0.1201,-0.0222
60,-0.9937,-0.1204,-0.0249
61,-0.9939,-0.1270,-0.0249
62,-0.9956,-0.1272,-0.0249
63,-0.9939,-0.1167,-0.0261
64,-0.9929,-0.1228,-0.0271
65,-0.9937,-0.1213,-0.0266
66,-0.9939,-0.1260,-0.0298
67,-0.9939,-0.1213,-0.0220
68,-0.9958,-0.1206,-0.0339
69,-0.9946,-0.1184,-0.0232
70,-0.9946,-0.1287,-0.0259
71,-0.9956,-0.1208,-0.0305
72,-0.9958,-0.1177,-0.0225
73,-0.9939,-0.1221,-0.0261
74,-0.9946,-0.1260,-0.0317
75,-0.9919,-0.1211,-0.0222
76,-0.9929,-0.1226,-0.0264
77,-0.9956,-0.1201,-0.0295
78,-0.9958,-0.1238,-0.0237
79,-0.9937,-0.1248,-0.0281
80,-0.9929,-0.1187,-0.0295
81,-0.9929,-0.1213,-0.0215
82,-0.9939,-0.1228,-0.0266
83,-0.9966,-0.1213,-0.0266
84,-0.9968,-0.1230,-0.0251
85,-0.9949,-0.1243,-0.0254
86,-0.9949,-0.1201,-0.0283
87,-0.9946,-0.1240,-0.0249
88,-0.9946,-0.1248,-0.0317
89,-0.9949,-0.1213,-0.0266
90,-0.9939,-0.1206,-0.0239
91,-0.9939,-0.1223,-0.0266
92,-0.9939,-0.1238,-0.0247
93,-0.9958,-0.1292,-0.0269
94,-0.9949,-0.1206,-0.0293
95,-0.9929,-0.1228,-0.0227
96,-0.9956,-0.1230,-0.0278
97,-0.9917,-0.1160,-0.0264
98,-0.9927,-0.1331,-0.0288
99,-0.9946,-0.1191,-0.0286
100,-0.9946,-0.1235,-0.0271
101,-0.9917,-0.1174,-0.0288
102,-0.9946,-0.1169,-0.0247
103,-0.9929,-0.1282,-0.0256
104,-0.9937,-0.1233,-0.0291
105,-0.9976,-0.1179,-0.0220
106,-0.9939,-0.1206,-0.0254
107,-0.9910,-0.1226,-0.0288
108,-0.9946,-0.1226,-0.0242
109,-0.9937,-0.1213,-0.0278
110,-0.9949,-0.1245,-0.0273
111,-0.9927,-0.1218,-0.0293
112,-0.9917,-0.1184,-0.0264
113,-0.9917,-0.1250,-0.0283
114,-0.9927,-0.1182,-0.0254
115,-0.9939,-0.1245,-0.0254
116,-0.9956,-0.1233,-0.0300
117,-0.9958,-0.1194,-0.0298
