12:47:54.942 >> td
12:47:54.992 trigger debug on
12:47:55.295 >> v
12:47:55.345 a=2238585,b=2241795
12:47:55.345 a=2237675,b=2238585
12:47:55.346 a=2236970,b=2237675
12:47:55.346 a=2236223,b=2236970
12:47:55.346 a=2234699,b=2236223
12:47:55.346 a=2240101,b=2236223
12:47:55.346 a=2242778,b=2240101
12:47:55.346 a=2242571,b=2242571
12:47:55.346 a=2242846,b=2242778
12:47:55.346 a=2240836,b=2242571
12:47:55.346 a=2236159,b=2240836
12:47:55.346 a=2237219,b=2237219
12:47:55.346 a=2242510,b=2237219
12:47:55.346 a=2243886,b=2242510
12:47:55.346 a=2239895,b=2242510
12:47:55.346 a=2236503,b=2239895
12:47:55.346 a=2237877,b=2237877
12:47:55.346 a=2243492,b=2237877
12:47:55.346 a=2242097,b=2242097
12:47:55.346 a=2238829,b=2242097
12:47:55.346 a=2235913,b=2238829
12:47:55.346 a=2240080,b=2238829
12:47:55.346 a=2242236,b=2240080
12:47:55.346 a=2239764,b=2240080
12:47:55.346 a=2238428,b=2239764
12:47:55.346 a=2237520,b=2238428
12:47:55.346 a=2237736,b=2237736
12:47:55.346 a=2239544,b=2237736
12:47:55.346 a=2242192,b=2239544
12:47:55.346 a=2241375,b=2241375
12:47:55.346 a=2242863,b=2242192
12:47:55.346 a=2242712,b=2242712
12:47:55.346 a=2243240,b=2242863
12:47:55.346 a=2239623,b=2242712
12:47:55.346 a=2241416,b=2241416
12:47:55.346 a=2244547,b=2241416
12:47:55.346 a=2244316,b=2244316
12:47:55.346 a=2242792,b=2244316
12:47:55.346 a=2241518,b=2242792
12:47:55.346 a=2240605,b=2241518
12:47:55.346 a=2241427,b=2241427
12:47:55.346 a=2238680,b=2240605
12:47:55.347 a=2238726,b=2238726
12:47:55.347 a=2239796,b=2238726
12:47:55.347 a=2238397,b=2238726
12:47:55.347 a=2239442,b=2239442
12:47:55.347 a=2239213,b=2239213
12:47:55.347 a=2237098,b=2239213
12:47:55.347 a=2241778,b=2239213
12:47:55.347 a=2243496,b=2241778
12:47:55.347 a=2241855,b=2241855
12:47:55.347 a=2241023,b=2241855
12:47:55.347 a=2241247,b=2241247
12:47:55.347 a=2238633,b=2241023
12:47:55.347 a=2239207,b=2239207
12:47:55.347 a=2237829,b=2238633
12:47:55.347 a=2240363,b=2239207
12:47:55.347 a=2243721,b=2240363
12:47:55.347 a=2239966,b=2240363
12:47:55.347 a=2238867,b=2239966
12:47:55.347 a=2240256,b=2239966
12:47:55.347 a=2243834,b=2240256
12:47:55.347 a=2241995,b=2241995
12:47:55.347 a=2239583,b=2241995
12:47:55.347 a=2237891,b=2239583
12:47:55.347 a=2237400,b=2237891
12:47:55.397 a=2239988,b=2237891
12:47:55.397 a=2243126,b=2239988
12:47:55.397 a=2242760,b=2242760
12:47:55.397 a=2241734,b=2242760
12:47:55.397 a=2237653,b=2241734
