12:42:02.723 >> td
12:42:02.773 trigger debug on
12:42:03.076 >> v
12:42:03.126 a=2239626,b=2240653
12:42:03.127 a=2239284,b=2239626
12:42:03.127 a=2237842,b=2239284
12:42:03.127 a=2237265,b=2237842
12:42:03.127 a=2236435,b=2237265
12:42:03.127 a=2239358,b=2237265
12:42:03.127 a=2236216,b=2236435
12:42:03.127 a=2235734,b=2236216
12:42:03.127 a=2243392,b=2236216
12:42:03.127 a=2244301,b=2243392
12:42:03.127 a=2239541,b=2243392
12:42:03.127 a=2237336,b=2239541
12:42:03.127 a=2239472,b=2239472
12:42:03.127 a=2238812,b=2238812
12:42:03.127 a=2238071,b=2238812
12:42:03.127 a=2238281,b=2238281
12:42:03.127 a=2238912,b=2238281
12:42:03.127 a=2239424,b=2238912
12:42:03.127 a=2240204,b=2239424
12:42:03.127 a=2238368,b=2239424
12:42:03.127 a=2234118,b=2238368
12:42:03.127 a=2234689,b=2234689
12:42:03.127 a=2238687,b=2234689
12:42:03.127 a=2239456,b=2238687
12:42:03.127 a=2237563,b=2238687
12:42:03.127 a=2236802,b=2237563
12:42:03.127 a=2242001,b=2237563
12:42:03.127 a=2242248,b=2242001
12:42:03.127 a=2241384,b=2242001
12:42:03.127 a=2239798,b=2241384
12:42:03.127 a=2239963,b=2239963
12:42:03.127 a=2240867,b=2239963
12:42:03.127 a=2243125,b=2240867
12:42:03.127 a=2237978,b=2240867
12:42:03.127 a=2233286,b=2237978
12:42:03.127 a=2232282,b=2233286
12:42:03.127 a=2236029,b=2233286
12:42:03.127 a=2239762,b=2236029
12:42:03.128 a=2238410,b=2238410
12:42:03.128 a=2240836,b=2239762
12:42:03.128 a=2242329,b=2240836
12:42:03.128 a=2240687,b=2240836
12:42:03.128 a=2240746,b=2240746
12:42:03.128 a=2237431,b=2240687
12:42:03.128 a=2236574,b=2237431
12:42:03.128 a=2235607,b=2236574
12:42:03.128 a=2236723,b=2236574
12:42:03.128 a=2240175,b=2236723
12:42:03.128 a=2241482,b=2240175
12:42:03.128 a=2244817,b=2241482
12:42:03.128 a=2241543,b=2241543
12:42:03.128 a=2236483,b=2241543
12:42:03.128 a=2235003,b=2236483
12:42:03.128 a=2237230,b=2236483
12:42:03.128 a=2235881,b=2235881
12:42:03.128 a=2237086,b=2237086
12:42:03.128 a=2239828,b=2237086
12:42:03.128 a=2238928,b=2238928
12:42:03.128 a=2237726,b=2238928
12:42:03.128 a=2239411,b=2238928
12:42:03.128 a=2239779,b=2239411
12:42:03.128 a=2239228,b=2239411
12:42:03.128 a=2236787,b=2239228
12:42:03.128 a=2239443,b=2239228
12:42:03.128 a=2238113,b=2238113
12:42:03.128 a=2235550,b=2238113
12:42:03.178 a=2237820,b=2237820
12:42:03.178 a=2243065,b=2237820
12:42:03.178 a=2240406,b=2240406
12:42:03.178 a=2240401,b=2240406
12:42:03.179 a=2240970,b=2240406
12:42:03.179 a=2233691,b=2240401
12:42:03.179 a=2234272,b=2234272
12:42:03.179 a=2241378,b=2234272
12:42:03.179 a=2238765,b=2238765
12:42:03.179 a=2237997,b=2238765
12:42:03.179 a=2238739,b=2238739
