12:33:11.356 >> td
12:33:11.407 trigger debug on
12:33:11.709 >> v
12:33:11.759 a=2239684,b=2239356
12:33:11.760 a=2243367,b=2239684
12:33:11.760 a=2240186,b=2240186
12:33:11.760 a=2240440,b=2240440
12:33:11.760 a=2240906,b=2240440
12:33:11.760 a=2239405,b=2240440
12:33:11.760 a=2239163,b=2239405
12:33:11.760 a=2242726,b=2239405
12:33:11.760 a=2241217,b=2241217
12:33:11.760 a=2240819,b=2241217
12:33:11.760 a=2236688,b=2240819
12:33:11.760 a=2234771,b=2236688
12:33:11.760 a=2237944,b=2236688
12:33:11.760 a=2239929,b=2237944
12:33:11.760 a=2239705,b=2239705
12:33:11.760 a=2239012,b=2239705
12:33:11.760 a=2240324,b=2239705
12:33:11.760 a=2244676,b=2240324
12:33:11.760 a=2243653,b=2243653
12:33:11.760 a=2242657,b=2243653
12:33:11.760 a=2242211,b=2242657
12:33:11.760 a=2241382,b=2242211
12:33:11.760 a=2236609,b=2241382
12:33:11.760 a=2237655,b=2237655
12:33:11.761 a=2239128,b=2237655
12:33:11.761 a=2235814,b=2237655
12:33:11.761 a=2239970,b=2239128
12:33:11.761 a=2242722,b=2239970
12:33:11.761 a=2239623,b=2239970
12:33:11.761 a=2239004,b=2239623
12:33:11.761 a=2244912,b=2239623
12:33:11.761 a=2245715,b=2244912
12:33:11.761 a=2241167,b=2244912
12:33:11.761 a=2234895,b=2241167
12:33:11.761 a=2233875,b=2234895
12:33:11.761 a=2236693,b=2234895
12:33:11.761 a=2238812,b=2236693
12:33:11.761 a=2237212,b=2237212
12:33:11.761 a=2239868,b=2238812
12:33:11.761 a=2239328,b=2239328
12:33:11.761 a=2238234,b=2239328
12:33:11.761 a=2241194,b=2239328
12:33:11.761 a=2241973,b=2241194
12:33:11.761 a=2238089,b=2241194
12:33:11.761 a=2239206,b=2239206
12:33:11.761 a=2240824,b=2239206
12:33:11.761 a=2240910,b=2240824
12:33:11.761 a=2240898,b=2240898
12:33:11.761 a=2240565,b=2240898
12:33:11.761 a=2240473,b=2240565
12:33:11.761 a=2238374,b=2240473
12:33:11.761 a=2237814,b=2238374
12:33:11.761 a=2237524,b=2237814
12:33:11.761 a=2234893,b=2237524
12:33:11.761 a=2238344,b=2237524
12:33:11.761 a=2239635,b=2238344
12:33:11.761 a=2236990,b=2238344
12:33:11.761 a=2235110,b=2236990
12:33:11.761 a=2237691,b=2236990
12:33:11.761 a=2241510,b=2237691
12:33:11.761 a=2243646,b=2241510
12:33:11.761 a=2243963,b=2243646
12:33:11.761 a=2241646,b=2243646
12:33:11.761 a=2242155,b=2242155
12:33:11.761 a=2241602,b=2241646
12:33:11.762 a=2240713,b=2241602
12:33:11.812 a=2241966,b=2241602
12:33:11.812 a=2237550,b=2240713
12:33:11.812 a=2233888,b=2237550
12:33:11.812 a=2238780,b=2237550
12:33:11.812 a=2239114,b=2238780
12:33:11.812 a=2240009,b=2239114
12:33:11.812 a=2239595,b=2239595
12:33:11.812 a=2239287,b=2239595
12:33:11.812 a=2238533,b=2239287
12:33:11.812 a=2236314,b=2238533
12:33:11.812 a=2231919,b=2236314
12:33:11.812 a=2236608,b=2236314
12:33:11.812 a=2240783,b=2236608
12:33:11.812 a=2239966,b=2239966
12:33:11.812 a=2243059,b=2240783
12:33:11.812 a=2244316,b=2243059
12:33:11.812 a=2238394,b=2243059
12:33:11.812 a=2236762,b=2238394
12:33:11.812 a=2238062,b=2238062
12:33:11.812 a=2237653,b=2237653
12:33:11.812 a=2238426,b=2238062
12:33:11.812 a=2241143,b=2238426
12:33:11.812 a=2237877,b=2238426
12:33:11.812 a=2239708,b=2239708
12:33:11.812 a=2244447,b=2239708
12:33:11.812 a=2242009,b=2242009
12:33:11.812 a=2239640,b=2242009
12:33:11.812 a=2238910,b=2239640
12:33:11.812 a=2237466,b=2238910
12:33:11.813 a=2235273,b=2237466
12:33:11.813 a=2238522,b=2237466
12:33:11.813 a=2238760,b=2238522
12:33:11.813 a=2241860,b=2238760
12:33:11.813 a=2240913,b=2240913
12:33:11.813 a=2239010,b=2240913
12:33:11.813 a=2240956,b=2240913
12:33:11.813 a=2238535,b=2239010
12:33:11.813 a=2235949,b=2238535
12:33:11.813 a=2236473,b=2236473
12:33:11.813 a=2237524,b=2236473
12:33:11.813 a=2237726,b=2237524
12:33:11.813 a=2236661,b=2237524
12:33:11.813 a=2242193,b=2237726
12:33:11.813 a=2242441,b=2242193
12:33:11.813 a=2240621,b=2242193
12:33:11.813 a=2241222,b=2241222
12:33:11.813 a=2239746,b=2240621
12:33:11.813 a=2238753,b=2239746
12:33:11.813 a=2238747,b=2238753
12:33:11.813 a=2238849,b=2238753
12:33:11.813 a=2243332,b=2238849
12:33:11.813 a=2242725,b=2242725
12:33:11.813 a=2241849,b=2242725
12:33:11.813 a=2241634,b=2241849
12:33:11.813 a=2244057,b=2241849
12:33:11.813 a=2241828,b=2241828
12:33:11.813 a=2240228,b=2241828
12:33:11.813 a=2240844,b=2240844
12:33:11.813 a=2236377,b=2240228
12:33:11.813 a=2238566,b=2238566
12:33:11.813 a=2243862,b=2238566
12:33:11.813 a=2247037,b=2243862
12:33:11.813 a=2241544,b=2243862
12:33:11.813 a=2239321,b=2241544
12:33:11.813 a=2240327,b=2240327
12:33:11.813 a=2238922,b=2239321
12:33:11.813 a=2239485,b=2239485
12:33:11.813 a=2241327,b=2239485
12:33:11.864 a=2239652,b=2239652
12:33:11.864 a=2240965,b=2240965
12:33:11.864 a=2239260,b=2239652
12:33:11.864 a=2240139,b=2240139
12:33:11.864 a=2238796,b=2239260
12:33:11.864 a=2237107,b=2238796
12:33:11.864 a=2239613,b=2238796
12:33:11.864 a=2240416,b=2239613
12:33:11.864 a=2241716,b=2240416
12:33:11.864 a=2244799,b=2241716
12:33:11.864 a=2242217,b=2242217
12:33:11.864 a=2239122,b=2242217
12:33:11.864 a=2236834,b=2239122
12:33:11.864 a=2238393,b=2238393
12:33:11.864 a=2240042,b=2238393
12:33:11.864 a=2239256,b=2239256
12:33:11.864 a=2239447,b=2239447
12:33:11.864 a=2243912,b=2239447
12:33:11.864 a=2245752,b=2243912
12:33:11.864 a=2243951,b=2243951
12:33:11.864 a=2242830,b=2243951
12:33:11.864 a=2237939,b=2242830
12:33:11.864 a=2237971,b=2237971
12:33:11.864 a=2237370,b=2237939
12:33:11.864 a=2235619,b=2237370
12:33:11.864 a=2239929,b=2237370
12:33:11.864 a=2240803,b=2239929
12:33:11.864 a=2238407,b=2239929
12:33:11.864 a=2241441,b=2240803
12:33:11.864 a=2244927,b=2241441
12:33:11.864 a=2243240,b=2243240
12:33:11.864 a=2237867,b=2243240
12:33:11.865 a=2240027,b=2240027
12:33:11.865 a=2237385,b=2237867
12:33:11.865 a=2236374,b=2237385
12:33:11.865 a=2238150,b=2237385
12:33:11.865 a=2240875,b=2238150
12:33:11.865 a=2240465,b=2240465
12:33:11.865 a=2237209,b=2240465
12:33:11.865 a=2236340,b=2237209
12:33:11.865 a=2240498,b=2237209
12:33:11.865 a=2242484,b=2240498
12:33:11.865 a=2243768,b=2242484
12:33:11.865 a=2244789,b=2243768
12:33:11.865 a=2241349,b=2243768
12:33:11.865 a=2240592,b=2241349
12:33:11.865 a=2238533,b=2240592
12:33:11.865 a=2235883,b=2238533
12:33:11.865 a=2237438,b=2237438
12:33:11.865 a=2236566,b=2236566
12:33:11.865 a=2241194,b=2237438
12:33:11.865 a=2243078,b=2241194
12:33:11.865 a=2241349,b=2241349
12:33:11.865 a=2240252,b=2241349
12:33:11.865 a=2238152,b=2240252
12:33:11.865 a=2237476,b=2238152
12:33:11.865 a=2236884,b=2237476
12:33:11.865 a=2238645,b=2237476
12:33:11.865 a=2239006,b=2238645
12:33:11.865 a=2239953,b=2239006
12:33:11.865 a=2239872,b=2239872
12:33:11.865 a=2242766,b=2239953
12:33:11.865 a=2243305,b=2242766
12:33:11.865 a=2241713,b=2242766
12:33:11.865 a=2239262,b=2241713
12:33:11.865 a=2238714,b=2239262
12:33:11.865 a=2241895,b=2239262
12:33:11.865 a=2240748,b=2240748
12:33:11.916 a=2238242,b=2240748
12:33:11.916 a=2239780,b=2239780
12:33:11.916 a=2240738,b=2239780
12:33:11.916 a=2244158,b=2240738
12:33:11.916 a=2240595,b=2240738
12:33:11.916 a=2241867,b=2241867
12:33:11.916 a=2242056,b=2241867
12:33:11.916 a=2236976,b=2241867
12:33:11.916 a=2236288,b=2236976
12:33:11.916 a=2238416,b=2236976
12:33:11.916 a=2237444,b=2237444
12:33:11.916 a=2239345,b=2238416
12:33:11.916 a=2240462,b=2239345
12:33:11.916 a=2238872,b=2239345
12:33:11.916 a=2239359,b=2239359
12:33:11.916 a=2242932,b=2239359
12:33:11.916 a=2240857,b=2240857
12:33:11.916 a=2238925,b=2240857
12:33:11.916 a=2242175,b=2240857
12:33:11.916 a=2237647,b=2238925
12:33:11.916 a=2233782,b=2237647
12:33:11.916 a=2232568,b=2233782
12:33:11.916 a=2237052,b=2233782
12:33:11.916 a=2240344,b=2237052
12:33:11.916 a=2243162,b=2240344
12:33:11.916 a=2244230,b=2243162
12:33:11.916 a=2243158,b=2243162
12:33:11.916 a=2241102,b=2243158
12:33:11.916 a=2237431,b=2241102
12:33:11.916 a=2235157,b=2237431
12:33:11.917 a=2236575,b=2236575
12:33:11.917 a=2242109,b=2236575
12:33:11.917 a=2243837,b=2242109
12:33:11.917 a=2242020,b=2242109
12:33:11.917 a=2242928,b=2242928
12:33:11.917 a=2239807,b=2242020
12:33:11.917 a=2239252,b=2239807
12:33:11.917 a=2239314,b=2239314
12:33:11.917 a=2239143,b=2239252
12:33:11.917 a=2240536,b=2239314
12:33:11.917 a=2239740,b=2239740
12:33:11.917 a=2236732,b=2239740
12:33:11.917 a=2238062,b=2238062
12:33:11.917 a=2240225,b=2238062
12:33:11.917 a=2244212,b=2240225
12:33:11.917 a=2243857,b=2243857
12:33:11.917 a=2237981,b=2243857
12:33:11.917 a=2235793,b=2237981
12:33:11.917 a=2237539,b=2237539
12:33:11.917 a=2240102,b=2237539
12:33:11.917 a=2242060,b=2240102
12:33:11.917 a=2242646,b=2242060
12:33:11.917 a=2239853,b=2242060
12:33:11.917 a=2241685,b=2241685
12:33:11.917 a=2243279,b=2241685
12:33:11.917 a=2240781,b=2241685
12:33:11.917 a=2239851,b=2240781
12:33:11.917 a=2241632,b=2240781
12:33:11.917 a=2240770,b=2240770
12:33:11.917 a=2241425,b=2241425
12:33:11.917 a=2241133,b=2241133
12:33:11.917 a=2238429,b=2241133
12:33:11.917 a=2235630,b=2238429
12:33:11.917 a=2237944,b=2237944
12:33:11.917 a=2241365,b=2237944
12:33:11.917 a=2238556,b=2238556
12:33:11.918 a=2238410,b=2238556
12:33:11.968 a=2241330,b=2238556
12:33:11.968 a=2237867,b=2238410
12:33:11.968 a=2234156,b=2237867
12:33:11.968 a=2235988,b=2235988
12:33:11.968 a=2243021,b=2235988
12:33:11.968 a=2243576,b=2243021
12:33:11.968 a=2242335,b=2243021
12:33:11.968 a=2242785,b=2242785
12:33:11.968 a=2243666,b=2242785
12:33:11.968 a=2237259,b=2242785
12:33:11.968 a=2236820,b=2237259
12:33:11.968 a=2239973,b=2237259
12:33:11.968 a=2240241,b=2239973
12:33:11.968 a=2243356,b=2240241
12:33:11.968 a=2244575,b=2243356
12:33:11.968 a=2238238,b=2243356
12:33:11.968 a=2238607,b=2238607
12:33:11.968 a=2242789,b=2238607
12:33:11.968 a=2238433,b=2238607
12:33:11.968 a=2235006,b=2238433
12:33:11.968 a=2235992,b=2235992
12:33:11.968 a=2237671,b=2235992
12:33:11.968 a=2234393,b=2235992
12:33:11.968 a=2236843,b=2236843
12:33:11.968 a=2240314,b=2236843
12:33:11.968 a=2239868,b=2239868
12:33:11.968 a=2241978,b=2240314
12:33:11.968 a=2246117,b=2241978
12:33:11.968 a=2239763,b=2241978
12:33:11.969 a=2238757,b=2239763
12:33:11.969 a=2240346,b=2239763
12:33:11.969 a=2238488,b=2238757
12:33:11.969 a=2233305,b=2238488
12:33:11.969 a=2232824,b=2233305
12:33:11.969 a=2235127,b=2233305
12:33:11.969 a=2241229,b=2235127
12:33:11.969 a=2242210,b=2241229
12:33:11.969 a=2239262,b=2241229
12:33:11.969 a=2240866,b=2240866
12:33:11.969 a=2240532,b=2240532
12:33:11.969 a=2242388,b=2240866
12:33:11.969 a=2241384,b=2241384
12:33:11.969 a=2237681,b=2241384
12:33:11.969 a=2239709,b=2239709
12:33:11.969 a=2236692,b=2237681
12:33:11.969 a=2236354,b=2236692
12:33:11.969 a=2236946,b=2236692
12:33:11.969 a=2235624,b=2236354
12:33:11.969 a=2238719,b=2236946
12:33:11.969 a=2241866,b=2238719
12:33:11.969 a=2242541,b=2241866
12:33:11.969 a=2239389,b=2241866
12:33:11.969 a=2237261,b=2239389
12:33:11.969 a=2235363,b=2237261
12:33:11.969 a=2237347,b=2237261
12:33:11.969 a=2241879,b=2237347
12:33:11.969 a=2241197,b=2241197
12:33:11.969 a=2238308,b=2241197
12:33:11.969 a=2240595,b=2240595
12:33:11.969 a=2240308,b=2240308
12:33:11.969 a=2241908,b=2240595
12:33:11.969 a=2241188,b=2241188
12:33:11.969 a=2241365,b=2241365
12:33:11.969 a=2240384,b=2241188
12:33:11.969 a=2239115,b=2240384
12:33:11.969 a=2240344,b=2240344
12:33:11.969 a=2238309,b=2239115
12:33:11.969 a=2235990,b=2238309
12:33:12.020 a=2238090,b=2238090
12:33:12.020 a=2241513,b=2238090
12:33:12.020 a=2243525,b=2241513
12:33:12.020 a=2244587,b=2243525
12:33:12.020 a=2245241,b=2244587
12:33:12.020 a=2239150,b=2244587
12:33:12.020 a=2240585,b=2240585
12:33:12.020 a=2240817,b=2240585
12:33:12.020 a=2238564,b=2240585
12:33:12.020 a=2237854,b=2238564
12:33:12.020 a=2237539,b=2237854
12:33:12.020 a=2239233,b=2237854
12:33:12.020 a=2240204,b=2239233
12:33:12.020 a=2238113,b=2239233
12:33:12.020 a=2237658,b=2238113
12:33:12.020 a=2240410,b=2238113
12:33:12.020 a=2241257,b=2240410
12:33:12.020 a=2243378,b=2241257
12:33:12.020 a=2241745,b=2241745
12:33:12.020 a=2240148,b=2241745
12:33:12.020 a=2239740,b=2240148
12:33:12.020 a=2240191,b=2240148
12:33:12.020 a=2238876,b=2239740
12:33:12.020 a=2239540,b=2239540
12:33:12.020 a=2237893,b=2238876
12:33:12.020 a=2234733,b=2237893
12:33:12.020 a=2236294,b=2236294
12:33:12.020 a=2242120,b=2236294
12:33:12.020 a=2241045,b=2241045
12:33:12.020 a=2238442,b=2241045
12:33:12.020 a=2239298,b=2239298
12:33:12.020 a=2243023,b=2239298
12:33:12.020 a=2240719,b=2240719
12:33:12.020 a=2237329,b=2240719
12:33:12.021 a=2236459,b=2237329
12:33:12.021 a=2238947,b=2237329
12:33:12.021 a=2237785,b=2237785
12:33:12.021 a=2241267,b=2238947
12:33:12.021 a=2244667,b=2241267
12:33:12.021 a=2241261,b=2241267
12:33:12.021 a=2238060,b=2241261
12:33:12.021 a=2239981,b=2239981
12:33:12.021 a=2244257,b=2239981
12:33:12.021 a=2241338,b=2241338
12:33:12.021 a=2241047,b=2241338
12:33:12.021 a=2242852,b=2241338
12:33:12.021 a=2237961,b=2241047
12:33:12.021 a=2238961,b=2238961
12:33:12.021 a=2243380,b=2238961
12:33:12.021 a=2241922,b=2241922
12:33:12.021 a=2240811,b=2241922
12:33:12.021 a=2238204,b=2240811
12:33:12.021 a=2239745,b=2239745
12:33:12.021 a=2241816,b=2239745
12:33:12.021 a=2244078,b=2241816
12:33:12.021 a=2244142,b=2244078
12:33:12.021 a=2242411,b=2244078
12:33:12.021 a=2240558,b=2242411
12:33:12.021 a=2242889,b=2242411
12:33:12.021 a=2241503,b=2241503
12:33:12.021 a=2243151,b=2242889
12:33:12.021 a=2243333,b=2243151
12:33:12.021 a=2241025,b=2243151
12:33:12.021 a=2238438,b=2241025
12:33:12.021 a=2242568,b=2241025
12:33:12.021 a=2245656,b=2242568
12:33:12.021 a=2244402,b=2244402
12:33:12.021 a=2243248,b=2244402
12:33:12.071 a=2243125,b=2243248
12:33:12.072 a=2244644,b=2243248
12:33:12.072 a=2244260,b=2244260
12:33:12.072 a=2239617,b=2244260
12:33:12.072 a=2236460,b=2239617
12:33:12.072 a=2235045,b=2236460
12:33:12.072 a=2237119,b=2236460
12:33:12.072 a=2239749,b=2237119
12:33:12.072 a=2240701,b=2239749
12:33:12.072 a=2236824,b=2239749
12:33:12.072 a=2236630,b=2236824
12:33:12.072 a=2239459,b=2236824
12:33:12.072 a=2237219,b=2237219
12:33:12.072 a=2237889,b=2237889
12:33:12.072 a=2234142,b=2237219
12:33:12.072 a=2236686,b=2236686
12:33:12.072 a=2237896,b=2236686
12:33:12.072 a=2238150,b=2237896
12:33:12.072 a=2237297,b=2237896
12:33:12.072 a=2238375,b=2238150
12:33:12.072 a=2242977,b=2238375
12:33:12.072 a=2245214,b=2242977
12:33:12.072 a=2241062,b=2242977
12:33:12.072 a=2242354,b=2242354
12:33:12.072 a=2244524,b=2242354
12:33:12.072 a=2242532,b=2242532
12:33:12.072 a=2240233,b=2242532
12:33:12.072 a=2240734,b=2240734
12:33:12.072 a=2245740,b=2240734
12:33:12.072 a=2245235,b=2245235
12:33:12.072 a=2240625,b=2245235
12:33:12.072 a=2242323,b=2242323
12:33:12.072 a=2240338,b=2240625
12:33:12.072 a=2240181,b=2240338
12:33:12.072 a=2241329,b=2240338
12:33:12.072 a=2242233,b=2241329
12:33:12.072 a=2242120,b=2242120
12:33:12.072 a=2240953,b=2242120
12:33:12.072 a=2239841,b=2240953
12:33:12.073 a=2242783,b=2240953
12:33:12.073 a=2245347,b=2242783
12:33:12.073 a=2241389,b=2242783
12:33:12.073 a=2240075,b=2241389
12:33:12.073 a=2244014,b=2241389
12:33:12.073 a=2244539,b=2244014
12:33:12.073 a=2236630,b=2244014
12:33:12.073 a=2236736,b=2236736
12:33:12.073 a=2240562,b=2236736
12:33:12.073 a=2239592,b=2239592
12:33:12.073 a=2237402,b=2239592
12:33:12.073 a=2243011,b=2239592
12:33:12.073 a=2243003,b=2243003
12:33:12.073 a=2241192,b=2243003
12:33:12.073 a=2239096,b=2241192
12:33:12.073 a=2237123,b=2239096
12:33:12.073 a=2238558,b=2238558
12:33:12.073 a=2237336,b=2237336
12:33:12.073 a=2233668,b=2237336
12:33:12.073 a=2236997,b=2236997
12:33:12.073 a=2240296,b=2236997
12:33:12.073 a=2241264,b=2240296
12:33:12.073 a=2240440,b=2240440
12:33:12.073 a=2240813,b=2240813
12:33:12.073 a=2241694,b=2240813
12:33:12.073 a=2241732,b=2241694
12:33:12.073 a=2240452,b=2241694
12:33:12.073 a=2243484,b=2241732
12:33:12.123 a=2242449,b=2242449
12:33:12.123 a=2241251,b=2242449
12:33:12.124 a=2241168,b=2241251
12:33:12.124 a=2238217,b=2241168
12:33:12.124 a=2239497,b=2239497
12:33:12.124 a=2239650,b=2239497
12:33:12.124 a=2238629,b=2239497
12:33:12.124 a=2240334,b=2239650
12:33:12.124 a=2242547,b=2240334
12:33:12.124 a=2239490,b=2240334
12:33:12.124 a=2240418,b=2240418
12:33:12.124 a=2243184,b=2240418
12:33:12.124 a=2243567,b=2243184
12:33:12.124 a=2239523,b=2243184
12:33:12.124 a=2237037,b=2239523
12:33:12.124 a=2237258,b=2237258
12:33:12.124 a=2239647,b=2237258
12:33:12.124 a=2241777,b=2239647
12:33:12.124 a=2243983,b=2241777
12:33:12.124 a=2240705,b=2241777
12:33:12.124 a=2238562,b=2240705
12:33:12.124 a=2237458,b=2238562
12:33:12.124 a=2241751,b=2238562
12:33:12.124 a=2243723,b=2241751
12:33:12.124 a=2241897,b=2241897
12:33:12.124 a=2241459,b=2241897
12:33:12.124 a=2239126,b=2241459
12:33:12.124 a=2236740,b=2239126
12:33:12.124 a=2242739,b=2239126
12:33:12.124 a=2247132,b=2242739
12:33:12.124 a=2245283,b=2245283
12:33:12.124 a=2243796,b=2245283
12:33:12.124 a=2242260,b=2243796
12:33:12.124 a=2239709,b=2242260
12:33:12.124 a=2239597,b=2239709
12:33:12.124 a=2236902,b=2239597
12:33:12.124 a=2236595,b=2236902
12:33:12.124 a=2238934,b=2236902
12:33:12.124 a=2239902,b=2238934
12:33:12.124 a=2242774,b=2239902
12:33:12.124 a=2241604,b=2241604
12:33:12.125 a=2241524,b=2241604
12:33:12.125 a=2241523,b=2241524
12:33:12.125 a=2240817,b=2241523
12:33:12.125 a=2238164,b=2240817
12:33:12.125 a=2239099,b=2239099
12:33:12.125 a=2241822,b=2239099
12:33:12.125 a=2240626,b=2240626
12:33:12.125 a=2239436,b=2240626
12:33:12.125 a=2239376,b=2239436
12:33:12.125 a=2239381,b=2239381
12:33:12.125 a=2244281,b=2239381
12:33:12.125 a=2243951,b=2243951
12:33:12.125 a=2239932,b=2243951
12:33:12.125 a=2239055,b=2239932
12:33:12.125 a=2240090,b=2239932
12:33:12.125 a=2238313,b=2239055
12:33:12.125 a=2238578,b=2238578
12:33:12.125 a=2234228,b=2238313
12:33:12.125 a=2233126,b=2234228
12:33:12.125 a=2239404,b=2234228
12:33:12.125 a=2242838,b=2239404
12:33:12.125 a=2243228,b=2242838
12:33:12.125 a=2244197,b=2243228
12:33:12.125 a=2241433,b=2243228
12:33:12.125 a=2239957,b=2241433
12:33:12.125 a=2238360,b=2239957
12:33:12.125 a=2237402,b=2238360
12:33:12.175 a=2234498,b=2237402
12:33:12.175 a=2234929,b=2234929
12:33:12.176 a=2241816,b=2234929
12:33:12.176 a=2240587,b=2240587
12:33:12.176 a=2240399,b=2240587
12:33:12.176 a=2244717,b=2240587
12:33:12.176 a=2246270,b=2244717
12:33:12.176 a=2238310,b=2244717
12:33:12.176 a=2236668,b=2238310
12:33:12.176 a=2239305,b=2238310
12:33:12.176 a=2240305,b=2239305
12:33:12.176 a=2242306,b=2240305
12:33:12.176 a=2241793,b=2241793
12:33:12.176 a=2242213,b=2242213
12:33:12.176 a=2242869,b=2242213
12:33:12.176 a=2238894,b=2242213
12:33:12.176 a=2239890,b=2239890
12:33:12.176 a=2241031,b=2239890
12:33:12.176 a=2239173,b=2239890
12:33:12.176 a=2239842,b=2239842
12:33:12.176 a=2243992,b=2239842
12:33:12.176 a=2242040,b=2242040
12:33:12.176 a=2241461,b=2242040
12:33:12.176 a=2238953,b=2241461
12:33:12.176 a=2239502,b=2239502
12:33:12.176 a=2239593,b=2239502
12:33:12.176 a=2239234,b=2239502
12:33:12.176 a=2241296,b=2239593
12:33:12.176 a=2240374,b=2240374
12:33:12.176 a=2238727,b=2240374
12:33:12.176 a=2237562,b=2238727
12:33:12.176 a=2236867,b=2237562
12:33:12.176 a=2237372,b=2237372
12:33:12.176 a=2240990,b=2237372
12:33:12.176 a=2241157,b=2240990
12:33:12.176 a=2243843,b=2241157
12:33:12.176 a=2244630,b=2243843
12:33:12.176 a=2239585,b=2243843
12:33:12.176 a=2236491,b=2239585
12:33:12.176 a=2236609,b=2236609
12:33:12.176 a=2236626,b=2236609
12:33:12.176 a=2236392,b=2236609
12:33:12.176 a=2235313,b=2236392
12:33:12.176 a=2242893,b=2236392
12:33:12.177 a=2245557,b=2242893
12:33:12.177 a=2242264,b=2242893
12:33:12.177 a=2240016,b=2242264
12:33:12.177 a=2242393,b=2242264
12:33:12.177 a=2244421,b=2242393
12:33:12.177 a=2242730,b=2242730
12:33:12.177 a=2241247,b=2242730
12:33:12.177 a=2240532,b=2241247
12:33:12.177 a=2235778,b=2240532
12:33:12.177 a=2233520,b=2235778
12:33:12.177 a=2238495,b=2235778
12:33:12.177 a=2242753,b=2238495
12:33:12.177 a=2240693,b=2240693
12:33:12.177 a=2241037,b=2241037
12:33:12.177 a=2238873,b=2240693
12:33:12.177 a=2238234,b=2238873
12:33:12.177 a=2237589,b=2238234
12:33:12.177 a=2239982,b=2238234
12:33:12.177 a=2240886,b=2239982
12:33:12.177 a=2236478,b=2239982
12:33:12.177 a=2234873,b=2236478
12:33:12.177 a=2240446,b=2236478
12:33:12.177 a=2244185,b=2240446
12:33:12.227 a=2241447,b=2241447
12:33:12.227 a=2239600,b=2241447
12:33:12.227 a=2239349,b=2239600
12:33:12.227 a=2241052,b=2239600
12:33:12.227 a=2238305,b=2239349
12:33:12.227 a=2238706,b=2238706
12:33:12.227 a=2238978,b=2238706
12:33:12.227 a=2239861,b=2238978
12:33:12.228 a=2237854,b=2238978
12:33:12.228 a=2236736,b=2237854
12:33:12.228 a=2240115,b=2237854
12:33:12.228 a=2242602,b=2240115
12:33:12.228 a=2238059,b=2240115
12:33:12.228 a=2236665,b=2238059
12:33:12.228 a=2240963,b=2238059
12:33:12.228 a=2241893,b=2240963
12:33:12.228 a=2236324,b=2240963
12:33:12.228 a=2237531,b=2237531
12:33:12.228 a=2241047,b=2237531
12:33:12.228 a=2242421,b=2241047
12:33:12.228 a=2240257,b=2241047
12:33:12.228 a=2239558,b=2240257
12:33:12.228 a=2241977,b=2240257
12:33:12.228 a=2241218,b=2241218
12:33:12.228 a=2238563,b=2241218
12:33:12.228 a=2237097,b=2238563
12:33:12.228 a=2239106,b=2238563
12:33:12.228 a=2245224,b=2239106
12:33:12.228 a=2245681,b=2245224
12:33:12.228 a=2241467,b=2245224
12:33:12.228 a=2237668,b=2241467
12:33:12.228 a=2236951,b=2237668
12:33:12.228 a=2239129,b=2237668
12:33:12.228 a=2240972,b=2239129
12:33:12.228 a=2241109,b=2240972
12:33:12.228 a=2237411,b=2240972
12:33:12.228 a=2239827,b=2239827
12:33:12.228 a=2242518,b=2239827
12:33:12.228 a=2243388,b=2242518
12:33:12.228 a=2242890,b=2242890
12:33:12.228 a=2242386,b=2242890
12:33:12.228 a=2240241,b=2242386
12:33:12.228 a=2240105,b=2240241
12:33:12.228 a=2237467,b=2240105
12:33:12.228 a=2235877,b=2237467
12:33:12.228 a=2235051,b=2235877
12:33:12.228 a=2236512,b=2235877
12:33:12.228 a=2241067,b=2236512
12:33:12.228 a=2244401,b=2241067
12:33:12.229 a=2239987,b=2241067
12:33:12.229 a=2235363,b=2239987
12:33:12.229 a=2237013,b=2237013
