12:26:09.037 >> td
12:26:09.091 trigger debug on
12:26:09.447 >> v
12:26:09.510 a=2238568,b=2239479
12:26:09.510 a=2239353,b=2239353
12:26:09.511 a=2240618,b=2239353
12:26:09.511 a=2241178,b=2240618
12:26:09.511 a=2240824,b=2240824
12:26:09.511 a=2239371,b=2240824
12:26:09.511 a=2240122,b=2240122
12:26:09.511 a=2236649,b=2239371
12:26:09.511 a=2237842,b=2237842
12:26:09.511 a=2241181,b=2237842
12:26:09.511 a=2241127,b=2241127
12:26:09.511 a=2243619,b=2241181
12:26:09.511 a=2244099,b=2243619
12:26:09.511 a=2240783,b=2243619
12:26:09.511 a=2241938,b=2241938
12:26:09.511 a=2241714,b=2241714
12:26:09.511 a=2237019,b=2241714
12:26:09.511 a=2234076,b=2237019
12:26:09.511 a=2239829,b=2237019
12:26:09.511 a=2242003,b=2239829
12:26:09.511 a=2241353,b=2241353
12:26:09.511 a=2241977,b=2241977
12:26:09.511 a=2242050,b=2241977
12:26:09.511 a=2241959,b=2241977
12:26:09.511 a=2238617,b=2241959
12:26:09.511 a=2238398,b=2238617
12:26:09.511 a=2240289,b=2238617
12:26:09.511 a=2238194,b=2238398
12:26:09.511 a=2238418,b=2238418
12:26:09.511 a=2241577,b=2238418
12:26:09.511 a=2241500,b=2241500
12:26:09.511 a=2242678,b=2241577
12:26:09.511 a=2241586,b=2241586
12:26:09.511 a=2242241,b=2242241
12:26:09.511 a=2243621,b=2242241
12:26:09.511 a=2243596,b=2243596
12:26:09.511 a=2241534,b=2243596
12:26:09.511 a=2241806,b=2241806
12:26:09.511 a=2237078,b=2241534
12:26:09.511 a=2239194,b=2239194
12:26:09.512 a=2243415,b=2239194
12:26:09.512 a=2243405,b=2243405
12:26:09.512 a=2244344,b=2243415
12:26:09.512 a=2243226,b=2243405
12:26:09.512 a=2242732,b=2243226
12:26:09.512 a=2242794,b=2242794
12:26:09.512 a=2241754,b=2242732
12:26:09.512 a=2244034,b=2242794
12:26:09.512 a=2240864,b=2241754
12:26:09.512 a=2241080,b=2241080
12:26:09.512 a=2241912,b=2241080
12:26:09.512 a=2243108,b=2241912
12:26:09.512 a=2243977,b=2243108
12:26:09.512 a=2243414,b=2243414
12:26:09.512 a=2243252,b=2243414
12:26:09.512 a=2238055,b=2243252
12:26:09.512 a=2235568,b=2238055
12:26:09.512 a=2235608,b=2235608
12:26:09.512 a=2236656,b=2235608
12:26:09.512 a=2236796,b=2236656
12:26:09.512 a=2240944,b=2236796
12:26:09.512 a=2242671,b=2240944
12:26:09.512 a=2243442,b=2242671
12:26:09.512 a=2241862,b=2242671
12:26:09.512 a=2240730,b=2241862
12:26:09.512 a=2238745,b=2240730
12:26:09.512 a=2237080,b=2238745
12:26:09.512 a=2239556,b=2238745
12:26:09.512 a=2239519,b=2239519
12:26:09.512 a=2236958,b=2239519
12:26:09.512 a=2237443,b=2237443
12:26:09.512 a=2239228,b=2237443
12:26:09.512 a=2244542,b=2239228
12:26:09.512 a=2244260,b=2244260
12:26:09.512 a=2243291,b=2244260
12:26:09.512 a=2241223,b=2243291
12:26:09.512 a=2243407,b=2243291
12:26:09.512 a=2242497,b=2242497
12:26:09.512 a=2237586,b=2242497
12:26:09.512 a=2240268,b=2240268
12:26:09.512 a=2241255,b=2240268
12:26:09.512 a=2239226,b=2240268
12:26:09.512 a=2240373,b=2240373
12:26:09.563 a=2239800,b=2239800
12:26:09.563 a=2242031,b=2240373
12:26:09.563 a=2246111,b=2242031
12:26:09.563 a=2244625,b=2244625
12:26:09.563 a=2242677,b=2244625
12:26:09.563 a=2238302,b=2242677
12:26:09.563 a=2236261,b=2238302
12:26:09.563 a=2236051,b=2236261
12:26:09.563 a=2237199,b=2236261
12:26:09.563 a=2242276,b=2237199
12:26:09.563 a=2242815,b=2242276
12:26:09.563 a=2241734,b=2242276
12:26:09.563 a=2242303,b=2242303
12:26:09.563 a=2241102,b=2241734
12:26:09.563 a=2242811,b=2242303
12:26:09.563 a=2239692,b=2241102
12:26:09.563 a=2237890,b=2239692
12:26:09.563 a=2239615,b=2239615
12:26:09.563 a=2242602,b=2239615
12:26:09.563 a=2238926,b=2239615
12:26:09.563 a=2237944,b=2238926
12:26:09.563 a=2239152,b=2238926
12:26:09.563 a=2240703,b=2239152
12:26:09.563 a=2240151,b=2240151
12:26:09.563 a=2245327,b=2240703
12:26:09.563 a=2246643,b=2245327
12:26:09.564 a=2240382,b=2245327
12:26:09.564 a=2237097,b=2240382
12:26:09.564 a=2237877,b=2237877
12:26:09.564 a=2241056,b=2237877
12:26:09.564 a=2238107,b=2238107
12:26:09.564 a=2235894,b=2238107
12:26:09.564 a=2241465,b=2238107
12:26:09.564 a=2242513,b=2241465
12:26:09.564 a=2241024,b=2241465
12:26:09.564 a=2239255,b=2241024
12:26:09.564 a=2238492,b=2239255
12:26:09.564 a=2242339,b=2239255
12:26:09.564 a=2242310,b=2242310
12:26:09.564 a=2238949,b=2242310
12:26:09.564 a=2236463,b=2238949
12:26:09.564 a=2240220,b=2238949
12:26:09.564 a=2240386,b=2240220
12:26:09.564 a=2243012,b=2240386
12:26:09.564 a=2243529,b=2243012
12:26:09.564 a=2241114,b=2243012
12:26:09.564 a=2241323,b=2241323
12:26:09.564 a=2241428,b=2241323
12:26:09.564 a=2238852,b=2241323
12:26:09.564 a=2240409,b=2240409
12:26:09.564 a=2242254,b=2240409
12:26:09.564 a=2241485,b=2241485
12:26:09.564 a=2237911,b=2241485
12:26:09.564 a=2236311,b=2237911
12:26:09.564 a=2239492,b=2237911
12:26:09.564 a=2241459,b=2239492
12:26:09.564 a=2240713,b=2240713
12:26:09.564 a=2242301,b=2241459
12:26:09.564 a=2243524,b=2242301
12:26:09.564 a=2241150,b=2242301
12:26:09.564 a=2236241,b=2241150
12:26:09.564 a=2237123,b=2237123
12:26:09.564 a=2240509,b=2237123
12:26:09.565 a=2243702,b=2240509
12:26:09.565 a=2243026,b=2243026
12:26:09.565 a=2238782,b=2243026
12:26:09.565 a=2238423,b=2238782
12:26:09.565 a=2242313,b=2238782
12:26:09.615 a=2247494,b=2242313
12:26:09.615 a=2245232,b=2245232
12:26:09.615 a=2236798,b=2245232
12:26:09.615 a=2233036,b=2236798
12:26:09.615 a=2236824,b=2236798
12:26:09.615 a=2238786,b=2236824
12:26:09.615 a=2238687,b=2238687
12:26:09.615 a=2241978,b=2238786
12:26:09.615 a=2244314,b=2241978
12:26:09.615 a=2242637,b=2242637
12:26:09.615 a=2240795,b=2242637
12:26:09.615 a=2243272,b=2242637
12:26:09.615 a=2246827,b=2243272
12:26:09.615 a=2241267,b=2243272
12:26:09.615 a=2240597,b=2241267
12:26:09.615 a=2238266,b=2240597
12:26:09.615 a=2238378,b=2238378
12:26:09.615 a=2239053,b=2238378
12:26:09.615 a=2240524,b=2239053
12:26:09.616 a=2244084,b=2240524
12:26:09.616 a=2243458,b=2243458
12:26:09.616 a=2239442,b=2243458
12:26:09.616 a=2239745,b=2239745
12:26:09.616 a=2242718,b=2239745
12:26:09.616 a=2240869,b=2240869
12:26:09.616 a=2239140,b=2240869
12:26:09.616 a=2241344,b=2240869
12:26:09.616 a=2237911,b=2239140
12:26:09.616 a=2237014,b=2237911
12:26:09.616 a=2238067,b=2237911
12:26:09.616 a=2237965,b=2237965
12:26:09.616 a=2241420,b=2238067
12:26:09.616 a=2241169,b=2241169
12:26:09.616 a=2239857,b=2241169
12:26:09.616 a=2237125,b=2239857
12:26:09.616 a=2239136,b=2239136
12:26:09.616 a=2242313,b=2239136
12:26:09.616 a=2238759,b=2239136
12:26:09.616 a=2240391,b=2240391
12:26:09.616 a=2242912,b=2240391
12:26:09.616 a=2237679,b=2240391
12:26:09.616 a=2238388,b=2238388
12:26:09.616 a=2242237,b=2238388
12:26:09.616 a=2243276,b=2242237
12:26:09.616 a=2241564,b=2242237
12:26:09.616 a=2243028,b=2243028
12:26:09.616 a=2239778,b=2241564
12:26:09.616 a=2237011,b=2239778
12:26:09.616 a=2236519,b=2237011
12:26:09.616 a=2237115,b=2237011
12:26:09.616 a=2240656,b=2237115
12:26:09.616 a=2243440,b=2240656
12:26:09.616 a=2246767,b=2243440
12:26:09.616 a=2245425,b=2245425
12:26:09.616 a=2241082,b=2245425
12:26:09.616 a=2242132,b=2242132
12:26:09.616 a=2239576,b=2241082
12:26:09.616 a=2240755,b=2240755
12:26:09.616 a=2242182,b=2240755
12:26:09.616 a=2242847,b=2242182
12:26:09.616 a=2241494,b=2242182
12:26:09.616 a=2241469,b=2241494
12:26:09.617 a=2240073,b=2241469
12:26:09.617 a=2236978,b=2240073
12:26:09.617 a=2237555,b=2237555
12:26:09.617 a=2238417,b=2237555
12:26:09.617 a=2241352,b=2238417
12:26:09.617 a=2242864,b=2241352
12:26:09.667 a=2242223,b=2242223
12:26:09.667 a=2237086,b=2242223
12:26:09.667 a=2236962,b=2237086
12:26:09.667 a=2240778,b=2237086
12:26:09.667 a=2240112,b=2240112
12:26:09.667 a=2237899,b=2240112
12:26:09.667 a=2237928,b=2237928
12:26:09.667 a=2240379,b=2237928
12:26:09.667 a=2244570,b=2240379
12:26:09.667 a=2244050,b=2244050
12:26:09.667 a=2247055,b=2244570
12:26:09.667 a=2243053,b=2244050
12:26:09.667 a=2237097,b=2243053
12:26:09.667 a=2234725,b=2237097
12:26:09.667 a=2234710,b=2234725
12:26:09.667 a=2235793,b=2234725
12:26:09.667 a=2235656,b=2235656
12:26:09.667 a=2239116,b=2235793
12:26:09.667 a=2243523,b=2239116
12:26:09.667 a=2241626,b=2241626
12:26:09.667 a=2243025,b=2243025
12:26:09.667 a=2242950,b=2242950
12:26:09.667 a=2239354,b=2242950
12:26:09.667 a=2236647,b=2239354
