12:57:18.153 >> td
12:57:18.203 trigger debug on
12:57:18.506 >> v
12:57:18.556 a=2238591,b=2240260
12:57:18.557 a=2240092,b=2240092
12:57:18.557 a=2239743,b=2239743
12:57:18.557 a=2239679,b=2239743
12:57:18.557 a=2239271,b=2239679
12:57:18.557 a=2241100,b=2239679
12:57:18.557 a=2242900,b=2241100
12:57:18.557 a=2245242,b=2242900
12:57:18.557 a=2246676,b=2245242
12:57:18.557 a=2240352,b=2245242
12:57:18.557 a=2237527,b=2240352
12:57:18.557 a=2240674,b=2240352
12:57:18.557 a=2241106,b=2240674
12:57:18.557 a=2241147,b=2241106
12:57:18.557 a=2241943,b=2241147
12:57:18.557 a=2243447,b=2241943
12:57:18.557 a=2245606,b=2243447
12:57:18.557 a=2244713,b=2244713
12:57:18.557 a=2242438,b=2244713
12:57:18.557 a=2238666,b=2242438
12:57:18.557 a=2236543,b=2238666
12:57:18.557 a=2238223,b=2238223
12:57:18.557 a=2241483,b=2238223
12:57:18.557 a=2240110,b=2240110
12:57:18.557 a=2244719,b=2241483
12:57:18.557 a=2248535,b=2244719
12:57:18.557 a=2244611,b=2244719
12:57:18.557 a=2244341,b=2244611
12:57:18.557 a=2245856,b=2244611
12:57:18.557 a=2244534,b=2244534
12:57:18.557 a=2246086,b=2245856
12:57:18.557 a=2243436,b=2244534
12:57:18.557 a=2239994,b=2243436
12:57:18.557 a=2239500,b=2239994
12:57:18.557 a=2242414,b=2239994
12:57:18.557 a=2243068,b=2242414
12:57:18.557 a=2243564,b=2243068
12:57:18.557 a=2240598,b=2243068
12:57:18.557 a=2242589,b=2242589
12:57:18.558 a=2246899,b=2242589
12:57:18.558 a=2241388,b=2242589
12:57:18.558 a=2233226,b=2241388
12:57:18.558 a=2237873,b=2237873
12:57:18.558 a=2240775,b=2237873
12:57:18.558 a=2241508,b=2240775
12:57:18.558 a=2245224,b=2241508
12:57:18.558 a=2244589,b=2244589
12:57:18.558 a=2243669,b=2244589
12:57:18.558 a=2241288,b=2243669
12:57:18.558 a=2239146,b=2241288
12:57:18.558 a=2240328,b=2240328
12:57:18.558 a=2241158,b=2240328
12:57:18.558 a=2237245,b=2240328
12:57:18.558 a=2240987,b=2240987
12:57:18.558 a=2245851,b=2240987
12:57:18.558 a=2243772,b=2243772
12:57:18.558 a=2239329,b=2243772
12:57:18.558 a=2239618,b=2239618
12:57:18.558 a=2239659,b=2239618
12:57:18.558 a=2241231,b=2239659
12:57:18.558 a=2241516,b=2241231
12:57:18.558 a=2242068,b=2241516
12:57:18.558 a=2242789,b=2242068
12:57:18.558 a=2239082,b=2242068
12:57:18.558 a=2238267,b=2239082
12:57:18.608 a=2241116,b=2239082
12:57:18.608 a=2241398,b=2241116
12:57:18.608 a=2246421,b=2241398
12:57:18.608 a=2247265,b=2246421
12:57:18.609 a=2245942,b=2246421
12:57:18.609 a=2243705,b=2245942
12:57:18.609 a=2244695,b=2244695
12:57:18.609 a=2243480,b=2243705
12:57:18.609 a=2242798,b=2243480
12:57:18.609 a=2244697,b=2243480
12:57:18.609 a=2243792,b=2243792
12:57:18.609 a=2242849,b=2243792
12:57:18.609 a=2243032,b=2243032
12:57:18.609 a=2241388,b=2242849
12:57:18.609 a=2240218,b=2241388
12:57:18.609 a=2243922,b=2241388
12:57:18.609 a=2242887,b=2242887
12:57:18.609 a=2242679,b=2242887
12:57:18.609 a=2245367,b=2242887
12:57:18.609 a=2244923,b=2244923
12:57:18.609 a=2240406,b=2244923
12:57:18.609 a=2241991,b=2241991
12:57:18.609 a=2241452,b=2241452
12:57:18.610 a=2239019,b=2241452
12:57:18.610 a=2242201,b=2241452
12:57:18.610 a=2243004,b=2242201
12:57:18.610 a=2242306,b=2242306
12:57:18.610 a=2243589,b=2243004
12:57:18.610 a=2242893,b=2242893
12:57:18.610 a=2241072,b=2242893
12:57:18.610 a=2238955,b=2241072
12:57:18.610 a=2238075,b=2238955
12:57:18.610 a=2236090,b=2238075
12:57:18.610 a=2242624,b=2238075
12:57:18.610 a=2243413,b=2242624
12:57:18.610 a=2243588,b=2243413
12:57:18.610 a=2246594,b=2243588
12:57:18.610 a=2243943,b=2243943
12:57:18.610 a=2241407,b=2243943
12:57:18.610 a=2242058,b=2242058
12:57:18.610 a=2242606,b=2242058
12:57:18.610 a=2242821,b=2242606
12:57:18.611 a=2244294,b=2242821
12:57:18.611 a=2241826,b=2242821
12:57:18.611 a=2240694,b=2241826
12:57:18.611 a=2242894,b=2241826
12:57:18.611 a=2239069,b=2240694
12:57:18.611 a=2240373,b=2240373
12:57:18.611 a=2246014,b=2240373
12:57:18.611 a=2241280,b=2241280
12:57:18.611 a=2240487,b=2241280
12:57:18.611 a=2240750,b=2240750
12:57:18.611 a=2239939,b=2240487
12:57:18.611 a=2238547,b=2239939
12:57:18.611 a=2234835,b=2238547
12:57:18.611 a=2236875,b=2236875
12:57:18.611 a=2241143,b=2236875
12:57:18.611 a=2241335,b=2241143
12:57:18.611 a=2241378,b=2241335
12:57:18.611 a=2241392,b=2241378
12:57:18.611 a=2243919,b=2241392
12:57:18.611 a=2243082,b=2243082
12:57:18.611 a=2239800,b=2243082
12:57:18.611 a=2239199,b=2239800
12:57:18.611 a=2242439,b=2239800
12:57:18.611 a=2242060,b=2242060
12:57:18.611 a=2241322,b=2242060
12:57:18.611 a=2242022,b=2242022
12:57:18.661 a=2243882,b=2242022
12:57:18.662 a=2242874,b=2242874
12:57:18.662 a=2242631,b=2242874
12:57:18.662 a=2239540,b=2242631
12:57:18.662 a=2238904,b=2239540
12:57:18.662 a=2243108,b=2239540
12:57:18.662 a=2247749,b=2243108
12:57:18.662 a=2243303,b=2243303
12:57:18.662 a=2235585,b=2243303
12:57:18.662 a=2235029,b=2235585
12:57:18.662 a=2235868,b=2235585
12:57:18.662 a=2238407,b=2235868
12:57:18.662 a=2238611,b=2238407
12:57:18.662 a=2241585,b=2238611
12:57:18.662 a=2241903,b=2241585
12:57:18.662 a=2242974,b=2241903
12:57:18.662 a=2242783,b=2242783
12:57:18.662 a=2242914,b=2242914
12:57:18.662 a=2247949,b=2242914
12:57:18.662 a=2248525,b=2247949
12:57:18.662 a=2243729,b=2247949
12:57:18.662 a=2241318,b=2243729
12:57:18.662 a=2242816,b=2242816
12:57:18.662 a=2242202,b=2242202
12:57:18.662 a=2242381,b=2242381
12:57:18.662 a=2245183,b=2242381
12:57:18.662 a=2243113,b=2243113
12:57:18.662 a=2239701,b=2243113
12:57:18.662 a=2239648,b=2239701
12:57:18.662 a=2240267,b=2239701
12:57:18.662 a=2240512,b=2240267
12:57:18.662 a=2242284,b=2240512
12:57:18.662 a=2238704,b=2240512
12:57:18.662 a=2241903,b=2241903
12:57:18.662 a=2244053,b=2241903
12:57:18.662 a=2243205,b=2243205
12:57:18.662 a=2241990,b=2243205
12:57:18.662 a=2243563,b=2243205
12:57:18.663 a=2241112,b=2241990
12:57:18.663 a=2240188,b=2241112
12:57:18.663 a=2241568,b=2241112
12:57:18.663 a=2240461,b=2240461
12:57:18.663 a=2241727,b=2241568
12:57:18.663 a=2237958,b=2240461
12:57:18.663 a=2234626,b=2237958
12:57:18.663 a=2233995,b=2234626
12:57:18.663 a=2236076,b=2234626
12:57:18.663 a=2238342,b=2236076
12:57:18.663 a=2242904,b=2238342
12:57:18.663 a=2244539,b=2242904
12:57:18.663 a=2240353,b=2242904
12:57:18.663 a=2237437,b=2240353
12:57:18.663 a=2242621,b=2240353
12:57:18.663 a=2241655,b=2241655
12:57:18.663 a=2241801,b=2241801
12:57:18.663 a=2240751,b=2241655
12:57:18.663 a=2236987,b=2240751
12:57:18.663 a=2240322,b=2240322
12:57:18.663 a=2242296,b=2240322
12:57:18.663 a=2238854,b=2240322
12:57:18.663 a=2243484,b=2242296
12:57:18.663 a=2244792,b=2243484
12:57:18.663 a=2239477,b=2243484
12:57:18.663 a=2236051,b=2239477
12:57:18.663 a=2239028,b=2239028
12:57:18.663 a=2240412,b=2239028
12:57:18.663 a=2238975,b=2239028
12:57:18.663 a=2241667,b=2240412
12:57:18.663 a=2240823,b=2240823
12:57:18.713 a=2238980,b=2240823
12:57:18.714 a=2240816,b=2240816
12:57:18.714 a=2242663,b=2240816
12:57:18.714 a=2242488,b=2242488
12:57:18.714 a=2241635,b=2242488
12:57:18.714 a=2240475,b=2241635
12:57:18.714 a=2241367,b=2241367
12:57:18.714 a=2243942,b=2241367
12:57:18.714 a=2244128,b=2243942
12:57:18.714 a=2241334,b=2243942
12:57:18.714 a=2239957,b=2241334
12:57:18.714 a=2243598,b=2241334
12:57:18.714 a=2247859,b=2243598
12:57:18.714 a=2242085,b=2243598
12:57:18.714 a=2240424,b=2242085
12:57:18.714 a=2240140,b=2240424
12:57:18.714 a=2237997,b=2240140
12:57:18.714 a=2240057,b=2240057
12:57:18.714 a=2243770,b=2240057
12:57:18.714 a=2243658,b=2243658
12:57:18.714 a=2244244,b=2243770
12:57:18.714 a=2242739,b=2243658
12:57:18.714 a=2239144,b=2242739
12:57:18.714 a=2237892,b=2239144
12:57:18.714 a=2238490,b=2238490
12:57:18.714 a=2239997,b=2238490
12:57:18.714 a=2241474,b=2239997
12:57:18.714 a=2237509,b=2239997
12:57:18.714 a=2237476,b=2237509
12:57:18.714 a=2242437,b=2237509
12:57:18.714 a=2244686,b=2242437
12:57:18.714 a=2242424,b=2242437
12:57:18.714 a=2243329,b=2243329
12:57:18.714 a=2242333,b=2242424
