rep,step,time,stop_height_mm,attempts,alps_d,bed_slab_S5,bedmat_S2,elecbay_S4,hotend_S0
1,G28Z_start,08:59:14,,3,"103886 84596 95940 ",21.55,21.78,23.25,20.82
1,G30S-1_1,08:59:19,-0.064,1,"109820 ",,,,
1,G30S-1_2,08:59:25,-0.061,1,"96810 ",,,,
1,G30S-1_3,08:59:30,-0.064,1,"97841 ",,,,
1,G30S-1_4,08:59:35,-0.062,1,"103301 ",,,,
1,G30S-1_5,08:59:41,-0.071,1,"126256 ",,,,
1,G30S-1_6,08:59:46,-0.064,1,"108890 ",,,,
1,G30S-1_7,08:59:51,-0.070,1,"122515 ",,,,
1,G30S-1_8,08:59:57,-0.069,1,"118803 ",,,,
1,G30S-1_9,09:00:02,-0.065,1,"104377 ",,,,
1,G30S-1_10,09:00:07,-0.066,1,"107102 ",,,,
1,G28Z_end,09:00:22,,3,"101101 80231 86438 ",21.55,21.71,23.2,20.85
2,G28Z_start,09:02:39,,3,"114208 93614 98197 ",21.49,21.66,23.22,20.82
2,G30S-1_1,09:02:45,-0.060,1,"125788 ",,,,
2,G30S-1_2,09:02:50,-0.052,1,"99296 ",,,,
2,G30S-1_3,09:02:55,-0.055,1,"118985 ",,,,
2,G30S-1_4,09:03:01,-0.052,1,"103255 ",,,,
2,G30S-1_5,09:03:06,-0.054,1,"112166 ",,,,
2,G30S-1_6,09:03:11,-0.058,1,"118708 ",,,,
2,G30S-1_7,09:03:16,-0.055,1,"119334 ",,,,
2,G30S-1_8,09:03:21,-0.056,1,"111601 ",,,,
2,G30S-1_9,09:03:26,-0.055,1,"116108 ",,,,
2,G30S-1_10,09:03:32,-0.051,1,"105257 ",,,,
2,G28Z_end,09:03:46,,3,"98680 97499 88449 ",21.52,21.7,23.32,20.82
3,G28Z_start,09:06:03,,3,"86710 84463 81565 ",21.6,21.61,23.45,20.8
3,G30S-1_1,09:06:09,-0.026,1,"85475 ",,,,
3,G30S-1_2,09:06:14,-0.025,1,"90504 ",,,,
3,G30S-1_3,09:06:19,-0.026,1,"93446 ",,,,
3,G30S-1_4,09:06:25,-0.021,1,"85795 ",,,,
3,G30S-1_5,09:06:30,-0.029,1,"91783 ",,,,
3,G30S-1_6,09:06:35,-0.025,1,"82619 ",,,,
3,G30S-1_7,09:06:40,-0.023,1,"84235 ",,,,
3,G30S-1_8,09:06:45,-0.027,1,"86376 ",,,,
3,G30S-1_9,09:06:51,-0.027,1,"94791 ",,,,
3,G30S-1_10,09:06:56,-0.027,1,"89512 ",,,,
3,G28Z_end,09:07:10,,3,"87850 90415 89153 ",21.52,21.66,23.48,20.85
