time,slab_S5,mat_S2,hotend_S0,chamber_air,chamber_sp,bed_state,bed_target,plc_status
14:32:39,92.34,108.31,41.53,42.1,0,active,60.0,112
14:33:10,91.74,107.65,40.93,41.6,0,active,60.0,96
14:33:42,91.26,106.78,40.31,41.1,0,active,60.0,96
14:34:13,90.68,106.1,39.77,40.6,0,active,60.0,96
14:34:44,90.16,105.11,39.35,40.2,0,active,60.0,96
14:35:16,89.53,103.93,38.99,39.7,0,active,60.0,112
14:35:47,89.0,103.39,38.71,39.4,0,active,60.0,112
14:36:18,88.64,102.82,38.45,39.0,0,active,60.0,112
14:36:49,88.01,101.77,38.27,38.6,0,active,60.0,112
14:37:21,87.45,100.8,38.11,38.2,0,active,60.0,112
14:37:52,86.9,99.98,37.93,37.9,0,active,60.0,112
14:38:23,86.38,99.68,37.73,37.6,0,active,60.0,112
14:38:54,85.96,98.83,37.55,37.2,0,active,60.0,96
14:39:26,85.35,97.8,37.44,36.9,0,active,60.0,112
14:39:57,84.86,97.15,37.31,36.7,0,active,60.0,96
14:40:28,84.33,96.56,37.13,36.4,0,active,60.0,112
14:41:00,83.78,95.69,36.98,36.2,0,active,60.0,112
14:41:31,83.2,94.78,36.93,35.9,0,active,60.0,96
14:42:02,82.81,94.17,36.77,35.7,0,active,60.0,112
14:42:33,82.31,93.46,36.59,35.5,0,active,60.0,96
14:43:05,81.76,92.85,36.43,35.2,0,active,60.0,112
14:43:36,81.26,92.33,36.3,35.0,0,active,60.0,96
14:44:07,80.79,91.55,36.15,34.8,0,active,60.0,112
14:44:38,80.29,91.08,35.97,34.6,0,active,60.0,96
14:45:09,79.82,90.44,35.81,34.4,0,active,60.0,112
14:45:41,79.29,89.84,35.61,34.2,0,active,60.0,112
14:46:12,78.9,89.04,35.48,34.0,0,active,60.0,112
14:46:43,78.38,88.34,35.32,33.9,0,active,60.0,112
14:47:14,77.96,87.93,35.17,33.8,0,active,60.0,112
14:47:46,77.51,87.3,34.99,33.6,0,active,60.0,112
14:48:17,77.04,86.63,34.86,33.4,0,active,60.0,112
14:48:48,76.62,86.22,34.7,33.3,0,active,60.0,96
14:49:19,76.15,85.47,34.63,33.1,0,active,60.0,112
14:49:51,75.65,84.76,34.5,33.0,0,active,60.0,112
14:50:22,75.21,84.14,34.37,32.8,0,active,60.0,96
14:50:53,74.79,83.94,34.24,32.7,0,active,60.0,96
14:51:24,74.45,83.53,34.16,32.6,0,active,60.0,96
14:51:56,74.08,83.15,34.03,32.6,0,active,60.0,112
14:52:27,73.74,82.71,33.95,32.5,0,active,60.0,112
14:52:58,73.4,82.23,33.93,32.4,0,active,60.0,112
14:53:29,73.04,81.66,33.88,32.3,0,active,60.0,96
14:54:01,72.67,81.16,33.82,32.3,0,active,60.0,112
14:54:32,72.28,80.66,33.75,32.3,0,active,60.0,96
14:55:03,71.88,80.21,33.64,32.2,0,active,60.0,96
14:55:34,71.54,79.68,33.59,32.2,0,active,60.0,96
14:56:06,71.15,79.23,33.44,32.1,0,active,60.0,96
14:56:37,70.79,78.77,33.39,32.1,0,active,60.0,96
14:57:08,70.45,78.3,33.33,32.0,0,active,60.0,96
14:57:39,70.13,77.82,33.18,31.9,0,active,60.0,96
14:58:10,69.74,77.38,33.15,31.9,0,active,60.0,112
14:58:42,69.43,76.92,33.02,31.7,0,active,60.0,112
14:59:13,69.09,76.45,33.02,31.7,0,active,60.0,96
14:59:44,68.78,75.99,33.0,31.6,0,active,60.0,112
15:00:15,68.41,75.54,32.89,31.5,0,active,60.0,96
15:00:47,68.1,75.08,32.82,31.5,0,active,60.0,96
15:01:18,67.76,74.62,32.82,31.4,0,active,60.0,112
15:01:49,67.42,74.2,32.69,31.3,0,active,60.0,112
15:02:20,67.11,73.76,32.64,31.3,0,active,60.0,96
15:02:52,66.8,73.33,32.56,31.3,0,active,60.0,96
15:03:23,66.38,72.91,32.51,31.2,0,active,60.0,112
15:03:54,66.07,72.53,32.35,31.1,0,active,60.0,96
15:04:26,65.76,72.11,32.27,31.1,0,active,60.0,96
15:04:57,65.47,71.71,32.17,31.0,0,active,60.0,96
15:05:28,65.13,71.28,32.09,31.0,0,active,60.0,112
15:05:59,64.82,70.84,32.02,30.8,0,active,60.0,112
15:06:31,64.51,70.43,31.94,30.8,0,active,60.0,96
15:07:02,64.19,70.05,31.89,30.7,0,active,60.0,96
15:07:33,63.91,69.67,31.81,30.6,0,active,60.0,112
15:08:04,63.54,69.32,31.73,30.6,0,active,60.0,112
15:08:36,63.26,68.94,31.63,30.6,0,active,60.0,96
15:09:07,62.97,68.46,31.55,30.5,0,active,60.0,96
15:09:38,62.63,68.56,31.5,30.4,0,active,60.0,112
15:10:09,62.4,68.66,31.45,30.3,0,active,60.0,112
15:10:41,62.14,69.14,31.4,30.3,0,active,60.0,112
15:11:12,61.88,70.09,31.37,30.2,0,active,60.0,96
15:11:43,61.64,70.82,31.27,30.2,0,active,60.0,112
15:12:14,61.46,70.81,31.21,30.1,0,active,60.0,112
15:12:46,61.28,71.49,31.11,30.1,0,active,60.0,112
