time,slab_S5,mat_S2,setpoint,pwm,state
03:27:30,30.16,29.90,0,0.00,off
03:27:46,30.18,29.82,0,0.00,off
03:28:02,30.16,29.81,0,0.00,off
03:28:18,30.10,33.44,105.0,0.858,active
03:28:34,30.21,45.33,105.0,0.995,active
03:28:50,30.39,56.04,105.0,1.000,active
03:29:06,30.75,64.91,105.0,1.000,active
03:29:22,31.21,72.37,105.0,1.000,active
03:29:37,31.68,78.30,105.0,1.000,active
03:29:53,32.25,83.37,105.0,1.000,active
03:30:09,32.82,87.74,105.0,1.000,active
03:30:25,33.39,91.43,105.0,1.000,active
03:30:41,33.95,94.74,105.0,1.000,active
03:30:57,34.52,97.66,105.0,1.000,active
03:31:13,35.19,100.28,105.0,1.000,active
03:31:29,35.76,102.64,105.0,1.000,active
03:31:45,36.38,104.83,105.0,1.000,active
03:32:01,36.98,106.82,105.0,1.000,active
03:32:17,37.60,108.70,105.0,1.000,active
03:32:33,38.29,110.50,105.0,1.000,active
03:32:49,38.86,112.16,105.0,1.000,active
03:33:05,39.53,113.73,105.0,1.000,active
03:33:21,40.16,115.26,105.0,1.000,active
03:33:37,40.80,116.74,105.0,1.000,active
03:33:53,41.50,118.17,105.0,1.000,active
03:34:08,42.10,119.51,105.0,1.000,active
03:34:24,42.75,120.84,105.0,1.000,active
03:34:40,43.37,122.13,105.0,1.000,active
03:34:56,44.09,123.39,105.0,1.000,active
03:35:12,44.74,124.60,105.0,1.000,active
03:35:28,45.36,125.78,105.0,1.000,active
03:35:44,45.98,126.94,105.0,1.000,active
03:36:00,46.68,128.10,105.0,1.000,active
03:36:16,47.33,129.22,105.0,1.000,active
03:36:32,47.98,130.35,105.0,1.000,active
03:36:48,48.68,131.45,105.0,1.000,active
03:37:04,49.35,132.52,105.0,1.000,active
03:37:20,49.97,133.52,105.0,1.000,active
03:37:36,50.65,134.59,105.0,1.000,active
03:37:52,51.35,135.62,105.0,1.000,active
03:38:08,51.98,136.63,105.0,1.000,active
03:38:24,52.58,137.63,105.0,1.000,active
03:38:40,53.26,138.64,105.0,1.000,active
03:38:55,53.93,139.59,105.0,1.000,active
03:39:11,54.66,140.58,105.0,1.000,active
03:39:27,55.29,141.54,105.0,1.000,active
03:39:43,55.96,142.47,105.0,1.000,active
03:39:59,56.59,143.45,105.0,1.000,active
03:40:15,57.27,144.44,105.0,1.000,active
03:40:31,57.86,145.38,105.0,1.000,active
03:40:47,58.59,146.31,105.0,1.000,active
03:41:03,59.22,147.18,105.0,1.000,active
03:41:19,59.90,148.10,105.0,1.000,active
03:41:34,60.52,149.04,105.0,1.000,active
03:41:50,61.15,149.88,105.0,1.000,active
03:42:06,61.88,150.75,105.0,1.000,active
03:42:22,62.45,151.62,105.0,1.000,active
03:42:38,63.07,152.46,105.0,1.000,active
03:42:54,63.75,153.31,105.0,1.000,active
03:43:10,64.38,154.13,105.0,1.000,active
03:43:26,65.08,155.02,105.0,1.000,active
03:43:42,65.65,155.82,105.0,1.000,active
03:43:58,66.28,156.59,105.0,1.000,active
03:44:14,66.90,157.35,105.0,1.000,active
03:44:29,67.55,158.13,105.0,1.000,active
03:44:45,68.15,158.96,105.0,1.000,active
03:45:01,68.80,159.71,105.0,1.000,active
03:45:17,69.40,160.47,105.0,1.000,active
03:45:33,70.00,161.26,105.0,1.000,active
03:45:49,70.65,162.02,105.0,1.000,active
03:46:05,71.18,162.80,105.0,1.000,active
03:46:21,71.86,163.56,105.0,1.000,active
03:46:37,72.43,164.34,105.0,1.000,active
03:46:53,73.01,165.05,105.0,0.698,active
03:47:09,73.61,163.75,105.0,0.976,active
03:47:25,74.19,164.55,105.0,0.999,active
03:47:41,74.79,163.79,105.0,0.799,active
03:47:57,75.42,164.12,105.0,0.992,active
03:48:13,75.94,164.91,105.0,0.475,active
03:48:28,76.44,164.02,105.0,0.980,active
03:48:44,77.02,165.09,105.0,0.417,active
03:49:01,77.54,164.07,105.0,0.976,active
03:49:17,78.12,164.55,105.0,0.564,active
03:49:33,78.56,164.26,105.0,0.984,active
03:49:49,79.14,164.00,105.0,0.739,active
03:50:05,79.63,164.72,105.0,0.990,active
03:50:21,80.13,163.75,105.0,0.887,active
03:50:37,80.63,165.28,105.0,0.565,active
03:50:53,81.10,164.07,105.0,0.955,active
03:51:09,81.60,164.26,105.0,0.614,active
03:51:24,82.05,164.83,105.0,0.985,active
03:51:40,82.52,163.92,105.0,0.898,active
03:51:56,83.02,164.82,105.0,0.402,active
03:52:12,83.44,164.64,105.0,0.976,active
03:52:28,83.86,163.85,105.0,0.858,active
03:52:44,84.33,165.05,105.0,0.287,active
03:53:00,84.70,164.80,105.0,0.973,active
03:53:16,85.20,163.97,105.0,0.881,active
03:53:32,85.62,164.66,105.0,0.475,active
03:53:48,86.04,165.21,105.0,0.754,active
03:54:04,86.40,164.06,105.0,0.914,active
03:54:20,86.82,164.11,105.0,0.619,active
03:54:36,87.24,165.40,105.0,0.554,active
03:54:52,87.66,164.43,105.0,0.940,active
03:55:08,88.01,163.85,105.0,0.783,active
03:55:24,88.43,165.11,105.0,0.269,active
03:55:39,88.82,165.06,105.0,0.873,active
03:55:55,89.21,164.16,105.0,0.897,active
03:56:11,89.53,164.07,105.0,0.666,active
03:56:27,89.87,165.32,105.0,0.310,active
03:56:43,90.32,165.10,105.0,0.866,active
03:56:59,90.58,164.14,105.0,0.883,active
03:57:15,90.95,164.16,105.0,0.598,active
03:57:31,91.29,165.42,105.0,0.325,active
03:57:47,91.61,164.91,105.0,0.956,active
03:58:03,92.00,164.11,105.0,0.846,active
03:58:19,92.29,164.28,105.0,0.547,active
03:58:35,92.61,165.47,105.0,0.341,active
03:58:51,92.95,164.88,105.0,0.950,active
03:59:07,93.21,164.14,105.0,0.846,active
03:59:22,93.58,164.22,105.0,0.564,active
03:59:38,93.87,165.45,105.0,0.291,active
03:59:54,94.21,165.19,105.0,0.769,active
04:00:10,94.47,164.29,105.0,0.873,active
04:00:26,94.76,164.09,105.0,0.662,active
04:00:42,95.08,164.99,105.0,0.232,active
04:00:58,95.26,165.55,105.0,0.457,active
04:01:14,95.61,164.94,105.0,0.927,active
04:01:30,95.84,164.18,105.0,0.833,active
04:01:46,96.11,164.26,105.0,0.553,active
04:02:02,96.37,165.35,105.0,0.234,active
04:02:18,96.66,165.40,105.0,0.619,active
04:02:34,96.92,164.59,105.0,0.895,active
04:02:50,97.16,164.10,105.0,0.745,active
04:03:06,97.45,164.53,105.0,0.456,active
04:03:22,97.68,165.45,105.0,0.256,active
04:03:38,97.89,165.40,105.0,0.616,active
04:03:54,98.18,164.53,105.0,0.881,active
04:04:10,98.42,164.11,105.0,0.715,active
04:04:26,98.61,164.73,105.0,0.357,active
04:04:41,98.84,165.52,105.0,0.268,active
04:04:57,99.05,165.37,105.0,0.611,active
04:05:13,99.34,164.65,105.0,0.882,active
04:05:29,99.53,164.20,105.0,0.769,active
04:05:45,99.76,164.42,105.0,0.466,active
04:06:01,100.00,165.41,105.0,0.218,active
04:06:17,100.21,165.58,105.0,0.521,active
04:06:33,100.34,164.66,105.0,0.884,active
04:06:49,100.63,164.14,105.0,0.709,active
04:07:05,100.79,164.68,105.0,0.337,active
04:07:21,101.01,165.59,105.0,0.267,active
04:07:37,101.19,165.44,105.0,0.604,active
04:07:53,101.32,164.57,105.0,0.846,active
04:08:09,101.61,164.12,105.0,0.704,active
04:08:25,101.77,164.66,105.0,0.380,active
04:08:41,101.93,165.54,105.0,0.237,active
04:08:57,102.09,165.62,105.0,0.486,active
04:09:13,102.28,164.68,105.0,0.804,active
04:09:28,102.49,164.12,105.0,0.634,active
04:09:44,102.65,164.66,105.0,0.355,active
04:10:00,102.80,165.52,105.0,0.260,active
04:10:16,102.99,165.24,105.0,0.684,active
04:10:32,103.15,164.30,105.0,0.720,active
04:10:48,103.33,164.25,105.0,0.497,active
04:11:04,103.44,165.53,105.0,0.264,active
04:11:20,103.65,165.15,105.0,0.658,active
04:11:36,103.78,164.32,105.0,0.606,active
04:11:52,103.81,164.39,105.0,0.528,active
04:12:08,104.07,165.04,105.0,0.163,active
04:12:24,104.26,165.02,105.0,0.675,active
04:12:40,104.39,164.30,105.0,0.564,active
04:12:56,104.44,164.62,105.0,0.336,active
04:13:12,104.60,164.77,105.0,0.629,active
04:13:28,104.81,164.49,105.0,0.607,active
04:13:44,104.97,164.33,105.0,0.413,active
04:14:00,105.05,164.64,105.0,0.556,active
04:14:16,105.13,164.41,105.0,0.427,active
04:14:32,105.32,164.55,105.0,0.533,active
04:14:48,105.45,164.90,105.0,0.233,active
04:15:04,105.56,164.19,105.0,0.473,active
04:15:19,105.69,163.89,105.0,0.435,active
04:15:35,105.77,163.69,105.0,0.362,active
04:15:51,105.87,162.84,105.0,0.429,active
04:16:07,105.93,162.23,105.0,0.422,active
04:16:23,106.03,161.39,105.0,0.372,active
