time,chamber_air,chamberSP_tenths,plc_status,elecbay_S4
03:27:31,26.50000,0,96,25.52
03:27:48,26.50000,0,96,25.54
03:28:04,26.50000,0,112,25.52
03:28:20,26.50000,0,96,25.52
03:28:36,26.50000,0,112,25.52
03:28:52,26.50000,0,96,25.52
03:29:08,26.50000,0,96,25.46
03:29:24,26.60000,0,112,25.52
03:29:40,26.70000,0,96,25.49
03:29:56,26.70000,0,96,25.49
03:30:12,26.90000,0,112,25.46
03:30:28,26.90000,0,96,25.49
03:30:44,27.10000,0,96,25.52
03:31:00,27.20000,0,112,25.49
03:31:16,27.30000,0,96,25.46
03:31:32,27.40000,0,112,25.41
03:31:48,27.60000,0,112,25.41
03:32:04,27.80000,0,112,25.41
03:32:20,27.90000,0,112,25.46
03:32:36,28.10000,0,96,25.41
03:32:52,28.20000,0,96,25.46
03:33:08,28.40000,0,96,25.41
03:33:24,28.50000,0,112,25.39
03:33:39,28.70000,0,96,25.39
03:33:55,28.80000,0,96,25.39
03:34:11,29.10000,0,112,25.41
03:34:27,29.20000,0,96,25.39
03:34:43,29.40000,0,112,25.39
03:34:59,29.70000,0,112,25.39
03:35:15,29.90000,0,96,25.39
03:35:31,30.10000,0,112,25.36
03:35:47,30.30000,0,96,25.36
03:36:03,30.60000,0,96,25.39
03:36:19,30.70000,0,96,25.36
03:36:35,31.00000,0,96,25.39
03:36:50,31.20000,0,112,25.39
03:37:06,31.50000,0,96,25.39
03:37:22,31.60000,0,112,25.41
03:37:38,31.90000,0,96,25.46
03:37:54,32.30000,0,112,25.39
03:38:10,32.40000,0,112,25.41
03:38:26,32.80000,0,96,25.41
03:38:42,32.90000,0,112,25.41
03:38:58,33.30000,0,112,25.46
03:39:14,33.50000,0,112,25.46
03:39:30,33.80000,0,96,25.39
03:39:45,34.00000,0,96,25.41
03:40:01,34.30000,0,96,25.39
03:40:17,34.50000,0,112,25.36
03:40:33,34.80000,0,112,25.39
03:40:49,35.20000,0,112,25.36
03:41:05,35.40000,0,112,25.34
03:41:21,35.70000,0,96,25.39
03:41:37,35.90000,0,96,25.39
03:41:53,36.20000,0,96,25.39
03:42:09,36.40000,0,112,25.36
03:42:25,36.70000,0,96,25.39
03:42:41,36.90000,0,96,25.39
03:42:57,37.30000,0,96,25.39
03:43:13,37.70000,0,112,25.39
03:43:29,37.90000,0,96,25.36
03:43:45,38.30000,0,96,25.39
03:44:00,38.40000,0,112,25.39
03:44:16,38.70000,0,112,25.36
03:44:32,38.90000,0,112,25.36
03:44:48,39.30000,0,96,25.39
03:45:04,39.50000,0,112,25.36
03:45:20,39.80000,0,112,25.36
03:45:36,40.00000,0,112,25.41
03:45:52,40.30000,0,112,25.39
03:46:08,40.50000,0,112,25.41
03:46:24,40.90000,0,112,25.36
03:46:40,41.30000,0,112,25.36
03:46:56,41.40000,0,96,25.34
03:47:12,41.80000,0,112,25.36
03:47:28,42.00000,0,112,25.39
03:47:44,42.30000,0,96,25.41
03:48:00,42.50000,0,112,25.41
03:48:16,42.80000,0,112,25.46
03:48:32,43.00000,0,112,25.46
03:48:48,43.40000,0,112,25.49
03:49:04,43.70000,0,96,25.49
03:49:20,43.90000,0,96,25.49
03:49:36,44.20000,0,112,25.49
03:49:52,44.30000,0,96,25.46
03:50:08,44.60000,0,112,25.46
03:50:24,44.80000,0,112,25.46
03:50:40,45.10000,0,112,25.41
03:50:55,45.20000,0,96,25.41
03:51:11,45.60000,0,96,25.41
03:51:27,45.70000,0,96,25.41
03:51:43,46.00000,0,96,25.41
03:51:59,46.20000,0,96,25.41
03:52:15,46.40000,0,96,25.49
03:52:31,46.70000,0,96,25.49
03:52:47,46.80000,0,96,25.52
03:53:03,47.10000,0,96,25.52
03:53:19,47.20000,0,112,25.52
03:53:35,47.40000,0,112,25.52
03:53:51,47.60000,0,112,25.54
03:54:07,47.90000,0,112,25.52
03:54:23,48.10000,0,96,25.52
03:54:39,48.20000,0,96,25.49
03:54:55,48.50000,0,96,25.54
03:55:10,48.70000,0,96,25.52
03:55:26,48.90000,0,96,25.52
03:55:42,49.00000,0,112,25.52
03:55:58,49.30000,0,96,25.59
03:56:14,49.40000,0,96,25.52
03:56:30,49.60000,0,96,25.52
03:56:46,49.70000,0,112,25.52
03:57:02,50.00000,0,96,25.54
03:57:18,50.20000,0,112,25.52
03:57:34,50.40000,0,112,25.52
03:57:50,50.60000,0,112,25.54
03:58:06,50.70000,0,96,25.59
03:58:22,50.90000,0,96,25.62
03:58:38,51.00000,0,112,25.64
03:58:54,51.30000,0,112,25.59
03:59:10,51.40000,0,112,25.59
03:59:26,51.60000,0,112,25.62
03:59:41,51.70000,0,96,25.62
03:59:57,51.90000,0,96,25.67
04:00:13,52.10000,0,96,25.64
04:00:29,52.10000,0,96,25.64
04:00:45,52.40000,0,112,25.64
04:01:01,52.50000,0,112,25.67
04:01:17,52.60000,0,96,25.70
04:01:33,52.70000,0,112,25.70
04:01:49,52.90000,0,96,25.70
04:02:05,53.00000,0,96,25.75
04:02:21,53.20000,0,112,25.77
04:02:37,53.30000,0,96,25.75
04:02:53,53.50000,0,96,25.75
04:03:09,53.70000,0,112,25.77
04:03:24,53.80000,0,112,25.77
04:03:40,54.00000,0,96,25.77
04:03:56,54.10000,0,96,25.80
04:04:12,54.20000,0,96,25.82
04:04:28,54.30000,0,112,25.82
04:04:44,54.50000,0,112,25.90
04:05:00,54.50000,0,96,25.88
04:05:16,54.70000,0,112,25.82
04:05:32,54.80000,0,112,25.88
04:05:48,55.00000,0,112,25.88
