time,slab_S5,mat_S2,setpoint,pwm,state
20:44:27,23.94,23.79,0,0.00,off
20:44:43,23.94,27.99,50.0,0.890,active
20:44:59,24.07,38.48,50.0,0.354,fault
20:45:15,24.30,38.49,50.0,0.0126,fault
20:45:31,24.61,36.30,50.0,4.740e-4,fault
20:45:47,24.74,34.08,50.0,1.779e-5,fault
20:46:03,24.79,32.30,50.0,6.674e-7,fault
20:46:19,24.90,30.85,50.0,2.504e-8,fault
20:46:35,24.90,29.80,50.0,9.398e-10,fault
20:46:51,24.95,29.04,50.0,3.526e-11,fault
20:47:07,25.03,28.41,50.0,1.393e-12,fault
20:47:23,24.95,27.84,50.0,5.227e-14,fault
20:47:39,25.05,27.50,50.0,1.961e-15,fault
20:47:55,24.97,27.99,50.0,0.642,active
20:48:10,25.05,38.15,50.0,0.986,active
20:48:26,25.31,48.82,50.0,0.999,active
20:48:42,25.70,57.73,50.0,1.000,active
20:48:58,26.24,65.11,50.0,1.000,active
20:49:14,26.80,71.20,50.0,1.000,active
20:49:30,27.37,76.29,50.0,1.000,active
20:49:46,27.94,80.63,50.0,1.000,active
20:50:02,28.61,84.36,50.0,1.000,active
20:50:18,29.23,87.50,50.0,1.000,active
20:50:34,29.79,90.34,50.0,0.630,active
20:50:50,30.52,89.36,50.0,0.951,active
20:51:06,31.11,88.82,50.0,0.801,active
20:51:22,31.65,89.89,50.0,0.367,active
20:51:38,32.20,90.31,50.0,0.675,active
20:51:53,32.74,89.59,50.0,0.932,active
20:52:09,33.23,89.04,50.0,0.842,active
20:52:25,33.82,89.06,50.0,0.653,active
20:52:41,34.32,89.89,50.0,0.310,active
20:52:58,34.91,90.91,50.0,0.975,active
20:53:13,35.35,94.56,50.0,0.999,active
20:53:29,35.92,98.11,50.0,1.000,active
20:53:45,36.59,101.21,50.0,1.000,active
20:54:01,37.21,103.86,50.0,1.000,active
20:54:17,37.91,106.21,50.0,1.000,active
20:54:33,38.50,108.33,50.0,1.000,active
20:54:49,39.22,110.23,50.0,0.599,active
20:55:05,39.82,109.25,50.0,0.966,active
20:55:21,40.52,108.88,50.0,0.764,active
20:55:37,41.19,110.18,50.0,0.689,active
20:55:53,41.79,109.34,50.0,0.950,active
20:56:09,42.36,108.85,50.0,0.806,active
20:56:25,43.03,109.99,50.0,0.350,active
20:56:41,43.60,110.09,50.0,0.833,active
20:56:57,44.20,109.31,50.0,0.921,active
20:57:13,44.74,108.91,50.0,0.768,active
20:57:29,45.34,109.76,50.0,0.403,active
20:57:45,45.93,110.43,50.0,0.518,active
20:58:01,46.48,109.76,50.0,0.942,active
20:58:17,47.07,109.20,50.0,0.850,active
20:58:33,47.54,109.04,50.0,0.715,active
20:58:49,48.06,109.62,50.0,0.438,active
20:59:05,48.58,110.46,50.0,0.355,active
20:59:20,49.07,110.27,50.0,0.689,active
20:59:36,49.56,109.76,50.0,0.910,active
20:59:52,50.05,109.30,50.0,0.796,active
21:00:08,50.62,108.96,50.0,0.488,active
21:00:24,51.12,107.05,50.0,0.156,active
21:00:40,51.54,101.24,50.0,0.00584,active
21:00:56,51.88,95.40,50.0,2.306e-4,active
21:01:12,52.24,90.50,50.0,8.651e-6,active
21:01:28,52.40,86.39,50.0,3.084e-7,active
21:01:44,52.66,83.22,50.0,1.157e-8,active
21:02:00,52.84,80.68,50.0,4.343e-10,active
21:02:16,52.97,78.61,50.0,1.715e-11,active
21:02:32,53.18,76.86,50.0,6.115e-13,active
21:02:48,53.26,75.53,50.0,2.415e-14,active
21:03:04,53.39,74.40,50.0,9.063e-16,active
21:03:20,53.52,73.46,50.0,3.580e-17,active
21:03:36,53.67,72.50,50.0,1.343e-18,active
21:03:52,53.72,71.83,50.0,5.040e-20,active
21:04:08,53.80,71.20,50.0,1.891e-21,active
21:04:24,53.88,70.63,50.0,7.097e-23,active
21:04:40,53.96,70.15,50.0,2.663e-24,active
21:04:56,54.04,69.65,50.0,9.993e-26,active
21:05:12,54.22,72.71,60.0,0.871,active
21:05:28,54.24,82.94,60.0,0.995,active
21:05:44,54.43,92.40,60.0,1.000,active
21:05:59,54.87,100.08,60.0,1.000,active
21:06:15,55.39,106.44,60.0,1.000,active
21:06:31,55.81,111.66,60.0,1.000,active
21:06:47,56.30,116.00,60.0,1.000,active
21:07:03,56.88,119.79,60.0,1.000,active
21:07:19,57.34,123.00,60.0,0.998,active
21:07:35,57.89,125.31,60.0,0.396,active
21:07:51,58.54,124.56,60.0,0.964,active
21:08:07,59.04,123.97,60.0,0.853,active
21:08:23,59.48,124.79,60.0,0.430,active
21:08:39,60.03,125.19,60.0,0.743,active
21:08:55,60.52,124.03,60.0,0.771,active
21:09:11,60.91,124.18,60.0,0.538,active
21:09:27,61.30,120.82,60.0,0.121,active
21:09:43,61.74,114.09,60.0,0.00734,active
21:09:59,62.06,107.53,60.0,2.756e-4,active
21:10:15,62.32,102.09,60.0,1.034e-5,active
21:10:31,62.45,97.69,60.0,3.880e-7,active
21:10:47,62.63,94.18,60.0,1.456e-8,active
21:11:03,62.68,91.39,60.0,5.751e-10,active
21:11:18,62.79,89.09,60.0,2.158e-11,active
21:11:34,62.92,87.24,60.0,8.098e-13,active
21:11:50,62.97,85.72,60.0,3.039e-14,active
21:12:06,62.94,84.44,60.0,1.140e-15,active
21:12:22,63.05,83.34,60.0,4.279e-17,active
21:12:38,63.10,82.47,60.0,1.690e-18,active
21:12:54,63.15,81.69,60.0,6.342e-20,active
21:13:10,63.23,81.02,60.0,2.380e-21,active
21:13:26,63.26,80.55,105.0,0.487,active
21:13:42,63.26,89.20,105.0,0.981,active
21:13:58,63.39,98.84,105.0,0.999,active
21:14:14,63.67,107.06,105.0,1.000,active
21:14:30,64.06,113.72,105.0,1.000,active
21:14:46,64.53,119.20,105.0,1.000,active
21:15:02,64.95,123.65,105.0,1.000,active
21:15:18,65.36,127.34,105.0,1.000,active
21:15:34,65.83,130.19,105.0,1.000,active
21:15:50,66.35,133.03,105.0,1.000,active
21:16:06,66.82,135.43,105.0,1.000,active
21:16:22,67.29,137.55,105.0,1.000,active
21:16:38,67.76,139.43,105.0,1.000,active
21:16:54,68.28,141.08,105.0,1.000,active
21:17:09,68.80,142.63,105.0,1.000,active
21:17:25,69.27,144.00,105.0,1.000,active
21:17:41,69.82,145.31,105.0,1.000,active
21:17:58,70.37,146.53,105.0,1.000,active
21:18:13,70.86,147.61,105.0,1.000,active
21:18:30,71.36,148.66,105.0,1.000,active
21:18:45,71.83,149.74,105.0,1.000,active
21:19:01,72.33,148.85,105.0,0.906,active
21:19:17,72.77,149.73,105.0,0.996,active
21:19:33,73.40,148.71,105.0,0.889,active
21:19:49,73.77,149.73,105.0,0.996,active
21:20:05,74.27,148.78,105.0,0.894,active
21:20:21,74.71,149.98,105.0,0.996,active
21:20:37,75.18,148.74,105.0,0.938,active
21:20:53,75.65,150.23,105.0,0.661,active
21:21:09,76.05,149.00,105.0,0.952,active
21:21:25,76.49,149.69,105.0,0.488,active
21:21:41,76.94,149.58,105.0,0.981,active
21:21:57,77.36,148.78,105.0,0.838,active
21:22:13,77.77,149.89,105.0,0.994,active
21:22:29,77.98,148.77,105.0,0.913,active
21:22:45,78.35,150.15,105.0,0.732,active
21:23:01,78.64,149.19,105.0,0.938,active
21:23:17,79.01,148.99,105.0,0.729,active
21:23:33,79.42,150.31,105.0,0.530,active
21:23:49,79.82,149.35,105.0,0.954,active
21:24:05,80.16,148.91,105.0,0.785,active
21:24:20,80.55,150.25,105.0,0.369,active
21:24:36,80.92,149.67,105.0,0.965,active
21:24:52,81.26,149.01,105.0,0.839,active
21:25:08,81.57,149.73,105.0,0.383,active
21:25:24,81.94,150.18,105.0,0.752,active
21:25:40,82.23,149.03,105.0,0.930,active
21:25:56,82.47,149.39,105.0,0.595,active
21:26:12,82.83,150.02,105.0,0.235,active
21:26:28,83.18,149.99,105.0,0.971,active
21:26:44,83.46,149.08,105.0,0.881,active
21:27:00,83.78,149.16,105.0,0.584,active
21:27:16,84.04,150.44,105.0,0.402,active
21:27:32,84.30,149.97,105.0,0.953,active
21:27:48,84.62,149.39,105.0,0.870,active
21:28:04,84.99,148.97,105.0,0.728,active
21:28:20,85.17,149.88,105.0,0.326,active
21:28:36,85.51,150.53,105.0,0.392,active
21:28:52,85.80,150.11,105.0,0.799,active
21:29:08,86.04,149.36,105.0,0.865,active
21:29:24,86.25,149.09,105.0,0.695,active
21:29:40,86.67,149.81,105.0,0.297,active
21:29:56,86.93,150.58,105.0,0.351,active
21:30:11,87.19,150.26,105.0,0.714,active
21:30:27,87.53,149.49,105.0,0.869,active
21:30:43,87.80,149.09,105.0,0.702,active
21:30:59,88.01,149.73,105.0,0.357,active
21:31:15,88.24,150.47,105.0,0.254,active
21:31:31,88.56,150.43,105.0,0.578,active
21:31:47,88.82,149.76,105.0,0.893,active
21:32:03,89.06,149.18,105.0,0.779,active
21:32:19,89.29,149.35,105.0,0.492,active
21:32:35,89.53,150.43,105.0,0.219,active
21:32:51,89.84,150.54,105.0,0.518,active
21:33:07,90.00,149.76,105.0,0.891,active
21:33:23,90.24,149.24,105.0,0.765,active
21:33:39,90.55,149.38,105.0,0.487,active
21:33:55,90.66,150.37,105.0,0.195,active
21:34:11,90.95,150.69,105.0,0.396,active
21:34:27,91.11,150.08,105.0,0.813,active
21:34:43,91.26,149.44,105.0,0.816,active
21:34:59,91.53,149.18,105.0,0.641,active
21:35:15,91.74,149.83,105.0,0.258,active
21:35:31,91.89,150.58,105.0,0.236,active
21:35:47,92.18,150.59,105.0,0.509,active
21:36:03,92.39,149.87,105.0,0.877,active
21:36:19,92.58,149.25,105.0,0.760,active
21:36:35,92.76,149.45,105.0,0.477,active
21:36:51,92.92,150.16,105.0,0.333,active
21:37:07,93.16,152.31,105.0,0.975,active
21:37:23,93.37,157.05,105.0,0.999,active
21:37:39,93.63,161.26,105.0,1.000,active
21:37:55,94.00,164.77,105.0,1.000,active
21:38:11,94.24,163.91,105.0,0.842,active
21:38:27,94.58,164.98,105.0,0.307,active
21:38:43,94.87,164.94,105.0,0.974,active
21:38:59,95.18,164.21,105.0,0.901,active
21:39:15,95.37,164.07,105.0,0.631,active
21:39:31,95.68,164.63,105.0,0.985,active
21:39:47,95.92,164.35,105.0,0.819,active
21:40:03,96.21,164.08,105.0,0.653,active
21:40:19,96.50,165.24,105.0,0.279,active
21:40:35,96.79,165.09,105.0,0.822,active
21:40:51,97.00,164.38,105.0,0.896,active
21:41:07,97.24,164.05,105.0,0.737,active
21:41:23,97.50,165.03,105.0,0.205,active
21:41:39,97.74,165.32,105.0,0.668,active
21:41:55,97.87,164.44,105.0,0.903,active
21:42:11,98.11,164.01,105.0,0.729,active
21:42:27,98.32,164.96,105.0,0.244,active
21:42:43,98.55,165.49,105.0,0.540,active
21:42:59,98.71,164.64,105.0,0.916,active
21:43:15,99.00,164.04,105.0,0.787,active
21:43:31,99.18,164.69,105.0,0.376,active
21:43:47,99.34,165.52,105.0,0.374,active
21:44:03,99.53,165.08,105.0,0.846,active
21:44:19,99.71,164.21,105.0,0.849,active
21:44:35,99.87,164.25,105.0,0.576,active
21:44:51,100.08,165.35,105.0,0.248,active
21:45:07,100.26,165.38,105.0,0.622,active
21:45:23,100.37,164.59,105.0,0.895,active
21:45:39,100.58,164.07,105.0,0.732,active
21:45:55,100.85,164.74,105.0,0.359,active
21:46:11,100.95,165.60,105.0,0.353,active
21:46:27,101.14,165.08,105.0,0.839,active
21:46:43,101.32,164.24,105.0,0.838,active
21:46:59,101.46,164.23,105.0,0.596,active
21:47:15,101.59,165.27,105.0,0.210,active
21:47:31,101.83,165.59,105.0,0.427,active
21:47:47,102.04,164.88,105.0,0.917,active
21:48:03,102.20,164.24,105.0,0.801,active
21:48:19,102.25,164.33,105.0,0.547,active
21:48:35,102.41,165.19,105.0,0.187,active
21:48:51,102.62,165.61,105.0,0.427,active
21:49:07,102.80,164.86,105.0,0.912,active
21:49:23,102.94,164.24,105.0,0.788,active
21:49:39,103.10,164.34,105.0,0.546,active
21:49:55,103.15,165.25,105.0,0.197,active
21:50:11,103.33,165.64,105.0,0.425,active
21:50:27,103.54,164.90,105.0,0.906,active
21:50:43,103.68,164.29,105.0,0.798,active
21:50:59,103.78,164.37,105.0,0.518,active
21:51:15,103.94,165.32,105.0,0.196,active
21:51:30,104.13,165.64,105.0,0.470,active
21:51:47,104.23,164.75,105.0,0.896,active
