time,chamber_air,chamberSP_tenths,plc_status,elecbay_S4
21:42:23,52.70000,0,96,27.47
21:42:39,52.90000,0,112,27.50
21:42:55,53.10000,0,112,27.47
21:43:11,53.20000,0,96,27.50
21:43:27,53.50000,0,96,27.53
21:43:43,53.60000,0,112,27.47
21:43:59,53.80000,0,112,27.47
21:44:15,53.90000,0,112,27.50
21:44:31,54.10000,0,96,27.47
21:44:47,54.20000,0,96,27.55
21:45:03,54.40000,0,112,27.50
21:45:19,54.50000,0,112,27.53
21:45:35,54.70000,0,112,27.50
21:45:51,54.90000,0,112,27.53
21:46:07,54.90000,0,96,27.50
21:46:23,55.10000,0,96,27.53
21:46:39,55.20000,0,112,27.53
21:46:55,55.40000,0,112,27.55
21:47:11,55.50000,0,112,27.60
21:47:27,55.60000,0,112,27.55
21:47:43,55.70000,0,96,27.55
21:47:59,55.90000,0,96,27.60
21:48:15,56.10000,0,96,27.63
21:48:31,56.10000,0,96,27.60
21:48:47,56.30000,0,96,27.65
21:49:03,56.40000,0,112,27.63
21:49:19,56.50000,0,96,27.68
21:49:35,56.60000,0,96,27.68
21:49:51,56.70000,0,112,27.68
21:50:07,56.80000,0,96,27.68
21:50:23,56.90000,0,112,27.68
21:50:39,57.00000,0,96,27.73
21:50:55,57.10000,0,112,27.81
21:51:11,57.30000,0,96,27.84
21:51:26,57.40000,0,96,27.84
21:51:43,57.50000,0,96,27.84
21:51:58,57.60000,0,96,27.89
21:52:14,57.70000,0,112,27.89
21:52:30,57.80000,0,96,27.89
21:52:46,57.90000,0,96,27.91
21:53:02,58.00000,0,112,27.94
21:53:18,58.10000,0,112,27.91
21:53:34,58.20000,0,112,27.94
21:53:50,58.30000,0,112,27.84
21:54:06,58.50000,0,96,27.84
21:54:22,58.50000,0,112,27.89
21:54:38,58.60000,0,96,27.89
21:54:54,58.70000,0,96,27.89
21:55:10,58.80000,0,96,27.89
21:55:26,58.80000,0,112,27.91
21:55:42,58.90000,0,112,27.94
21:55:58,58.90000,0,112,27.96
21:56:14,58.90000,0,112,28.02
21:56:30,59.00000,0,96,28.02
21:56:46,59.00000,0,112,27.96
21:57:02,59.00000,0,112,28.04
21:57:18,59.00000,0,96,28.02
21:57:34,59.00000,0,96,28.07
21:57:50,59.10000,0,112,28.07
21:58:06,59.00000,0,96,28.04
21:58:22,59.00000,0,112,28.07
21:58:38,59.00000,0,96,28.04
21:58:54,59.00000,0,112,28.07
21:59:10,59.00000,0,112,28.07
21:59:26,58.90000,0,112,28.09
21:59:42,58.90000,0,96,28.09
21:59:58,59.00000,0,96,28.09
22:00:14,59.00000,0,96,28.09
22:00:30,59.10000,0,96,28.12
22:00:46,59.10000,0,96,28.12
22:01:02,59.20000,0,96,28.17
22:01:18,59.20000,0,96,28.17
22:01:34,59.40000,0,112,28.20
22:01:50,59.50000,0,96,28.20
22:02:06,59.50000,0,112,28.25
22:02:21,59.60000,0,112,28.22
22:02:37,59.60000,0,112,28.22
22:02:53,59.70000,0,112,28.25
22:03:09,59.70000,0,112,28.25
22:03:25,59.80000,0,112,28.30
22:03:41,59.80000,0,112,28.35
22:03:57,59.80000,0,112,28.32
22:04:13,59.80000,0,112,28.35
22:04:29,59.80000,0,96,28.32
22:04:45,59.80000,0,96,28.35
22:05:01,59.70000,0,96,28.32
22:05:17,59.70000,0,96,28.35
22:05:33,59.70000,0,112,28.38
22:05:49,59.70000,0,96,28.38
22:06:05,59.70000,0,112,28.35
22:06:21,59.70000,0,96,28.40
22:06:37,59.70000,0,112,28.40
22:06:53,59.60000,0,96,28.40
22:07:09,59.60000,0,112,28.51
22:07:25,59.70000,0,112,28.48
22:07:41,59.70000,0,112,28.51
22:07:57,59.70000,0,112,28.51
22:08:13,59.80000,0,96,28.48
22:08:29,59.90000,0,112,28.48
22:08:45,59.90000,0,112,28.53
22:09:01,60.00000,0,96,28.58
22:09:17,60.10000,0,112,28.58
22:09:33,60.20000,0,96,28.58
22:09:49,60.20000,0,112,28.51
22:10:05,60.30000,0,112,28.48
22:10:21,60.30000,0,96,28.51
22:10:37,60.30000,0,112,28.53
22:10:53,60.40000,0,112,28.58
22:11:09,60.40000,0,112,28.58
22:11:24,60.30000,0,112,28.61
22:11:40,60.30000,0,96,28.58
22:11:56,60.30000,0,112,28.58
22:12:12,60.30000,0,96,28.61
22:12:28,60.20000,0,112,28.63
22:12:44,60.20000,0,96,28.66
22:13:00,60.20000,0,96,28.69
22:13:16,60.10000,0,96,28.69
22:13:32,60.10000,0,96,28.66
22:13:48,60.10000,0,112,28.66
22:14:04,60.10000,0,112,28.69
22:14:20,60.10000,0,112,28.69
22:14:36,60.10000,0,112,28.76
22:14:52,60.10000,0,96,28.74
22:15:08,60.20000,0,96,28.69
22:15:24,60.30000,0,96,28.69
