time,phase,bed_slab_S5,bedmat_S2,elecbay_S4,hotend_S0
19:48:43,heat,23.17,54.25,25.8,22.47
19:49:14,heat,24.1,67.96,25.82,22.47
19:49:46,heat,25.21,77.83,25.82,22.53
19:50:17,heat,26.31,85.03,25.82,22.58
19:50:48,heat,27.55,90.74,25.88,22.6
19:51:19,heat,28.74,95.65,25.82,22.68
19:51:50,heat,30.03,99.68,25.88,22.73
19:52:21,heat,31.29,103.19,25.82,22.81
19:52:52,heat,32.58,106.22,25.88,22.86
19:53:23,heat,33.82,109.33,25.88,22.94
19:53:55,heat,35.12,111.86,25.9,23.04
19:54:26,heat,36.46,114.12,25.9,23.17
19:54:57,heat,37.83,116.28,25.93,23.25
19:55:28,heat,39.17,118.36,25.9,23.4
19:55:59,heat,40.49,120.51,25.88,23.56
19:56:30,heat,41.84,122.68,25.9,23.69
19:57:02,heat,43.24,124.69,25.9,23.81
19:57:33,heat,44.56,126.38,25.93,23.97
19:58:04,heat,45.83,128.19,25.95,24.12
19:58:35,heat,47.23,130.15,25.95,24.33
19:59:06,heat,48.52,132.27,25.98,24.48
19:59:37,heat,49.79,134.43,26.03,24.72
20:00:08,heat,51.12,136.04,25.98,24.9
20:00:39,heat,52.4,137.8,25.95,25.05
20:01:11,heat,53.7,139.87,25.98,25.28
20:01:42,heat,54.9,141.85,26.03,25.49
20:02:13,heat,56.2,142.8,26.03,25.67
20:02:44,heat,57.42,141.35,26.03,25.82
20:03:15,heat,58.65,136.75,25.98,26.06
20:03:46,heat,59.74,129.07,25.98,26.29
20:03:46,hold,59.79,128.79,25.98,26.26
20:04:17,hold,60.65,119.13,26.03,26.44
20:04:48,hold,61.38,109.9,26.08,26.62
20:05:19,hold,61.85,102.82,26.06,26.83
20:05:50,hold,62.32,97.65,26.11,26.98
20:06:21,hold,62.63,93.84,26.08,27.14
20:06:53,hold,62.89,91.23,26.08,27.27
20:07:24,hold,63.2,89.01,26.08,27.42
20:07:55,hold,63.33,87.23,26.16,27.58
20:08:26,hold,63.49,85.93,26.16,27.73
20:08:57,hold,63.72,84.92,26.19,27.86
20:09:28,hold,63.83,83.91,26.16,27.99
20:09:59,hold,63.91,83.11,26.19,28.09
20:10:30,hold,63.96,82.28,26.21,28.22
20:11:01,hold,64.01,81.53,26.21,28.3
20:11:32,hold,64.01,80.72,26.24,28.35
20:12:03,hold,64.04,79.96,26.26,28.51
20:12:34,hold,64.04,79.37,26.21,28.56
20:13:05,hold,64.01,78.82,26.26,28.63
20:13:36,hold,63.93,78.22,26.26,28.69
20:14:07,hold,63.93,77.57,26.31,28.76
20:14:38,hold,63.83,77.08,26.26,28.87
20:15:09,hold,63.72,76.56,26.26,28.92
20:15:40,hold,63.59,76.13,26.26,28.94
20:16:11,hold,63.52,75.81,26.26,28.99
20:16:42,hold,63.33,75.23,26.26,29.07
20:17:13,hold,63.18,74.44,26.24,29.1
20:17:44,hold,63.05,73.85,26.21,29.07
20:18:15,hold,62.92,73.4,26.24,29.15
20:18:46,hold,62.76,72.88,26.24,29.15
20:19:17,hold,62.53,72.52,26.21,29.2
20:19:48,hold,62.37,72.44,26.26,29.2
20:20:19,hold,62.19,72.66,26.26,29.2
20:20:51,hold,62.03,72.92,26.26,29.18
20:21:22,hold,61.93,72.8,26.26,29.2
20:21:53,hold,61.85,72.68,26.31,29.28
20:22:24,hold,61.64,72.43,26.37,29.23
20:22:55,hold,61.51,72.15,26.39,29.3
20:23:26,hold,61.33,72.21,26.31,29.28
20:23:57,hold,61.17,72.37,26.31,29.23
20:24:28,hold,61.07,73.55,26.31,29.25
20:24:59,hold,60.94,73.68,26.34,29.23
20:25:30,hold,60.89,74.95,26.34,29.3
20:26:01,hold,60.7,75.01,26.31,29.28
20:26:32,hold,60.62,76.31,26.34,29.28
20:27:03,hold,60.52,76.59,26.34,29.3
20:27:34,hold,60.49,78.07,26.39,29.33
20:28:05,hold,60.44,77.76,26.37,29.36
20:28:36,hold,60.44,77.27,26.39,29.36
20:29:07,hold,60.31,80.21,26.44,29.38
20:29:38,hold,60.31,80.35,26.39,29.41
20:30:09,hold,60.36,80.47,26.47,29.41
20:30:40,hold,60.36,81.47,26.44,29.43
20:31:12,hold,60.49,80.36,26.44,29.46
20:31:43,hold,60.47,79.67,26.47,29.51
20:32:14,hold,60.47,78.84,26.47,29.43
20:32:45,hold,60.42,80.33,26.44,29.43
20:33:16,hold,60.42,81.54,26.47,29.46
20:33:52,mesh1,
20:39:22,mesh1,60.31,81.45,26.37,33.0
20:39:38,mesh2,
