timestamp,epoch,mat_S2_C,slab_S5_C,delta_C,hotend_S0_C,elecbay_S4_C,chamber_air_C,heater_state,pwm
2026-09-09 22:42:40,1788990160,46.0,43.16,2.84,24.59,28.25,25.5,active,1.261e-44
2026-09-09 22:43:11,1788990191,45.81,42.98,2.83,24.59,28.2,25.5,active,1.261e-44
2026-09-09 22:43:42,1788990222,45.65,42.88,2.77,24.54,28.2,25.5,active,1.261e-44
2026-09-09 22:44:14,1788990254,45.51,42.69,2.82,24.56,28.2,25.5,active,1.261e-44
2026-09-09 22:44:45,1788990285,45.36,42.62,2.74,24.56,28.25,25.5,active,1.261e-44
2026-09-09 22:45:17,1788990317,45.16,42.41,2.75,24.54,28.22,25.5,active,1.261e-44
2026-09-09 22:45:48,1788990348,45.09,42.31,2.78,24.56,28.2,25.5,active,1.261e-44
2026-09-09 22:46:20,1788990380,45.01,42.2,2.81,24.56,28.22,25.4,active,1.261e-44
2026-09-09 22:46:51,1788990411,44.83,42.05,2.78,24.54,28.2,25.4,active,1.261e-44
2026-09-09 22:47:23,1788990443,44.64,41.92,2.72,24.54,28.17,25.4,active,1.261e-44
2026-09-09 22:47:54,1788990474,44.52,41.68,2.84,24.48,28.12,25.4,active,1.261e-44
2026-09-09 22:48:25,1788990505,44.38,41.61,2.77,24.48,28.12,25.4,active,1.261e-44
2026-09-09 22:48:57,1788990537,44.21,41.5,2.71,24.51,28.07,25.4,active,1.261e-44
2026-09-09 22:49:28,1788990568,44.11,41.37,2.74,24.48,28.04,25.4,active,1.261e-44
2026-09-09 22:49:59,1788990599,43.93,41.24,2.69,24.46,28.02,25.4,active,1.261e-44
2026-09-09 22:50:31,1788990631,43.81,41.11,2.7,24.46,27.94,25.3,active,1.261e-44
2026-09-09 22:51:02,1788990662,43.67,41.01,2.66,24.48,27.89,25.3,active,1.261e-44
2026-09-09 22:51:33,1788990693,43.51,40.83,2.68,24.46,27.84,25.3,active,1.261e-44
2026-09-09 22:52:05,1788990725,43.41,40.78,2.63,24.46,27.89,25.3,active,1.261e-44
2026-09-09 22:52:36,1788990756,43.27,40.6,2.67,24.43,27.78,25.3,active,1.261e-44
2026-09-09 22:53:08,1788990788,43.25,40.49,2.76,24.46,27.81,25.3,active,1.261e-44
2026-09-09 22:53:39,1788990819,43.05,40.36,2.69,24.43,27.76,25.3,active,1.261e-44
2026-09-09 22:54:10,1788990850,42.87,40.23,2.64,24.41,27.76,25.3,active,1.261e-44
2026-09-09 22:54:42,1788990882,42.83,40.1,2.73,24.43,27.65,25.3,active,1.261e-44
2026-09-09 22:55:13,1788990913,42.72,40.03,2.69,24.46,27.63,25.3,active,1.261e-44
2026-09-09 22:55:44,1788990944,42.54,39.9,2.64,24.38,27.63,25.2,active,1.261e-44
2026-09-09 22:56:15,1788990975,42.51,39.79,2.72,24.36,27.65,25.2,active,1.261e-44
2026-09-09 22:56:47,1788991007,42.38,39.66,2.72,24.33,27.6,25.2,active,1.261e-44
2026-09-09 22:57:18,1788991038,42.2,39.53,2.67,24.38,27.55,25.2,active,1.261e-44
2026-09-09 22:57:49,1788991069,42.06,39.46,2.6,24.36,27.55,25.2,active,1.261e-44
2026-09-09 22:58:21,1788991101,41.96,39.33,2.63,24.36,27.55,25.1,active,1.261e-44
2026-09-09 22:58:52,1788991132,41.85,39.22,2.63,24.36,27.53,25.1,active,1.261e-44
2026-09-09 22:59:24,1788991164,41.72,39.07,2.65,24.33,27.55,25.1,active,1.261e-44
2026-09-09 22:59:55,1788991195,41.65,39.02,2.63,24.33,27.5,25.1,active,1.261e-44
2026-09-09 23:00:26,1788991226,41.51,38.91,2.6,24.28,27.47,25.1,active,1.261e-44
2026-09-09 23:00:58,1788991258,41.44,38.79,2.65,24.3,27.47,25.1,active,1.261e-44
2026-09-09 23:01:29,1788991289,41.29,38.66,2.63,24.3,27.5,25.1,active,1.261e-44
2026-09-09 23:02:00,1788991320,41.18,38.58,2.6,24.25,27.47,25.1,active,1.261e-44
2026-09-09 23:02:32,1788991352,41.04,38.45,2.59,24.25,27.45,25.1,active,1.261e-44
2026-09-09 23:03:03,1788991383,40.95,38.37,2.58,24.28,27.35,25.0,active,1.261e-44
2026-09-09 23:03:34,1788991414,40.85,38.24,2.61,24.28,27.37,25.0,active,1.261e-44
2026-09-09 23:04:06,1788991446,40.7,38.11,2.59,24.28,27.32,25.0,active,1.261e-44
2026-09-09 23:04:37,1788991477,40.59,38.06,2.53,24.25,27.32,25.0,active,1.261e-44
2026-09-09 23:05:09,1788991509,40.49,37.93,2.56,24.23,27.24,25.0,active,1.261e-44
2026-09-09 23:05:40,1788991540,40.33,37.83,2.5,24.25,27.24,25.0,active,1.261e-44
2026-09-09 23:06:11,1788991571,40.19,37.73,2.46,24.2,27.24,25.0,active,1.261e-44
2026-09-09 23:06:43,1788991603,40.07,37.62,2.45,24.2,27.22,24.9,active,1.261e-44
2026-09-09 23:07:14,1788991634,39.97,37.52,2.45,24.18,27.19,24.9,active,1.261e-44
2026-09-09 23:07:45,1788991665,39.79,37.36,2.43,24.15,27.24,24.9,active,1.261e-44
2026-09-09 23:08:16,1788991696,39.71,37.26,2.45,24.12,27.22,24.9,active,1.261e-44
2026-09-09 23:08:48,1788991728,39.59,37.16,2.43,24.15,27.19,24.9,active,1.261e-44
2026-09-09 23:09:19,1788991759,39.5,37.08,2.42,24.18,27.19,24.9,active,1.261e-44
2026-09-09 23:09:51,1788991791,39.39,36.95,2.44,24.12,27.19,24.9,active,1.261e-44
2026-09-09 23:10:22,1788991822,39.28,36.9,2.38,24.12,27.11,24.9,active,1.261e-44
2026-09-09 23:10:53,1788991853,39.23,36.77,2.46,24.12,27.09,24.8,active,1.261e-44
2026-09-09 23:11:25,1788991885,39.09,36.67,2.42,24.12,27.06,24.8,active,1.261e-44
2026-09-09 23:11:56,1788991916,39.01,36.59,2.42,24.1,27.06,24.8,active,1.261e-44
2026-09-09 23:12:27,1788991947,38.9,36.49,2.41,24.07,27.06,24.8,active,1.261e-44
2026-09-09 23:12:59,1788991979,38.81,36.38,2.43,24.07,27.09,24.8,active,1.261e-44
2026-09-09 23:13:30,1788992010,38.66,36.33,2.33,24.05,27.04,24.8,active,1.261e-44
2026-09-09 23:14:02,1788992042,38.59,36.2,2.39,24.07,26.96,24.8,active,1.261e-44
2026-09-09 23:14:33,1788992073,38.52,36.07,2.45,24.05,26.96,24.7,active,1.261e-44
2026-09-09 23:15:04,1788992104,38.41,36.02,2.39,24.02,26.96,24.7,active,1.261e-44
2026-09-09 23:15:36,1788992136,38.35,35.94,2.41,23.99,26.93,24.7,active,1.261e-44
