timestamp,mat_C,slab_C,delta_C,hotend_C,elecbay_C,chamber_C
2026-09-09 22:37:05,47.68,44.77,2.91,24.64,28.3,25.6
2026-09-09 22:37:36,47.5,44.56,2.94,24.64,28.3,25.6
2026-09-09 22:38:07,47.38,44.4,2.98,24.61,28.3,25.6
2026-09-09 22:38:38,47.25,44.22,3.03,24.61,28.32,25.6
2026-09-09 22:39:09,47.03,44.09,2.94,24.61,28.35,25.6
2026-09-09 22:39:41,46.85,43.94,2.91,24.61,28.3,25.6
2026-09-09 22:40:12,46.69,43.81,2.88,24.61,28.32,25.6
2026-09-09 22:40:43,46.49,43.68,2.81,24.61,28.25,25.6
2026-09-09 22:41:14,46.36,43.52,2.84,24.61,28.3,25.6
2026-09-09 22:41:46,46.25,43.37,2.88,24.61,28.3,25.5
