timestamp,hotend_degC,chamber_degC,trigger_height_mm
18:26:04,150.19,39.9,-0.0587
18:26:38,150.03,40.0,-0.0175
18:27:12,150.00,42.5,0.0125
18:27:47,150.03,45.3,0.0225
18:28:21,149.95,48.0,0.0475
18:28:55,149.95,49.6,0.0750
18:29:29,150.05,51.0,0.0950
18:30:04,150.00,52.3,0.0900
18:30:38,150.00,53.3,0.105
18:31:13,150.05,54.0,0.121
18:31:47,150.00,54.9,0.135
18:32:21,150.05,55.4,0.157
18:32:56,150.00,55.9,0.168
18:33:30,150.00,56.6,0.172
18:34:05,149.97,57.1,0.179
18:34:39,149.97,57.5,0.183
18:35:13,150.00,58.0,0.191
18:35:48,149.95,58.4,0.203
18:36:22,150.00,58.7,0.210
18:36:56,150.00,59.1,0.219
18:37:31,149.97,59.4,0.240
18:38:05,150.03,59.8,0.248
18:38:39,149.97,60.0,0.248
18:39:14,149.97,60.1,0.257
18:39:48,149.97,60.1,0.261
18:40:22,150.00,59.8,0.260
18:40:57,150.00,60.1,0.265
18:41:31,150.00,60.1,0.252
18:42:05,149.97,59.9,0.255
18:42:40,149.97,60.2,0.260
18:43:14,150.03,59.9,0.259
18:43:48,150.00,60.1,0.262
18:44:23,150.00,60.1,0.271
18:44:57,149.97,59.9,0.259
18:45:31,150.00,60.0,0.260
18:46:06,149.97,60.1,0.264
