time,elapsed_s,chamber_C,hotend_C,trigger_mm
20:48:35,4,600,149.9,-0.039
20:49:10,39,597,150.1,-0.030
20:49:44,73,599,150.0,-0.018
20:50:19,108,602,150.0,0.004
20:50:54,143,601,150.0,0.016
20:51:28,177,601,150.0,0.026
20:52:03,212,601,150.0,0.029
20:52:37,246,601,150.0,0.027
20:53:12,281,600,150.0,0.034
20:53:47,316,601,150.0,0.040
20:54:21,350,601,150.0,0.044
20:54:56,385,599,150.0,0.044
20:55:30,419,601,150.0,0.049
20:56:05,454,601,150.0,0.054
20:56:39,488,600,150.0,0.060
20:57:14,523,599,150.1,0.060
20:57:49,558,593,150.0,0.049
20:58:23,592,578,150.0,0.045
20:58:59,628,558,149.9,0.041
20:59:33,662,544,150.0,0.032
21:00:08,697,533,150.0,0.038
21:00:43,732,532,150.0,0.034
21:01:18,767,538,150.0,0.025
21:01:53,802,547,150.0,0.015
21:02:27,836,552,150.0,0.010
21:03:02,871,557,150.0,0.005
21:03:36,905,561,150.1,-0.006
21:04:11,940,564,150.0,-0.014
21:04:45,974,566,150.0,-0.021
21:05:20,1009,568,150.0,-0.027
21:05:55,1044,569,149.9,-0.035
21:06:29,1078,567,150.0,-0.041
