time,hotend,slab,mat,elecbay,chamber_air
16:09,28.97,56.41,62.39,25.34,27.3
16:10,28.79,55.96,61.69,25.36,27.3
16:11,28.71,55.60,61.27,25.49,27.4
16:12,28.63,55.23,60.83,25.49,27.5
16:13,28.53,54.90,60.21,25.59,27.5
16:14,28.53,54.58,59.61,25.64,27.5
16:15,28.51,54.22,59.06,25.70,27.5
16:16,28.40,53.80,58.45,25.67,27.5
16:17,28.38,53.41,57.87,25.77,27.5
16:18,28.32,52.99,57.30,25.80,27.5
16:19,28.25,52.71,56.80,25.82,27.4
16:20,28.22,52.27,56.21,25.88,27.4
16:21,28.14,52.01,55.74,25.90,27.3
16:22,28.04,51.64,55.23,25.88,27.3
16:23,27.96,51.20,54.75,25.90,27.3
16:25,27.89,50.83,54.26,25.88,27.2
16:26,27.81,50.49,53.77,25.93,27.2
16:27,27.84,50.10,53.25,25.88,27.1
16:28,27.78,49.72,52.82,25.90,27.1
16:29,27.65,49.48,52.37,25.90,26.9
16:30,27.63,49.09,51.91,25.95,26.9
16:31,27.63,48.70,51.49,25.95,26.9
16:32,27.53,48.39,51.06,25.95,26.8
16:33,27.45,47.98,50.65,25.95,26.8
16:34,27.42,47.69,50.16,26.03,26.7
16:35,27.40,47.41,49.79,26.06,26.7
16:36,27.29,47.05,49.39,25.98,26.6
16:37,27.24,46.71,49.00,25.98,26.6
16:38,27.19,46.40,48.59,25.93,26.6
16:39,27.06,46.06,48.20,25.95,26.5
16:40,27.04,45.75,47.84,25.95,26.5
16:41,26.93,45.47,47.47,25.93,26.4
16:42,26.88,45.13,47.09,25.93,26.4
16:43,26.86,44.84,46.71,25.93,26.3
16:44,26.80,44.53,46.42,25.93,26.2
16:45,26.73,44.25,46.08,25.93,26.1
16:46,26.65,43.94,45.75,25.93,26.1
16:47,26.60,43.70,45.41,25.93,26.1
16:48,26.55,43.47,45.09,25.95,26.1
16:49,26.52,43.11,44.73,25.93,26.0
16:50,26.39,42.82,44.41,25.93,26.0
16:51,26.37,42.59,44.08,25.93,26.0
16:52,26.31,42.38,43.71,25.93,25.9
16:53,26.29,42.05,43.36,25.95,25.9
16:54,26.24,41.81,43.09,25.93,25.8
16:55,26.21,41.55,42.80,25.90,25.8
16:56,26.13,41.30,42.51,25.90,25.8
16:57,26.08,41.09,42.20,25.88,25.7
16:58,26.06,40.83,41.95,25.88,25.7
16:59,25.98,40.62,41.68,25.82,25.7
17:00,25.93,40.31,41.36,25.90,25.7
17:01,25.90,40.10,41.06,25.98,25.7
17:02,25.85,39.87,40.79,26.03,25.6
17:03,25.82,39.61,40.48,26.06,25.6
17:04,25.77,39.35,40.21,26.03,25.6
17:05,25.77,39.17,39.98,26.06,25.6
17:06,25.72,38.89,39.73,26.06,25.6
17:07,25.67,38.66,39.49,26.06,25.5
17:08,25.62,38.48,39.23,26.06,25.5
17:09,25.62,38.29,39.04,26.08,25.5
17:10,25.59,38.06,38.81,26.08,25.4
17:11,25.54,37.88,38.59,26.08,25.4
17:12,25.52,37.65,38.38,26.06,25.4
17:13,25.44,37.44,38.21,26.06,25.4
17:14,25.44,37.26,38.00,26.06,25.3
17:15,25.34,37.08,37.77,26.08,25.3
17:16,25.36,36.93,37.54,26.11,25.3
17:17,25.34,36.74,37.30,26.08,25.3
17:18,25.34,36.49,37.08,26.08,25.2
17:19,25.28,36.30,36.90,26.08,25.2
17:20,25.26,36.07,36.70,26.08,25.2
17:21,25.18,35.92,36.54,26.11,25.2
17:22,25.21,35.79,36.24,26.11,25.1
17:24,25.13,35.53,36.11,26.08,25.1
17:25,25.15,35.48,35.93,26.08,25.1
17:26,25.10,35.25,35.77,26.11,25.1
17:27,25.00,35.12,35.62,26.16,25.0
17:28,25.05,34.96,35.45,26.16,25.0
17:29,24.97,34.78,35.32,26.19,25.0
17:30,24.97,34.63,35.15,26.11,25.0
17:31,24.90,34.47,34.98,26.11,24.9
17:32,24.90,34.34,34.76,26.08,24.9
17:33,24.87,34.19,34.63,26.08,24.9
17:34,24.82,34.03,34.45,26.08,24.9
17:35,24.82,33.95,34.31,26.06,24.9
17:36,24.77,33.75,34.15,26.06,24.8
17:37,24.74,33.64,34.00,26.06,24.8
17:38,24.72,33.46,33.85,26.08,24.8
17:39,24.69,33.36,33.69,26.06,24.8
17:40,24.66,33.18,33.53,26.06,24.7
17:41,24.66,33.10,33.36,26.03,24.7
17:42,24.61,32.92,33.25,26.08,24.7
17:43,24.64,32.82,33.10,25.95,24.7
17:44,24.61,32.66,32.96,25.95,24.7
17:45,24.72,32.53,32.85,25.95,24.8
17:46,24.82,32.38,32.70,25.90,24.8
17:47,24.97,32.33,32.54,25.82,24.8
17:48,25.05,32.17,32.44,25.90,24.9
17:49,25.15,32.07,32.30,25.88,24.9
17:50,25.21,32.02,32.23,25.93,24.9
17:51,25.26,31.89,32.07,25.95,24.9
17:52,25.39,31.76,31.93,25.98,24.9
17:53,25.46,31.65,31.85,25.98,24.9
17:54,25.54,31.52,31.69,25.95,24.9
17:55,25.59,31.40,31.60,25.95,24.9
17:56,25.59,31.40,31.51,25.95,24.9
17:57,25.57,31.21,31.40,25.98,24.9
17:58,25.59,31.11,31.28,25.98,24.9
17:59,25.59,31.03,31.23,25.98,24.9
18:00,25.62,30.90,31.08,26.06,24.9
18:01,25.67,30.83,30.97,26.06,24.9
18:02,25.64,30.75,30.86,26.06,24.9
18:03,142.61,30.72,30.76,26.11,24.9
18:04,150.03,30.59,30.68,26.08,24.9
18:05,150.03,30.39,30.58,26.11,24.9
18:06,150.03,30.47,30.50,26.08,24.9
18:07,150.00,30.31,30.39,26.11,24.9
18:08,149.95,30.21,30.30,26.08,24.9
18:09,150.03,30.10,30.24,26.11,24.9
18:10,150.00,30.05,30.14,26.08,24.9
18:11,150.00,29.97,30.06,26.08,24.9
18:12,149.95,29.92,29.98,26.11,24.9
18:13,149.97,29.79,29.89,26.19,24.9
18:14,150.08,29.79,29.81,26.26,24.9
18:15,150.05,29.61,29.76,26.26,24.9
18:16,150.03,29.61,29.68,26.31,24.9
18:17,149.52,29.46,29.57,26.26,24.9
18:18,150.03,29.46,29.53,26.34,24.9
18:19,150.00,29.43,29.45,26.26,24.8
