time,bed_slab_S5,bedmat_S2,hotend_S0,coolant_S1,elecbay_S4,mcu,bed_state,bed_pwm,chamber_sp,chamber_pv,chamber_status
11:20:29,91.34,177.31,42.25,26.59,25.49,31.93,active,1.0,60.0,60.6,112
11:21:32,92.95,179.32,42.51,26.79,25.54,32.12,active,1.0,60.0,60.0,112
11:22:35,94.37,178.8,42.88,27.01,25.64,32.08,active,0.852,60.0,59.8,112
11:23:45,ERR list index out of range
11:24:48,96.82,172.3,46.55,27.57,25.77,32.33,active,0.847,60.0,60.4,96
11:25:51,97.95,175.68,48.6,27.81,25.93,32.63,active,0.799,60.0,60.1,112
11:27:14,ERR list index out of range
11:28:17,100.21,165.85,51.3,28.35,26.24,32.83,active,0.423,0.0,59.0,112
11:29:21,100.61,161.65,48.96,28.08,26.26,32.85,active,0.391,0.0,53.5,112
11:30:24,100.77,159.77,47.23,28.04,26.24,32.97,active,0.402,0.0,49.6,96
11:31:28,101.24,156.49,46.24,28.15,26.49,33.17,active,0.262,0.0,48.1,112
11:32:31,101.46,151.69,47.33,28.42,26.6,33.14,active,0.374,0.0,50.7,112
11:33:45,ERR list index out of range
11:34:48,102.09,136.71,50.94,29.3,26.93,33.4,active,0.265,60.0,61.0,96
11:35:51,101.8,134.8,51.8,29.43,27.04,33.44,active,0.177,60.0,60.2,112
11:36:55,101.51,133.36,52.4,29.62,27.24,33.48,off,0.0057,0.0,59.9,112
11:37:59,101.06,125.97,53.33,29.8,27.35,33.54,off,1.251e-08,0.0,58.7,96
11:39:18,ERR list index out of range
11:40:22,99.68,119.92,55.81,30.43,27.47,33.66,off,2.266e-21,0.0,57.0,112
11:41:25,99.32,132.21,57.29,30.25,27.4,33.65,active,0.513,60.0,59.7,112
11:42:28,99.42,141.82,57.21,30.48,27.53,33.67,active,0.434,60.0,60.7,112
11:43:31,99.32,147.41,56.12,30.54,27.6,33.59,active,0.565,60.0,59.9,96
11:44:35,99.53,150.19,55.16,30.68,27.6,33.63,active,0.48,60.0,59.9,96
11:45:38,99.63,151.42,54.4,30.79,27.73,33.65,active,0.47,60.0,60.0,112
11:46:41,99.74,151.93,53.75,30.92,27.78,33.61,active,0.534,60.0,60.0,112
11:47:44,99.87,152.14,53.28,31.06,27.73,33.59,active,0.461,60.0,60.0,96
11:48:47,99.97,151.85,52.92,31.16,27.73,33.66,active,0.444,60.0,60.0,96
11:49:51,100.05,151.3,52.63,31.29,27.81,33.67,active,0.459,60.0,60.0,112
11:50:54,100.21,149.9,52.42,31.41,27.81,33.57,active,0.403,60.0,59.9,112
11:51:58,100.32,148.0,51.9,31.5,27.91,33.74,off,0.099,0.0,60.1,112
11:53:01,99.79,129.98,49.46,31.25,27.84,33.54,off,2.29e-07,0.0,54.3,112
