t,X,Y,Z,lastStop,status
16:19:39.994,None,None,None,None,None
16:19:39.994,200,200,4.968,-0.0262,idle
16:19:41.002,200,200,4.968,-0.0262,idle
16:19:41.335,200,200,5,-0.0262,busy
16:19:41.515,200,200,5,-0.0262,busy
16:19:41.592,200,200,5,-0.0262,busy
16:19:41.769,200,200,5,-0.0262,busy
16:19:41.948,200,200,5,-0.0262,busy
16:19:42.125,200,200,5,-0.0262,busy
16:19:42.305,200,200,5,-0.0262,busy
16:19:42.482,200,200,5,-0.0262,busy
16:19:42.660,200,200,5,-0.0262,busy
16:19:42.800,200,200,5,-0.0262,idle
16:19:42.975,200,200,5,-0.0262,busy
16:19:43.586,200,200,5,-0.0262,busy
16:19:43.841,200,200,5,-0.0262,busy
16:19:44.020,200,200,5,-0.0262,busy
16:19:44.197,200,200,5,-0.0262,busy
16:19:44.375,200,200,5,-0.0262,busy
16:19:44.533,10.006,15.994,0.13,-0.0262,idle
16:19:44.712,10.006,15.994,0.13,-0.0262,busy
16:19:44.967,10.006,15.994,0.13,-0.0262,busy
16:19:45.146,10.006,15.994,0.13,-0.0262,busy
16:19:45.293,10.006,15.994,0.13,-0.0262,idle
16:19:45.480,10.006,15.994,0.13,-0.0262,busy
16:19:46.090,10.006,15.994,0.13,-0.0262,busy
16:19:46.345,10.006,15.994,0.13,-0.0262,busy
16:19:46.475,10.006,15.994,0.125,-0.0262,busy
16:19:46.647,10.006,15.994,0.125,-0.0262,busy
16:19:46.902,10.006,15.994,0.125,-0.0262,busy
16:19:47.079,10.006,15.994,0.125,-0.0262,busy
16:19:47.258,10.006,15.994,0.125,-0.0262,busy
16:19:47.435,10.006,15.994,0.125,-0.0262,busy
16:19:47.614,10.006,15.994,0.125,-0.0262,busy
16:19:47.791,10.006,15.994,0.125,-0.0262,busy
16:19:47.970,10.006,15.994,0.125,-0.0262,busy
16:19:48.148,10.006,15.994,0.125,-0.0262,busy
16:19:48.289,10.006,15.994,0.125,-0.0262,busy
16:19:49.001,10.006,15.994,0.125,-0.0262,busy
16:19:49.255,10.006,15.994,0.125,-0.0262,busy
16:19:49.434,10.006,15.994,0.125,-0.0262,busy
16:19:49.613,10.006,15.994,0.125,-0.0262,busy
16:19:49.790,10.006,15.994,0.125,-0.0262,busy
16:19:49.946,136.637,16,-0.0225,-0.0262,idle
16:19:50.058,136.637,16,-0.0225,-0.0262,busy
16:19:50.228,136.637,16,-0.0225,-0.0262,busy
16:19:50.406,136.637,16,-0.0225,-0.0262,busy
16:19:50.585,136.637,16,-0.0225,-0.0262,busy
16:19:50.730,136.637,16,-0.0225,-0.0262,idle
16:19:50.909,136.637,16,-0.0225,-0.0262,busy
16:19:51.519,136.637,16,-0.0225,-0.0262,busy
16:19:51.775,136.637,16,-0.0225,-0.0262,busy
16:19:51.924,136.637,16,-0.03,-0.0262,busy
16:19:52.122,136.637,16,-0.03,-0.0262,busy
16:19:52.377,136.637,16,-0.03,-0.0262,busy
16:19:52.555,136.637,16,-0.03,-0.0262,busy
16:19:52.733,136.637,16,-0.03,-0.0262,busy
16:19:52.912,136.637,16,-0.03,-0.0262,busy
16:19:53.089,136.637,16,-0.03,-0.0262,busy
16:19:53.267,136.637,16,-0.03,-0.0262,busy
16:19:53.445,136.637,16,-0.03,-0.0262,busy
16:19:53.624,136.637,16,-0.03,-0.0262,busy
16:19:53.761,136.637,16,-0.03,-0.0262,busy
16:19:54.493,136.637,16,-0.03,-0.0262,busy
16:19:54.748,136.637,16,-0.03,-0.0262,busy
16:19:54.926,136.637,16,-0.03,-0.0262,busy
16:19:55.104,136.637,16,-0.03,-0.0262,busy
16:19:55.282,136.637,16,-0.03,-0.0262,busy
16:19:55.445,263.312,16,-0.045,-0.0262,idle
16:19:55.580,263.312,16,-0.045,-0.0262,busy
16:19:55.838,263.312,16,-0.045,-0.0262,busy
16:19:56.043,263.312,16,-0.045,-0.0262,busy
16:19:56.208,263.312,16,-0.045,-0.0262,idle
16:19:56.441,263.312,16,-0.045,-0.0262,busy
