t,X,Y,Z,lastStop,status
19:39:28.566,None,None,None,None,None
19:39:28.566,200,200,4.972,-0.0338,idle
19:39:29.666,200,200,4.971,-0.0338,idle
19:39:29.745,200,200,4.971,-0.0338,idle
19:39:30.103,200,200,5,-0.0338,busy
19:39:30.181,200,200,5,-0.0338,busy
19:39:30.359,200,200,5,-0.0338,busy
19:39:30.537,200,200,5,-0.0338,busy
19:39:30.715,200,200,5,-0.0338,busy
19:39:30.868,200,200,5,-0.0338,busy
19:39:31.044,200,200,5,-0.0338,busy
19:39:31.223,200,200,5,-0.0338,busy
19:39:31.403,200,200,5,-0.0338,busy
19:39:31.541,200,200,5,-0.0338,busy
19:39:32.275,200,200,5,-0.0338,busy
19:39:32.530,200,200,5,-0.0338,busy
19:39:32.696,10.006,15.994,0.0938,-0.0338,idle
19:39:32.808,10.006,15.994,0.0938,-0.0338,busy
19:39:32.978,10.006,15.994,0.0938,-0.0338,busy
19:39:33.156,10.006,15.994,0.0938,-0.0338,busy
19:39:33.334,10.006,15.994,0.0938,-0.0338,busy
19:39:33.482,10.006,15.994,0.0938,-0.0338,idle
19:39:33.662,10.006,15.994,0.0938,-0.0338,busy
19:39:34.270,10.006,15.994,0.0938,-0.0338,busy
19:39:34.489,10.006,15.994,0.0925,-0.0338,busy
19:39:34.663,10.006,15.994,0.0925,-0.0338,busy
19:39:34.918,10.006,15.994,0.0925,-0.0338,busy
19:39:35.096,10.006,15.994,0.0925,-0.0338,busy
19:39:35.274,10.006,15.994,0.0925,-0.0338,busy
19:39:35.452,10.006,15.994,0.0925,-0.0338,busy
19:39:35.630,10.006,15.994,0.0925,-0.0338,busy
19:39:35.808,10.006,15.994,0.0925,-0.0338,busy
19:39:35.986,10.006,15.994,0.0925,-0.0338,busy
19:39:36.164,10.006,15.994,0.0925,-0.0338,busy
19:39:36.310,10.006,15.994,0.0925,-0.0338,busy
19:39:37.021,10.006,15.994,0.0925,-0.0338,busy
19:39:37.275,10.006,15.994,0.0925,-0.0338,busy
19:39:37.453,136.637,16,-0.03,-0.0338,idle
19:39:37.565,136.637,16,-0.03,-0.0338,busy
19:39:37.732,136.637,16,-0.03,-0.0338,busy
