t,X,Y,Z,lastStop,status
13:30:39.232,None,None,None,None,None
13:30:39.233,200,200,4.972,-0.035,idle
13:30:40.285,200,200,4.972,-0.035,idle
13:30:40.649,200,200,5,-0.035,busy
13:30:40.823,200,200,5,-0.035,busy
13:30:40.901,200,200,5,-0.035,busy
13:30:41.079,200,200,5,-0.035,busy
13:30:41.257,200,200,5,-0.035,busy
13:30:41.435,200,200,5,-0.035,busy
13:30:41.613,200,200,5,-0.035,busy
13:30:41.791,200,200,5,-0.035,busy
13:30:41.944,200,200,5,-0.035,busy
13:30:42.100,200,200,5,-0.035,idle
13:30:42.236,200,200,5,-0.035,busy
13:30:42.898,200,200,5,-0.035,busy
13:30:43.160,200,200,5,-0.035,busy
13:30:43.334,200,200,5,-0.035,busy
13:30:43.501,10.006,15.994,0.106,-0.035,idle
13:30:43.636,10.006,15.994,0.106,-0.035,busy
13:30:43.893,10.006,15.994,0.106,-0.035,busy
13:30:44.070,10.006,15.994,0.106,-0.035,busy
13:30:44.262,10.006,15.994,0.106,-0.035,idle
13:30:44.450,10.006,15.994,0.106,-0.035,busy
13:30:45.013,10.006,15.994,0.106,-0.035,busy
13:30:45.231,10.006,15.994,0.108,-0.035,idle
13:30:45.387,10.006,15.994,0.108,-0.035,busy
13:30:45.642,10.006,15.994,0.108,-0.035,busy
13:30:45.822,10.006,15.994,0.108,-0.035,busy
13:30:45.999,10.006,15.994,0.108,-0.035,busy
13:30:46.176,10.006,15.994,0.108,-0.035,busy
13:30:46.354,10.006,15.994,0.108,-0.035,busy
13:30:46.532,10.006,15.994,0.108,-0.035,busy
13:30:46.712,10.006,15.994,0.108,-0.035,busy
13:30:46.888,10.006,15.994,0.108,-0.035,busy
13:30:47.052,10.006,15.994,0.108,-0.035,idle
13:30:47.188,10.006,15.994,0.108,-0.035,busy
13:30:47.851,10.006,15.994,0.108,-0.035,busy
13:30:48.106,10.006,15.994,0.108,-0.035,busy
13:30:48.284,10.006,15.994,0.108,-0.035,busy
13:30:48.457,136.637,16,0.0787,-0.035,idle
13:30:48.591,136.637,16,0.0787,-0.035,busy
13:30:48.847,136.637,16,0.0787,-0.035,busy
13:30:49.025,136.637,16,0.0787,-0.035,busy
13:30:49.191,136.637,16,0.0787,-0.035,busy
13:30:49.302,136.637,16,0.0787,-0.035,busy
13:30:50.005,136.637,16,0.0787,-0.035,busy
