t,X,Y,Z,lastStop,status
20:39:38.501,None,None,None,None,None
20:39:38.501,200,200,4.976,-0.0413,idle
20:39:39.361,200,200,4.976,-0.0413,busy
20:39:39.963,200,200,4.976,-0.0413,busy
20:39:40.294,200,200,4.976,-0.0413,busy
20:39:40.472,200,200,4.976,-0.0413,busy
20:39:40.650,200,200,4.976,-0.0413,busy
20:39:40.762,200,200,9.975,-0.0413,busy
20:39:40.954,200,200,9.975,-0.0413,busy
20:39:41.287,200,200,9.975,-0.0413,busy
20:39:41.467,200,200,9.975,-0.0413,busy
20:39:41.645,200,200,9.975,-0.0413,busy
20:39:41.823,200,200,9.975,-0.0413,busy
20:39:42.002,200,200,9.975,-0.0413,busy
20:39:42.181,200,200,9.975,-0.0413,busy
20:39:42.358,200,200,9.975,-0.0413,busy
20:39:42.536,200,200,9.975,-0.0413,busy
20:39:42.714,200,200,9.975,-0.0413,busy
20:39:42.892,0,200.006,9.941,-0.0413,busy
20:39:42.970,5,200,9.941,-0.0413,busy
20:39:43.148,5,200,9.941,-0.0413,busy
20:39:43.327,5,200,9.941,-0.0413,busy
20:39:43.505,5,200,9.941,-0.0413,busy
20:39:43.658,0,200,9.941,-0.0413,busy
20:39:43.690,0,200,9.941,-0.0413,busy
20:39:43.861,0,200,9.941,-0.0413,busy
20:39:44.192,0,200,9.941,-0.0413,busy
20:39:44.370,0,200,9.941,-0.0413,busy
20:39:44.548,0,200,9.941,-0.0413,busy
20:39:44.726,0,200,9.941,-0.0413,busy
20:39:44.904,0,200,9.941,-0.0413,busy
20:39:45.082,0,200,9.941,-0.0413,busy
20:39:45.260,0,200,9.941,-0.0413,busy
20:39:45.438,0,200,9.941,-0.0413,busy
20:39:45.617,0,200,9.941,-0.0413,busy
20:39:45.820,0,5,9.703,-0.0413,busy
20:39:45.844,0,5,9.703,-0.0413,busy
20:39:46.009,0,5,9.703,-0.0413,busy
20:39:46.417,0,5,9.703,-0.0413,busy
20:39:46.596,0,0,9.703,-0.0413,busy
20:39:46.839,0,0,9.703,-0.0413,busy
20:39:47.005,200,200,9.703,-0.0413,busy
20:39:47.260,200,200,9.703,-0.0413,busy
20:39:47.437,200,200,9.703,-0.0413,busy
20:39:47.615,200,200,9.703,-0.0413,busy
20:39:47.793,200,200,9.703,-0.0413,busy
20:39:47.971,200,200,9.703,-0.0413,busy
20:39:48.124,200,200,9.703,-0.0413,busy
20:39:48.302,200,200,9.703,-0.0413,busy
20:39:48.480,200,200,9.703,-0.0413,busy
20:39:48.659,200,200,9.703,-0.0413,busy
20:39:48.836,200,200,9.703,-0.0413,busy
20:39:49.014,200,200,9.703,-0.0413,busy
20:39:49.192,200,200,9.703,-0.0413,busy
20:39:49.370,200,200,9.703,-0.0413,busy
20:39:49.548,200,200,9.703,-0.0413,busy
20:39:49.726,200,200,9.703,-0.0413,busy
20:39:49.844,200,200,9.704,-0.0413,busy
20:39:50.579,200,200,9.704,-0.0413,busy
20:39:50.909,200,200,9.704,-0.0413,busy
20:39:51.087,200,200,9.704,-0.0413,busy
20:39:51.265,200,200,9.704,-0.0413,busy
20:39:51.443,200,200,9.704,-0.0413,busy
20:39:51.578,200,200,-0.03,-0.0413,busy
20:39:51.613,200,200,-0.03,-0.0413,busy
20:39:51.645,200,200,-0.03,-0.0975,busy
20:39:51.824,200,200,-0.03,-0.0975,busy
20:39:52.158,200,200,-0.03,-0.0975,busy
20:39:52.308,200,200,-0.03,-0.0975,busy
20:39:53.147,200,200,-0.03,-0.0975,busy
20:39:53.285,200,200,-0.0288,-0.0975,busy
20:39:53.312,200,200,-0.0288,-0.0288,busy
20:39:53.484,200,200,-0.0288,-0.0288,busy
20:39:53.815,200,200,-0.0288,-0.0288,busy
20:39:53.994,200,200,-0.0288,-0.0288,busy
20:39:54.173,200,200,-0.0288,-0.0288,busy
20:39:54.350,200,200,-0.0288,-0.0288,busy
20:39:54.461,200,200,4.969,-0.0288,busy
20:39:54.515,200,200,4.969,-0.0288,busy
20:39:54.589,200,200,4.969,-0.0288,busy
20:39:54.768,398,16,20,-0.0288,busy
20:39:54.948,398,16,20,-0.0288,busy
20:39:55.126,398,16,20,-0.0288,busy
20:39:55.304,398,16,20,-0.0288,busy
20:39:55.483,398,16,20,-0.0288,busy
20:39:55.661,398,16,20,-0.0288,busy
20:39:55.839,398,16,20,-0.0288,busy
20:39:55.952,398,16,20,-0.0288,busy
20:39:56.285,398,16,20,-0.0288,busy
20:39:56.693,398,16,20,-0.0288,busy
20:39:56.871,398,16,20,-0.0288,busy
20:39:57.049,398,16,20,-0.0288,busy
20:39:57.227,398,16,20,-0.0288,busy
20:39:57.406,398,16,20,-0.0288,busy
20:39:57.727,398,16,20,-0.0288,busy
20:39:58.516,398,16,20,-0.0288,busy
20:39:58.847,398,16,20,-0.0288,busy
20:39:59.025,398,16,20,-0.0288,busy
20:39:59.202,398,16,20,-0.0288,busy
20:39:59.380,398,16,20,-0.0288,busy
20:39:59.559,398,16,20,-0.0288,busy
