t,X,Y,Z,lastStop,status
14:13:36.766,None,None,None,None,None
14:13:36.766,200,200,4.969,-0.0275,idle
14:13:38.221,200,200,4.969,-0.0275,idle
14:13:38.480,200,200,4.969,-0.0275,idle
14:13:38.658,200,200,5,-0.0275,busy
14:13:38.836,200,200,5,-0.0275,busy
14:13:38.915,200,200,5,-0.0275,busy
14:13:39.092,200,200,5,-0.0275,busy
14:13:39.270,200,200,5,-0.0275,busy
14:13:39.448,200,200,5,-0.0275,busy
14:13:39.629,200,200,5,-0.0275,busy
14:13:39.807,200,200,5,-0.0275,busy
14:13:39.984,200,200,5,-0.0275,busy
14:13:40.127,200,200,5,-0.0275,idle
14:13:40.306,200,200,5,-0.0275,busy
14:13:40.907,200,200,5,-0.0275,busy
14:13:41.161,200,200,5,-0.0275,busy
14:13:41.339,200,200,5,-0.0275,busy
14:13:41.495,10.006,15.994,-0.00875,-0.0275,idle
14:13:41.605,10.006,15.994,-0.00875,-0.0275,busy
14:13:41.777,10.006,15.994,-0.00875,-0.0275,busy
14:13:41.955,10.006,15.994,-0.00875,-0.0275,busy
14:13:42.133,10.006,15.994,-0.00875,-0.0275,busy
14:13:42.283,10.006,15.994,-0.00875,-0.0275,idle
14:13:42.463,10.006,15.994,-0.00875,-0.0275,busy
14:13:43.078,10.006,15.994,-0.00875,-0.0275,busy
14:13:43.298,10.006,15.994,-0.0113,-0.0275,idle
14:13:43.454,10.006,15.994,-0.0113,-0.0275,busy
14:13:43.709,10.006,15.994,-0.0113,-0.0275,busy
14:13:43.887,10.006,15.994,-0.0113,-0.0275,busy
14:13:44.065,10.006,15.994,-0.0113,-0.0275,busy
14:13:44.242,10.006,15.994,-0.0113,-0.0275,busy
14:13:44.420,10.006,15.994,-0.0113,-0.0275,idle
14:13:44.598,10.006,15.994,-0.0113,-0.0275,busy
14:13:44.778,10.006,15.994,-0.0113,-0.0275,busy
14:13:44.889,10.006,15.994,-0.0113,-0.0275,busy
14:13:45.602,10.006,15.994,-0.0113,-0.0275,busy
14:13:45.856,10.006,15.994,-0.0113,-0.0275,busy
14:13:46.034,10.006,15.994,-0.0113,-0.0275,busy
14:13:46.213,73.312,16,0.0575,-0.0275,idle
14:13:46.348,73.312,16,0.0575,-0.0275,busy
14:13:46.604,73.312,16,0.0575,-0.0275,busy
14:13:46.782,73.312,16,0.0575,-0.0275,busy
14:13:46.945,73.312,16,0.0575,-0.0275,busy
14:13:47.058,73.312,16,0.0575,-0.0275,busy
14:13:47.763,73.312,16,0.0575,-0.0275,busy
14:13:47.987,73.312,16,0.06,-0.0275,idle
14:13:48.143,73.312,16,0.06,-0.0275,busy
14:13:48.372,73.312,16,0.06,-0.0275,busy
14:13:48.551,73.312,16,0.06,-0.0275,busy
14:13:48.729,73.312,16,0.06,-0.0275,busy
14:13:48.907,73.312,16,0.06,-0.0275,busy
14:13:49.084,73.312,16,0.06,-0.0275,busy
14:13:49.265,73.312,16,0.06,-0.0275,busy
14:13:49.441,73.312,16,0.06,-0.0275,busy
14:13:49.554,73.312,16,0.06,-0.0275,busy
14:13:50.281,73.312,16,0.06,-0.0275,busy
14:13:50.536,73.312,16,0.06,-0.0275,busy
14:13:50.651,73.312,16,0.06,-0.0275,busy
14:13:50.916,136.65,16,0.045,-0.0275,busy
14:13:51.136,136.65,16,0.045,-0.0275,busy
14:13:51.314,136.65,16,0.045,-0.0275,busy
14:13:51.492,136.65,16,0.045,-0.0275,busy
14:13:51.640,136.65,16,0.045,-0.0275,busy
14:13:52.374,136.65,16,0.045,-0.0275,busy
14:13:52.595,136.65,16,0.0437,-0.0275,idle
14:13:52.775,136.65,16,0.0437,-0.0275,busy
14:13:53.030,136.65,16,0.0437,-0.0275,busy
14:13:53.208,136.65,16,0.0437,-0.0275,busy
14:13:53.389,136.65,16,0.0437,-0.0275,busy
14:13:53.565,136.65,16,0.0437,-0.0275,busy
14:13:53.743,136.65,16,0.0437,-0.0275,busy
14:13:53.921,136.65,16,0.0437,-0.0275,busy
14:13:54.074,136.65,16,0.0437,-0.0275,idle
14:13:54.186,136.65,16,0.0437,-0.0275,busy
14:13:54.893,136.65,16,0.0437,-0.0275,busy
14:13:55.148,136.65,16,0.0437,-0.0275,busy
14:13:55.326,136.65,16,0.0437,-0.0275,busy
14:13:55.502,199.975,16,0.0613,-0.0275,idle
14:13:55.637,199.975,16,0.0613,-0.0275,busy
14:13:55.891,199.975,16,0.0613,-0.0275,busy
14:13:56.070,199.975,16,0.0613,-0.0275,busy
14:13:56.234,199.975,16,0.0613,-0.0275,busy
14:13:56.345,199.975,16,0.0613,-0.0275,busy
14:13:57.049,199.975,16,0.0613,-0.0275,busy
14:13:57.272,199.975,16,0.0625,-0.0275,idle
14:13:57.450,199.975,16,0.0625,-0.0275,busy
14:13:57.705,199.975,16,0.0625,-0.0275,busy
14:13:57.883,199.975,16,0.0625,-0.0275,busy
14:13:58.061,199.975,16,0.0625,-0.0275,busy
14:13:58.239,199.975,16,0.0625,-0.0275,busy
14:13:58.417,199.975,16,0.0625,-0.0275,busy
14:13:58.600,199.975,16,0.0625,-0.0275,busy
14:13:58.776,199.975,16,0.0625,-0.0275,idle
14:13:58.912,199.975,16,0.0625,-0.0275,busy
14:13:59.577,199.975,16,0.0625,-0.0275,busy
14:13:59.832,199.975,16,0.0625,-0.0275,busy
14:14:00.010,199.975,16,0.0625,-0.0275,busy
14:14:00.164,263.312,16,0.0288,-0.0275,idle
14:14:00.277,263.312,16,0.0288,-0.0275,busy
14:14:00.471,263.312,16,0.0288,-0.0275,busy
14:14:00.649,263.312,16,0.0288,-0.0275,busy
14:14:00.827,263.312,16,0.0288,-0.0275,busy
14:14:00.939,263.312,16,0.0288,-0.0275,idle
14:14:01.272,263.312,16,0.0288,-0.0275,busy
14:14:01.681,263.312,16,0.0288,-0.0275,busy
14:14:01.901,263.312,16,0.03,-0.0275,idle
14:14:02.080,263.312,16,0.03,-0.0275,busy
14:14:02.336,263.312,16,0.03,-0.0275,busy
14:14:02.513,263.312,16,0.03,-0.0275,busy
14:14:02.692,263.312,16,0.03,-0.0275,busy
14:14:02.870,263.312,16,0.03,-0.0275,busy
14:14:03.048,263.312,16,0.03,-0.0275,busy
14:14:03.226,263.312,16,0.03,-0.0275,busy
14:14:03.380,263.312,16,0.03,-0.0275,idle
14:14:03.491,263.312,16,0.03,-0.0275,busy
14:14:04.200,263.312,16,0.03,-0.0275,busy
14:14:04.456,263.312,16,0.03,-0.0275,busy
14:14:04.608,263.312,16,0.03,-0.0275,busy
14:14:04.788,326.638,16,-0.00875,-0.0275,idle
14:14:04.896,326.638,16,-0.00875,-0.0275,busy
14:14:05.072,326.638,16,-0.00875,-0.0275,busy
14:14:05.224,326.638,16,-0.00875,-0.0275,busy
14:14:05.402,326.638,16,-0.00875,-0.0275,busy
14:14:05.574,326.638,16,-0.00875,-0.0275,idle
14:14:05.709,326.638,16,-0.00875,-0.0275,busy
14:14:06.369,326.638,16,-0.00875,-0.0275,busy
14:14:06.596,326.638,16,-0.0237,-0.0275,idle
14:14:06.774,326.638,16,-0.0237,-0.0275,busy
14:14:07.029,326.638,16,-0.0237,-0.0275,busy
14:14:07.206,326.638,16,-0.0237,-0.0275,busy
14:14:07.386,326.638,16,-0.0237,-0.0275,busy
14:14:07.563,326.638,16,-0.0237,-0.0275,busy
14:14:07.741,326.638,16,-0.0237,-0.0275,busy
14:14:07.919,326.638,16,-0.0237,-0.0275,busy
14:14:08.081,326.638,16,-0.0237,-0.0275,busy
14:14:08.192,326.638,16,-0.0237,-0.0275,busy
14:14:08.896,326.638,16,-0.0237,-0.0275,busy
14:14:09.150,326.638,16,-0.0237,-0.0275,busy
14:14:09.327,326.638,16,-0.0237,-0.0275,busy
14:14:09.487,389.962,16,-0.00875,-0.0275,idle
14:14:09.597,389.962,16,-0.00875,-0.0275,busy
14:14:09.767,389.962,16,-0.00875,-0.0275,busy
14:14:09.946,389.962,16,-0.00875,-0.0275,busy
14:14:10.123,389.962,16,-0.00875,-0.0275,busy
14:14:10.272,389.962,16,-0.00875,-0.0275,idle
14:14:10.450,389.962,16,-0.00875,-0.0275,busy
14:14:11.060,389.962,16,-0.00875,-0.0275,busy
14:14:11.274,389.962,16,-0.0075,-0.0275,idle
14:14:11.524,389.962,16,-0.0075,-0.0275,busy
14:14:11.934,389.962,16,-0.0075,-0.0275,busy
14:14:12.111,389.962,16,-0.0075,-0.0275,busy
14:14:12.289,389.962,16,-0.0075,-0.0275,busy
14:14:12.468,389.962,16,-0.0075,-0.0275,busy
14:14:12.646,389.962,16,-0.0075,-0.0275,busy
14:14:12.802,389.962,16,-0.0075,-0.0275,idle
14:14:12.936,389.962,16,-0.0075,-0.0275,busy
14:14:13.598,389.962,16,-0.0075,-0.0275,busy
14:14:13.854,389.962,16,-0.0075,-0.0275,busy
14:14:14.032,389.962,16,-0.0075,-0.0275,busy
14:14:14.208,389.969,77.319,-0.144,-0.0275,idle
14:14:14.319,389.969,77.319,-0.144,-0.0275,busy
14:14:14.489,389.969,77.319,-0.144,-0.0275,busy
14:14:14.667,389.969,77.319,-0.144,-0.0275,busy
14:14:14.844,389.969,77.319,-0.144,-0.0275,busy
14:14:14.992,389.969,77.319,-0.144,-0.0275,idle
14:14:15.122,389.969,77.319,-0.144,-0.0275,busy
14:14:15.786,389.969,77.319,-0.144,-0.0275,busy
14:14:16.010,389.969,77.319,-0.154,-0.0275,idle
14:14:16.144,389.969,77.319,-0.154,-0.0275,busy
14:14:16.399,389.969,77.319,-0.154,-0.0275,busy
14:14:16.576,389.969,77.319,-0.154,-0.0275,busy
14:14:16.755,389.969,77.319,-0.154,-0.0275,busy
14:14:16.933,389.969,77.319,-0.154,-0.0275,busy
