Sample,X,Y,Z
0,0.0603,-0.0137,0.9788
1,0.0759,0.0122,0.9741
2,0.0354,-0.0618,0.9644
3,-0.0022,-0.0295,0.9966
4,-0.0510,0.0208,0.9712
5,-0.0652,0.0410,0.9761
6,-0.0183,-0.0156,0.9641
7,-0.0242,0.0037,0.9946
8,0.0146,-0.0283,0.9612
9,0.0100,-0.0186,0.9839
10,0.0142,0.0386,1.0149
11,0.0432,-0.0334,0.9749
12,0.0100,-0.0151,1.0034
13,-0.0051,-0.0066,0.9602
14,-0.0579,-0.0420,0.9810
15,-0.0513,0.0015,0.9849
16,-0.0588,-0.0022,0.9905
17,-0.0137,0.0359,0.9729
18,0.0405,-0.0044,0.9495
19,0.0745,-0.0300,0.9927
20,0.0417,-0.0032,0.9768
21,0.0217,0.0059,0.9966
22,-0.0461,-0.0168,0.9927
23,-0.0540,-0.0198,0.9827
24,-0.0593,0.0068,0.9731
25,-0.0547,-0.0393,0.9729
26,-0.0012,0.0083,1.0110
27,0.0525,-0.0054,0.9614
28,0.0500,0.0303,0.9907
29,0.0596,0.0110,0.9485
30,0.0037,-0.0193,0.9944
31,-0.0310,0.0146,0.9934
32,-0.0864,-0.0334,0.9800
33,-0.0928,-0.0288,0.9885
34,-0.0229,-0.0327,0.9868
35,0.0090,-0.0176,0.9692
36,0.0579,-0.0059,0.9797
37,0.0928,0.0149,0.9875
38,0.0203,-0.0110,0.9790
39,0.0164,0.0549,0.9895
40,-0.0330,-0.0432,0.9583
41,-0.0693,0.0295,1.0024
42,-0.0601,-0.0427,0.9534
43,-0.0820,-0.0237,0.9976
44,-0.0493,0.0090,0.9985
45,0.0444,-0.0364,0.9819
46,0.1091,-0.0203,0.9780
47,0.1003,0.0505,0.9739
48,0.0776,0.0054,0.9592
49,-0.0596,-0.0149,0.9937
50,-0.0786,0.0295,0.9985
51,-0.1201,-0.0925,0.9575
52,-0.1052,-0.0208,1.0012
53,-0.0078,-0.0151,0.9797
54,0.0544,-0.0388,0.9731
55,0.1035,0.0488,0.9856
56,0.0791,0.0300,0.9573
57,0.0283,0.0132,0.9712
58,-0.0259,0.0200,0.9897
59,-0.0837,-0.0422,0.9973
60,-0.0630,-0.0227,0.9946
61,-0.0544,-0.0049,0.9846
62,-0.0217,-0.0244,0.9868
63,0.0371,-0.0073,0.9888
64,0.0415,-0.0452,0.9768
65,0.0613,-0.0100,0.9719
66,0.0244,-0.0205,0.9543
67,-0.0461,0.0540,0.9917
68,-0.0464,0.0229,0.9690
69,-0.0400,0.0151,0.9976
70,-0.0242,-0.0295,0.9614
71,0.0242,-0.0518,0.9927
72,0.0310,-0.0181,0.9778
73,-0.0229,-0.0125,0.9976
74,0.0090,0.0298,1.0063
75,-0.0479,-0.0737,0.9631
76,-0.0088,0.0505,1.0073
77,0.0117,0.0127,0.9458
78,0.0068,-0.0544,0.9849
79,0.0095,0.0151,0.9868
80,0.0156,-0.0134,0.9678
81,0.0115,0.0535,0.9739
82,-0.0127,-0.0522,0.9683
83,-0.0159,-0.0117,1.0366
84,-0.0247,-0.0779,0.9377
85,-0.0767,0.0452,0.9888
86,-0.0493,0.0515,0.9722
87,0.0024,-0.0415,0.9868
88,0.0488,-0.0083,1.0034
89,0.0630,-0.0012,0.9846
