Sample,X,Y,Z
0,0.0059,0.0212,0.9739
1,0.0364,-0.0073,0.9524
2,0.0322,0.0242,0.9817
3,-0.0049,0.0142,0.9836
4,-0.0056,-0.0330,0.9700
5,-0.0554,-0.0081,1.0129
6,-0.0278,-0.0168,0.9827
7,-0.0198,-0.0684,0.9895
8,0.0093,0.0120,1.0208
9,0.0066,-0.0684,0.9565
10,0.0439,0.0164,0.9758
11,-0.0161,0.0227,0.9641
12,-0.0027,-0.0166,0.9526
13,-0.0339,0.0249,0.9924
14,-0.0308,-0.0022,0.9692
15,-0.0107,0.0073,0.9846
16,-0.0330,0.0110,0.9985
17,0.0364,-0.0554,0.9934
18,-0.0010,-0.0176,1.0188
19,0.0056,0.0000,0.9868
20,-0.0024,-0.0374,0.9553
21,-0.0359,0.0183,1.0022
22,0.0239,-0.0046,0.9595
23,-0.0283,-0.0103,0.9692
24,-0.0137,0.0540,0.9878
25,-0.0098,-0.0251,0.9536
26,-0.0171,0.0000,1.0022
27,0.0022,-0.0315,0.9846
28,-0.0005,-0.0312,0.9915
29,0.0066,-0.0166,1.0024
30,0.0034,-0.0574,0.9868
31,-0.0269,0.0178,0.9934
32,-0.0447,-0.0239,0.9478
33,0.0249,0.0012,0.9846
34,-0.0032,0.0398,0.9895
35,0.0537,-0.0186,0.9504
36,0.0093,0.0405,1.0051
37,-0.0244,-0.0159,0.9797
38,-0.0300,-0.0574,0.9790
39,-0.0627,0.0288,1.0112
40,-0.0374,-0.0549,0.9653
41,-0.0032,-0.0239,0.9956
42,0.0403,0.0054,0.9985
43,0.0510,-0.0276,0.9683
44,0.0383,0.0347,0.9695
45,-0.0393,-0.0100,0.9800
46,-0.0271,-0.0322,0.9819
47,-0.0793,0.0029,0.9888
48,-0.0532,0.0068,0.9624
49,-0.0181,-0.0332,0.9751
50,0.0181,-0.0093,1.0112
51,0.0530,-0.0139,0.9741
52,0.0527,0.0171,0.9722
53,0.0562,0.0237,0.9995
54,0.0115,-0.0317,0.9807
55,-0.0146,-0.0305,0.9954
56,-0.0598,0.0303,0.9941
57,-0.1123,-0.0383,0.9612
58,-0.0361,-0.0127,0.9836
59,-0.0305,-0.0066,0.9780
60,0.0549,-0.0354,0.9514
61,0.0652,0.0398,0.9758
62,0.0322,0.0356,0.9858
63,0.0129,-0.0437,0.9827
64,-0.0293,-0.0020,1.0364
65,-0.0527,0.0337,1.0044
66,-0.0273,-0.0886,0.9478
67,-0.0012,0.0312,1.0269
68,-0.0178,-0.0630,0.9475
69,0.0383,-0.0200,0.9683
70,0.0059,0.0186,0.9875
71,0.0051,0.0127,0.9614
72,0.0100,-0.0085,0.9517
73,-0.0271,0.0393,1.0103
74,-0.0188,-0.0156,0.9758
75,0.0142,-0.0173,1.0132
76,-0.0303,-0.0032,1.0110
77,0.0139,-0.0710,0.9800
78,-0.0342,-0.0234,0.9976
79,0.0308,-0.0256,0.9624
80,0.0308,-0.0581,0.9583
81,-0.0225,0.0535,0.9846
82,-0.0149,0.0042,0.9341
83,-0.0571,0.0181,0.9915
84,-0.0627,0.0452,1.0027
85,0.0042,-0.0159,0.9673
86,0.0330,-0.0034,1.0051
87,0.0469,-0.0134,1.0054
88,0.0566,-0.0842,0.9868
89,-0.0012,-0.0071,0.9946
90,-0.0530,-0.0603,0.9702
91,-0.0532,-0.0127,0.9719
92,-0.0293,0.0015,0.9436
93,-0.0085,0.0364,0.9644
94,0.0098,0.0193,0.9524
95,0.0146,0.0234,0.9954
96,0.0234,0.0076,0.9976
97,0.0168,-0.0288,0.9973
98,-0.0037,-0.0427,1.0024
99,0.0029,-0.0391,1.0005
100,-0.0190,-0.0481,0.9888
101,0.0061,-0.0278,0.9761
102,0.0635,0.0225,0.9448
103,0.3477,0.0449,0.9348
104,0.5171,-0.0251,0.9807
105,0.7405,-0.0781,1.0669
106,0.8147,-0.4456,1.0679
107,0.8374,-0.5913,1.1409
108,0.7563,-0.7197,1.0872
109,0.5442,-0.7488,0.9771
110,0.4011,-0.6060,0.9387
111,0.1536,-0.5466,0.8794
112,-0.0017,-0.4597,0.8618
113,-0.0701,-0.4519,0.9419
114,-0.0459,-0.6362,0.9084
115,0.0833,-0.5720,1.0083
116,0.2322,-0.5552,0.9397
117,0.3408,-0.5430,1.0442
118,0.4524,-0.5813,1.0649
119,0.5842,-0.4626,1.0884
120,0.6604,-0.4312,1.0435
121,0.8462,-0.4854,1.0344
122,0.8677,-0.4683,1.0618
123,0.8774,-0.4546,0.9602
124,0.8364,-0.1770,0.9114
125,0.6565,0.0994,0.9224
