Sample,X,Y,Z
0,0.1855,0.0381,0.9744
1,0.1101,0.0266,0.9797
2,0.0098,-0.0256,0.9702
3,-0.0977,-0.0474,0.9700
4,-0.1753,-0.0183,0.9849
5,-0.0933,0.0217,0.9768
6,-0.0034,0.0322,0.9778
7,0.0876,-0.0288,0.9868
8,0.1514,-0.0400,0.9963
9,0.0706,-0.0723,0.9800
10,-0.0261,-0.0469,0.9790
11,-0.0791,0.0125,0.9749
12,-0.1362,0.0588,0.9536
13,-0.0828,0.0510,0.9661
14,0.0156,0.0159,0.9993
15,0.0610,-0.0332,0.9973
16,0.1001,-0.0864,0.9807
17,0.0442,-0.0767,0.9973
18,0.0029,0.0078,1.0034
19,-0.0286,0.0298,0.9758
20,-0.0767,0.0320,0.9634
21,-0.0471,0.0381,0.9915
22,-0.0264,-0.0137,1.0037
23,-0.0083,-0.0806,0.9700
24,-0.0137,-0.0417,0.9731
25,0.0029,0.0327,0.9778
26,0.0337,-0.0054,0.9651
27,0.0364,0.0161,0.9917
28,0.0271,0.0107,0.9653
29,0.0088,-0.0432,0.9856
30,-0.0051,-0.0161,1.0042
31,-0.0374,-0.0571,0.9690
32,-0.0601,0.0132,0.9741
33,-0.0396,0.0225,0.9692
34,-0.0256,0.0120,0.9866
35,0.0156,0.0210,0.9780
36,0.0283,-0.0305,0.9768
37,0.0337,-0.0442,0.9885
38,0.0000,-0.0889,0.9827
39,-0.0046,0.0098,1.0093
40,-0.0376,0.0229,0.9651
41,-0.0012,0.0110,0.9624
42,0.0007,0.0349,0.9839
43,0.0015,0.0476,0.9810
44,0.0085,0.0005,0.9827
45,-0.0085,-0.0203,1.0083
46,-0.0354,-0.0459,0.9839
47,-0.0276,-0.0706,0.9954
48,-0.0312,-0.0486,0.9944
49,-0.0391,-0.0300,0.9700
50,0.0073,0.0137,0.9644
51,0.0449,0.0503,0.9722
52,0.0730,0.0696,0.9692
53,0.0354,0.0388,0.9478
54,-0.0430,-0.0251,0.9917
55,-0.1147,-0.0208,1.0161
56,-0.1204,-0.0432,0.9983
57,-0.0342,-0.0461,0.9722
58,0.0757,-0.0837,0.9788
59,0.1553,-0.0029,1.0073
60,0.0923,-0.0122,0.9514
