Sample,X,Y,Z
0,-0.0261,0.0740,0.9895
1,-0.0083,-0.0300,0.9224
2,-0.0017,-0.0305,1.0071
3,0.0422,0.0208,0.9937
4,0.0730,-0.0024,0.9575
5,0.0205,0.0605,0.9719
6,-0.0225,-0.0310,0.9858
7,-0.0425,-0.0789,1.0034
8,-0.1140,-0.0496,0.9817
9,-0.0635,0.0459,0.9756
10,-0.0237,-0.0234,0.9592
11,0.0605,-0.0112,0.9944
12,0.0957,-0.0122,0.9771
13,0.0876,0.0371,0.9741
14,-0.0066,0.0046,0.9729
15,-0.0759,-0.0750,0.9973
16,-0.0881,0.0015,0.9976
17,-0.0984,0.0461,0.9631
18,0.0146,0.0315,0.9592
19,0.0579,-0.0874,0.9885
20,0.0874,0.0476,1.0139
21,0.0674,0.0078,0.9417
22,-0.0020,0.0298,0.9858
23,-0.0649,0.0151,1.0044
24,-0.0833,-0.0476,0.9792
25,-0.0801,-0.0369,0.9778
26,-0.0322,0.0071,0.9927
27,0.0869,0.0039,0.9614
28,0.0637,-0.0159,0.9700
29,0.1208,0.0095,0.9875
30,0.0283,-0.0835,0.9690
31,-0.0483,0.0852,1.0042
32,-0.1157,-0.0012,0.9478
33,-0.1389,-0.0149,0.9963
34,-0.0874,-0.0229,0.9888
35,0.0134,0.0020,0.9849
36,0.1021,0.0100,0.9741
37,0.1255,-0.0261,0.9709
38,0.1045,-0.0195,1.0093
39,0.0322,-0.0068,0.9631
40,-0.0532,-0.0300,0.9778
41,-0.1189,-0.0186,0.9895
42,-0.1467,-0.0442,0.9731
43,-0.0845,0.0115,0.9731
44,-0.0098,0.0117,0.9604
45,0.0815,0.0159,0.9849
46,0.1160,0.0037,0.9739
47,0.1057,0.0103,0.9810
48,0.0454,0.0171,0.9849
49,-0.0642,-0.0059,1.0012
50,-0.0881,-0.0056,0.9973
51,-0.0996,-0.0442,0.9788
52,-0.0552,0.0107,0.9780
53,-0.0063,-0.0391,0.9604
54,0.0623,0.0254,0.9934
55,0.0493,-0.0010,0.9573
56,0.0515,0.0354,0.9810
57,0.0110,0.0322,0.9736
58,-0.0293,-0.0137,0.9768
59,-0.0417,-0.0415,0.9917
60,-0.0698,-0.0354,0.9924
61,-0.0154,0.0071,0.9800
62,0.0066,-0.0203,0.9800
63,0.0449,-0.0066,0.9868
64,0.0530,-0.0830,0.9788
65,0.0125,0.0559,0.9922
66,-0.0239,0.0044,0.9429
67,-0.0615,0.0374,1.0005
68,-0.0618,0.0215,0.9663
69,-0.0298,-0.0447,0.9797
70,0.0076,0.0100,1.0042
71,0.0459,-0.0466,0.9712
72,0.0405,-0.0344,1.0120
73,0.0208,-0.0261,0.9722
74,-0.0234,-0.0012,0.9639
75,-0.0513,0.0178,0.9858
76,-0.0554,0.0159,0.9729
77,-0.0085,-0.0054,0.9719
78,0.0203,0.0669,0.9897
79,0.0396,0.0029,0.9604
80,0.0420,-0.0422,0.9954
81,-0.0083,-0.0295,1.0044
82,-0.0354,-0.0103,0.9800
83,-0.0569,-0.0310,0.9702
84,-0.0293,-0.0256,0.9924
85,0.0193,0.0298,0.9758
86,0.0718,0.0220,0.9612
87,0.0593,0.0271,0.9836
88,-0.0063,0.0391,0.9810
89,-0.0554,0.0151,0.9719
90,-0.1155,-0.0137,0.9885
91,-0.0576,-0.0535,0.9924
92,-0.0403,-0.0891,1.0059
93,0.0608,0.0068,1.0071
94,0.1060,-0.0383,0.9495
95,0.0715,-0.0195,0.9995
96,0.0071,0.0063,0.9751
97,-0.0383,-0.0095,0.9514
98,-0.1011,0.0330,0.9749
99,-0.0835,0.0566,0.9780
100,-0.0276,-0.0078,0.9670
101,-0.0200,-0.0051,0.9954
102,0.0098,-0.0305,1.0354
103,-0.0791,-0.1089,1.1021
104,-0.0986,-0.0413,1.0178
105,-0.0369,0.3491,0.8716
106,-0.0337,0.9202,0.7532
107,-0.0337,1.1731,0.7424
108,-0.0303,1.5452,0.9045
109,-0.0183,1.7864,0.9485
110,-0.0366,1.6440,0.9683
111,0.0049,1.2114,1.0874
112,-0.0022,0.5403,1.1790
113,-0.0354,0.2922,1.2327
114,-0.1099,0.5278,1.0396
115,-0.0911,1.2241,0.9175
116,-0.2168,1.3735,0.9233
117,-0.1724,0.9067,0.9419
118,-0.0691,1.0217,0.8108
119,0.1829,1.2427,0.8452
120,0.5544,0.9595,0.8433
121,0.5220,0.5588,1.0237
122,0.3792,0.7222,0.9839
123,0.0276,1.2190,0.8684
124,-0.4597,1.5364,0.9036
125,-0.7573,1.0562,1.0151
126,-0.6287,0.7375,1.1213
127,-0.3000,0.9214,1.0864
128,0.1145,1.0317,1.0063
129,0.3323,0.9985,1.0200
130,0.4070,0.9761,0.9966
131,0.2156,1.0767,0.8823
132,-0.0083,1.1682,0.7688
133,-0.2378,0.7786,0.8069
134,-0.3218,0.4341,0.9634
135,-0.3464,0.5159,0.9758
136,-0.2166,0.9578,0.9290
137,-0.0435,1.0415,0.9526
138,0.1387,0.5938,1.0171
139,0.3032,0.3254,1.1731
140,0.2231,0.3481,1.0972
141,0.1460,0.2832,1.0015
142,-0.0781,0.1743,1.0259
143,-0.2688,0.3208,0.9927
144,-0.2417,0.6538,0.8521
145,-0.1152,0.8579,0.7515
146,-0.0215,1.1018,0.8635
147,0.0725,1.1125,0.8743
148,0.0198,0.9199,0.9214
149,-0.0413,0.5562,1.0542
150,-0.0476,0.2893,1.1672
151,-0.0557,0.0608,1.1379
152,0.1182,0.2793,1.0933
153,0.0535,0.5811,0.8481
154,0.0625,1.0444,0.9077
155,0.0388,1.2639,0.8938
156,-0.1365,0.3599,0.9656
157,-0.1794,-0.3276,1.2444
158,-0.1572,-1.3276,1.1243
159,-0.1072,-1.9680,1.1184
160,0.0540,-1.9832,1.0464
161,0.2263,-1.6470,0.9456
162,0.2019,-0.6379,0.9622
163,0.1743,0.2659,0.7415
164,-0.0190,0.5129,0.6721
165,-0.2070,0.0884,0.7153
166,-0.1499,-0.4270,0.9058
167,0.0046,-0.4131,1.0200
168,0.1177,-0.0969,1.0413
169,0.1460,0.2131,1.1243
170,0.0398,0.8792,1.1956
171,-0.0522,1.4221,1.0393
172,-0.1597,1.8870,0.9836
173,-0.2759,1.8276,0.9272
174,-0.1687,1.3401,0.9768
175,-0.0579,0.5366,0.9663
176,0.1206,0.3303,1.0452
177,0.2563,0.3850,0.9856
178,0.1680,0.4790,0.9722
179,0.0413,0.4036,0.9836
180,-0.2488,0.2605,1.0383
181,-0.2952,0.1494,1.0286
182,-0.1509,-0.6765,0.8892
183,0.0000,-1.6040,1.0549
184,0.2358,-1.7104,1.0911
185,0.3020,-1.2078,0.9282
186,0.1992,-0.3149,0.8508
187,0.0261,0.6125,0.7610
188,-0.2837,0.5784,0.7271
189,-0.4526,0.0781,0.9624
190,-0.3647,-0.6746,1.0347
191,-0.2200,-1.3601,1.1304
192,0.2749,-1.2241,1.2708
193,0.4829,-0.8521,1.1643
194,0.5266,-0.0537,1.2153
195,0.3037,1.1157,1.0923
196,-0.0964,1.3059,0.7258
197,-0.3630,1.0364,0.8123
198,-0.4370,-0.0081,0.7563
199,-0.2498,-0.7007,0.9377
200,0.0254,-0.6465,1.0110
201,0.2654,-0.4453,0.8948
202,0.4211,0.2397,1.0737
203,0.2593,0.5686,0.9661
204,0.0513,0.7200,1.0520
205,-0.2234,0.3906,1.0442
206,-0.4302,-0.3499,1.0435
207,-0.3003,-0.5330,1.1157
208,-0.1208,-0.3706,0.9377
209,0.0925,-0.0698,0.9204
210,0.2480,0.4966,0.9565
211,0.1919,0.6077,0.8723
212,0.1079,0.7346,0.9221
213,-0.0288,0.1377,0.8384
214,-0.1497,-0.6902,1.0112
215,-0.0952,-0.4998,1.1841
216,-0.0513,-0.1802,0.9917
217,0.0271,0.4509,0.9856
218,0.0039,0.6743,0.8735
219,-0.0684,0.7131,0.9260
220,0.0374,0.4866,0.9270
221,-0.1230,-0.3831,0.9077
222,-0.0417,-0.7224,1.1753
223,0.0605,-0.3804,1.1321
224,0.0090,-0.2075,1.0042
225,0.0708,0.0374,1.1282
226,-0.0659,0.2632,1.1060
227,-0.1082,0.2634,0.9104
228,-0.0095,0.0378,0.8403
229,0.0325,-0.4758,0.8940
230,0.2336,-0.6565,0.9253
231,0.2356,-0.6052,0.9253
232,0.1443,-0.0950,0.9011
233,0.0337,0.4243,0.8862
234,-0.1501,0.3069,0.8997
235,-0.2573,0.4448,1.0786
236,-0.1814,0.2363,0.9836
237,-0.1404,-0.4360,1.0208
238,0.0898,-0.5244,1.1780
239,0.2163,-0.5464,1.0032
240,0.2817,-0.0715,1.0715
241,0.1970,0.5310,0.9509
242,-0.0332,0.5649,0.9214
243,-0.0444,0.4956,0.9761
244,-0.1914,-0.0469,0.8606
245,-0.0713,-0.2205,0.9976
246,0.0437,-0.2263,0.9956
247,0.0557,-0.1304,0.9360
248,0.1411,0.3679,0.9446
249,0.0525,0.6321,0.8391
250,-0.1965,0.4778,0.8635
251,-0.1277,0.0044,1.0208
252,-0.2334,-0.7329,1.0745
253,-0.1206,-0.5085,1.2261
254,0.1802,0.0439,1.0601
255,0.1379,-0.1218,1.0444
256,0.1230,0.0186,1.2278
257,0.0374,0.3201,1.0608
258,-0.1450,0.2212,0.7622
259,-0.2039,-0.1689,0.7971
260,-0.0867,-0.3296,0.9045
261,0.0300,-0.0640,0.8442
262,0.1853,0.1770,0.7632
263,0.1594,0.1379,0.8735
264,0.0981,0.0110,1.0288
265,0.0037,-0.2854,1.0510
266,-0.1379,-0.1765,1.1479
267,-0.2158,-0.0918,1.1243
268,-0.1804,-0.4448,1.0471
269,0.0115,-0.3025,1.0972
270,0.1506,0.0349,0.9463
271,0.2290,0.4124,0.8733
272,0.0720,0.5483,0.8306
273,-0.0803,0.4026,0.8772
274,-0.1689,0.2078,0.9583
275,-0.1753,-0.2332,0.9263
276,-0.1602,-0.4919,1.1011
277,0.0955,-0.3362,1.1548
278,0.0784,-0.4937,1.0432
279,0.1538,0.1038,1.0959
280,0.0496,0.2571,0.8430
281,-0.1018,0.3921,0.8423
282,-0.0725,0.1118,0.9097
283,-0.1836,-0.1746,0.8989
284,-0.0173,0.0461,1.0298
285,0.1125,0.1882,0.9338
286,0.1531,0.1355,0.9836
287,0.1880,0.1960,1.1345
288,0.0054,0.0273,0.9790
289,-0.1821,-0.1306,1.0562
290,-0.1521,-0.0938,1.0627
291,-0.1931,-0.0413,0.9456
292,-0.0942,0.3208,0.9790
293,0.0356,0.1370,0.8645
294,0.0537,0.0562,1.0068
295,0.2078,0.1831,0.9741
296,0.0647,-0.0708,0.8794
297,0.0745,-0.1833,1.0513
298,-0.0508,-0.2471,1.0100
299,-0.1323,-0.1482,1.0112
300,-0.0637,0.0867,0.9231
301,-0.0808,0.0808,0.9426
302,0.0349,0.0339,0.9927
303,0.0171,0.0093,0.9460
304,-0.0032,0.1497,0.9739
305,-0.0249,0.1941,1.0042
306,-0.0374,-0.0090,0.9937
307,-0.0134,-0.0415,1.0852
308,0.0000,-0.2209,1.0444
309,-0.0107,-0.6333,0.9973
310,0.1533,-0.3621,1.1226
311,0.0525,-0.1252,0.8989
312,0.0601,0.0532,0.9163
313,0.0405,0.2703,0.9192
314,-0.1953,0.1826,0.9182
315,-0.1233,0.0808,0.9653
316,-0.1433,0.0532,1.0364
317,-0.1296,0.1313,1.1018
318,-0.0212,-0.2812,0.8862
319,-0.0759,-0.9009,1.0364
320,0.1252,-0.5188,1.1362
321,0.2317,-0.2659,0.8286
322,0.0764,0.2207,0.8833
323,0.0325,0.5906,0.9075
324,-0.0898,0.6482,0.8547
325,-0.2585,0.3040,0.8176
326,-0.1323,0.0261,0.9702
327,-0.0239,-0.3250,1.0986
328,0.0232,-0.0522,1.1675
329,0.0864,0.0735,1.0649
330,0.0088,-0.0376,1.0979
331,-0.1218,0.0256,1.1165
332,-0.1189,-0.0264,1.0061
333,-0.0723,-0.0181,0.9751
334,0.0095,-0.3113,0.8657
335,0.1643,-0.0200,0.9458
336,0.2522,-0.0107,0.7915
337,0.3315,0.4509,0.8733
338,0.0845,0.8508,0.9480
339,-0.0850,0.6235,0.9106
340,-0.1934,0.0562,1.0493
341,-0.2163,-0.2219,1.1138
342,-0.0466,-0.9292,1.0872
343,0.0906,-0.7341,1.2368
344,0.2163,-0.3013,1.1038
345,0.1934,-0.1375,0.9104
346,0.0706,0.0879,1.0356
347,-0.0308,0.5566,0.9878
348,-0.1655,0.7236,0.8101
349,-0.2310,0.6211,0.7681
350,-0.2996,-0.2227,0.8206
351,-0.0562,-0.5115,1.0161
352,0.1733,-0.4868,0.8821
353,0.2493,-0.2988,0.9409
354,0.2732,0.1338,1.0083
355,0.0652,0.2551,0.9612
356,-0.0444,0.1274,1.0112
357,-0.1445,-0.1455,1.0903
358,-0.1375,-0.1655,1.1995
359,-0.0488,-0.1331,1.1008
360,0.0085,-0.2673,1.0093
361,0.0471,-0.1375,1.0220
362,0.0854,0.1240,0.9299
363,0.0042,0.2195,0.8315
364,-0.0332,0.2620,0.8733
365,-0.0359,-0.0933,0.8499
366,-0.0605,-0.1414,0.9009
367,-0.0222,0.1475,0.9731
368,0.0798,0.1831,0.9194
369,0.1074,0.4055,1.1448
370,0.0486,0.2964,1.1323
371,0.0164,-0.1899,1.0803
372,-0.0078,-0.2466,1.1292
