Sample,X,Y,Z
0,-0.0327,0.0181,0.9741
1,-0.0374,0.0474,0.9612
2,-0.0400,0.0132,0.9690
3,-0.0088,-0.0518,0.9875
4,0.0073,-0.0076,0.9927
5,0.0391,-0.0422,0.9673
6,0.0381,0.0005,0.9897
7,-0.0288,-0.0015,0.9858
8,-0.0469,-0.0078,0.9790
9,-0.0938,-0.0427,0.9836
10,-0.0942,0.0518,0.9771
11,0.0012,-0.0049,0.9370
12,0.0295,0.0334,0.9905
13,0.0825,-0.0220,0.9670
14,0.0696,-0.0759,0.9907
15,0.0049,-0.0144,0.9905
16,-0.0520,0.0227,0.9641
17,-0.0903,-0.0354,0.9741
18,-0.0918,-0.0085,0.9897
19,-0.0361,0.0337,0.9583
20,0.0325,0.0073,0.9839
21,0.0735,-0.0208,0.9829
22,0.0801,-0.0488,0.9875
23,0.0073,-0.0012,0.9807
24,-0.0374,0.0137,0.9614
25,-0.1252,-0.0361,0.9797
26,-0.0784,-0.0344,0.9673
27,-0.0322,-0.0330,0.9709
28,0.0259,0.0088,0.9690
29,0.0703,-0.0122,0.9614
30,0.0505,-0.0100,1.0122
31,0.0115,-0.0210,0.9846
32,-0.0610,0.0088,0.9729
33,-0.0740,0.0515,0.9885
34,-0.0679,-0.0342,0.9565
35,-0.0381,-0.0320,0.9937
36,0.0229,-0.0010,0.9976
37,0.0242,-0.0247,0.9683
38,0.0591,-0.0205,0.9885
39,-0.0044,-0.0232,0.9661
40,0.0132,0.0273,0.9624
41,-0.0542,0.0144,0.9624
42,-0.0796,0.0291,0.9800
43,-0.0476,-0.0403,0.9700
44,-0.0549,-0.0054,0.9944
45,-0.0098,0.0254,0.9817
46,0.0583,-0.0164,0.9749
47,0.0647,-0.0364,0.9963
48,0.0352,0.0215,0.9915
49,-0.0010,-0.0481,0.9644
50,-0.0657,-0.0293,0.9888
51,-0.0789,0.0388,0.9712
52,-0.0640,0.0044,0.9514
53,0.0039,-0.0618,0.9680
54,0.0398,-0.0066,0.9954
55,0.0481,0.0034,0.9536
56,0.0208,-0.0371,0.9819
57,-0.0593,-0.0198,1.0051
58,-0.0444,0.0461,0.9661
59,-0.0510,-0.0186,0.9702
60,-0.0327,0.0288,0.9973
61,0.0361,-0.0640,0.9690
62,0.0090,-0.0703,1.0015
63,-0.0007,0.0325,0.9641
64,-0.0200,-0.0122,0.9644
65,-0.0569,0.0181,0.9983
66,-0.0183,-0.0720,0.9565
67,-0.0229,0.0391,1.0054
68,0.0039,0.0437,0.9563
69,-0.0190,0.0107,0.9709
70,-0.0264,-0.0015,0.9993
71,0.0120,-0.0439,0.9749
72,-0.0120,-0.0403,0.9839
73,0.0164,0.0247,0.9788
74,0.0486,-0.0383,0.9556
75,-0.0374,-0.0234,0.9985
76,-0.0493,0.0217,0.9641
77,-0.0737,-0.0327,0.9810
78,-0.0820,0.0408,0.9915
79,0.0044,0.0305,0.9475
80,0.0176,0.0059,0.9934
81,0.0728,-0.0630,0.9729
82,0.0544,-0.0166,0.9946
83,0.0295,0.0244,0.9751
84,-0.0229,0.0015,0.9563
85,-0.0879,-0.0376,0.9985
86,-0.0613,-0.0879,0.9663
87,-0.0715,-0.0552,0.9797
88,-0.0142,0.0991,0.9761
89,0.0232,0.0024,0.9485
90,0.0269,-0.0688,1.0129
91,0.0322,-0.0076,0.9868
92,0.0112,0.0132,0.9614
93,-0.0164,0.0247,0.9875
94,-0.0310,-0.0027,0.9683
95,-0.0342,-0.0803,0.9819
96,-0.0413,-0.0447,0.9915
97,-0.0425,0.0405,0.9761
98,-0.0264,0.0298,0.9692
99,0.0088,-0.0532,0.9827
100,0.0103,-0.0193,1.0012
101,0.0166,0.0054,0.9602
102,0.0320,-0.0105,0.9954
103,0.2041,0.0715,1.0591
104,0.3967,-0.0308,0.9790
105,0.7043,0.2178,1.0054
106,0.9504,0.5918,0.9556
107,1.0317,0.6624,0.9016
108,0.8335,0.6487,0.9417
109,0.3950,0.6409,0.9680
110,-0.0322,0.5999,0.9133
111,-0.4084,0.4226,0.9417
112,-0.4998,0.4729,1.0042
113,-0.2297,0.3604,0.9487
114,0.2163,0.5012,1.0422
115,0.6995,0.5586,1.0132
116,1.0200,0.5383,0.9700
117,1.1460,0.4514,1.0618
118,1.0034,0.4915,1.0344
119,0.7944,0.3850,0.9885
120,0.5845,0.4651,1.0354
121,0.4602,0.4678,0.9497
122,0.4358,0.4839,0.9429
123,0.4827,0.4878,0.9155
124,0.4697,0.4436,0.9241
125,0.5007,0.4893,0.9517
126,0.4556,0.5657,0.9211
127,0.4028,0.7366,0.9143
128,0.3208,0.8518,0.9456
129,0.3010,0.6672,0.9387
130,0.2463,0.3887,1.0396
131,0.2834,0.2273,1.0452
132,0.3352,0.1069,1.0698
133,0.4189,0.1025,1.0630
134,0.4651,0.0798,1.0542
135,0.4663,0.1919,1.0676
136,0.4341,0.3127,1.0247
137,0.4019,0.3635,0.9583
138,0.2878,0.3569,0.9214
139,0.1912,0.3003,0.8804
140,0.2463,0.3481,0.8833
141,0.3098,0.3794,0.8501
142,0.2820,0.4019,0.8501
143,0.3550,0.3821,0.9260
144,0.3411,0.1904,0.9741
145,0.3687,0.0962,1.0129
146,0.3481,0.1201,1.0754
147,0.3726,0.1858,1.0901
148,0.3936,0.3928,1.0784
149,0.4993,0.8022,1.0903
150,0.5757,0.6404,0.9963
151,0.5757,0.4543,1.0164
152,0.6545,0.5864,0.9849
153,0.4417,0.6050,0.7915
154,-0.0144,0.6409,0.9114
155,-0.7312,0.2454,0.8909
156,-1.4155,-0.5740,0.9370
157,-1.6716,-0.9780,1.0647
158,-1.5583,-1.1401,0.9827
159,-0.9138,-1.0044,1.0764
160,-0.0349,-0.6470,1.0540
161,0.6978,-0.2729,1.0110
162,1.2046,-0.1045,1.0403
163,1.2163,-0.4438,1.0374
164,0.8765,-0.6450,1.1331
165,0.4956,-0.4771,1.0188
166,0.0994,-0.1865,0.9370
167,0.0046,0.2959,0.8794
168,0.0532,0.5991,0.7241
169,0.1636,0.8801,0.7053
170,0.2317,0.8577,0.6770
171,0.1265,0.8091,0.7788
172,-0.0518,0.8491,0.8989
173,-0.1406,1.0803,1.0334
174,-0.1172,1.1050,1.1626
175,-0.0688,0.8674,1.2903
176,0.0667,0.4438,1.3540
177,0.0791,-0.1470,1.2834
178,0.0579,-0.4417,1.2349
179,-0.0916,-0.3972,1.0757
180,-0.2952,-0.4019,0.9915
181,-0.2708,-0.5957,0.9104
182,-0.2993,-0.4050,0.7637
183,-0.0723,-0.3179,0.7024
184,0.1521,-0.7117,0.6890
185,0.3491,-0.7671,0.8538
186,0.3608,-0.5083,0.8088
187,0.2520,-0.2788,0.8479
188,-0.0054,-0.0876,1.0178
189,-0.2522,-0.3647,0.9543
190,-0.3728,-0.4534,1.0735
191,-0.3931,-0.1042,1.0327
192,-0.3728,0.0332,0.9563
193,-0.3167,0.2905,1.0757
194,-0.2429,0.5105,1.0422
