Sample,X,Y,Z
0,-0.0210,-0.0288,0.9458
1,0.0139,0.0693,0.9487
2,0.0193,0.0925,0.9487
3,0.0137,0.0269,0.9780
4,0.0208,0.0276,0.9885
5,-0.0129,0.0032,0.9729
6,-0.0205,0.0715,1.0129
7,-0.0442,-0.0757,0.9810
8,-0.0713,-0.1682,1.0200
9,-0.0413,-0.0537,0.9983
10,-0.0098,-0.0527,0.9231
11,0.0159,0.1118,0.9836
12,0.0725,-0.0208,0.9009
13,0.0027,0.0176,1.0090
14,-0.0081,0.0374,0.9448
15,-0.0496,0.0574,0.9651
16,-0.0698,0.0190,0.9856
17,-0.0337,0.0527,1.0032
18,-0.0024,-0.1836,0.9485
19,-0.0007,-0.0544,1.0627
20,0.0256,-0.0676,0.9358
21,0.0203,0.0459,0.9797
22,0.0039,0.0725,0.9634
23,-0.0278,-0.0122,0.9331
24,-0.0452,0.0100,1.0015
25,-0.0532,0.0588,0.9624
26,-0.0427,0.0237,0.9595
27,-0.0083,-0.0686,0.9985
28,0.0393,-0.0791,0.9917
29,0.0349,-0.1050,0.9583
30,0.0088,0.0344,0.9888
31,-0.0374,0.0312,0.9656
32,-0.0771,-0.0449,0.9700
33,-0.0593,-0.0342,1.0286
34,-0.0332,-0.0156,0.9585
35,0.0164,0.0859,0.9573
36,0.0593,0.1030,0.9641
37,0.0391,0.0083,0.9602
38,-0.0276,-0.1086,0.9895
39,-0.0691,-0.0144,1.0178
40,-0.0474,-0.0142,0.9600
41,-0.0579,0.0059,0.9849
42,-0.0149,-0.0679,1.0042
43,0.0398,-0.1023,0.9946
44,0.0547,-0.0229,0.9905
45,0.0264,0.1973,0.9702
46,-0.0208,0.0781,0.9233
47,-0.0693,-0.1123,0.9827
48,-0.0750,-0.1414,0.9934
49,-0.0320,-0.0237,0.9583
50,0.0127,0.1355,0.9690
51,0.0532,0.1223,0.9768
52,0.0227,-0.1323,1.0061
53,0.0083,-0.1892,1.0132
54,-0.0588,-0.0388,0.9907
55,-0.0681,0.1182,0.9526
56,-0.0193,0.0569,0.9585
57,0.0222,-0.0354,0.9641
58,-0.0105,-0.0681,0.9856
59,0.0056,-0.0288,0.9644
60,-0.0112,0.0403,0.9814
61,-0.0315,0.0952,0.9927
62,-0.0132,-0.0967,0.9734
63,-0.0178,-0.0664,1.0256
64,-0.0051,-0.0127,0.9697
65,-0.0137,-0.0107,0.9680
66,-0.0190,0.0305,0.9907
67,0.0061,0.0396,0.9641
68,0.0178,-0.0588,0.9495
69,-0.0076,-0.0190,0.9741
70,-0.0471,0.0139,0.9856
71,-0.0662,0.0007,0.9702
72,-0.0742,0.0264,0.9956
73,0.0115,0.0269,0.9758
74,0.0122,-0.0872,0.9690
75,0.0654,0.0225,0.9985
76,0.0588,-0.0042,0.9634
77,-0.0017,0.0461,0.9897
78,-0.0344,-0.0085,0.9905
79,-0.0801,-0.0386,0.9927
80,-0.0928,-0.0359,0.9663
81,-0.0444,-0.0208,0.9722
82,0.0139,0.0215,0.9875
83,0.0388,-0.0925,0.9487
84,0.0364,0.0195,1.0054
85,0.0144,0.0225,0.9504
86,-0.0100,0.0139,0.9504
87,-0.0608,0.0122,1.0161
88,-0.0459,-0.0190,0.9761
89,-0.0210,-0.0720,0.9749
90,0.0039,0.0708,1.0159
91,0.0098,0.0159,0.9446
92,0.0181,-0.0469,0.9927
93,0.0120,0.0076,0.9934
94,-0.0251,-0.0200,0.9583
95,-0.0278,-0.0422,0.9758
96,-0.0505,0.0120,0.9956
97,-0.0293,-0.0012,0.9661
98,-0.0212,-0.0383,0.9819
99,-0.0059,0.0078,0.9819
100,0.0059,0.0078,0.9595
101,0.0439,0.0012,0.9795
102,0.0923,-0.0044,0.9692
103,0.3164,-0.0706,0.9534
104,0.4976,-0.0881,1.0627
105,0.6958,-0.2449,1.0266
106,0.8013,-0.5298,1.0862
107,0.7961,-0.6033,1.1167
108,0.6909,-0.7153,0.9973
109,0.4858,-0.6899,0.9846
110,0.2209,-0.7039,0.9272
111,0.0056,-0.6267,0.8833
112,-0.1765,-0.6245,0.8923
113,-0.2554,-0.4412,0.9409
114,-0.0764,-0.4487,0.8967
115,0.1326,-0.4265,0.9995
116,0.4514,-0.4236,0.9819
117,0.6597,-0.4619,1.0208
118,0.8040,-0.4714,1.0581
119,0.8879,-0.5369,1.0610
120,0.9094,-0.5691,1.0981
121,0.8948,-0.5281,1.0688
122,0.8694,-0.5188,1.0161
123,0.7563,-0.4653,1.0012
124,0.5354,-0.4446,0.9282
125,0.3069,-0.3826,0.9126
126,0.0632,-0.3845,0.9263
127,-0.0708,-0.3962,0.9360
128,-0.0562,-0.4888,0.9436
129,0.0593,-0.5044,0.9778
130,0.2686,-0.5229,0.9944
131,0.4517,-0.4956,1.0403
132,0.5952,-0.6245,1.0627
133,0.6167,-0.6460,1.0471
134,0.5591,-0.4988,1.0513
135,0.4680,-0.2195,0.9526
136,0.3823,-0.1165,0.9436
137,0.3264,-0.1443,0.9263
138,0.3423,-0.2146,0.9583
139,0.3311,-0.2808,0.9875
