Sample,X,Y,Z
0,-0.0750,-0.0146,0.9387
1,-0.0457,0.0862,0.9973
2,0.0137,-0.0698,0.9436
3,0.0210,-0.0142,1.0110
4,0.0427,0.0000,0.9819
5,0.0227,0.0107,0.9846
6,-0.0229,-0.0708,0.9827
7,-0.0627,-0.0183,0.9829
8,-0.0737,-0.0510,0.9534
9,-0.0569,0.0354,0.9700
10,-0.0088,0.0120,0.9641
11,0.0212,0.0303,1.0002
12,0.0610,-0.0676,0.9731
13,0.0544,0.0198,0.9954
14,0.0278,0.0393,0.9387
15,-0.0479,-0.0190,0.9788
16,-0.0757,-0.0315,0.9878
17,-0.0959,-0.0828,0.9839
18,-0.0720,0.0305,1.0081
19,0.0022,-0.0513,0.9497
20,0.0413,0.0457,1.0149
21,0.0781,-0.0308,0.9419
22,0.0554,0.0637,0.9739
23,0.0037,-0.0215,0.9797
24,-0.0730,-0.0696,0.9866
25,-0.0686,-0.0542,0.9868
26,-0.0703,0.0508,0.9731
27,-0.0349,0.0195,0.9749
28,0.0208,-0.0632,0.9780
29,0.0139,-0.0117,0.9875
30,0.0632,0.0002,0.9475
31,0.0056,0.0105,0.9719
32,-0.0017,-0.0144,0.9907
33,0.0068,-0.0273,0.9749
34,-0.0579,0.0469,1.0024
35,-0.0603,0.0117,0.9397
36,-0.0647,-0.0564,1.0132
37,-0.0190,-0.0505,0.9934
38,0.0039,-0.0552,0.9524
39,0.0374,0.0745,1.0178
40,0.0015,-0.0005,0.9390
41,-0.0259,-0.0576,0.9836
42,-0.0002,0.0618,1.0054
43,-0.0220,-0.0481,0.9331
44,0.0049,-0.0217,0.9924
45,0.0139,0.0237,0.9731
46,-0.0181,0.0056,0.9631
47,0.0022,-0.0300,0.9670
48,-0.0508,-0.0093,1.0120
49,-0.0471,-0.0632,0.9663
50,-0.0159,-0.0347,0.9856
51,-0.0076,0.0476,1.0024
52,0.0166,0.0413,0.9299
53,0.0386,-0.0315,0.9868
54,0.0166,0.0300,1.0044
55,-0.0024,-0.0742,0.9543
56,-0.0383,-0.0049,1.0239
57,-0.0227,0.0066,0.9602
58,-0.0559,-0.0164,0.9758
59,-0.0410,-0.0344,0.9836
60,-0.0193,-0.0518,0.9536
61,-0.0137,0.0483,0.9875
62,0.0303,0.0505,0.9478
63,0.0562,-0.0647,0.9800
64,0.0166,0.0015,1.0071
65,-0.0164,-0.0496,0.9622
66,-0.0388,0.0571,0.9878
67,-0.0854,-0.0281,0.9739
68,-0.0425,0.0042,1.0022
69,0.0042,-0.1167,0.9543
70,0.0068,0.0393,1.0188
71,0.0439,0.0042,0.9397
72,-0.0017,-0.0002,0.9888
73,-0.0034,0.0178,0.9836
74,-0.0417,0.0239,0.9524
75,0.0051,0.0190,0.9897
76,-0.0190,-0.1157,0.9604
77,-0.0417,-0.0720,0.9985
78,-0.0098,0.0376,0.9709
79,-0.0330,0.0281,0.9595
80,0.0017,-0.0042,0.9829
81,0.0137,-0.0500,0.9897
82,0.0027,-0.0024,0.9895
83,0.0232,-0.0061,0.9399
84,-0.0034,0.0356,1.0073
85,-0.0527,0.0071,0.9761
86,-0.0315,-0.0283,0.9836
87,-0.0139,-0.0757,0.9954
88,-0.0239,0.0093,0.9924
89,0.0269,-0.0190,0.9399
90,-0.0063,-0.0032,1.0061
91,0.0183,0.0371,0.9619
92,-0.0442,-0.0310,0.9543
93,-0.0444,0.0293,1.0071
94,-0.0066,-0.0630,0.9387
95,-0.0327,-0.0339,1.0159
96,0.0332,-0.0105,0.9651
97,0.0198,0.0020,0.9946
98,0.0198,-0.0100,0.9583
99,-0.0193,-0.0317,0.9937
100,-0.0190,0.0764,0.9858
101,-0.0779,-0.0588,0.9407
102,-0.0576,0.0173,1.0305
103,-0.0269,0.0146,0.9526
104,0.0054,-0.0044,0.9761
105,0.0627,-0.0098,0.9995
106,0.0237,-0.0647,0.9700
107,0.0310,-0.0046,0.9875
108,-0.0176,0.0156,0.9683
109,-0.0654,-0.0117,0.9822
110,-0.0635,-0.0662,0.9751
111,-0.0698,-0.0083,0.9963
112,-0.0151,0.0249,0.9390
113,0.0115,0.0078,0.9800
114,0.0698,0.0701,0.9797
115,0.0405,-0.0857,0.9407
116,0.0122,-0.0200,1.0278
117,-0.0437,-0.0298,0.9731
118,-0.0679,0.0137,0.9885
119,-0.0469,-0.0125,0.9780
120,-0.0181,-0.0049,0.9807
121,0.0183,-0.0576,0.9661
122,0.0393,-0.0171,0.9810
123,0.0095,0.0225,0.9624
124,-0.0212,0.0938,0.9771
125,-0.0149,-0.0303,0.9653
126,-0.0708,-0.0508,0.9924
127,-0.0278,-0.0127,0.9858
128,0.0081,-0.0271,0.9583
129,0.0251,-0.0752,0.9788
130,0.0452,0.0122,1.0063
131,0.0066,-0.0413,0.9585
132,-0.0356,0.0288,0.9846
133,-0.0664,0.0144,0.9595
134,-0.1030,0.0569,0.9868
135,-0.0193,-0.0134,0.9644
136,0.0183,0.0168,0.9875
137,0.0564,-0.0142,0.9878
138,0.0737,-0.0754,0.9819
139,0.0105,-0.1055,0.9897
140,-0.0457,0.0181,0.9983
141,-0.0566,0.0005,0.9465
142,-0.0806,0.0383,0.9885
143,-0.0349,0.0520,0.9661
144,-0.0178,-0.0574,0.9536
145,-0.0002,0.0017,1.0061
146,0.0254,-0.0220,0.9358
147,0.0176,0.0022,1.0034
148,0.0403,0.0063,0.9709
149,0.0159,-0.0435,0.9897
150,-0.0122,-0.0479,0.9917
151,-0.0764,-0.0869,0.9690
152,-0.0701,0.0317,1.0071
153,-0.0410,0.0508,0.9360
154,-0.0181,0.0229,0.9973
155,0.0867,0.0420,0.9614
156,0.0383,-0.0603,0.9592
157,0.0178,0.0110,1.0073
