Sample,X,Y,Z
0,-0.0532,0.0061,0.9399
1,-0.0955,-0.1152,1.0112
2,-0.0317,-0.0222,1.0063
3,0.0066,-0.0308,0.9722
4,0.0369,0.0393,1.0024
5,0.0295,-0.0635,0.9497
6,0.0151,0.0029,0.9836
7,0.0005,0.0105,0.9565
8,-0.0122,0.0813,0.9648
9,-0.0396,-0.0718,0.9553
10,-0.0327,-0.0273,1.0103
11,-0.0369,-0.0718,0.9470
12,-0.0171,0.0107,0.9780
13,-0.0354,-0.0076,0.9829
14,0.0159,-0.0076,0.9780
15,0.0469,0.0000,0.9810
16,0.0410,0.0864,0.9905
17,0.0488,0.0381,0.9661
18,0.0037,-0.0505,1.0015
19,-0.0447,0.0068,1.0276
20,-0.0747,-0.0195,0.9507
21,-0.1089,-0.0481,1.0015
22,-0.1289,-0.0774,0.9888
23,-0.0208,-0.0352,0.9771
24,0.0544,-0.0012,0.9465
25,0.0991,0.0432,0.9766
26,0.1157,-0.0522,0.9016
27,0.0457,0.0708,0.9878
28,-0.0044,0.1003,0.9292
29,-0.0820,-0.0415,0.9534
30,-0.1238,-0.0146,1.0227
31,-0.0928,-0.0261,0.9741
32,-0.0347,-0.0376,0.9839
33,-0.0149,-0.0425,1.0061
34,0.0288,-0.0122,0.9937
35,0.0713,-0.0212,0.9778
36,0.0464,0.0779,1.0217
37,0.0276,0.0051,0.9651
38,-0.0178,-0.0737,0.9866
39,-0.0278,0.0127,0.9729
40,-0.0569,-0.0083,0.9448
41,-0.1050,-0.0503,0.9724
42,-0.0325,-0.0681,0.9592
43,0.0110,0.0046,0.9690
44,0.0361,0.0212,0.9497
45,0.0557,0.0894,0.9622
46,0.0203,0.0271,0.9534
47,0.0054,-0.0159,0.9888
48,-0.0298,-0.0581,1.0005
49,-0.0649,-0.0901,1.0034
50,-0.0498,-0.0137,1.0227
51,-0.0115,-0.0371,0.9800
52,-0.0090,-0.0774,0.9846
53,-0.0088,0.0430,0.9976
54,0.0498,0.1003,0.9368
55,0.0063,0.0444,0.9495
56,0.0029,0.0693,0.9885
57,-0.0254,0.0083,0.9438
58,-0.0378,0.0134,0.9946
59,-0.0308,-0.0527,0.9739
60,-0.0425,-0.1113,0.9954
61,-0.0195,-0.1472,0.9971
62,0.0205,-0.0364,0.9622
63,0.0281,0.0017,0.9419
64,-0.0334,0.0676,0.9739
65,-0.0330,0.0801,0.9670
66,0.0015,0.0457,0.9243
67,-0.0330,0.1008,0.9807
68,-0.0242,0.0513,0.9690
69,-0.0063,-0.1160,0.9866
70,0.0112,-0.0278,1.0471
71,0.0144,-0.0435,0.9846
72,-0.0203,-0.0657,1.0090
73,-0.0300,-0.0239,1.0083
74,0.0022,-0.0625,0.9526
75,-0.0320,-0.0012,0.9963
76,-0.0005,0.0618,0.9641
77,-0.0173,0.0110,0.9309
78,-0.0205,0.0505,0.9768
79,-0.0120,0.0293,0.9407
80,0.0056,-0.0503,0.9419
81,0.0320,-0.0657,0.9907
82,0.0349,0.0183,0.9905
83,0.0093,-0.0747,0.9731
84,-0.0300,-0.0408,1.0012
85,-0.0652,0.0164,0.9934
86,-0.0488,0.0469,0.9800
87,-0.0605,0.0002,1.0042
88,-0.0115,0.0242,1.0110
89,0.0330,-0.0818,0.9683
90,0.0720,-0.0239,1.0051
91,0.0493,-0.0022,0.9446
92,-0.0354,0.0496,0.9634
93,-0.1101,0.0198,0.9712
94,-0.1189,-0.0361,0.9622
95,-0.0566,-0.0486,0.9709
96,0.0430,0.0078,0.9807
97,0.0823,0.0127,0.9517
98,0.1028,0.0015,0.9888
99,0.0325,0.0210,0.9592
100,-0.0476,0.0181,0.9817
101,-0.0854,0.0007,0.9741
102,-0.1206,-0.0710,1.0005
103,-0.1423,0.1023,1.0520
104,0.0325,0.6306,0.9690
105,0.2114,0.8967,0.8264
106,0.1431,1.0950,0.9075
107,0.0762,1.2563,0.8452
108,0.1060,1.3518,0.8987
109,-0.0205,1.4614,1.0005
110,0.0391,1.3140,0.9692
111,0.0679,1.1389,0.9553
112,-0.0757,1.1011,1.1128
113,-0.0317,0.3948,1.0403
114,-0.1426,0.1526,1.1282
115,-0.1653,0.3762,1.1692
116,-0.0762,0.4866,0.9993
117,-0.1248,0.6423,0.9905
118,-0.0891,0.8052,0.7251
119,0.0574,1.2441,0.9243
120,0.3149,1.2229,0.6487
121,0.2668,0.9380,0.8511
122,0.2798,1.0872,0.8127
123,0.0474,0.9995,0.8579
124,-0.2310,1.1401,0.9878
125,-0.3296,1.2671,0.9497
126,-0.2883,1.3088,1.0315
127,-0.1575,1.2351,1.0706
128,0.1606,1.4409,1.1265
129,0.1912,1.0903,1.0815
130,0.2451,1.0161,1.2534
131,0.1292,0.5676,1.1028
132,-0.0454,0.3398,1.1362
133,-0.1765,0.4221,1.0598
134,-0.1343,0.4429,0.8823
135,-0.0286,0.3931,0.9058
136,0.0867,0.5432,0.7971
137,0.1382,0.6790,0.6721
138,0.2893,0.9302,0.7202
139,0.1936,0.9116,0.7222
140,0.0532,0.7532,0.7981
141,-0.0791,0.7991,0.9319
142,-0.2661,0.8853,0.9136
143,-0.2935,0.7573,0.9683
144,-0.1777,0.6753,1.1245
145,-0.0374,0.6499,1.1958
146,0.0974,0.6721,1.2747
147,0.1555,0.7681,1.2554
148,0.1077,0.5093,1.0181
149,-0.0540,0.7366,1.1995
150,-0.1243,0.5073,0.8560
151,-0.2053,0.5159,1.0042
152,-0.0464,0.5581,0.9214
153,0.3191,0.7095,0.7798
154,0.3989,0.2102,0.7327
155,0.0959,-0.4353,0.9038
156,-0.2480,-0.7712,0.9888
157,-0.4468,-1.0144,1.0601
158,-0.3364,-0.9753,1.0825
159,-0.0557,-1.4324,0.9263
160,0.1553,-1.4175,1.0354
161,0.2778,-1.1704,0.9124
162,0.2097,-0.6570,0.9438
163,0.1157,-0.5806,1.0139
164,-0.0078,-0.1553,1.0696
165,-0.0974,0.2224,0.7698
166,-0.2053,0.9438,0.8013
167,-0.2793,1.4302,0.7847
168,-0.1655,1.4868,0.7554
169,0.1582,1.5188,0.9612
170,0.3071,1.4993,1.0354
171,0.1785,1.3235,1.1145
172,-0.0500,1.0627,1.2063
173,-0.3110,0.7261,1.2778
174,-0.3560,0.3335,1.3306
175,-0.2229,-0.1794,1.1973
176,-0.0527,-0.5249,0.9651
177,0.1802,-0.4849,1.1389
178,0.3657,-0.5811,0.8909
179,0.2246,-0.7507,0.9849
180,-0.0356,-0.9927,0.7864
181,-0.2083,-0.4226,0.7788
182,-0.1917,0.1299,0.5872
183,-0.2078,0.4587,0.6350
184,-0.1060,0.0212,0.6519
185,0.0044,0.0156,0.9536
186,0.1589,0.5398,0.9348
187,0.2888,0.3159,0.9351
188,0.3308,-0.1697,1.2866
189,0.0981,-0.6787,1.3206
190,-0.1282,-0.6724,1.4133
191,-0.2803,-0.5613,1.3091
192,-0.2146,-0.5913,1.1536
193,-0.0867,-0.5903,1.1584
194,0.1328,-0.4771,1.0374
195,0.1772,-0.1204,0.7981
196,0.0864,0.3186,0.7122
197,0.1101,0.5601,0.6001
198,-0.0449,0.4263,0.6089
199,-0.2451,0.6499,0.7603
200,-0.2922,0.2759,0.6060
201,-0.1235,0.3101,0.9756
202,0.2280,0.2009,1.0178
203,0.4661,-0.2073,1.1792
204,0.3389,-0.4614,1.3616
205,0.0205,-0.3240,1.4097
206,-0.2939,-0.0564,1.2437
207,-0.3276,0.0898,1.0513
208,-0.2493,0.2317,1.0598
209,-0.1333,0.2300,1.0073
210,0.1562,0.5815,0.9380
211,0.2632,0.8557,0.6887
212,0.1396,0.5981,0.5723
213,-0.0208,0.4692,0.7739
214,-0.2832,0.1272,0.7231
215,-0.2180,-0.0051,0.8977
216,-0.0015,-0.3289,1.0356
217,0.1948,-0.8013,1.2053
218,0.1719,-1.1050,1.1243
219,0.0024,-0.5505,1.2290
220,-0.0925,-0.1426,1.0432
221,-0.1462,-0.1458,1.0383
222,-0.0757,-0.1704,1.0198
223,-0.0374,-0.2100,0.9849
224,-0.0671,0.3726,1.0376
225,-0.0303,0.7131,0.8352
226,0.0347,-0.0879,0.7317
227,-0.0479,-0.3879,1.0005
228,0.0630,-0.1035,0.8811
229,0.0129,0.1128,0.7649
230,0.0447,-0.0454,0.9631
231,0.0073,-0.3967,1.0728
232,-0.0105,-0.3979,1.1057
233,0.0142,-0.0789,1.0413
234,0.0391,0.2888,1.0601
235,-0.0117,0.0808,1.0005
236,0.0117,-0.1187,1.0627
237,-0.0474,0.0176,1.0161
238,-0.0789,0.4553,0.8782
239,-0.1521,0.6965,0.8547
240,-0.1074,0.1260,0.9104
241,0.0129,-0.1882,1.0376
242,0.0769,0.0076,0.9893
243,0.1809,0.0874,0.8438
244,0.1582,0.0435,1.0002
245,0.0193,-0.2024,1.0298
246,-0.0359,-0.2126,1.0530
247,-0.1326,0.1401,1.0198
248,-0.0850,0.4438,0.9214
249,-0.0193,0.4048,0.9263
250,-0.1426,0.1472,0.9456
251,-0.0173,0.2356,1.0510
252,0.0537,0.1182,0.8989
253,0.1680,0.1162,1.0422
254,0.0513,-0.2886,0.9475
