Sample,X,Y,Z
0,0.0464,-0.1250,0.9749
1,0.0481,-0.1282,0.9924
2,0.0862,-0.0449,0.9800
3,0.0554,0.0867,0.9700
4,-0.0320,0.0754,0.9543
5,-0.0723,0.0491,0.9749
6,-0.1492,0.0417,0.9749
7,-0.0991,-0.0173,0.9829
8,0.0320,-0.0325,1.0071
9,0.1047,-0.1055,0.9956
10,0.1340,-0.0420,0.9839
11,0.0671,-0.0320,0.9712
12,-0.0205,0.0051,1.0061
13,-0.1145,0.0073,0.9700
14,-0.1194,-0.0237,0.9507
15,-0.0781,0.0391,0.9680
16,-0.0325,0.0383,0.9780
17,0.0178,-0.0232,0.9629
18,0.0750,-0.0015,1.0083
19,0.1028,0.0359,0.9771
20,0.0847,-0.0366,0.9690
21,-0.0032,-0.0276,0.9771
22,-0.0623,-0.0930,0.9907
23,-0.1294,-0.0251,1.0188
24,-0.1187,0.0388,0.9758
25,-0.0835,0.0242,0.9504
26,0.0320,0.0222,0.9768
27,0.1199,0.0088,0.9907
28,0.1338,-0.0229,0.9524
29,0.0999,-0.0920,0.9729
30,0.0071,-0.0232,0.9973
31,-0.0879,0.0281,0.9836
32,-0.1440,0.0100,0.9751
33,-0.1768,0.0273,0.9827
34,-0.1091,-0.0366,0.9797
35,0.0073,-0.0500,1.0063
36,0.1265,-0.0325,0.9885
37,0.1943,0.0298,0.9534
38,0.1882,0.0449,0.9468
39,0.0564,0.0020,0.9700
40,-0.0840,0.0349,1.0120
41,-0.2263,-0.0310,0.9836
42,-0.2712,-0.0918,0.9954
43,-0.1274,-0.1240,0.9856
44,0.0015,-0.0845,0.9895
45,0.1838,0.1094,0.9702
46,0.2356,0.0657,0.9243
47,0.1719,0.0803,0.9602
48,0.0637,0.0798,0.9778
49,-0.1282,0.0369,0.9993
50,-0.2322,-0.1030,0.9915
51,-0.2310,-0.2195,1.0171
52,-0.1199,-0.0291,1.0188
53,0.0913,0.0330,0.9761
54,0.1819,-0.0283,0.9585
55,0.2141,-0.0288,0.9771
56,0.1443,0.0474,0.9583
57,-0.0447,0.0674,0.9377
58,-0.2073,0.0181,0.9460
59,-0.2400,0.0566,0.9905
60,-0.1621,0.0168,0.9927
61,0.0022,-0.0105,0.9995
62,0.1802,-0.0615,0.9866
63,0.2261,-0.1345,1.0054
64,0.1672,-0.0662,1.0139
65,-0.0186,-0.0637,0.9785
66,-0.1479,0.0259,0.9741
67,-0.2104,0.0225,0.9707
68,-0.1875,0.0862,0.9526
69,-0.0596,0.0557,0.9143
70,0.0786,0.0454,0.9778
71,0.2000,0.0137,0.9695
72,0.2212,-0.0283,0.9934
73,0.1021,-0.0251,1.0056
74,-0.0566,-0.0803,1.0269
75,-0.2102,-0.1235,1.0208
76,-0.2629,-0.0972,0.9797
77,-0.1611,-0.0356,0.9507
78,0.0139,0.0618,0.9700
79,0.1875,0.1099,0.9524
80,0.2510,0.0632,0.9417
81,0.1714,0.0930,0.9651
82,-0.0015,0.0156,0.9717
83,-0.1904,-0.0613,1.0081
84,-0.2517,-0.1079,1.0042
85,-0.1804,-0.1055,0.9963
86,-0.0251,-0.1045,0.9973
87,0.1470,-0.0574,1.0015
88,0.1926,0.0410,0.9663
89,0.1416,0.0632,0.9487
90,0.0564,0.1111,0.9602
91,-0.1086,0.0908,0.9543
92,-0.1660,0.0544,0.9509
93,-0.1680,-0.0703,0.9937
94,-0.1033,-0.1299,1.0334
95,0.0530,-0.1167,1.0188
96,0.1335,-0.0854,0.9817
97,0.1482,-0.0291,0.9595
