Sample,X,Y,Z
0,-0.0190,0.0200,0.9810
1,-0.0127,-0.0308,0.9651
2,-0.0032,-0.0776,1.0071
3,-0.0225,-0.1055,0.9954
4,0.0115,-0.0193,1.0093
5,0.0354,0.0308,0.9673
6,0.0413,-0.0103,0.9526
7,0.0127,0.0239,0.9771
8,-0.0400,0.0559,0.9651
9,-0.0588,0.0049,0.9543
10,-0.0364,-0.0435,0.9915
11,-0.0259,-0.0535,0.9912
12,0.0042,0.0044,0.9797
13,0.0359,-0.0083,0.9878
14,0.0247,-0.0442,1.0110
15,-0.0125,-0.0481,0.9622
16,-0.0605,0.0710,0.9858
17,-0.0303,0.0286,0.9407
18,-0.0342,-0.0466,0.9863
19,0.0112,-0.0151,0.9917
20,0.0225,-0.0247,0.9543
21,0.0610,0.0571,1.0217
22,0.0264,-0.0449,0.9641
23,0.0291,-0.0776,0.9653
24,-0.0164,0.0295,0.9810
25,-0.0862,-0.0171,0.9592
26,-0.0701,0.0278,0.9937
27,-0.0718,-0.0459,0.9604
28,0.0190,0.0532,1.0090
29,0.0110,-0.0388,0.9670
30,0.0708,0.0398,0.9875
31,0.0918,-0.0159,0.9673
32,0.0208,-0.0244,0.9807
33,-0.0059,0.0068,1.0044
34,-0.0969,-0.0696,0.9761
35,-0.0789,-0.0662,0.9739
36,-0.0642,-0.0256,0.9800
37,-0.0359,-0.0020,0.9563
38,0.0276,0.0469,0.9917
39,0.0659,0.0652,0.9592
40,0.0859,0.0342,0.9644
41,0.0466,0.0208,0.9741
42,-0.0217,0.0066,0.9971
43,-0.0779,-0.0974,0.9790
44,-0.1240,-0.0994,1.0112
45,-0.0425,-0.0425,1.0034
46,0.0215,-0.0300,0.9631
47,0.0884,0.0071,0.9749
48,0.1226,-0.0034,0.9592
49,0.0288,0.0222,0.9556
50,-0.0647,0.0610,0.9622
51,-0.1284,0.0366,0.9565
52,-0.1367,-0.0012,0.9817
53,-0.0728,-0.0278,1.0120
54,0.0469,-0.0369,0.9741
55,0.1331,-0.0229,1.0090
56,0.1179,-0.0754,0.9937
57,0.0833,-0.0540,1.0049
58,-0.0188,-0.0107,0.9897
59,-0.1313,0.0137,0.9604
60,-0.1074,-0.0237,0.9485
61,-0.1138,0.0554,0.9468
62,-0.0115,0.0205,0.9458
63,0.0415,-0.0198,1.0071
64,0.0823,-0.0005,0.9966
65,0.0789,0.0088,0.9854
66,0.0229,-0.0508,0.9670
67,-0.0242,-0.0288,1.0171
68,-0.0676,-0.0251,0.9866
69,-0.0708,0.0051,0.9829
70,-0.0151,-0.0598,0.9700
71,0.0156,-0.0327,1.0081
72,0.0569,0.0352,0.9429
73,0.0356,0.0703,0.9543
74,-0.0413,0.0359,0.9673
75,-0.0933,-0.1028,0.9858
76,-0.0813,0.0564,1.0168
77,-0.0483,-0.0330,0.9287
78,0.0605,-0.0393,0.9915
79,0.0828,-0.0669,1.0110
80,0.1003,0.0000,1.0024
81,0.0642,0.0012,0.9705
82,-0.0488,0.0276,0.9985
83,-0.1033,-0.0500,0.9485
84,-0.1133,-0.0015,1.0032
85,-0.0825,0.0176,0.9399
86,-0.0117,-0.0354,0.9653
87,0.0613,0.0486,0.9983
88,0.0818,-0.0083,0.9722
89,0.0896,-0.0139,0.9602
90,0.0068,-0.0349,1.0083
91,-0.0422,-0.0349,0.9849
92,-0.0857,-0.0232,0.9905
93,-0.1096,-0.0005,0.9817
94,-0.0232,-0.0754,0.9807
95,0.0332,-0.0051,0.9905
96,0.0439,0.0217,0.9543
97,0.0564,0.0688,0.9497
98,0.0193,0.0491,0.9851
99,0.0000,0.0205,0.9819
100,-0.0046,-0.0874,0.9690
101,-0.0610,-0.0610,1.0198
102,-0.0679,-0.0581,1.0042
103,-0.0310,-0.0229,0.9946
104,-0.0330,-0.0322,0.9468
105,0.0449,0.0337,1.0015
106,0.0566,0.0522,0.9487
107,0.0112,0.0061,0.9751
108,0.0081,-0.0330,0.9585
109,-0.0703,-0.0444,0.9905
110,-0.1501,0.1050,1.0601
111,-0.2163,0.1638,0.9758
112,-0.3074,0.6038,0.9592
113,-0.3262,1.1372,0.7544
114,-0.1372,1.3940,0.6948
115,0.1226,1.5667,0.9299
116,0.3450,1.4917,1.0288
117,0.4954,1.3345,1.1216
118,0.3228,1.1965,1.1057
119,0.0796,1.0737,1.0820
120,-0.0610,0.8616,1.0823
121,-0.2683,0.6067,1.0286
122,-0.2017,0.6040,1.0122
123,-0.1401,0.6021,0.8794
124,-0.1472,0.6565,0.8713
125,-0.0364,0.7424,0.8430
126,0.0408,0.6047,0.8069
127,0.1316,0.7290,0.9341
128,0.1558,0.6155,0.8372
129,0.0073,0.5576,0.9712
130,-0.1511,0.5520,1.0393
131,-0.2417,0.3999,1.0532
132,-0.3179,0.7427,1.1245
133,-0.2361,1.0637,0.9807
134,-0.1001,1.2886,0.9692
135,0.0088,1.3625,0.9163
136,0.1829,1.1838,0.9124
137,0.2620,0.6694,0.9868
138,0.3635,-0.1477,1.1167
139,0.3562,-0.8699,1.2681
140,-0.0381,-1.3904,1.1753
141,-0.4644,-1.8220,0.9995
142,-0.6626,-1.8044,0.9507
143,-0.5593,-1.5571,0.8743
144,-0.1689,-1.0496,0.8022
145,0.1738,-0.5054,0.6711
146,0.4102,-0.1238,0.7114
147,0.4719,0.2939,0.8467
148,0.3091,0.4509,1.0022
149,0.0442,0.6616,1.1509
150,-0.1709,0.6726,1.0891
151,-0.2490,0.7271,1.1440
152,-0.1580,0.9241,1.1741
153,0.0330,1.0256,1.1350
154,0.2288,1.0942,1.0884
155,0.3401,1.1921,0.9495
156,0.2336,1.2737,0.8274
157,-0.0205,0.9377,0.7444
158,-0.2256,0.3367,0.8726
159,-0.3313,-0.0156,1.0461
160,-0.3494,-0.4546,0.9270
161,-0.1968,-0.6079,1.0432
162,0.0315,-0.6262,1.0161
163,0.2222,-0.8384,1.0256
164,0.2249,-0.7068,1.0972
165,0.0459,-0.6238,0.9292
166,-0.1335,-0.2798,0.8684
167,-0.3015,0.1233,0.8889
168,-0.2439,-0.0518,0.8215
169,-0.0715,0.0171,1.0259
170,0.0769,0.1387,0.9885
171,0.2034,-0.0461,0.9526
172,0.2666,-0.0913,1.1389
173,0.2051,-0.2480,1.1614
174,0.1299,-0.2815,1.1243
175,-0.1079,-0.0984,1.0132
176,-0.2673,-0.1187,0.8391
177,-0.2466,-0.0789,0.9209
178,-0.2251,0.0251,0.9009
179,-0.0352,0.2478,0.9856
180,0.0774,0.0681,0.8188
181,0.1538,-0.2314,0.9172
182,0.2070,-0.1499,1.0022
183,0.1570,-0.3884,1.0063
184,0.1011,-0.1304,1.1829
185,-0.0034,-0.3430,0.9390
186,-0.1331,-0.0977,0.9858
187,-0.2393,0.3608,0.9351
188,-0.2651,0.6294,0.9302
189,0.0081,0.5715,0.9797
190,0.1616,0.4167,1.0149
191,0.2524,0.4788,0.9700
192,0.1924,0.3354,0.8792
193,0.0122,0.0835,1.0627
194,-0.0264,-0.1648,1.1069
195,-0.1873,-0.3257,1.0530
196,-0.2581,-0.0149,0.9553
197,-0.2021,-0.0178,0.8276
198,-0.0369,-0.0190,1.0159
199,0.0852,-0.0547,0.9966
200,0.1760,-0.0308,0.9771
201,0.1079,0.0781,0.8735
202,0.0024,-0.1248,0.9211
203,-0.0522,-0.3621,1.0044
204,-0.1223,-0.5476,1.0669
205,-0.0596,-0.2896,1.1096
206,-0.0415,-0.2224,0.9692
207,-0.0061,-0.0571,0.9624
208,0.0349,-0.0193,0.8989
209,0.0698,0.1204,0.9573
210,0.0588,0.3135,1.0220
211,0.0332,0.3125,0.9556
212,-0.0466,0.1113,0.8870
213,-0.0056,0.0901,0.9807
214,0.0449,-0.0957,1.0725
215,0.0432,-0.1311,1.0881
216,0.0618,-0.1797,1.0103
217,-0.0625,-0.1338,0.9790
218,-0.0898,0.1487,0.9836
219,-0.0530,0.2183,0.9761
220,0.0085,0.1094,0.9299
221,0.0054,0.0828,0.9788
222,0.0034,0.2563,0.9146
223,-0.0222,0.0447,0.8547
224,0.0789,-0.1094,1.0237
225,0.0374,-0.3601,1.0581
226,0.0242,-0.1255,1.0901
227,-0.1267,-0.2285,0.8655
228,-0.2202,-0.0686,1.0137
229,-0.0857,0.0881,0.9690
230,-0.0537,0.1394,1.0276
231,0.1208,0.3342,0.9768
232,0.1853,0.1455,0.8704
233,0.1260,0.1206,0.9216
234,0.0293,0.0469,1.0181
235,-0.0388,-0.1345,1.0237
236,-0.1003,-0.1721,1.0806
237,-0.0789,-0.2861,0.9504
238,-0.1565,-0.3276,0.9026
239,-0.0498,-0.0503,0.9680
240,0.0667,0.0693,1.0081
241,0.1958,0.3101,1.0256
242,0.2473,0.1438,0.9221
243,0.0667,-0.0056,0.9231
244,-0.1287,-0.0815,0.9602
245,-0.2754,-0.0010,1.0269
246,-0.2739,-0.1223,0.9937
247,-0.1118,-0.1096,1.0249
248,0.0208,-0.0642,0.9214
249,0.1538,0.1401,0.9585
250,0.2563,0.2729,1.0051
251,0.1763,0.2168,1.0315
252,0.1460,0.1204,0.9729
253,-0.0320,-0.0303,0.8745
254,-0.1538,-0.0439,0.9204
255,-0.2146,-0.1733,1.0266
256,-0.2427,-0.4236,1.0942
257,-0.1157,-0.2275,1.1001
258,0.0137,-0.1118,0.8665
259,0.1514,0.1047,0.8694
260,0.2312,0.1428,0.9954
261,0.1899,0.0110,1.0344
262,0.0386,0.1165,1.0168
263,-0.1785,0.0117,0.8367
264,-0.3140,-0.0674,0.9253
265,-0.2231,-0.2410,1.0415
266,-0.0630,-0.1841,1.1584
267,0.2012,-0.0076,0.9954
268,0.2747,0.1060,0.9165
269,0.2524,0.2419,0.8862
270,0.0867,0.1257,0.9524
271,-0.1096,0.3015,1.0305
272,-0.2310,0.1841,0.9321
273,-0.2192,0.2617,0.9580
274,-0.1606,-0.0872,0.8794
275,-0.0029,-0.0422,1.0913
276,0.1230,-0.1575,1.0503
277,0.2175,-0.3547,1.0327
278,0.1892,-0.2427,1.0364
279,-0.0349,-0.0981,0.8831
280,-0.1421,0.0913,0.9546
281,-0.2361,0.2800,1.0217
282,-0.1345,0.1729,0.9595
283,0.0513,0.2170,0.9192
284,0.1665,0.0947,0.8372
285,0.2078,-0.0049,0.9895
286,0.0923,-0.3376,1.0513
287,-0.1123,-0.4497,1.1418
288,-0.2029,-0.1611,1.0845
289,-0.2273,-0.1636,0.8752
290,-0.1274,-0.0674,0.9907
291,0.0698,0.0957,1.0051
292,0.1692,0.0662,0.9478
293,0.2544,0.3408,0.9438
294,0.1108,0.1365,0.8145
295,-0.0447,0.0017,0.9155
296,-0.1694,-0.0950,1.0737
297,-0.1880,-0.0789,1.0942
298,-0.1165,-0.0708,1.0081
299,-0.0083,0.0393,0.9988
300,0.0977,0.0710,0.9543
301,0.1809,0.0591,0.9858
302,0.1274,0.0513,1.0344
303,0.0696,0.2180,1.0374
304,0.0056,0.0898,0.8586
305,-0.1042,-0.1499,0.8489
306,-0.1045,-0.1777,1.0288
307,-0.1013,-0.2598,1.0129
308,-0.0649,-0.2114,1.0569
309,-0.0911,-0.1050,0.9302
310,-0.1086,-0.0676,0.8628
311,0.0005,0.2009,1.0229
312,0.0459,0.0469,1.0151
313,0.1438,-0.0488,1.0464
314,0.1389,0.1279,0.9888
315,0.0474,0.1917,0.8567
316,-0.0156,-0.0005,0.9358
317,-0.0686,-0.1155,1.1243
318,-0.0701,-0.0540,1.0784
319,-0.0713,0.1147,0.9631
320,-0.0540,0.1292,0.8667
321,0.0247,0.0010,0.9495
322,0.0676,0.0459,1.1040
323,0.1018,0.1604,1.0269
324,0.0701,0.2971,0.9084
325,0.0344,0.0020,0.7727
326,-0.0166,-0.1726,0.9790
327,-0.1541,-0.3391,1.0674
328,-0.2249,-0.3298,1.0952
329,-0.1370,-0.0688,1.0188
330,-0.0913,-0.2715,0.8752
331,0.0859,0.0002,0.9878
332,0.1309,-0.0862,0.9429
333,0.1255,0.1277,1.0461
334,0.1099,0.2542,0.9729
335,0.0012,0.0229,0.8638
336,-0.0288,0.1118,0.9995
337,-0.0017,-0.0332,1.0015
338,0.0010,-0.1350,1.0854
339,-0.0430,-0.1865,1.0474
340,-0.0784,-0.1660,0.9182
341,-0.1038,0.1055,0.9429
342,0.0046,0.0942,0.9360
343,-0.0134,-0.0916,1.0288
344,0.0425,0.1619,1.0852
345,0.0710,0.1863,0.8394
346,0.0728,0.3323,0.9016
347,0.0803,0.1226,0.9224
348,0.0264,-0.2324,1.0286
349,-0.0398,-0.0652,1.1106
350,-0.1794,-0.0374,0.9397
351,-0.2075,-0.0774,0.9270
352,-0.1216,-0.2102,1.0107
353,-0.0227,-0.1514,1.1038
354,0.1023,0.1243,1.0500
355,0.1482,0.1182,0.9116
356,0.1370,0.1057,0.8599
357,0.1780,0.0413,0.9097
358,0.0366,-0.1462,0.9810
359,-0.1697,-0.2131,1.0266
360,-0.3345,-0.1697,0.9780
361,-0.3240,0.0168,0.9231
362,-0.1206,-0.0305,0.9973
363,0.1545,-0.0198,1.0930
364,0.3091,0.0662,1.0930
365,0.3308,0.1628,0.9302
366,0.0969,0.0281,0.8303
367,-0.1194,0.0703,0.9644
368,-0.1785,-0.0420,0.9797
369,-0.1824,0.0046,1.0491
370,-0.1187,0.0493,0.9365
371,-0.0271,-0.0435,0.8804
372,0.0483,0.0542,1.0159
373,0.1663,0.1206,1.0464
374,0.1941,0.0833,1.0579
375,0.1116,0.0791,0.9973
376,-0.0837,-0.0784,0.9231
377,-0.1931,0.0210,0.9485
378,-0.1899,-0.1755,0.9507
379,-0.0640,-0.1877,1.0442
380,0.0459,-0.1121,1.0288
381,0.0757,-0.1462,0.8970
382,-0.0161,-0.0476,0.8745
383,-0.0815,-0.0276,1.0034
384,-0.0532,0.2417,1.0444
385,-0.0083,0.0225,0.9731
386,0.1460,0.0371,0.9817
387,0.1455,-0.1802,0.8635
388,0.0723,-0.1443,1.0542
389,-0.0425,-0.2009,1.0571
390,-0.0676,-0.3547,1.0522
391,-0.0527,-0.1101,0.9497
392,-0.0862,0.0847,0.9114
393,-0.1616,0.2803,0.8677
394,-0.1233,0.0950,0.9565
395,0.0232,0.1477,1.0676
396,0.1682,0.1118,0.9878
397,0.2368,0.0828,0.9231
398,0.1509,0.0376,1.0393
399,0.0015,-0.2378,1.0105
400,-0.1152,-0.1887,1.1353
401,-0.1995,0.1804,0.9534
402,-0.2024,0.1357,0.7671
403,-0.0513,0.2954,0.9409
404,0.0083,-0.0156,0.9309
405,0.1221,0.0491,1.0667
406,0.1814,0.1404,1.0071
407,0.0955,0.1045,0.9719
408,0.0137,-0.0918,0.9221
409,-0.0864,-0.4055,1.0210
410,-0.1370,-0.2556,1.1274
411,-0.0857,-0.0479,1.0210
412,-0.0759,-0.0991,0.8926
413,-0.0503,-0.0732,0.8870
414,0.0000,0.0586,0.9360
415,0.0317,0.2554,1.0161
416,0.1135,0.2708,0.9915
417,0.1230,-0.0022,0.8806
418,0.0115,-0.0444,0.9504
419,-0.0493,-0.1604,1.0071
420,-0.1704,-0.3152,1.0669
421,-0.1177,-0.1599,1.1392
422,-0.0237,-0.0269,0.9683
423,0.0276,-0.1890,0.8665
424,0.0725,0.2854,1.0383
425,0.0676,0.2798,0.8940
426,-0.0061,0.3374,0.9937
427,0.0144,0.1833,0.9250
428,-0.0461,-0.1160,0.8870
429,-0.0173,0.0186,1.0103
430,-0.0337,-0.2786,1.0317
431,-0.0142,-0.3396,1.1626
432,-0.0085,-0.3384,0.9788
433,-0.0552,-0.2332,0.9219
434,-0.0186,0.2205,0.9495
435,-0.0481,0.0405,0.9429
436,0.0034,0.2344,1.0813
437,0.0818,0.1135,0.9504
438,0.0884,0.0488,0.8696
439,0.0427,-0.0220,0.9622
440,0.0557,-0.2058,1.0220
441,-0.0496,-0.2698,1.0569
442,-0.1013,-0.2908,1.0005
443,-0.1157,-0.0361,0.9526
444,-0.1167,0.1724,0.9214
445,-0.0227,0.1553,0.9429
446,0.0601,0.1973,1.0308
447,0.0857,0.1426,0.9426
448,0.0913,0.2053,0.9319
449,0.0266,0.1506,0.9380
450,0.0049,-0.0273,0.9885
451,0.0254,-0.2754,1.1018
452,-0.0305,-0.1726,1.0989
453,-0.0669,-0.0498,0.9250
454,-0.0828,0.1418,0.9153
455,-0.0654,0.0991,0.9478
456,-0.0305,0.1860,1.0405
457,0.0266,0.1860,0.9175
458,0.0020,0.0659,0.9487
459,-0.0251,-0.0642,0.9155
460,-0.0037,-0.3091,0.9954
461,0.0000,-0.3044,1.0981
462,0.0049,-0.3340,1.0730
463,0.0232,-0.1885,1.0005
464,-0.0300,-0.2153,0.8850
465,-0.0525,0.0688,0.9827
466,-0.0481,0.2219,0.9163
467,-0.0349,0.2168,0.9875
468,0.0493,0.2539,1.0073
469,0.0303,-0.1526,0.8647
470,0.0442,-0.0608,1.0811
471,0.0444,-0.0984,1.0112
472,0.0247,-0.3228,1.0110
473,0.0056,-0.1345,1.0903
474,-0.0574,-0.1851,0.8821
475,-0.0681,0.0449,0.9458
476,-0.0679,0.1650,0.9946
477,0.0281,0.2412,1.0444
478,0.0889,0.3242,0.9849
479,0.0566,0.2720,0.8530
480,0.0190,0.1714,0.8979
481,-0.0906,0.0486,0.9426
482,-0.1328,-0.1360,1.0894
483,-0.0708,-0.1680,1.0549
484,-0.0667,-0.3665,0.9475
485,0.0095,-0.0071,1.0120
486,0.0515,-0.0713,0.9341
487,-0.0037,-0.0750,1.0500
488,0.0320,0.0793,1.0649
489,-0.0151,0.0640,0.8696
490,-0.0415,0.0374,0.8948
491,0.0146,0.0151,0.9241
492,0.0474,-0.3289,0.9883
493,0.0273,-0.1965,1.1138
494,0.0046,-0.1877,0.9719
495,-0.0632,-0.0894,0.9417
496,-0.0737,0.0132,0.9895
497,-0.0188,0.1440,1.0835
498,0.0398,0.2097,1.0198
499,0.0850,0.3459,0.9221
500,-0.0212,0.1982,0.8433
501,0.0073,0.3938,0.9436
502,0.0669,-0.0427,0.9592
503,0.0811,-0.0688,1.0979
504,0.0574,-0.2769,0.9719
505,-0.1035,-0.0869,0.9795
506,-0.2446,-0.0034,0.9097
507,-0.1802,-0.0166,1.0151
508,-0.0010,-0.0706,1.0549
509,0.1741,0.0544,1.0366
510,0.1680,0.0544,0.8611
511,0.0168,-0.0337,0.9175
512,-0.0808,-0.1018,1.0168
513,-0.1572,-0.2314,1.0249
514,-0.1167,0.0024,1.0601
515,-0.0615,-0.1948,0.8284
516,0.0337,-0.2161,0.9507
517,0.1001,0.1411,1.0725
518,0.1643,-0.1287,0.9575
519,0.1577,-0.1140,1.0549
520,0.0898,0.0571,0.9797
521,-0.0676,-0.0081,0.8352
522,-0.2109,0.1194,1.0093
523,-0.2310,-0.1445,0.9963
524,-0.0356,0.0312,1.0942
525,0.0881,0.0957,0.9146
526,0.1060,0.1157,0.8716
527,0.1340,0.0959,0.9331
528,-0.0122,0.0061,1.0542
529,0.0061,0.1538,1.1328
530,-0.0051,0.1816,0.9946
531,-0.0244,0.0989,0.8508
532,-0.0427,-0.1006,0.9202
533,-0.0544,-0.2000,1.0547
534,-0.0862,-0.1860,1.0588
535,-0.0286,-0.1233,0.9146
536,-0.0435,-0.1902,0.8442
537,-0.0085,0.1543,0.9976
538,0.0095,0.1040,0.9739
539,0.0305,-0.0010,1.0637
540,0.0955,0.1606,1.0601
541,0.0789,-0.0012,0.8420
542,-0.0012,-0.0198,0.9360
543,-0.0452,-0.0422,1.0491
544,-0.1116,-0.3403,1.0374
545,-0.1311,-0.1050,1.0591
546,-0.1028,-0.0581,0.8899
547,0.0508,0.1086,0.9182
548,0.1641,0.1921,0.9856
549,0.2358,0.1392,1.0481
550,0.1196,0.1152,0.9448
551,-0.0444,0.1235,0.9006
552,-0.1489,0.1108,0.9487
553,-0.1697,-0.1279,0.9924
554,-0.1218,-0.1833,1.1030
555,-0.0378,-0.1155,1.0129
556,-0.0303,-0.0112,0.9185
557,-0.0078,0.0874,0.8958
558,0.0688,0.0398,0.9807
559,0.0598,0.0984,1.0884
560,0.0706,-0.0588,0.9856
561,0.0037,-0.1494,0.9475
562,-0.0608,-0.0369,0.9299
563,-0.0310,-0.0764,0.9722
564,-0.0217,-0.0869,1.0767
565,-0.0046,-0.1709,0.9915
566,0.0403,-0.0608,0.9495
567,-0.0977,0.0386,0.8706
568,-0.0552,0.1270,0.9771
569,0.0354,-0.0183,1.0015
570,0.0496,-0.0479,1.0757
571,0.1394,0.1362,0.9868
572,0.1233,-0.0044,0.8706
573,0.0127,-0.0085,0.9885
574,-0.1504,-0.3872,1.0374
575,-0.1792,-0.1384,1.1235
576,-0.1189,-0.0103,0.8899
577,-0.0232,0.1860,0.8872
578,0.1458,0.1763,0.9116
579,0.0581,-0.0808,0.9722
580,0.0068,0.0762,1.1155
581,-0.0215,0.2444,0.9377
582,-0.0588,0.1646,0.8540
583,0.0156,0.0378,0.9907
584,0.0239,-0.2771,1.0630
585,-0.0359,-0.2747,1.1096
586,-0.0415,0.0212,1.0237
587,-0.1069,-0.0903,0.8472
588,-0.0757,0.0444,0.9624
589,0.0137,0.0442,0.9768
590,0.0396,0.0825,1.0156
591,0.0818,0.1899,0.9612
592,0.0757,0.0100,0.8899
593,0.1226,0.1042,0.9895
594,0.0762,-0.1865,0.9702
595,-0.0234,-0.2603,1.1067
596,-0.1453,-0.1611,1.0198
597,-0.2781,-0.1719,0.9231
598,-0.1982,0.0820,0.9546
599,0.0261,0.1296,0.9644
600,0.2109,0.0168,0.9780
601,0.2109,0.1792,1.0051
602,0.1782,0.2961,0.8870
603,0.0178,0.0869,0.8782
604,-0.0588,-0.1008,1.0667
605,-0.0833,-0.3254,1.0767
606,-0.1396,-0.1782,1.0842
